6	ADCETRIS.xml:S1:4:1	O
ADVERSE	ADCETRIS.xml:S1:6:7	O
REACTIONS	ADCETRIS.xml:S1:14:9	O

The	ADCETRIS.xml:S1:27:3	O
following	ADCETRIS.xml:S1:31:9	O
serious	ADCETRIS.xml:S1:41:7	O
adverse	ADCETRIS.xml:S1:49:7	O
reactions	ADCETRIS.xml:S1:57:9	O
are	ADCETRIS.xml:S1:67:3	O
discussed	ADCETRIS.xml:S1:71:9	O
in	ADCETRIS.xml:S1:81:2	O
greater	ADCETRIS.xml:S1:84:7	O
detail	ADCETRIS.xml:S1:92:6	O
in	ADCETRIS.xml:S1:99:2	O
other	ADCETRIS.xml:S1:102:5	O
sections	ADCETRIS.xml:S1:108:8	O
of	ADCETRIS.xml:S1:117:2	O
the	ADCETRIS.xml:S1:120:3	O
prescribing	ADCETRIS.xml:S1:124:11	O
information	ADCETRIS.xml:S1:136:11	O
:	ADCETRIS.xml:S1:147:1	O

Peripheral	ADCETRIS.xml:S1:156:10	B-AdverseReaction
Neuropathy	ADCETRIS.xml:S1:167:10	I-AdverseReaction
[	ADCETRIS.xml:S1:178:1	O
see	ADCETRIS.xml:S1:179:3	O
Warnings	ADCETRIS.xml:S1:184:8	O
and	ADCETRIS.xml:S1:193:3	O
Precautions	ADCETRIS.xml:S1:197:11	O
(	ADCETRIS.xml:S1:209:1	O
5.1	ADCETRIS.xml:S1:216:3	O
)	ADCETRIS.xml:S1:225:1	O
]	ADCETRIS.xml:S1:228:1	O

Anaphylaxis	ADCETRIS.xml:S1:236:11	B-AdverseReaction
and	ADCETRIS.xml:S1:248:3	O
Infusion	ADCETRIS.xml:S1:252:8	B-AdverseReaction
Reactions	ADCETRIS.xml:S1:261:9	I-AdverseReaction
[	ADCETRIS.xml:S1:271:1	O
see	ADCETRIS.xml:S1:272:3	O
Warnings	ADCETRIS.xml:S1:277:8	O
and	ADCETRIS.xml:S1:286:3	O
Precautions	ADCETRIS.xml:S1:290:11	O
(	ADCETRIS.xml:S1:302:1	O
5.2	ADCETRIS.xml:S1:309:3	O
)	ADCETRIS.xml:S1:318:1	O
]	ADCETRIS.xml:S1:321:1	O

Hematologic	ADCETRIS.xml:S1:329:11	B-AdverseReaction
Toxicities	ADCETRIS.xml:S1:341:10	I-AdverseReaction
[	ADCETRIS.xml:S1:352:1	O
see	ADCETRIS.xml:S1:353:3	O
Warnings	ADCETRIS.xml:S1:358:8	O
and	ADCETRIS.xml:S1:367:3	O
Precautions	ADCETRIS.xml:S1:371:11	O
(	ADCETRIS.xml:S1:383:1	O
5.3	ADCETRIS.xml:S1:390:3	O
)	ADCETRIS.xml:S1:399:1	O
]	ADCETRIS.xml:S1:402:1	O

Serious	ADCETRIS.xml:S1:410:7	B-Severity
Infections	ADCETRIS.xml:S1:418:10	B-AdverseReaction
and	ADCETRIS.xml:S1:429:3	O
Opportunistic	ADCETRIS.xml:S1:433:13	B-AdverseReaction
Infections	ADCETRIS.xml:S1:447:10	I-AdverseReaction
[	ADCETRIS.xml:S1:458:1	O
see	ADCETRIS.xml:S1:459:3	O
Warnings	ADCETRIS.xml:S1:464:8	O
and	ADCETRIS.xml:S1:473:3	O
Precautions	ADCETRIS.xml:S1:477:11	O
(	ADCETRIS.xml:S1:489:1	O
5.4	ADCETRIS.xml:S1:496:3	O
)	ADCETRIS.xml:S1:505:1	O
]	ADCETRIS.xml:S1:508:1	O

Tumor	ADCETRIS.xml:S1:516:5	B-AdverseReaction
Lysis	ADCETRIS.xml:S1:522:5	I-AdverseReaction
Syndrome	ADCETRIS.xml:S1:528:8	I-AdverseReaction
[	ADCETRIS.xml:S1:537:1	O
see	ADCETRIS.xml:S1:538:3	O
Warnings	ADCETRIS.xml:S1:543:8	O
and	ADCETRIS.xml:S1:552:3	O
Precautions	ADCETRIS.xml:S1:556:11	O
(	ADCETRIS.xml:S1:568:1	O
5.5	ADCETRIS.xml:S1:575:3	O
)	ADCETRIS.xml:S1:584:1	O
]	ADCETRIS.xml:S1:587:1	O

Increased	ADCETRIS.xml:S1:595:9	B-AdverseReaction
Toxicity	ADCETRIS.xml:S1:605:8	I-AdverseReaction
in	ADCETRIS.xml:S1:614:2	O
the	ADCETRIS.xml:S1:617:3	O
Presence	ADCETRIS.xml:S1:621:8	O
of	ADCETRIS.xml:S1:630:2	O
Severe	ADCETRIS.xml:S1:633:6	O
Renal	ADCETRIS.xml:S1:640:5	O
Impairment	ADCETRIS.xml:S1:646:10	O
