6	ADREVIEW.xml:S1:4:1	O
ADVERSE	ADREVIEW.xml:S1:6:7	O
REACTIONS	ADREVIEW.xml:S1:14:9	O

EXCERPT	ADREVIEW.xml:S1:27:7	O
:	ADREVIEW.xml:S1:34:1	O
Serious	ADREVIEW.xml:S1:38:7	B-Severity
hypersensitivity	ADREVIEW.xml:S1:46:16	B-AdverseReaction
reactions	ADREVIEW.xml:S1:63:9	I-AdverseReaction
have	ADREVIEW.xml:S1:73:4	O
been	ADREVIEW.xml:S1:78:4	O
reported	ADREVIEW.xml:S1:83:8	O
following	ADREVIEW.xml:S1:92:9	O
AdreView	ADREVIEW.xml:S1:102:8	O
administration	ADREVIEW.xml:S1:111:14	O
.	ADREVIEW.xml:S1:125:1	O

The	ADREVIEW.xml:S1:127:3	O
most	ADREVIEW.xml:S1:131:4	O
common	ADREVIEW.xml:S1:136:6	O
adverse	ADREVIEW.xml:S1:143:7	O
reactions	ADREVIEW.xml:S1:151:9	O
,	ADREVIEW.xml:S1:160:1	O
dizziness	ADREVIEW.xml:S1:162:9	B-AdverseReaction
,	ADREVIEW.xml:S1:171:1	O
rash	ADREVIEW.xml:S1:173:4	B-AdverseReaction
,	ADREVIEW.xml:S1:177:1	O
pruritis	ADREVIEW.xml:S1:179:8	B-AdverseReaction
,	ADREVIEW.xml:S1:187:1	O
flushing	ADREVIEW.xml:S1:189:8	B-AdverseReaction
,	ADREVIEW.xml:S1:197:1	O
headache	ADREVIEW.xml:S1:199:8	B-AdverseReaction
,	ADREVIEW.xml:S1:207:1	O
and	ADREVIEW.xml:S1:209:3	O
injection	ADREVIEW.xml:S1:213:9	B-AdverseReaction
site	ADREVIEW.xml:S1:223:4	I-AdverseReaction
hemorrhage	ADREVIEW.xml:S1:228:10	I-AdverseReaction
occurred	ADREVIEW.xml:S1:239:8	O
in	ADREVIEW.xml:S1:248:2	O
1.3%	ADREVIEW.xml:S1:253:4	O
of	ADREVIEW.xml:S1:258:2	O
patients	ADREVIEW.xml:S1:261:8	O
.	ADREVIEW.xml:S1:269:1	O

(	ADREVIEW.xml:S1:271:1	O
6.1	ADREVIEW.xml:S1:274:3	O
,	ADREVIEW.xml:S1:279:1	O
6.2	ADREVIEW.xml:S1:282:3	O
)	ADREVIEW.xml:S1:287:1	O

To	ADREVIEW.xml:S1:295:2	O
report	ADREVIEW.xml:S1:298:6	O
SUSPECTED	ADREVIEW.xml:S1:305:9	O
ADVERSE	ADREVIEW.xml:S1:315:7	O
REACTIONS	ADREVIEW.xml:S1:323:9	O
,	ADREVIEW.xml:S1:332:1	O
contact	ADREVIEW.xml:S1:334:7	O
GE	ADREVIEW.xml:S1:342:2	O
Healthcare	ADREVIEW.xml:S1:345:10	O
at	ADREVIEW.xml:S1:356:2	O
1	ADREVIEW.xml:S1:359:1	O
-	ADREVIEW.xml:S1:360:1	O
800	ADREVIEW.xml:S1:361:3	O
-	ADREVIEW.xml:S1:364:1	O
654	ADREVIEW.xml:S1:365:3	O
-	ADREVIEW.xml:S1:368:1	O
0118	ADREVIEW.xml:S1:369:4	O
or	ADREVIEW.xml:S1:374:2	O
FDA	ADREVIEW.xml:S1:377:3	O
at	ADREVIEW.xml:S1:381:2	O
1	ADREVIEW.xml:S1:384:1	O
-	ADREVIEW.xml:S1:385:1	O
800	ADREVIEW.xml:S1:386:3	O
-	ADREVIEW.xml:S1:389:1	O
FDA	ADREVIEW.xml:S1:390:3	O
-	ADREVIEW.xml:S1:393:1	O
1088	ADREVIEW.xml:S1:394:4	O
or	ADREVIEW.xml:S1:399:2	O
www	ADREVIEW.xml:S1:402:3	O
.	ADREVIEW.xml:S1:405:1	O
fda	ADREVIEW.xml:S1:406:3	O
.	ADREVIEW.xml:S1:409:1	O
gov	ADREVIEW.xml:S1:410:3	O
medwatch	ADREVIEW.xml:S1:414:8	O
.	ADREVIEW.xml:S1:422:1	O

6.1	ADREVIEW.xml:S1:434:3	O

Clinical	ADREVIEW.xml:S1:438:8	O
Study	ADREVIEW.xml:S1:447:5	O
Experience	ADREVIEW.xml:S1:453:10	O

Because	ADREVIEW.xml:S1:467:7	O
clinical	ADREVIEW.xml:S1:475:8	O
trials	ADREVIEW.xml:S1:484:6	O
are	ADREVIEW.xml:S1:491:3	O
conducted	ADREVIEW.xml:S1:495:9	O
under	ADREVIEW.xml:S1:505:5	O
widely	ADREVIEW.xml:S1:511:6	O
varying	ADREVIEW.xml:S1:518:7	O
conditions	ADREVIEW.xml:S1:526:10	O
,	ADREVIEW.xml:S1:536:1	O
adverse	ADREVIEW.xml:S1:538:7	O
reaction	ADREVIEW.xml:S1:546:8	O
rates	ADREVIEW.xml:S1:555:5	O
observed	ADREVIEW.xml:S1:561:8	O
in	ADREVIEW.xml:S1:570:2	O
the	ADREVIEW.xml:S1:573:3	O
clinical	ADREVIEW.xml:S1:577:8	O
trials	ADREVIEW.xml:S1:586:6	O
of	ADREVIEW.xml:S1:593:2	O
a	ADREVIEW.xml:S1:596:1	O
