6	AFINITOR.xml:S1:4:1	O
ADVERSE	AFINITOR.xml:S1:10:7	O
REACTIONS	AFINITOR.xml:S1:18:9	O

The	AFINITOR.xml:S1:31:3	O
following	AFINITOR.xml:S1:35:9	O
serious	AFINITOR.xml:S1:45:7	O
adverse	AFINITOR.xml:S1:53:7	O
reactions	AFINITOR.xml:S1:61:9	O
are	AFINITOR.xml:S1:71:3	O
discussed	AFINITOR.xml:S1:75:9	O
in	AFINITOR.xml:S1:85:2	O
greater	AFINITOR.xml:S1:88:7	O
detail	AFINITOR.xml:S1:96:6	O
in	AFINITOR.xml:S1:103:2	O
another	AFINITOR.xml:S1:106:7	O
section	AFINITOR.xml:S1:114:7	O
of	AFINITOR.xml:S1:122:2	O
the	AFINITOR.xml:S1:125:3	O
label	AFINITOR.xml:S1:129:5	O
[	AFINITOR.xml:S1:136:1	O
see	AFINITOR.xml:S1:137:3	O
Warnings	AFINITOR.xml:S1:141:8	O
and	AFINITOR.xml:S1:150:3	O
Precautions	AFINITOR.xml:S1:154:11	O
(	AFINITOR.xml:S1:166:1	O
5	AFINITOR.xml:S1:167:1	O
)]	AFINITOR.xml:S1:168:2	O
:	AFINITOR.xml:S1:172:1	O

Non	AFINITOR.xml:S1:181:3	B-AdverseReaction
-	AFINITOR.xml:S1:184:1	I-AdverseReaction
infectious	AFINITOR.xml:S1:185:10	I-AdverseReaction
pneumonitis	AFINITOR.xml:S1:196:11	I-AdverseReaction
[	AFINITOR.xml:S1:208:1	O
see	AFINITOR.xml:S1:209:3	O
Warnings	AFINITOR.xml:S1:213:8	O
and	AFINITOR.xml:S1:222:3	O
Precautions	AFINITOR.xml:S1:226:11	O
(	AFINITOR.xml:S1:238:1	O
5.1	AFINITOR.xml:S1:239:3	O
)]	AFINITOR.xml:S1:242:2	O
.	AFINITOR.xml:S1:245:1	O

Infections	AFINITOR.xml:S1:252:10	B-AdverseReaction
[	AFINITOR.xml:S1:263:1	O
see	AFINITOR.xml:S1:264:3	O
Warnings	AFINITOR.xml:S1:268:8	O
and	AFINITOR.xml:S1:277:3	O
Precautions	AFINITOR.xml:S1:281:11	O
(	AFINITOR.xml:S1:293:1	O
5.2	AFINITOR.xml:S1:294:3	O
)]	AFINITOR.xml:S1:297:2	O
