6	AMPYRA.xml:S1:4:1	O
ADVERSE	AMPYRA.xml:S1:6:7	O
REACTIONS	AMPYRA.xml:S1:14:9	O

Because	AMPYRA.xml:S1:27:7	O
clinical	AMPYRA.xml:S1:35:8	O
studies	AMPYRA.xml:S1:44:7	O
are	AMPYRA.xml:S1:52:3	O
conducted	AMPYRA.xml:S1:56:9	O
under	AMPYRA.xml:S1:66:5	O
widely	AMPYRA.xml:S1:72:6	O
varying	AMPYRA.xml:S1:79:7	O
conditions	AMPYRA.xml:S1:87:10	O
,	AMPYRA.xml:S1:97:1	O
adverse	AMPYRA.xml:S1:99:7	O
reaction	AMPYRA.xml:S1:107:8	O
rates	AMPYRA.xml:S1:116:5	O
observed	AMPYRA.xml:S1:122:8	O
in	AMPYRA.xml:S1:131:2	O
the	AMPYRA.xml:S1:134:3	O
clinical	AMPYRA.xml:S1:138:8	O
studies	AMPYRA.xml:S1:147:7	O
of	AMPYRA.xml:S1:155:2	O
a	AMPYRA.xml:S1:158:1	O
drug	AMPYRA.xml:S1:160:4	O
cannot	AMPYRA.xml:S1:165:6	O
be	AMPYRA.xml:S1:172:2	O
directly	AMPYRA.xml:S1:175:8	O
compared	AMPYRA.xml:S1:184:8	O
to	AMPYRA.xml:S1:193:2	O
rates	AMPYRA.xml:S1:196:5	O
in	AMPYRA.xml:S1:202:2	O
the	AMPYRA.xml:S1:205:3	O
clinical	AMPYRA.xml:S1:209:8	O
studies	AMPYRA.xml:S1:218:7	O
of	AMPYRA.xml:S1:226:2	O
another	AMPYRA.xml:S1:229:7	O
drug	AMPYRA.xml:S1:237:4	O
and	AMPYRA.xml:S1:242:3	O
may	AMPYRA.xml:S1:246:3	O
not	AMPYRA.xml:S1:250:3	O
reflect	AMPYRA.xml:S1:254:7	O
the	AMPYRA.xml:S1:262:3	O
rates	AMPYRA.xml:S1:266:5	O
observed	AMPYRA.xml:S1:272:8	O
in	AMPYRA.xml:S1:281:2	O
practice	AMPYRA.xml:S1:284:8	O
.	AMPYRA.xml:S1:292:1	O

The	AMPYRA.xml:S1:298:3	O
following	AMPYRA.xml:S1:302:9	O
adverse	AMPYRA.xml:S1:312:7	O
reactions	AMPYRA.xml:S1:320:9	O
are	AMPYRA.xml:S1:330:3	O
described	AMPYRA.xml:S1:334:9	O
in	AMPYRA.xml:S1:344:2	O
more	AMPYRA.xml:S1:347:4	O
detail	AMPYRA.xml:S1:352:6	O
in	AMPYRA.xml:S1:359:2	O
the	AMPYRA.xml:S1:362:3	O
Warnings	AMPYRA.xml:S1:366:8	O
and	AMPYRA.xml:S1:375:3	O
Precautions	AMPYRA.xml:S1:379:11	O
section	AMPYRA.xml:S1:391:7	O
of	AMPYRA.xml:S1:399:2	O
the	AMPYRA.xml:S1:402:3	O
label	AMPYRA.xml:S1:406:5	O
:	AMPYRA.xml:S1:411:1	O
Seizures	AMPYRA.xml:S1:413:8	B-AdverseReaction
,	AMPYRA.xml:S1:421:1	O
Anaphylaxis	AMPYRA.xml:S1:423:11	B-AdverseReaction
,	AMPYRA.xml:S1:434:1	O
and	AMPYRA.xml:S1:436:3	O
Urinary	AMPYRA.xml:S1:440:7	B-AdverseReaction
Tract	AMPYRA.xml:S1:448:5	I-AdverseReaction
Infections	AMPYRA.xml:S1:454:10	I-AdverseReaction
.	AMPYRA.xml:S1:464:1	O

EXCERPT	AMPYRA.xml:S1:472:7	O
:	AMPYRA.xml:S1:479:1	O
The	AMPYRA.xml:S1:483:3	O
most	AMPYRA.xml:S1:487:4	O
common	AMPYRA.xml:S1:492:6	O
adverse	AMPYRA.xml:S1:499:7	O
events	AMPYRA.xml:S1:507:6	O
(	AMPYRA.xml:S1:514:1	O
incidence	AMPYRA.xml:S1:515:9	O
2%	AMPYRA.xml:S1:527:2	O
and	AMPYRA.xml:S1:530:3	O
at	AMPYRA.xml:S1:534:2	O
a	AMPYRA.xml:S1:537:1	O
rate	AMPYRA.xml:S1:539:4	O
greater	AMPYRA.xml:S1:544:7	O
than	AMPYRA.xml:S1:552:4	O
the	AMPYRA.xml:S1:557:3	O
placebo	AMPYRA.xml:S1:561:7	O
rate	AMPYRA.xml:S1:569:4	O
)	AMPYRA.xml:S1:573:1	O
for	AMPYRA.xml:S1:575:3	O
AMPYRA	AMPYRA.xml:S1:579:6	O
were	AMPYRA.xml:S1:586:4	O
urinary	AMPYRA.xml:S1:591:7	B-AdverseReaction
tract	AMPYRA.xml:S1:599:5	I-AdverseReaction
infection	AMPYRA.xml:S1:605:9	I-AdverseReaction
