6	AMYVID.xml:S1:4:1	O
ADVERSE	AMYVID.xml:S1:6:7	O
REACTIONS	AMYVID.xml:S1:14:9	O

EXCERPT	AMYVID.xml:S1:27:7	O
:	AMYVID.xml:S1:34:1	O
The	AMYVID.xml:S1:38:3	O
most	AMYVID.xml:S1:42:4	O
common	AMYVID.xml:S1:47:6	O
reported	AMYVID.xml:S1:54:8	O
adverse	AMYVID.xml:S1:63:7	O
reaction	AMYVID.xml:S1:71:8	O
was	AMYVID.xml:S1:80:3	O
headache	AMYVID.xml:S1:84:8	B-AdverseReaction
,	AMYVID.xml:S1:92:1	O
occurring	AMYVID.xml:S1:94:9	O
in	AMYVID.xml:S1:104:2	O
2%	AMYVID.xml:S1:107:2	O
of	AMYVID.xml:S1:110:2	O
patients	AMYVID.xml:S1:113:8	O
,	AMYVID.xml:S1:121:1	O
followed	AMYVID.xml:S1:123:8	O
by	AMYVID.xml:S1:132:2	O
musculoskeletal	AMYVID.xml:S1:135:15	B-AdverseReaction
pain	AMYVID.xml:S1:151:4	I-AdverseReaction
,	AMYVID.xml:S1:155:1	O
blood	AMYVID.xml:S1:157:5	B-AdverseReaction
pressure	AMYVID.xml:S1:163:8	I-AdverseReaction
increased	AMYVID.xml:S1:172:9	I-AdverseReaction
,	AMYVID.xml:S1:181:1	O
fatigue	AMYVID.xml:S1:183:7	B-AdverseReaction
,	AMYVID.xml:S1:190:1	O
nausea	AMYVID.xml:S1:192:6	B-AdverseReaction
,	AMYVID.xml:S1:198:1	O
and	AMYVID.xml:S1:200:3	O
injection	AMYVID.xml:S1:204:9	B-AdverseReaction
site	AMYVID.xml:S1:214:4	I-AdverseReaction
reaction	AMYVID.xml:S1:219:8	I-AdverseReaction
,	AMYVID.xml:S1:227:1	O
all	AMYVID.xml:S1:229:3	O
occurring	AMYVID.xml:S1:233:9	O
in	AMYVID.xml:S1:243:2	O
1%	AMYVID.xml:S1:247:2	O
of	AMYVID.xml:S1:250:2	O
patients	AMYVID.xml:S1:253:8	O
(	AMYVID.xml:S1:262:1	O
6	AMYVID.xml:S1:265:1	O
)	AMYVID.xml:S1:268:1	O
.	AMYVID.xml:S1:269:1	O

To	AMYVID.xml:S1:277:2	O
report	AMYVID.xml:S1:280:6	O
SUSPECTED	AMYVID.xml:S1:287:9	O
ADVERSE	AMYVID.xml:S1:297:7	O
REACTIONS	AMYVID.xml:S1:305:9	O
,	AMYVID.xml:S1:314:1	O
contact	AMYVID.xml:S1:316:7	O
Eli	AMYVID.xml:S1:324:3	O
Lilly	AMYVID.xml:S1:328:5	O
and	AMYVID.xml:S1:334:3	O
Company	AMYVID.xml:S1:338:7	O
at	AMYVID.xml:S1:346:2	O
1	AMYVID.xml:S1:349:1	O
-	AMYVID.xml:S1:350:1	O
800	AMYVID.xml:S1:351:3	O
-	AMYVID.xml:S1:354:1	O
LillyRx	AMYVID.xml:S1:355:7	O
(	AMYVID.xml:S1:363:1	O
1	AMYVID.xml:S1:364:1	O
-	AMYVID.xml:S1:365:1	O
800	AMYVID.xml:S1:366:3	O
-	AMYVID.xml:S1:369:1	O
545	AMYVID.xml:S1:370:3	O
-	AMYVID.xml:S1:373:1	O
5979	AMYVID.xml:S1:374:4	O
)	AMYVID.xml:S1:378:1	O
or	AMYVID.xml:S1:380:2	O
FDA	AMYVID.xml:S1:383:3	O
at	AMYVID.xml:S1:387:2	O
1	AMYVID.xml:S1:390:1	O
-	AMYVID.xml:S1:391:1	O
800	AMYVID.xml:S1:392:3	O
-	AMYVID.xml:S1:395:1	O
FDA	AMYVID.xml:S1:396:3	O
-	AMYVID.xml:S1:399:1	O
1088	AMYVID.xml:S1:400:4	O
or	AMYVID.xml:S1:405:2	O
www	AMYVID.xml:S1:408:3	O
.	AMYVID.xml:S1:411:1	O
fda	AMYVID.xml:S1:412:3	O
.	AMYVID.xml:S1:415:1	O
gov	AMYVID.xml:S1:416:3	O
medwatch	AMYVID.xml:S1:420:8	O

6.1	AMYVID.xml:S1:439:3	O

Clinical	AMYVID.xml:S1:443:8	O
Trials	AMYVID.xml:S1:452:6	O
Experience	AMYVID.xml:S1:459:10	O

Because	AMYVID.xml:S1:473:7	O
clinical	AMYVID.xml:S1:481:8	O
trials	AMYVID.xml:S1:490:6	O
are	AMYVID.xml:S1:497:3	O
conducted	AMYVID.xml:S1:501:9	O
under	AMYVID.xml:S1:511:5	O
widely	AMYVID.xml:S1:517:6	O
varying	AMYVID.xml:S1:524:7	O
conditions	AMYVID.xml:S1:532:10	O
,	AMYVID.xml:S1:542:1	O
adverse	AMYVID.xml:S1:544:7	O
reaction	AMYVID.xml:S1:552:8	O
rates	AMYVID.xml:S1:561:5	O
observed	AMYVID.xml:S1:567:8	O
in	AMYVID.xml:S1:576:2	O
the	AMYVID.xml:S1:579:3	O
clinical	AMYVID.xml:S1:583:8	O
trials	AMYVID.xml:S1:592:6	O
of	AMYVID.xml:S1:599:2	O
a	AMYVID.xml:S1:602:1	O
drug	AMYVID.xml:S1:604:4	O
cannot	AMYVID.xml:S1:609:6	O
be	AMYVID.xml:S1:616:2	O
directly	AMYVID.xml:S1:619:8	O
compared	AMYVID.xml:S1:628:8	O
to	AMYVID.xml:S1:637:2	O
rates	AMYVID.xml:S1:640:5	O
in	AMYVID.xml:S1:646:2	O
the	AMYVID.xml:S1:649:3	O
clinical	AMYVID.xml:S1:653:8	O
trials	AMYVID.xml:S1:662:6	O
of	AMYVID.xml:S1:669:2	O
another	AMYVID.xml:S1:672:7	O
drug	AMYVID.xml:S1:680:4	O
and	AMYVID.xml:S1:685:3	O
may	AMYVID.xml:S1:689:3	O
not	AMYVID.xml:S1:693:3	O
reflect	AMYVID.xml:S1:697:7	O
the	AMYVID.xml:S1:705:3	O
rates	AMYVID.xml:S1:709:5	O
observed	AMYVID.xml:S1:715:8	O
in	AMYVID.xml:S1:724:2	O
clinical	AMYVID.xml:S1:727:8	O
practice	AMYVID.xml:S1:736:8	O
.	AMYVID.xml:S1:744:1	O

In	AMYVID.xml:S1:750:2	O
clinical	AMYVID.xml:S1:753:8	O
studies	AMYVID.xml:S1:762:7	O
,	AMYVID.xml:S1:769:1	O
555	AMYVID.xml:S1:771:3	O
patients	AMYVID.xml:S1:775:8	O
were	AMYVID.xml:S1:784:4	O
exposed	AMYVID.xml:S1:789:7	O
to	AMYVID.xml:S1:797:2	O
Amyvid	AMYVID.xml:S1:800:6	O
.	AMYVID.xml:S1:806:1	O

Amyvid	AMYVID.xml:S1:808:6	O
caused	AMYVID.xml:S1:815:6	O
no	AMYVID.xml:S1:822:2	O
serious	AMYVID.xml:S1:825:7	O
adverse	AMYVID.xml:S1:833:7	O
reactions	AMYVID.xml:S1:841:9	O
in	AMYVID.xml:S1:851:2	O
the	AMYVID.xml:S1:854:3	O
studies	AMYVID.xml:S1:858:7	O
and	AMYVID.xml:S1:866:3	O
the	AMYVID.xml:S1:870:3	O
reported	AMYVID.xml:S1:874:8	O
adverse	AMYVID.xml:S1:883:7	O
reactions	AMYVID.xml:S1:891:9	O
were	AMYVID.xml:S1:901:4	O
predominantly	AMYVID.xml:S1:906:13	O
mild	AMYVID.xml:S1:920:4	O
to	AMYVID.xml:S1:925:2	O
moderate	AMYVID.xml:S1:928:8	O
in	AMYVID.xml:S1:937:2	O
severity	AMYVID.xml:S1:940:8	O
.	AMYVID.xml:S1:948:1	O

The	AMYVID.xml:S1:950:3	O
adverse	AMYVID.xml:S1:954:7	O
reactions	AMYVID.xml:S1:962:9	O
reported	AMYVID.xml:S1:972:8	O
in	AMYVID.xml:S1:981:2	O
more	AMYVID.xml:S1:984:4	O
than	AMYVID.xml:S1:989:4	O
one	AMYVID.xml:S1:994:3	O
subject	AMYVID.xml:S1:998:7	O
within	AMYVID.xml:S1:1006:6	O
the	AMYVID.xml:S1:1013:3	O
studies	AMYVID.xml:S1:1017:7	O
are	AMYVID.xml:S1:1025:3	O
shown	AMYVID.xml:S1:1029:5	O
in	AMYVID.xml:S1:1035:2	O
Table	AMYVID.xml:S1:1039:5	O
2	AMYVID.xml:S1:1045:1	O
.	AMYVID.xml:S1:1048:1	O

Table	AMYVID.xml:S1:1054:5	O
2	AMYVID.xml:S1:1060:1	O
:	AMYVID.xml:S1:1061:1	O
Adverse	AMYVID.xml:S1:1063:7	O
Reactions	AMYVID.xml:S1:1071:9	O
Reported	AMYVID.xml:S1:1081:8	O
in	AMYVID.xml:S1:1090:2	O
Clinical	AMYVID.xml:S1:1093:8	O
Trials	AMYVID.xml:S1:1102:6	O
(	AMYVID.xml:S1:1109:1	O
N	AMYVID.xml:S1:1110:1	O
555	AMYVID.xml:S1:1112:3	O
patients	AMYVID.xml:S1:1116:8	O
)	AMYVID.xml:S1:1124:1	O

a	AMYVID.xml:S1:1129:1	O
Includes	AMYVID.xml:S1:1131:8	O
the	AMYVID.xml:S1:1140:3	O
terms	AMYVID.xml:S1:1144:5	O
blood	AMYVID.xml:S1:1150:5	B-AdverseReaction
pressure	AMYVID.xml:S1:1156:8	I-AdverseReaction
increased	AMYVID.xml:S1:1165:9	I-AdverseReaction
and	AMYVID.xml:S1:1175:3	O
hypertension	AMYVID.xml:S1:1179:12	B-AdverseReaction
.	AMYVID.xml:S1:1191:1	O

b	AMYVID.xml:S1:1199:1	O
Includes	AMYVID.xml:S1:1201:8	O
the	AMYVID.xml:S1:1210:3	O
terms	AMYVID.xml:S1:1214:5	O
injection	AMYVID.xml:S1:1220:9	B-AdverseReaction
site	AMYVID.xml:S1:1230:4	I-AdverseReaction
haemorrhage	AMYVID.xml:S1:1235:11	I-AdverseReaction
,	AMYVID.xml:S1:1246:1	O
injection	AMYVID.xml:S1:1248:9	B-AdverseReaction
site	AMYVID.xml:S1:1258:4	I-AdverseReaction
irritation	AMYVID.xml:S1:1263:10	I-AdverseReaction
,	AMYVID.xml:S1:1273:1	O
and	AMYVID.xml:S1:1275:3	O
injection	AMYVID.xml:S1:1279:9	B-AdverseReaction
site	AMYVID.xml:S1:1289:4	I-AdverseReaction
pain	AMYVID.xml:S1:1294:4	I-AdverseReaction
.	AMYVID.xml:S1:1298:1	O

c	AMYVID.xml:S1:1306:1	O
Includes	AMYVID.xml:S1:1308:8	O
the	AMYVID.xml:S1:1317:3	O
terms	AMYVID.xml:S1:1321:5	O
feeling	AMYVID.xml:S1:1327:7	B-AdverseReaction
cold	AMYVID.xml:S1:1335:4	I-AdverseReaction
and	AMYVID.xml:S1:1340:3	O
chills	AMYVID.xml:S1:1344:6	B-AdverseReaction
.	AMYVID.xml:S1:1350:1	O

Adverse	AMYVID.xml:S1:1364:7	O

Reactions	AMYVID.xml:S1:1372:9	O
N	AMYVID.xml:S1:1415:1	O
(	AMYVID.xml:S1:1417:1	O
Percent	AMYVID.xml:S1:1418:7	O
of	AMYVID.xml:S1:1426:2	O
patients	AMYVID.xml:S1:1429:8	O
)	AMYVID.xml:S1:1437:1	O

Headache	AMYVID.xml:S1:1468:8	B-AdverseReaction
10	AMYVID.xml:S1:1519:2	O
(	AMYVID.xml:S1:1522:1	O
1.8%	AMYVID.xml:S1:1523:4	O
)	AMYVID.xml:S1:1527:1	O

Musculoskeletal	AMYVID.xml:S1:1574:15	B-AdverseReaction
pain	AMYVID.xml:S1:1590:4	I-AdverseReaction
4	AMYVID.xml:S1:1625:1	O
(	AMYVID.xml:S1:1627:1	O
0.7%	AMYVID.xml:S1:1628:4	O
