6	APTIOM.xml:S1:4:1	O
ADVERSE	APTIOM.xml:S1:6:7	O
REACTIONS	APTIOM.xml:S1:14:9	O

The	APTIOM.xml:S1:27:3	O
following	APTIOM.xml:S1:31:9	O
adverse	APTIOM.xml:S1:41:7	O
reactions	APTIOM.xml:S1:49:9	O
are	APTIOM.xml:S1:59:3	O
described	APTIOM.xml:S1:63:9	O
in	APTIOM.xml:S1:73:2	O
more	APTIOM.xml:S1:76:4	O
detail	APTIOM.xml:S1:81:6	O
in	APTIOM.xml:S1:88:2	O
the	APTIOM.xml:S1:91:3	O
Warnings	APTIOM.xml:S1:96:8	O
and	APTIOM.xml:S1:105:3	O
Precautions	APTIOM.xml:S1:109:11	O
section	APTIOM.xml:S1:122:7	O
of	APTIOM.xml:S1:130:2	O
the	APTIOM.xml:S1:133:3	O
label	APTIOM.xml:S1:137:5	O
:	APTIOM.xml:S1:142:1	O

Suicidal	APTIOM.xml:S1:151:8	B-AdverseReaction
Behavior	APTIOM.xml:S1:160:8	I-AdverseReaction
and	APTIOM.xml:S1:169:3	O
Ideation	APTIOM.xml:S1:173:8	I-AdverseReaction
[	APTIOM.xml:S1:182:1	O
see	APTIOM.xml:S1:183:3	O
Warnings	APTIOM.xml:S1:187:8	O
and	APTIOM.xml:S1:196:3	O
Precautions	APTIOM.xml:S1:200:11	O
(	APTIOM.xml:S1:212:1	O
5.1	APTIOM.xml:S1:215:3	O
)]	APTIOM.xml:S1:220:2	O

Serious	APTIOM.xml:S1:229:7	B-Severity
Dermatologic	APTIOM.xml:S1:237:12	B-AdverseReaction
Reactions	APTIOM.xml:S1:250:9	I-AdverseReaction
[	APTIOM.xml:S1:260:1	O
see	APTIOM.xml:S1:261:3	O
Warnings	APTIOM.xml:S1:265:8	O
and	APTIOM.xml:S1:274:3	O
Precautions	APTIOM.xml:S1:278:11	O
(	APTIOM.xml:S1:290:1	O
5.2	APTIOM.xml:S1:293:3	O
)]	APTIOM.xml:S1:298:2	O

Drug	APTIOM.xml:S1:307:4	B-AdverseReaction
Reaction	APTIOM.xml:S1:312:8	I-AdverseReaction
with	APTIOM.xml:S1:321:4	I-AdverseReaction
Eosinophilia	APTIOM.xml:S1:326:12	I-AdverseReaction
and	APTIOM.xml:S1:339:3	I-AdverseReaction
Systemic	APTIOM.xml:S1:343:8	I-AdverseReaction
Symptoms	APTIOM.xml:S1:352:8	I-AdverseReaction
(	APTIOM.xml:S1:361:1	O
DRESS	APTIOM.xml:S1:362:5	B-AdverseReaction
)	APTIOM.xml:S1:367:1	O
Multiorgan	APTIOM.xml:S1:369:10	B-AdverseReaction
Hypersensitivity	APTIOM.xml:S1:380:16	I-AdverseReaction
[	APTIOM.xml:S1:397:1	O
see	APTIOM.xml:S1:398:3	O
Warnings	APTIOM.xml:S1:402:8	O
and	APTIOM.xml:S1:411:3	O
Precautions	APTIOM.xml:S1:415:11	O
(	APTIOM.xml:S1:427:1	O
5.3	APTIOM.xml:S1:430:3	O
)]	APTIOM.xml:S1:435:2	O

Anaphylactic	APTIOM.xml:S1:444:12	B-AdverseReaction
Reactions	APTIOM.xml:S1:457:9	I-AdverseReaction
and	APTIOM.xml:S1:467:3	O
Angioedema	APTIOM.xml:S1:471:10	B-AdverseReaction
[	APTIOM.xml:S1:482:1	O
see	APTIOM.xml:S1:483:3	O
Warnings	APTIOM.xml:S1:487:8	O
and	APTIOM.xml:S1:496:3	O
Precautions	APTIOM.xml:S1:500:11	O
(	APTIOM.xml:S1:512:1	O
5.4	APTIOM.xml:S1:515:3	O
)]	APTIOM.xml:S1:520:2	O

Hyponatremia	APTIOM.xml:S1:529:12	B-AdverseReaction
[	APTIOM.xml:S1:542:1	O
see	APTIOM.xml:S1:543:3	O
Warnings	APTIOM.xml:S1:547:8	O
and	APTIOM.xml:S1:556:3	O
Precautions	APTIOM.xml:S1:560:11	O
(	APTIOM.xml:S1:572:1	O
5.5	APTIOM.xml:S1:575:3	O
)]	APTIOM.xml:S1:580:2	O

Neurological	APTIOM.xml:S1:589:12	B-AdverseReaction
Adverse	APTIOM.xml:S1:602:7	I-AdverseReaction
Reactions	APTIOM.xml:S1:610:9	I-AdverseReaction
[	APTIOM.xml:S1:620:1	O
see	APTIOM.xml:S1:621:3	O
Warnings	APTIOM.xml:S1:625:8	O
and	APTIOM.xml:S1:634:3	O
Precautions	APTIOM.xml:S1:638:11	O
(	APTIOM.xml:S1:650:1	O
5.6	APTIOM.xml:S1:653:3	O
)]	APTIOM.xml:S1:658:2	O

Drug	APTIOM.xml:S1:667:4	B-AdverseReaction
Induced	APTIOM.xml:S1:672:7	I-AdverseReaction
Liver	APTIOM.xml:S1:680:5	I-AdverseReaction
Injury	APTIOM.xml:S1:686:6	I-AdverseReaction
[	APTIOM.xml:S1:693:1	O
see	APTIOM.xml:S1:694:3	O
