6	ARCAPTA.xml:S1:6:1	O
ADVERSE	ARCAPTA.xml:S1:12:7	O
REACTIONS	ARCAPTA.xml:S1:20:9	O

L	ARCAPTA.xml:S1:37:1	O
ong	ARCAPTA.xml:S1:42:3	O
-	ARCAPTA.xml:S1:49:1	O
acting	ARCAPTA.xml:S1:54:6	O
beta	ARCAPTA.xml:S1:61:4	O
2	ARCAPTA.xml:S1:69:1	O
-	ARCAPTA.xml:S1:74:1	O
adrenergic	ARCAPTA.xml:S1:75:10	O
agonists	ARCAPTA.xml:S1:86:8	O
,	ARCAPTA.xml:S1:98:1	O
such	ARCAPTA.xml:S1:100:4	O
as	ARCAPTA.xml:S1:105:2	O
A	ARCAPTA.xml:S1:108:1	O
RCAPTA	ARCAPTA.xml:S1:113:6	O
NEOHALER	ARCAPTA.xml:S1:120:8	O
,	ARCAPTA.xml:S1:132:1	O
increase	ARCAPTA.xml:S1:137:8	O
the	ARCAPTA.xml:S1:146:3	O
risk	ARCAPTA.xml:S1:150:4	B-Factor
of	ARCAPTA.xml:S1:155:2	O
asthma	ARCAPTA.xml:S1:158:6	B-AdverseReaction
-	ARCAPTA.xml:S1:164:1	O
related	ARCAPTA.xml:S1:165:7	O
death	ARCAPTA.xml:S1:173:5	B-AdverseReaction
.	ARCAPTA.xml:S1:182:1	O

ARCAPTA	ARCAPTA.xml:S1:187:7	O
NEOHALER	ARCAPTA.xml:S1:195:8	O
is	ARCAPTA.xml:S1:207:2	O
not	ARCAPTA.xml:S1:210:3	O
indicated	ARCAPTA.xml:S1:214:9	O
for	ARCAPTA.xml:S1:224:3	O
the	ARCAPTA.xml:S1:228:3	O
treatment	ARCAPTA.xml:S1:232:9	O
of	ARCAPTA.xml:S1:242:2	O
asthma	ARCAPTA.xml:S1:245:6	O
[	ARCAPTA.xml:S1:255:1	O
See	ARCAPTA.xml:S1:256:3	O
B	ARCAPTA.xml:S1:263:1	O
oxed	ARCAPTA.xml:S1:268:4	O
Warning	ARCAPTA.xml:S1:273:7	O
and	ARCAPTA.xml:S1:284:3	O
W	ARCAPTA.xml:S1:291:1	O
arning	ARCAPTA.xml:S1:296:6	O
and	ARCAPTA.xml:S1:303:3	O
Precautions	ARCAPTA.xml:S1:310:11	O
(	ARCAPTA.xml:S1:325:1	O
5.1	ARCAPTA.xml:S1:326:3	O
)	ARCAPTA.xml:S1:329:1	O
]	ARCAPTA.xml:S1:334:1	O
.	ARCAPTA.xml:S1:335:1	O

EXCERPT	ARCAPTA.xml:S1:345:7	O
:	ARCAPTA.xml:S1:352:1	O
Most	ARCAPTA.xml:S1:356:4	O
common	ARCAPTA.xml:S1:361:6	O
adverse	ARCAPTA.xml:S1:368:7	O
reactions	ARCAPTA.xml:S1:376:9	O
(	ARCAPTA.xml:S1:386:1	O
2%	ARCAPTA.xml:S1:388:2	O
and	ARCAPTA.xml:S1:391:3	O
more	ARCAPTA.xml:S1:395:4	O
common	ARCAPTA.xml:S1:400:6	O
than	ARCAPTA.xml:S1:407:4	O
placebo	ARCAPTA.xml:S1:412:7	O
)	ARCAPTA.xml:S1:419:1	O
are	ARCAPTA.xml:S1:421:3	O
cough	ARCAPTA.xml:S1:425:5	B-AdverseReaction
,	ARCAPTA.xml:S1:430:1	O
oropharyngeal	ARCAPTA.xml:S1:432:13	B-AdverseReaction
pain	ARCAPTA.xml:S1:446:4	I-AdverseReaction
,	ARCAPTA.xml:S1:450:1	O
nasopharyngitis	ARCAPTA.xml:S1:452:15	B-AdverseReaction
,	ARCAPTA.xml:S1:467:1	O
headache	ARCAPTA.xml:S1:469:8	B-AdverseReaction
and	ARCAPTA.xml:S1:478:3	O
nausea	ARCAPTA.xml:S1:482:6	B-AdverseReaction
.	ARCAPTA.xml:S1:488:1	O

(	ARCAPTA.xml:S1:490:1	O
6	ARCAPTA.xml:S1:493:1	O
)	ARCAPTA.xml:S1:496:1	O

To	ARCAPTA.xml:S1:505:2	O
report	ARCAPTA.xml:S1:508:6	O
SUSPECTED	ARCAPTA.xml:S1:515:9	O
ADVERSE	ARCAPTA.xml:S1:525:7	O
REACTIONS	ARCAPTA.xml:S1:533:9	O
,	ARCAPTA.xml:S1:542:1	O
contact	ARCAPTA.xml:S1:544:7	O
Novartis	ARCAPTA.xml:S1:552:8	O
Pharmaceuticals	ARCAPTA.xml:S1:561:15	O
Corporation	ARCAPTA.xml:S1:577:11	O
at	ARCAPTA.xml:S1:589:2	O
1	ARCAPTA.xml:S1:592:1	O
-	ARCAPTA.xml:S1:593:1	O
888	ARCAPTA.xml:S1:594:3	O
-	ARCAPTA.xml:S1:597:1	O
669	ARCAPTA.xml:S1:598:3	O
-	ARCAPTA.xml:S1:601:1	O
6682	ARCAPTA.xml:S1:602:4	O
or	ARCAPTA.xml:S1:607:2	O
FDA	ARCAPTA.xml:S1:610:3	O
at	ARCAPTA.xml:S1:614:2	O
1	ARCAPTA.xml:S1:617:1	O
-	ARCAPTA.xml:S1:618:1	O
800	ARCAPTA.xml:S1:619:3	O
-	ARCAPTA.xml:S1:622:1	O
FDA	ARCAPTA.xml:S1:623:3	O
-	ARCAPTA.xml:S1:626:1	O
1088	ARCAPTA.xml:S1:627:4	O
or	ARCAPTA.xml:S1:632:2	O
www	ARCAPTA.xml:S1:635:3	O
.	ARCAPTA.xml:S1:638:1	O
fda	ARCAPTA.xml:S1:639:3	O
.	ARCAPTA.xml:S1:642:1	O
gov	ARCAPTA.xml:S1:643:3	O
medwatch	ARCAPTA.xml:S1:647:8	O
.	ARCAPTA.xml:S1:655:1	O

6.1	ARCAPTA.xml:S1:667:3	O

Clinical	ARCAPTA.xml:S1:675:8	O
Trials	ARCAPTA.xml:S1:684:6	O
Experience	ARCAPTA.xml:S1:691:10	O
in	ARCAPTA.xml:S1:702:2	O
Chronic	ARCAPTA.xml:S1:705:7	B-AdverseReaction
Obstructive	ARCAPTA.xml:S1:713:11	I-AdverseReaction
Pulmonary	ARCAPTA.xml:S1:725:9	I-AdverseReaction
Disease	ARCAPTA.xml:S1:735:7	I-AdverseReaction

Because	ARCAPTA.xml:S1:746:7	O
clinical	ARCAPTA.xml:S1:754:8	O
