6	BELEODAQ.xml:S1:4:1	O
ADVERSE	BELEODAQ.xml:S1:6:7	O
REACTIONS	BELEODAQ.xml:S1:14:9	O

The	BELEODAQ.xml:S1:27:3	O
following	BELEODAQ.xml:S1:31:9	O
serious	BELEODAQ.xml:S1:41:7	O
adverse	BELEODAQ.xml:S1:49:7	O
reactions	BELEODAQ.xml:S1:57:9	O
are	BELEODAQ.xml:S1:67:3	O
described	BELEODAQ.xml:S1:71:9	O
in	BELEODAQ.xml:S1:81:2	O
more	BELEODAQ.xml:S1:84:4	O
detail	BELEODAQ.xml:S1:89:6	O
in	BELEODAQ.xml:S1:96:2	O
other	BELEODAQ.xml:S1:99:5	O
sections	BELEODAQ.xml:S1:105:8	O
of	BELEODAQ.xml:S1:114:2	O
the	BELEODAQ.xml:S1:117:3	O
prescribing	BELEODAQ.xml:S1:121:11	O
information	BELEODAQ.xml:S1:133:11	O
.	BELEODAQ.xml:S1:144:1	O

Hematologic	BELEODAQ.xml:S1:155:11	B-AdverseReaction
Toxicity	BELEODAQ.xml:S1:167:8	I-AdverseReaction
[	BELEODAQ.xml:S1:177:1	O
see	BELEODAQ.xml:S1:178:3	O
Warnings	BELEODAQ.xml:S1:182:8	O
and	BELEODAQ.xml:S1:191:3	O
Precautions	BELEODAQ.xml:S1:195:11	O
(	BELEODAQ.xml:S1:207:1	O
5.1	BELEODAQ.xml:S1:211:3	O
)]	BELEODAQ.xml:S1:216:2	O

Infection	BELEODAQ.xml:S1:227:9	B-AdverseReaction
[	BELEODAQ.xml:S1:237:1	O
see	BELEODAQ.xml:S1:238:3	O
Warnings	BELEODAQ.xml:S1:242:8	O
and	BELEODAQ.xml:S1:251:3	O
Precautions	BELEODAQ.xml:S1:255:11	O
(	BELEODAQ.xml:S1:267:1	O
5.2	BELEODAQ.xml:S1:270:3	O
)]	BELEODAQ.xml:S1:275:2	O

Hepatotoxicity	BELEODAQ.xml:S1:286:14	B-AdverseReaction
[	BELEODAQ.xml:S1:301:1	O
see	BELEODAQ.xml:S1:302:3	O
Warnings	BELEODAQ.xml:S1:306:8	O
and	BELEODAQ.xml:S1:315:3	O
Precautions	BELEODAQ.xml:S1:319:11	O
(	BELEODAQ.xml:S1:331:1	O
5.3	BELEODAQ.xml:S1:334:3	O
)]	BELEODAQ.xml:S1:339:2	O

Tumor	BELEODAQ.xml:S1:350:5	B-AdverseReaction
Lysis	BELEODAQ.xml:S1:356:5	I-AdverseReaction
Syndrome	BELEODAQ.xml:S1:362:8	I-AdverseReaction
[	BELEODAQ.xml:S1:371:1	O
see	BELEODAQ.xml:S1:372:3	O
Warnings	BELEODAQ.xml:S1:376:8	O
and	BELEODAQ.xml:S1:385:3	O
Precautions	BELEODAQ.xml:S1:389:11	O
(	BELEODAQ.xml:S1:401:1	O
5.4	BELEODAQ.xml:S1:404:3	O
)]	BELEODAQ.xml:S1:409:2	O

Gastrointestinal	BELEODAQ.xml:S1:420:16	B-AdverseReaction
Toxicity	BELEODAQ.xml:S1:437:8	I-AdverseReaction
[	BELEODAQ.xml:S1:446:1	O
see	BELEODAQ.xml:S1:447:3	O
Warnings	BELEODAQ.xml:S1:451:8	O
and	BELEODAQ.xml:S1:460:3	O
Precautions	BELEODAQ.xml:S1:464:11	O
