6	BEPREVE.xml:S1:4:1	O
ADVERSE	BEPREVE.xml:S1:6:7	O
REACTIONS	BEPREVE.xml:S1:14:9	O

EXCERPT	BEPREVE.xml:S1:27:7	O
:	BEPREVE.xml:S1:34:1	O
The	BEPREVE.xml:S1:39:3	O
most	BEPREVE.xml:S1:43:4	O
common	BEPREVE.xml:S1:48:6	O
adverse	BEPREVE.xml:S1:55:7	O
reaction	BEPREVE.xml:S1:63:8	O
occurring	BEPREVE.xml:S1:72:9	O
in	BEPREVE.xml:S1:82:2	O
approximately	BEPREVE.xml:S1:85:13	O
25%	BEPREVE.xml:S1:99:3	O
of	BEPREVE.xml:S1:103:2	O
patients	BEPREVE.xml:S1:106:8	O
was	BEPREVE.xml:S1:115:3	O
a	BEPREVE.xml:S1:119:1	O
mild	BEPREVE.xml:S1:121:4	B-Severity
taste	BEPREVE.xml:S1:126:5	B-AdverseReaction
following	BEPREVE.xml:S1:132:9	I-AdverseReaction
instillation	BEPREVE.xml:S1:142:12	I-AdverseReaction
.	BEPREVE.xml:S1:154:1	O

Other	BEPREVE.xml:S1:156:5	O
adverse	BEPREVE.xml:S1:162:7	O
reactions	BEPREVE.xml:S1:170:9	O
which	BEPREVE.xml:S1:180:5	O
occurred	BEPREVE.xml:S1:186:8	O
in	BEPREVE.xml:S1:195:2	O
2	BEPREVE.xml:S1:198:1	O
-	BEPREVE.xml:S1:199:1	O
5%	BEPREVE.xml:S1:200:2	O
of	BEPREVE.xml:S1:203:2	O
subjects	BEPREVE.xml:S1:206:8	O
were	BEPREVE.xml:S1:215:4	O
eye	BEPREVE.xml:S1:220:3	B-AdverseReaction
irritation	BEPREVE.xml:S1:224:10	I-AdverseReaction
,	BEPREVE.xml:S1:234:1	O
headache	BEPREVE.xml:S1:236:8	B-AdverseReaction
,	BEPREVE.xml:S1:244:1	O
and	BEPREVE.xml:S1:246:3	O
nasopharyngitis	BEPREVE.xml:S1:250:15	B-AdverseReaction
.	BEPREVE.xml:S1:265:1	O

(	BEPREVE.xml:S1:267:1	O
6	BEPREVE.xml:S1:270:1	O
)	BEPREVE.xml:S1:273:1	O

To	BEPREVE.xml:S1:281:2	O
report	BEPREVE.xml:S1:284:6	O
SUSPECTED	BEPREVE.xml:S1:291:9	O
ADVERSE	BEPREVE.xml:S1:301:7	O
REACTIONS	BEPREVE.xml:S1:309:9	O
,	BEPREVE.xml:S1:318:1	O
contact	BEPREVE.xml:S1:320:7	O
Bausch	BEPREVE.xml:S1:328:6	O
Lomb	BEPREVE.xml:S1:337:4	O
Incorporated	BEPREVE.xml:S1:342:12	O
.	BEPREVE.xml:S1:354:1	O

at	BEPREVE.xml:S1:356:2	O
1	BEPREVE.xml:S1:359:1	O
-	BEPREVE.xml:S1:360:1	O
800	BEPREVE.xml:S1:361:3	O
-	BEPREVE.xml:S1:364:1	O
323	BEPREVE.xml:S1:365:3	O
-	BEPREVE.xml:S1:368:1	O
0000	BEPREVE.xml:S1:369:4	O
,	BEPREVE.xml:S1:373:1	O
or	BEPREVE.xml:S1:375:2	O
FDA	BEPREVE.xml:S1:378:3	O
at	BEPREVE.xml:S1:382:2	O
1	BEPREVE.xml:S1:385:1	O
-	BEPREVE.xml:S1:386:1	O
800	BEPREVE.xml:S1:387:3	O
-	BEPREVE.xml:S1:390:1	O
FDA	BEPREVE.xml:S1:391:3	O
-	BEPREVE.xml:S1:394:1	O
1088	BEPREVE.xml:S1:395:4	O
or	BEPREVE.xml:S1:400:2	O
www	BEPREVE.xml:S1:404:3	O
.	BEPREVE.xml:S1:407:1	O
fda	BEPREVE.xml:S1:408:3	O
.	BEPREVE.xml:S1:411:1	O
gov	BEPREVE.xml:S1:412:3	O
medwatch	BEPREVE.xml:S1:416:8	O
.	BEPREVE.xml:S1:426:1	O

6.1	BEPREVE.xml:S1:439:3	O

Clinical	BEPREVE.xml:S1:443:8	O
Trials	BEPREVE.xml:S1:452:6	O
Experience	BEPREVE.xml:S1:459:10	O

Because	BEPREVE.xml:S1:473:7	O
clinical	BEPREVE.xml:S1:481:8	O
trials	BEPREVE.xml:S1:490:6	O
are	BEPREVE.xml:S1:497:3	O
conducted	BEPREVE.xml:S1:501:9	O
under	BEPREVE.xml:S1:511:5	O
widely	BEPREVE.xml:S1:517:6	O
varying	BEPREVE.xml:S1:524:7	O
conditions	BEPREVE.xml:S1:532:10	O
,	BEPREVE.xml:S1:542:1	O
adverse	BEPREVE.xml:S1:544:7	O
reaction	BEPREVE.xml:S1:552:8	O
rates	BEPREVE.xml:S1:561:5	O
observed	BEPREVE.xml:S1:567:8	O
in	BEPREVE.xml:S1:576:2	O
the	BEPREVE.xml:S1:579:3	O
