6	BESIVANCE.xml:S1:4:1	O
ADVERSE	BESIVANCE.xml:S1:6:7	O
REACTIONS	BESIVANCE.xml:S1:14:9	O

Because	BESIVANCE.xml:S1:27:7	O
clinical	BESIVANCE.xml:S1:35:8	O
trials	BESIVANCE.xml:S1:44:6	O
are	BESIVANCE.xml:S1:51:3	O
conducted	BESIVANCE.xml:S1:55:9	O
under	BESIVANCE.xml:S1:65:5	O
widely	BESIVANCE.xml:S1:71:6	O
varying	BESIVANCE.xml:S1:78:7	O
conditions	BESIVANCE.xml:S1:86:10	O
,	BESIVANCE.xml:S1:96:1	O
adverse	BESIVANCE.xml:S1:98:7	O
reaction	BESIVANCE.xml:S1:106:8	O
rates	BESIVANCE.xml:S1:115:5	O
observed	BESIVANCE.xml:S1:121:8	O
in	BESIVANCE.xml:S1:130:2	O
one	BESIVANCE.xml:S1:133:3	O
clinical	BESIVANCE.xml:S1:137:8	O
trial	BESIVANCE.xml:S1:146:5	O
of	BESIVANCE.xml:S1:152:2	O
a	BESIVANCE.xml:S1:155:1	O
drug	BESIVANCE.xml:S1:157:4	O
cannot	BESIVANCE.xml:S1:162:6	O
be	BESIVANCE.xml:S1:169:2	O
directly	BESIVANCE.xml:S1:172:8	O
compared	BESIVANCE.xml:S1:181:8	O
with	BESIVANCE.xml:S1:190:4	O
the	BESIVANCE.xml:S1:195:3	O
rates	BESIVANCE.xml:S1:199:5	O
in	BESIVANCE.xml:S1:205:2	O
the	BESIVANCE.xml:S1:208:3	O
clinical	BESIVANCE.xml:S1:212:8	O
trials	BESIVANCE.xml:S1:221:6	O
of	BESIVANCE.xml:S1:228:2	O
the	BESIVANCE.xml:S1:231:3	O
same	BESIVANCE.xml:S1:235:4	O
or	BESIVANCE.xml:S1:240:2	O
another	BESIVANCE.xml:S1:243:7	O
drug	BESIVANCE.xml:S1:251:4	O
and	BESIVANCE.xml:S1:256:3	O
may	BESIVANCE.xml:S1:260:3	O
not	BESIVANCE.xml:S1:264:3	O
reflect	BESIVANCE.xml:S1:268:7	O
the	BESIVANCE.xml:S1:276:3	O
rates	BESIVANCE.xml:S1:280:5	O
observed	BESIVANCE.xml:S1:286:8	O
in	BESIVANCE.xml:S1:295:2	O
practice	BESIVANCE.xml:S1:298:8	O
.	BESIVANCE.xml:S1:306:1	O

The	BESIVANCE.xml:S1:312:3	O
data	BESIVANCE.xml:S1:316:4	O
described	BESIVANCE.xml:S1:321:9	O
below	BESIVANCE.xml:S1:331:5	O
reflect	BESIVANCE.xml:S1:337:7	O
exposure	BESIVANCE.xml:S1:345:8	O
to	BESIVANCE.xml:S1:354:2	O
Besivance	BESIVANCE.xml:S1:357:9	O
in	BESIVANCE.xml:S1:367:2	O
approximately	BESIVANCE.xml:S1:370:13	O
1	BESIVANCE.xml:S1:384:1	O
,	BESIVANCE.xml:S1:385:1	O
000	BESIVANCE.xml:S1:386:3	O
patients	BESIVANCE.xml:S1:390:8	O
between	BESIVANCE.xml:S1:399:7	O
1	BESIVANCE.xml:S1:407:1	O
and	BESIVANCE.xml:S1:409:3	O
98	BESIVANCE.xml:S1:413:2	O
years	BESIVANCE.xml:S1:416:5	O
old	BESIVANCE.xml:S1:422:3	O
with	BESIVANCE.xml:S1:426:4	O
clinical	BESIVANCE.xml:S1:431:8	O
signs	BESIVANCE.xml:S1:440:5	O
and	BESIVANCE.xml:S1:446:3	O
symptoms	BESIVANCE.xml:S1:450:8	O
of	BESIVANCE.xml:S1:459:2	O
bacterial	BESIVANCE.xml:S1:462:9	O
conjunctivitis	BESIVANCE.xml:S1:472:14	O
.	BESIVANCE.xml:S1:486:1	O

The	BESIVANCE.xml:S1:492:3	O
most	BESIVANCE.xml:S1:496:4	O
frequently	BESIVANCE.xml:S1:501:10	O
reported	BESIVANCE.xml:S1:512:8	O
ocular	BESIVANCE.xml:S1:521:6	B-AdverseReaction
adverse	BESIVANCE.xml:S1:528:7	I-AdverseReaction
reaction	BESIVANCE.xml:S1:536:8	I-AdverseReaction
was	BESIVANCE.xml:S1:545:3	O
conjunctival	BESIVANCE.xml:S1:549:12	B-AdverseReaction
redness	BESIVANCE.xml:S1:562:7	I-AdverseReaction
,	BESIVANCE.xml:S1:569:1	O
reported	BESIVANCE.xml:S1:571:8	O
in	BESIVANCE.xml:S1:580:2	O
approximately	BESIVANCE.xml:S1:583:13	O
2%	BESIVANCE.xml:S1:597:2	O
of	BESIVANCE.xml:S1:600:2	O
patients	BESIVANCE.xml:S1:603:8	O
.	BESIVANCE.xml:S1:611:1	O

Other	BESIVANCE.xml:S1:617:5	O
adverse	BESIVANCE.xml:S1:623:7	O
reactions	BESIVANCE.xml:S1:631:9	O
reported	BESIVANCE.xml:S1:641:8	O
in	BESIVANCE.xml:S1:650:2	O
patients	BESIVANCE.xml:S1:653:8	O
receiving	BESIVANCE.xml:S1:662:9	O
Besivance	BESIVANCE.xml:S1:672:9	O
occurring	BESIVANCE.xml:S1:682:9	O
in	BESIVANCE.xml:S1:692:2	O
approximately	BESIVANCE.xml:S1:695:13	O
1	BESIVANCE.xml:S1:709:1	O
-	BESIVANCE.xml:S1:710:1	O
2%	BESIVANCE.xml:S1:711:2	O
of	BESIVANCE.xml:S1:714:2	O
patients	BESIVANCE.xml:S1:717:8	O
included	BESIVANCE.xml:S1:726:8	O
:	BESIVANCE.xml:S1:734:1	O
blurred	BESIVANCE.xml:S1:736:7	B-AdverseReaction
vision	BESIVANCE.xml:S1:744:6	I-AdverseReaction
,	BESIVANCE.xml:S1:750:1	O
eye	BESIVANCE.xml:S1:752:3	B-AdverseReaction
pain	BESIVANCE.xml:S1:756:4	I-AdverseReaction
,	BESIVANCE.xml:S1:760:1	O
eye	BESIVANCE.xml:S1:762:3	B-AdverseReaction
irritation	BESIVANCE.xml:S1:766:10	I-AdverseReaction
,	BESIVANCE.xml:S1:776:1	O
eye	BESIVANCE.xml:S1:778:3	B-AdverseReaction
