6	BLINCYTO.xml:S1:4:1	O
.	BLINCYTO.xml:S1:5:1	O

ADVERSE	BLINCYTO.xml:S1:7:7	O
REACTIONS	BLINCYTO.xml:S1:15:9	O

The	BLINCYTO.xml:S1:28:3	O
following	BLINCYTO.xml:S1:32:9	O
adverse	BLINCYTO.xml:S1:42:7	O
reactions	BLINCYTO.xml:S1:50:9	O
are	BLINCYTO.xml:S1:60:3	O
discussed	BLINCYTO.xml:S1:64:9	O
in	BLINCYTO.xml:S1:74:2	O
greater	BLINCYTO.xml:S1:77:7	O
detail	BLINCYTO.xml:S1:85:6	O
in	BLINCYTO.xml:S1:92:2	O
other	BLINCYTO.xml:S1:95:5	O
sections	BLINCYTO.xml:S1:101:8	O
of	BLINCYTO.xml:S1:110:2	O
the	BLINCYTO.xml:S1:113:3	O
label	BLINCYTO.xml:S1:117:5	O
:	BLINCYTO.xml:S1:122:1	O

Cytokine	BLINCYTO.xml:S1:135:8	B-AdverseReaction
Release	BLINCYTO.xml:S1:144:7	I-AdverseReaction
Syndrome	BLINCYTO.xml:S1:152:8	I-AdverseReaction
[	BLINCYTO.xml:S1:161:1	O
see	BLINCYTO.xml:S1:162:3	O
Warnings	BLINCYTO.xml:S1:166:8	O
and	BLINCYTO.xml:S1:175:3	O
Precautions	BLINCYTO.xml:S1:179:11	O
(	BLINCYTO.xml:S1:191:1	O
5.1	BLINCYTO.xml:S1:194:3	O
)]	BLINCYTO.xml:S1:199:2	O

Neurological	BLINCYTO.xml:S1:208:12	B-AdverseReaction
Toxicities	BLINCYTO.xml:S1:221:10	I-AdverseReaction
[	BLINCYTO.xml:S1:232:1	O
see	BLINCYTO.xml:S1:233:3	O
Warnings	BLINCYTO.xml:S1:237:8	O
and	BLINCYTO.xml:S1:246:3	O
Precautions	BLINCYTO.xml:S1:250:11	O
(	BLINCYTO.xml:S1:262:1	O
5.2	BLINCYTO.xml:S1:265:3	O
)]	BLINCYTO.xml:S1:270:2	O

Infections	BLINCYTO.xml:S1:279:10	B-AdverseReaction
[	BLINCYTO.xml:S1:290:1	O
see	BLINCYTO.xml:S1:291:3	O
Warnings	BLINCYTO.xml:S1:295:8	O
and	BLINCYTO.xml:S1:304:3	O
Precautions	BLINCYTO.xml:S1:308:11	O
(	BLINCYTO.xml:S1:320:1	O
5.3	BLINCYTO.xml:S1:323:3	O
)]	BLINCYTO.xml:S1:328:2	O

Tumor	BLINCYTO.xml:S1:337:5	B-AdverseReaction
Lysis	BLINCYTO.xml:S1:343:5	I-AdverseReaction
Syndrome	BLINCYTO.xml:S1:349:8	I-AdverseReaction
[	BLINCYTO.xml:S1:358:1	O
see	BLINCYTO.xml:S1:359:3	O
Warnings	BLINCYTO.xml:S1:363:8	O
and	BLINCYTO.xml:S1:372:3	O
Precautions	BLINCYTO.xml:S1:376:11	O
(	BLINCYTO.xml:S1:388:1	O
5.4	BLINCYTO.xml:S1:391:3	O
)]	BLINCYTO.xml:S1:396:2	O

Neutropenia	BLINCYTO.xml:S1:405:11	B-AdverseReaction
and	BLINCYTO.xml:S1:417:3	O
Febrile	BLINCYTO.xml:S1:421:7	B-AdverseReaction
Neutropenia	BLINCYTO.xml:S1:429:11	I-AdverseReaction
[	BLINCYTO.xml:S1:441:1	O
see	BLINCYTO.xml:S1:442:3	O
Warnings	BLINCYTO.xml:S1:446:8	O
and	BLINCYTO.xml:S1:455:3	O
Precautions	BLINCYTO.xml:S1:459:11	O
(	BLINCYTO.xml:S1:471:1	O
5.5	BLINCYTO.xml:S1:474:3	O
)]	BLINCYTO.xml:S1:479:2	O

Effects	BLINCYTO.xml:S1:488:7	B-AdverseReaction
on	BLINCYTO.xml:S1:496:2	I-AdverseReaction
Ability	BLINCYTO.xml:S1:499:7	I-AdverseReaction
to	BLINCYTO.xml:S1:507:2	I-AdverseReaction
Drive	BLINCYTO.xml:S1:510:5	I-AdverseReaction
and	BLINCYTO.xml:S1:516:3	O
Use	BLINCYTO.xml:S1:520:3	I-AdverseReaction
Machines	BLINCYTO.xml:S1:524:8	I-AdverseReaction
[	BLINCYTO.xml:S1:533:1	O
see	BLINCYTO.xml:S1:534:3	O
Warnings	BLINCYTO.xml:S1:538:8	O
and	BLINCYTO.xml:S1:547:3	O
Precautions	BLINCYTO.xml:S1:551:11	O
(	BLINCYTO.xml:S1:563:1	O
5.6	BLINCYTO.xml:S1:566:3	O
)]	BLINCYTO.xml:S1:571:2	O

Elevated	BLINCYTO.xml:S1:580:8	B-AdverseReaction
Liver	BLINCYTO.xml:S1:589:5	I-AdverseReaction
Enzymes	BLINCYTO.xml:S1:595:7	I-AdverseReaction
[	BLINCYTO.xml:S1:603:1	O
see	BLINCYTO.xml:S1:604:3	O
Warnings	BLINCYTO.xml:S1:608:8	O
and	BLINCYTO.xml:S1:617:3	O
Precautions	BLINCYTO.xml:S1:621:11	O
(	BLINCYTO.xml:S1:633:1	O
