6	BREO.xml:S1:4:1	O
ADVERSE	BREO.xml:S1:6:7	O
REACTIONS	BREO.xml:S1:14:9	O

LABA	BREO.xml:S1:29:4	O
,	BREO.xml:S1:33:1	O
such	BREO.xml:S1:35:4	O
as	BREO.xml:S1:40:2	O
vilanterol	BREO.xml:S1:43:10	O
,	BREO.xml:S1:53:1	O
one	BREO.xml:S1:55:3	O
of	BREO.xml:S1:59:2	O
the	BREO.xml:S1:62:3	O
active	BREO.xml:S1:66:6	O
ingredients	BREO.xml:S1:73:11	O
in	BREO.xml:S1:85:2	O
BREO	BREO.xml:S1:88:4	O
ELLIPTA	BREO.xml:S1:93:7	O
,	BREO.xml:S1:100:1	O
increase	BREO.xml:S1:102:8	O
the	BREO.xml:S1:111:3	O
risk	BREO.xml:S1:115:4	B-Factor
of	BREO.xml:S1:120:2	O
asthma	BREO.xml:S1:123:6	O
-	BREO.xml:S1:129:1	O
related	BREO.xml:S1:130:7	O
death	BREO.xml:S1:138:5	B-AdverseReaction
.	BREO.xml:S1:143:1	O

Currently	BREO.xml:S1:145:9	O
available	BREO.xml:S1:155:9	O
data	BREO.xml:S1:165:4	O
are	BREO.xml:S1:170:3	O
inadequate	BREO.xml:S1:174:10	O
to	BREO.xml:S1:185:2	O
determine	BREO.xml:S1:188:9	O
whether	BREO.xml:S1:198:7	O
concurrent	BREO.xml:S1:206:10	O
use	BREO.xml:S1:217:3	O
of	BREO.xml:S1:221:2	O
inhaled	BREO.xml:S1:224:7	O
corticosteroids	BREO.xml:S1:232:15	O
or	BREO.xml:S1:248:2	O
other	BREO.xml:S1:251:5	O
long	BREO.xml:S1:257:4	O
-	BREO.xml:S1:261:1	O
term	BREO.xml:S1:262:4	O
asthma	BREO.xml:S1:267:6	O
control	BREO.xml:S1:274:7	O
drugs	BREO.xml:S1:282:5	O
mitigates	BREO.xml:S1:288:9	O
the	BREO.xml:S1:298:3	O
increased	BREO.xml:S1:302:9	O
risk	BREO.xml:S1:312:4	O
of	BREO.xml:S1:317:2	O
asthma	BREO.xml:S1:320:6	O
-	BREO.xml:S1:326:1	O
related	BREO.xml:S1:327:7	O
death	BREO.xml:S1:335:5	B-AdverseReaction
from	BREO.xml:S1:341:4	O
LABA	BREO.xml:S1:346:4	B-DrugClass
.	BREO.xml:S1:350:1	O

Available	BREO.xml:S1:352:9	O
data	BREO.xml:S1:362:4	O
from	BREO.xml:S1:367:4	O
controlled	BREO.xml:S1:372:10	O
clinical	BREO.xml:S1:383:8	O
trials	BREO.xml:S1:392:6	O
suggest	BREO.xml:S1:399:7	O
that	BREO.xml:S1:407:4	O
LABA	BREO.xml:S1:412:4	O
increase	BREO.xml:S1:417:8	O
the	BREO.xml:S1:426:3	O
risk	BREO.xml:S1:430:4	O
of	BREO.xml:S1:435:2	O
asthma	BREO.xml:S1:438:6	O
-	BREO.xml:S1:444:1	O
related	BREO.xml:S1:445:7	O
hospitalization	BREO.xml:S1:453:15	O
in	BREO.xml:S1:469:2	O
pediatric	BREO.xml:S1:472:9	O
and	BREO.xml:S1:482:3	O
