EXCERPT	CARBAGLU.xml:S1:4:7	O
:	CARBAGLU.xml:S1:11:1	O
The	CARBAGLU.xml:S1:15:3	O
most	CARBAGLU.xml:S1:19:4	O
common	CARBAGLU.xml:S1:24:6	O
adverse	CARBAGLU.xml:S1:31:7	O
reactions	CARBAGLU.xml:S1:39:9	O
in	CARBAGLU.xml:S1:49:2	O
13%	CARBAGLU.xml:S1:54:3	O
of	CARBAGLU.xml:S1:58:2	O
patients	CARBAGLU.xml:S1:61:8	O
are	CARBAGLU.xml:S1:70:3	O
:	CARBAGLU.xml:S1:73:1	O
Infections	CARBAGLU.xml:S1:75:10	B-AdverseReaction
,	CARBAGLU.xml:S1:85:1	O
vomiting	CARBAGLU.xml:S1:87:8	B-AdverseReaction
,	CARBAGLU.xml:S1:95:1	O
abdominal	CARBAGLU.xml:S1:97:9	B-AdverseReaction
pain	CARBAGLU.xml:S1:107:4	I-AdverseReaction
,	CARBAGLU.xml:S1:111:1	O
pyrexia	CARBAGLU.xml:S1:113:7	B-AdverseReaction
,	CARBAGLU.xml:S1:120:1	O
tonsilitis	CARBAGLU.xml:S1:122:10	B-AdverseReaction
,	CARBAGLU.xml:S1:132:1	O
anemia	CARBAGLU.xml:S1:134:6	B-AdverseReaction
,	CARBAGLU.xml:S1:140:1	O
ear	CARBAGLU.xml:S1:142:3	B-AdverseReaction
infection	CARBAGLU.xml:S1:146:9	I-AdverseReaction
,	CARBAGLU.xml:S1:155:1	O
diarrhea	CARBAGLU.xml:S1:157:8	B-AdverseReaction
,	CARBAGLU.xml:S1:165:1	O
nasopharyngitis	CARBAGLU.xml:S1:167:15	B-AdverseReaction
,	CARBAGLU.xml:S1:182:1	O
and	CARBAGLU.xml:S1:184:3	O
headache	CARBAGLU.xml:S1:188:8	B-AdverseReaction
.	CARBAGLU.xml:S1:196:1	O

(	CARBAGLU.xml:S1:198:1	O
6.1	CARBAGLU.xml:S1:201:3	O
)	CARBAGLU.xml:S1:206:1	O

To	CARBAGLU.xml:S1:214:2	O
report	CARBAGLU.xml:S1:217:6	O
SUSPECTED	CARBAGLU.xml:S1:224:9	O
ADVERSE	CARBAGLU.xml:S1:234:7	O
REACTIONS	CARBAGLU.xml:S1:242:9	O
,	CARBAGLU.xml:S1:251:1	O
contact	CARBAGLU.xml:S1:253:7	O
Accredo	CARBAGLU.xml:S1:261:7	O
Health	CARBAGLU.xml:S1:269:6	O
Group	CARBAGLU.xml:S1:276:5	O
Inc	CARBAGLU.xml:S1:282:3	O
.	CARBAGLU.xml:S1:285:1	O

at	CARBAGLU.xml:S1:287:2	O
1	CARBAGLU.xml:S1:290:1	O
-	CARBAGLU.xml:S1:291:1	O
888	CARBAGLU.xml:S1:292:3	O
-	CARBAGLU.xml:S1:295:1	O
454	CARBAGLU.xml:S1:296:3	O
-	CARBAGLU.xml:S1:299:1	O
8860	CARBAGLU.xml:S1:300:4	O
,	CARBAGLU.xml:S1:304:1	O
or	CARBAGLU.xml:S1:305:2	O
FDA	CARBAGLU.xml:S1:308:3	O
at	CARBAGLU.xml:S1:312:2	O
1	CARBAGLU.xml:S1:315:1	O
-	CARBAGLU.xml:S1:316:1	O
800	CARBAGLU.xml:S1:317:3	O
-	CARBAGLU.xml:S1:320:1	O
FDA	CARBAGLU.xml:S1:321:3	O
-	CARBAGLU.xml:S1:324:1	O
1088	CARBAGLU.xml:S1:325:4	O
or	CARBAGLU.xml:S1:330:2	O
