6	CERDELGA.xml:S1:4:1	O
ADVERSE	CERDELGA.xml:S1:6:7	O
REACTIONS	CERDELGA.xml:S1:14:9	O

EXCERPT	CERDELGA.xml:S1:27:7	O
:	CERDELGA.xml:S1:34:1	O
The	CERDELGA.xml:S1:38:3	O
most	CERDELGA.xml:S1:42:4	O
common	CERDELGA.xml:S1:47:6	O
adverse	CERDELGA.xml:S1:54:7	O
reactions	CERDELGA.xml:S1:62:9	O
(	CERDELGA.xml:S1:72:1	O
10%	CERDELGA.xml:S1:75:3	O
)	CERDELGA.xml:S1:78:1	O
are	CERDELGA.xml:S1:80:3	O
:	CERDELGA.xml:S1:83:1	O
fatigue	CERDELGA.xml:S1:85:7	B-AdverseReaction
,	CERDELGA.xml:S1:92:1	O
headache	CERDELGA.xml:S1:94:8	B-AdverseReaction
,	CERDELGA.xml:S1:102:1	O
nausea	CERDELGA.xml:S1:104:6	B-AdverseReaction
,	CERDELGA.xml:S1:110:1	O
diarrhea	CERDELGA.xml:S1:112:8	B-AdverseReaction
,	CERDELGA.xml:S1:120:1	O
back	CERDELGA.xml:S1:122:4	B-AdverseReaction
pain	CERDELGA.xml:S1:127:4	I-AdverseReaction
,	CERDELGA.xml:S1:131:1	O
pain	CERDELGA.xml:S1:133:4	B-AdverseReaction
in	CERDELGA.xml:S1:138:2	I-AdverseReaction
extremities	CERDELGA.xml:S1:141:11	I-AdverseReaction
,	CERDELGA.xml:S1:152:1	O
and	CERDELGA.xml:S1:154:3	O
upper	CERDELGA.xml:S1:158:5	B-AdverseReaction
abdominal	CERDELGA.xml:S1:164:9	I-AdverseReaction
pain	CERDELGA.xml:S1:174:4	I-AdverseReaction
(	CERDELGA.xml:S1:179:1	O
6.1	CERDELGA.xml:S1:182:3	O
)	CERDELGA.xml:S1:187:1	O
To	CERDELGA.xml:S1:190:2	O
report	CERDELGA.xml:S1:193:6	O
SUSPECTED	CERDELGA.xml:S1:200:9	O
ADVERSE	CERDELGA.xml:S1:210:7	O
REACTIONS	CERDELGA.xml:S1:218:9	O
,	CERDELGA.xml:S1:227:1	O
contact	CERDELGA.xml:S1:229:7	O
Genzyme	CERDELGA.xml:S1:237:7	O
Corporation	CERDELGA.xml:S1:245:11	O
at	CERDELGA.xml:S1:257:2	O
1	CERDELGA.xml:S1:260:1	O
-	CERDELGA.xml:S1:261:1	O
800	CERDELGA.xml:S1:262:3	O
-	CERDELGA.xml:S1:265:1	O
745	CERDELGA.xml:S1:266:3	O
-	CERDELGA.xml:S1:269:1	O
4447	CERDELGA.xml:S1:270:4	O
or	CERDELGA.xml:S1:275:2	O
FDA	CERDELGA.xml:S1:278:3	O
at	CERDELGA.xml:S1:282:2	O
1	CERDELGA.xml:S1:285:1	O
-	CERDELGA.xml:S1:286:1	O
800	CERDELGA.xml:S1:287:3	O
-	CERDELGA.xml:S1:290:1	O
FDA	CERDELGA.xml:S1:291:3	O
-	CERDELGA.xml:S1:294:1	O
1088	CERDELGA.xml:S1:295:4	O
or	CERDELGA.xml:S1:300:2	O
www	CERDELGA.xml:S1:303:3	O
.	CERDELGA.xml:S1:306:1	O
fda	CERDELGA.xml:S1:307:3	O
.	CERDELGA.xml:S1:310:1	O
gov	CERDELGA.xml:S1:311:3	O
medwatch	CERDELGA.xml:S1:315:8	O

6.1	CERDELGA.xml:S1:334:3	O

Clinical	CERDELGA.xml:S1:338:8	O
Trials	CERDELGA.xml:S1:347:6	O
Experience	CERDELGA.xml:S1:354:10	O

Because	CERDELGA.xml:S1:368:7	O
clinical	CERDELGA.xml:S1:376:8	O
trials	CERDELGA.xml:S1:385:6	O
are	CERDELGA.xml:S1:392:3	O
conducted	CERDELGA.xml:S1:396:9	O
under	CERDELGA.xml:S1:406:5	O
widely	CERDELGA.xml:S1:412:6	O
varying	CERDELGA.xml:S1:419:7	O
conditions	CERDELGA.xml:S1:427:10	O
,	CERDELGA.xml:S1:437:1	O
adverse	CERDELGA.xml:S1:439:7	O
reaction	CERDELGA.xml:S1:447:8	O
rates	CERDELGA.xml:S1:456:5	O
observed	CERDELGA.xml:S1:462:8	O
in	CERDELGA.xml:S1:471:2	O
the	CERDELGA.xml:S1:474:3	O
clinical	CERDELGA.xml:S1:478:8	O
trials	CERDELGA.xml:S1:487:6	O
of	CERDELGA.xml:S1:494:2	O
a	CERDELGA.xml:S1:497:1	O
drug	CERDELGA.xml:S1:499:4	O
cannot	CERDELGA.xml:S1:504:6	O
be	CERDELGA.xml:S1:511:2	O
directly	CERDELGA.xml:S1:514:8	O
compared	CERDELGA.xml:S1:523:8	O
to	CERDELGA.xml:S1:532:2	O
rates	CERDELGA.xml:S1:535:5	O
in	CERDELGA.xml:S1:541:2	O
the	CERDELGA.xml:S1:544:3	O
clinical	CERDELGA.xml:S1:548:8	O
trials	CERDELGA.xml:S1:557:6	O
of	CERDELGA.xml:S1:564:2	O
another	CERDELGA.xml:S1:567:7	O
drug	CERDELGA.xml:S1:575:4	O
and	CERDELGA.xml:S1:580:3	O
may	CERDELGA.xml:S1:584:3	O
not	CERDELGA.xml:S1:588:3	O
reflect	CERDELGA.xml:S1:592:7	O
the	CERDELGA.xml:S1:600:3	O
rates	CERDELGA.xml:S1:604:5	O
observed	CERDELGA.xml:S1:610:8	O
in	CERDELGA.xml:S1:619:2	O
practice	CERDELGA.xml:S1:622:8	O
.	CERDELGA.xml:S1:630:1	O

The	CERDELGA.xml:S1:636:3	O
most	CERDELGA.xml:S1:640:4	O
common	CERDELGA.xml:S1:645:6	O
