6	CHOLINE.xml:S1:6:1	O
ADVERSE	CHOLINE.xml:S1:19:7	O
REACTIONS	CHOLINE.xml:S1:27:9	O

Exclusive	CHOLINE.xml:S1:42:9	O
of	CHOLINE.xml:S1:52:2	O
an	CHOLINE.xml:S1:55:2	O
uncommon	CHOLINE.xml:S1:58:8	O
,	CHOLINE.xml:S1:66:1	O
mild	CHOLINE.xml:S1:68:4	B-Severity
injection	CHOLINE.xml:S1:73:9	B-AdverseReaction
site	CHOLINE.xml:S1:83:4	I-AdverseReaction
reaction	CHOLINE.xml:S1:88:8	I-AdverseReaction
,	CHOLINE.xml:S1:96:1	O
no	CHOLINE.xml:S1:98:2	O
adverse	CHOLINE.xml:S1:101:7	O
reactions	CHOLINE.xml:S1:109:9	O
to	CHOLINE.xml:S1:119:2	O
11	CHOLINE.xml:S1:123:2	O
C	CHOLINE.xml:S1:127:1	O
-	CHOLINE.xml:S1:128:1	O
choline	CHOLINE.xml:S1:129:7	O
have	CHOLINE.xml:S1:137:4	O
been	CHOLINE.xml:S1:142:4	O
reported	CHOLINE.xml:S1:147:8	O
.	CHOLINE.xml:S1:155:1	O

EXCERPT	CHOLINE.xml:S1:163:7	O
:	CHOLINE.xml:S1:170:1	O
Exclusive	CHOLINE.xml:S1:174:9	O
of	CHOLINE.xml:S1:184:2	O
an	CHOLINE.xml:S1:187:2	O
uncommon	CHOLINE.xml:S1:190:8	O
,	CHOLINE.xml:S1:198:1	O
mild	CHOLINE.xml:S1:200:4	B-Severity
injection	CHOLINE.xml:S1:205:9	B-AdverseReaction
site	CHOLINE.xml:S1:215:4	I-AdverseReaction
reaction	CHOLINE.xml:S1:220:8	I-AdverseReaction
,	CHOLINE.xml:S1:228:1	O
no	CHOLINE.xml:S1:230:2	O
other	CHOLINE.xml:S1:233:5	O
adverse	CHOLINE.xml:S1:239:7	O
reactions	CHOLINE.xml:S1:247:9	O
have	CHOLINE.xml:S1:257:4	O
been	CHOLINE.xml:S1:262:4	O
reported	CHOLINE.xml:S1:267:8	O
(	CHOLINE.xml:S1:276:1	O
6	CHOLINE.xml:S1:279:1	O
)	CHOLINE.xml:S1:282:1	O
.	CHOLINE.xml:S1:283:1	O

To	CHOLINE.xml:S1:291:2	O
report	CHOLINE.xml:S1:294:6	O
SUSPECTED	CHOLINE.xml:S1:301:9	O
ADVERSE	CHOLINE.xml:S1:311:7	O
REACTIONS	CHOLINE.xml:S1:319:9	O
,	CHOLINE.xml:S1:328:1	O
contact	CHOLINE.xml:S1:330:7	O
Division	CHOLINE.xml:S1:338:8	O
of	CHOLINE.xml:S1:347:2	O
Nuclear	CHOLINE.xml:S1:350:7	O
Medicine	CHOLINE.xml:S1:358:8	O
,	CHOLINE.xml:S1:366:1	O
Department	CHOLINE.xml:S1:368:10	O
of	CHOLINE.xml:S1:379:2	O
Radiology	CHOLINE.xml:S1:382:9	O
,	CHOLINE.xml:S1:391:1	O
Mayo	CHOLINE.xml:S1:393:4	O
Clinic	CHOLINE.xml:S1:398:6	O
at	CHOLINE.xml:S1:405:2	O
507	CHOLINE.xml:S1:408:3	O
-	CHOLINE.xml:S1:411:1	O
284	CHOLINE.xml:S1:412:3	O
-	CHOLINE.xml:S1:415:1	O
2511	CHOLINE.xml:S1:416:4	O
or	CHOLINE.xml:S1:421:2	O
FDA	CHOLINE.xml:S1:424:3	O
at	CHOLINE.xml:S1:428:2	O
1	CHOLINE.xml:S1:431:1	O
-	CHOLINE.xml:S1:432:1	O
800	CHOLINE.xml:S1:433:3	O
-	CHOLINE.xml:S1:436:1	O
FDA	CHOLINE.xml:S1:437:3	O
-	CHOLINE.xml:S1:440:1	O
1088	CHOLINE.xml:S1:441:4	O
or	CHOLINE.xml:S1:446:2	O
www	CHOLINE.xml:S1:449:3	O
.	CHOLINE.xml:S1:452:1	O
fda	CHOLINE.xml:S1:453:3	O
