6	CIMZIA.xml:S1:4:1	O
ADVERSE	CIMZIA.xml:S1:6:7	O
REACTIONS	CIMZIA.xml:S1:14:9	O

EXCERPT	CIMZIA.xml:S1:27:7	O
:	CIMZIA.xml:S1:34:1	O
The	CIMZIA.xml:S1:38:3	O
most	CIMZIA.xml:S1:42:4	O
common	CIMZIA.xml:S1:47:6	O
adverse	CIMZIA.xml:S1:54:7	O
reactions	CIMZIA.xml:S1:62:9	O
(	CIMZIA.xml:S1:72:1	O
incidence	CIMZIA.xml:S1:73:9	O
7%	CIMZIA.xml:S1:85:2	O
and	CIMZIA.xml:S1:88:3	O
higher	CIMZIA.xml:S1:92:6	O
than	CIMZIA.xml:S1:99:4	O
placebo	CIMZIA.xml:S1:104:7	O
)	CIMZIA.xml:S1:111:1	O
:	CIMZIA.xml:S1:112:1	O
upper	CIMZIA.xml:S1:114:5	B-AdverseReaction
respiratory	CIMZIA.xml:S1:120:11	I-AdverseReaction
tract	CIMZIA.xml:S1:132:5	I-AdverseReaction
infection	CIMZIA.xml:S1:138:9	I-AdverseReaction
,	CIMZIA.xml:S1:147:1	O
rash	CIMZIA.xml:S1:149:4	B-AdverseReaction
,	CIMZIA.xml:S1:153:1	O
and	CIMZIA.xml:S1:155:3	O
urinary	CIMZIA.xml:S1:159:7	B-AdverseReaction
tract	CIMZIA.xml:S1:167:5	I-AdverseReaction
infection	CIMZIA.xml:S1:173:9	I-AdverseReaction
(	CIMZIA.xml:S1:183:1	O
6.1	CIMZIA.xml:S1:186:3	O
)	CIMZIA.xml:S1:191:1	O
To	CIMZIA.xml:S1:194:2	O
report	CIMZIA.xml:S1:197:6	O
SUSPECTED	CIMZIA.xml:S1:204:9	O
ADVERSE	CIMZIA.xml:S1:214:7	O
REACTIONS	CIMZIA.xml:S1:222:9	O
,	CIMZIA.xml:S1:231:1	O
contact	CIMZIA.xml:S1:233:7	O
UCB	CIMZIA.xml:S1:241:3	O
,	CIMZIA.xml:S1:244:1	O
Inc	CIMZIA.xml:S1:246:3	O
.	CIMZIA.xml:S1:249:1	O

at	CIMZIA.xml:S1:251:2	O
1	CIMZIA.xml:S1:254:1	O
-	CIMZIA.xml:S1:255:1	O
866	CIMZIA.xml:S1:256:3	O
-	CIMZIA.xml:S1:259:1	O
822	CIMZIA.xml:S1:260:3	O
-	CIMZIA.xml:S1:263:1	O
0068	CIMZIA.xml:S1:264:4	O
or	CIMZIA.xml:S1:269:2	O
FDA	CIMZIA.xml:S1:272:3	O
