6	CLEVIPREX.xml:S1:4:1	O
ADVERSE	CLEVIPREX.xml:S1:6:7	O
REACTIONS	CLEVIPREX.xml:S1:14:9	O

The	CLEVIPREX.xml:S1:27:3	O
following	CLEVIPREX.xml:S1:31:9	O
risk	CLEVIPREX.xml:S1:41:4	O
is	CLEVIPREX.xml:S1:46:2	O
discussed	CLEVIPREX.xml:S1:49:9	O
elsewhere	CLEVIPREX.xml:S1:59:9	O
in	CLEVIPREX.xml:S1:69:2	O
the	CLEVIPREX.xml:S1:72:3	O
labeling	CLEVIPREX.xml:S1:76:8	O
:	CLEVIPREX.xml:S1:84:1	O

Hypotension	CLEVIPREX.xml:S1:93:11	B-AdverseReaction
and	CLEVIPREX.xml:S1:105:3	O
Reflex	CLEVIPREX.xml:S1:109:6	B-AdverseReaction
Tachycardia	CLEVIPREX.xml:S1:116:11	I-AdverseReaction
[	CLEVIPREX.xml:S1:130:1	O
see	CLEVIPREX.xml:S1:131:3	O
Warnings	CLEVIPREX.xml:S1:135:8	O
and	CLEVIPREX.xml:S1:144:3	O
Precautions	CLEVIPREX.xml:S1:148:11	O
(	CLEVIPREX.xml:S1:160:1	O
5.2	CLEVIPREX.xml:S1:161:3	O
)]	CLEVIPREX.xml:S1:164:2	O

EXCERPT	CLEVIPREX.xml:S1:177:7	O
:	CLEVIPREX.xml:S1:184:1	O
Most	CLEVIPREX.xml:S1:188:4	O
common	CLEVIPREX.xml:S1:193:6	O
adverse	CLEVIPREX.xml:S1:200:7	O
reactions	CLEVIPREX.xml:S1:208:9	O
(	CLEVIPREX.xml:S1:218:1	O
2%	CLEVIPREX.xml:S1:220:2	O
)	CLEVIPREX.xml:S1:222:1	O
are	CLEVIPREX.xml:S1:224:3	O
headache	CLEVIPREX.xml:S1:228:8	B-AdverseReaction
,	CLEVIPREX.xml:S1:236:1	O
nausea	CLEVIPREX.xml:S1:238:6	B-AdverseReaction
,	CLEVIPREX.xml:S1:244:1	O
and	CLEVIPREX.xml:S1:246:3	O
vomiting	CLEVIPREX.xml:S1:250:8	B-AdverseReaction
.	CLEVIPREX.xml:S1:258:1	O

(	CLEVIPREX.xml:S1:261:1	O
6.1	CLEVIPREX.xml:S1:262:3	O
)	CLEVIPREX.xml:S1:265:1	O

To	CLEVIPREX.xml:S1:275:2	O

report	CLEVIPREX.xml:S1:278:6	O
SUSPECTED	CLEVIPREX.xml:S1:285:9	O
ADVERSE	CLEVIPREX.xml:S1:295:7	O
REACTIONS	CLEVIPREX.xml:S1:303:9	O
,	CLEVIPREX.xml:S1:312:1	O
contact	CLEVIPREX.xml:S1:314:7	O
The	CLEVIPREX.xml:S1:322:3	O
Medicines	CLEVIPREX.xml:S1:326:9	O
Company	CLEVIPREX.xml:S1:336:7	O
at	CLEVIPREX.xml:S1:344:2	O
1	CLEVIPREX.xml:S1:347:1	O
-	CLEVIPREX.xml:S1:348:1	O
888	CLEVIPREX.xml:S1:349:3	O
-	CLEVIPREX.xml:S1:352:1	O
977	CLEVIPREX.xml:S1:353:3	O
-	CLEVIPREX.xml:S1:356:1	O
MDCO	CLEVIPREX.xml:S1:357:4	O
(	CLEVIPREX.xml:S1:362:1	O
6326	CLEVIPREX.xml:S1:363:4	O
)	CLEVIPREX.xml:S1:367:1	O
or	CLEVIPREX.xml:S1:369:2	O
FDA	CLEVIPREX.xml:S1:372:3	O
at	CLEVIPREX.xml:S1:376:2	O
1	CLEVIPREX.xml:S1:379:1	O
-	CLEVIPREX.xml:S1:380:1	O
800	CLEVIPREX.xml:S1:381:3	O
-	CLEVIPREX.xml:S1:384:1	O
FDA	CLEVIPREX.xml:S1:385:3	O
-	CLEVIPREX.xml:S1:388:1	O
1088	CLEVIPREX.xml:S1:389:4	O
or	CLEVIPREX.xml:S1:394:2	O
www	CLEVIPREX.xml:S1:397:3	O
.	CLEVIPREX.xml:S1:400:1	O
fda	CLEVIPREX.xml:S1:401:3	O
.	CLEVIPREX.xml:S1:404:1	O
gov	CLEVIPREX.xml:S1:405:3	O
medwatch	CLEVIPREX.xml:S1:409:8	O
.	CLEVIPREX.xml:S1:417:1	O

6.1	CLEVIPREX.xml:S1:429:3	O

Clinical	CLEVIPREX.xml:S1:433:8	O
Trials	CLEVIPREX.xml:S1:442:6	O
Experience	CLEVIPREX.xml:S1:449:10	O

Cleviprex	CLEVIPREX.xml:S1:463:9	O
clinical	CLEVIPREX.xml:S1:473:8	O
development	CLEVIPREX.xml:S1:482:11	O
included	CLEVIPREX.xml:S1:494:8	O
19	CLEVIPREX.xml:S1:503:2	O
studies	CLEVIPREX.xml:S1:506:7	O
,	CLEVIPREX.xml:S1:513:1	O
with	CLEVIPREX.xml:S1:515:4	O
99	CLEVIPREX.xml:S1:520:2	O
healthy	CLEVIPREX.xml:S1:523:7	O
subjects	CLEVIPREX.xml:S1:531:8	O
and	CLEVIPREX.xml:S1:540:3	O
1307	CLEVIPREX.xml:S1:544:4	O
hypertensive	CLEVIPREX.xml:S1:549:12	O
patients	CLEVIPREX.xml:S1:562:8	O
who	CLEVIPREX.xml:S1:571:3	O
received	CLEVIPREX.xml:S1:575:8	O
at	CLEVIPREX.xml:S1:584:2	O
least	CLEVIPREX.xml:S1:587:5	O
one	CLEVIPREX.xml:S1:593:3	O
dose	CLEVIPREX.xml:S1:597:4	O
of	CLEVIPREX.xml:S1:602:2	O
clevidipine	CLEVIPREX.xml:S1:605:11	O
(	CLEVIPREX.xml:S1:617:1	O
1406	CLEVIPREX.xml:S1:618:4	O
total	CLEVIPREX.xml:S1:623:5	O
exposures	CLEVIPREX.xml:S1:629:9	O
)	CLEVIPREX.xml:S1:638:1	O
.	CLEVIPREX.xml:S1:639:1	O

Clevidipine	CLEVIPREX.xml:S1:641:11	O
was	CLEVIPREX.xml:S1:653:3	O
evaluated	CLEVIPREX.xml:S1:657:9	O
in	CLEVIPREX.xml:S1:667:2	O
15	CLEVIPREX.xml:S1:670:2	O
studies	CLEVIPREX.xml:S1:673:7	O
in	CLEVIPREX.xml:S1:681:2	O
hypertensive	CLEVIPREX.xml:S1:684:12	O
patients	CLEVIPREX.xml:S1:697:8	O
:	CLEVIPREX.xml:S1:705:1	O
1099	CLEVIPREX.xml:S1:707:4	O
patients	CLEVIPREX.xml:S1:712:8	O
with	CLEVIPREX.xml:S1:721:4	O
perioperative	CLEVIPREX.xml:S1:726:13	O
hypertension	CLEVIPREX.xml:S1:740:12	O
,	CLEVIPREX.xml:S1:752:1	O
126	CLEVIPREX.xml:S1:754:3	O
with	CLEVIPREX.xml:S1:758:4	O
severe	CLEVIPREX.xml:S1:763:6	O
hypertension	CLEVIPREX.xml:S1:770:12	O
and	CLEVIPREX.xml:S1:783:3	O
82	CLEVIPREX.xml:S1:787:2	O
patients	CLEVIPREX.xml:S1:790:8	O
with	CLEVIPREX.xml:S1:799:4	O
essential	CLEVIPREX.xml:S1:804:9	O
hypertension	CLEVIPREX.xml:S1:814:12	O
.	CLEVIPREX.xml:S1:826:1	O

The	CLEVIPREX.xml:S1:832:3	O
desired	CLEVIPREX.xml:S1:836:7	O
therapeutic	CLEVIPREX.xml:S1:844:11	O
response	CLEVIPREX.xml:S1:856:8	O
was	CLEVIPREX.xml:S1:865:3	O
achieved	CLEVIPREX.xml:S1:869:8	O
at	CLEVIPREX.xml:S1:878:2	O
doses	CLEVIPREX.xml:S1:881:5	O
of	CLEVIPREX.xml:S1:887:2	O
4	CLEVIPREX.xml:S1:890:1	O
-	CLEVIPREX.xml:S1:891:1	O
6	CLEVIPREX.xml:S1:892:1	O
mg	CLEVIPREX.xml:S1:894:2	O
hour	CLEVIPREX.xml:S1:897:4	O
.	CLEVIPREX.xml:S1:901:1	O

Cleviprex	CLEVIPREX.xml:S1:903:9	O
was	CLEVIPREX.xml:S1:913:3	O
infused	CLEVIPREX.xml:S1:917:7	O
for	CLEVIPREX.xml:S1:925:3	O
24	CLEVIPREX.xml:S1:930:2	O
hours	CLEVIPREX.xml:S1:933:5	O
in	CLEVIPREX.xml:S1:939:2	O
the	CLEVIPREX.xml:S1:942:3	O
majority	CLEVIPREX.xml:S1:946:8	O
of	CLEVIPREX.xml:S1:955:2	O
patients	CLEVIPREX.xml:S1:958:8	O
(	CLEVIPREX.xml:S1:967:1	O
n	CLEVIPREX.xml:S1:968:1	O
1199	CLEVIPREX.xml:S1:970:4	O
)	CLEVIPREX.xml:S1:974:1	O
;	CLEVIPREX.xml:S1:975:1	O
it	CLEVIPREX.xml:S1:977:2	O
was	CLEVIPREX.xml:S1:980:3	O
infused	CLEVIPREX.xml:S1:984:7	O
as	CLEVIPREX.xml:S1:992:2	O
a	CLEVIPREX.xml:S1:995:1	O
continuous	CLEVIPREX.xml:S1:997:10	O
infusion	CLEVIPREX.xml:S1:1008:8	O
in	CLEVIPREX.xml:S1:1017:2	O
an	CLEVIPREX.xml:S1:1020:2	O
additional	CLEVIPREX.xml:S1:1023:10	O
93	CLEVIPREX.xml:S1:1034:2	O
patients	CLEVIPREX.xml:S1:1037:8	O
for	CLEVIPREX.xml:S1:1046:3	O
durations	CLEVIPREX.xml:S1:1050:9	O
between	CLEVIPREX.xml:S1:1060:7	O
24	CLEVIPREX.xml:S1:1068:2	O
and	CLEVIPREX.xml:S1:1071:3	O
72	CLEVIPREX.xml:S1:1075:2	O
hours	CLEVIPREX.xml:S1:1078:5	O
.	CLEVIPREX.xml:S1:1083:1	O

Because	CLEVIPREX.xml:S1:1089:7	O
clinical	CLEVIPREX.xml:S1:1097:8	O
trials	CLEVIPREX.xml:S1:1106:6	O
are	CLEVIPREX.xml:S1:1113:3	O
conducted	CLEVIPREX.xml:S1:1117:9	O
under	CLEVIPREX.xml:S1:1127:5	O
widely	CLEVIPREX.xml:S1:1133:6	O
