6	COARTEM.xml:S1:6:1	O
ADVERSE	COARTEM.xml:S1:12:7	O
REACTIONS	COARTEM.xml:S1:20:9	O

EXCERPT	COARTEM.xml:S1:35:7	O
:	COARTEM.xml:S1:42:1	O
The	COARTEM.xml:S1:46:3	O
most	COARTEM.xml:S1:50:4	O
common	COARTEM.xml:S1:55:6	O
adverse	COARTEM.xml:S1:62:7	O
reactions	COARTEM.xml:S1:70:9	O
in	COARTEM.xml:S1:80:2	O
adults	COARTEM.xml:S1:83:6	O
(	COARTEM.xml:S1:90:1	O
30%	COARTEM.xml:S1:92:3	O
)	COARTEM.xml:S1:95:1	O
are	COARTEM.xml:S1:97:3	O
headache	COARTEM.xml:S1:101:8	B-AdverseReaction
,	COARTEM.xml:S1:109:1	O
anorexia	COARTEM.xml:S1:111:8	B-AdverseReaction
,	COARTEM.xml:S1:119:1	O
dizziness	COARTEM.xml:S1:121:9	B-AdverseReaction
,	COARTEM.xml:S1:130:1	O
asthenia	COARTEM.xml:S1:132:8	B-AdverseReaction
,	COARTEM.xml:S1:140:1	O
arthralgia	COARTEM.xml:S1:142:10	B-AdverseReaction
and	COARTEM.xml:S1:153:3	O
myalgia	COARTEM.xml:S1:157:7	B-AdverseReaction
.	COARTEM.xml:S1:164:1	O

The	COARTEM.xml:S1:166:3	O
most	COARTEM.xml:S1:170:4	O
common	COARTEM.xml:S1:175:6	O
adverse	COARTEM.xml:S1:182:7	O
reactions	COARTEM.xml:S1:190:9	O
in	COARTEM.xml:S1:200:2	O
children	COARTEM.xml:S1:203:8	O
(	COARTEM.xml:S1:212:1	O
12%	COARTEM.xml:S1:214:3	O
)	COARTEM.xml:S1:217:1	O
are	COARTEM.xml:S1:219:3	O
pyrexia	COARTEM.xml:S1:223:7	B-AdverseReaction
,	COARTEM.xml:S1:230:1	O
cough	COARTEM.xml:S1:232:5	B-AdverseReaction
,	COARTEM.xml:S1:237:1	O
vomiting	COARTEM.xml:S1:239:8	B-AdverseReaction
,	COARTEM.xml:S1:247:1	O
anorexia	COARTEM.xml:S1:249:8	B-AdverseReaction
,	COARTEM.xml:S1:257:1	O
and	COARTEM.xml:S1:259:3	O
headache	COARTEM.xml:S1:263:8	B-AdverseReaction
.	COARTEM.xml:S1:271:1	O

(	COARTEM.xml:S1:273:1	O
6.2	COARTEM.xml:S1:274:3	O
)	COARTEM.xml:S1:277:1	O

To	COARTEM.xml:S1:285:2	O
report	COARTEM.xml:S1:288:6	O
SUSPECTED	COARTEM.xml:S1:295:9	O
ADVERSE	COARTEM.xml:S1:305:7	O
REACTIONS	COARTEM.xml:S1:313:9	O
,	COARTEM.xml:S1:322:1	O
contact	COARTEM.xml:S1:324:7	O
Novartis	COARTEM.xml:S1:332:8	O
Pharmaceuticals	COARTEM.xml:S1:341:15	O
Corporation	COARTEM.xml:S1:357:11	O
at	COARTEM.xml:S1:369:2	O
1	COARTEM.xml:S1:372:1	O
-	COARTEM.xml:S1:373:1	O
888	COARTEM.xml:S1:374:3	O
-	COARTEM.xml:S1:377:1	O
669	COARTEM.xml:S1:378:3	O
-	COARTEM.xml:S1:381:1	O
6682	COARTEM.xml:S1:382:4	O
or	COARTEM.xml:S1:387:2	O
FDA	COARTEM.xml:S1:390:3	O
at	COARTEM.xml:S1:394:2	O
1	COARTEM.xml:S1:397:1	O
-	COARTEM.xml:S1:398:1	O
800	COARTEM.xml:S1:399:3	O
-	COARTEM.xml:S1:402:1	O
FDA	COARTEM.xml:S1:403:3	O
-	COARTEM.xml:S1:406:1	O
1088	COARTEM.xml:S1:407:4	O
or	COARTEM.xml:S1:412:2	O
www	COARTEM.xml:S1:415:3	O
.	COARTEM.xml:S1:418:1	O
fda	COARTEM.xml:S1:419:3	O
.	COARTEM.xml:S1:422:1	O
gov	COARTEM.xml:S1:423:3	O
medwatch	COARTEM.xml:S1:427:8	O

6.1	COARTEM.xml:S1:446:3	O

Serious	COARTEM.xml:S1:454:7	O
Adverse	COARTEM.xml:S1:462:7	O
Reactions	COARTEM.xml:S1:470:9	O

The	COARTEM.xml:S1:483:3	O
following	COARTEM.xml:S1:487:9	O
serious	COARTEM.xml:S1:497:7	O
and	COARTEM.xml:S1:505:3	O
otherwise	COARTEM.xml:S1:509:9	O
important	COARTEM.xml:S1:519:9	O
adverse	COARTEM.xml:S1:529:7	O
reactions	COARTEM.xml:S1:537:9	O
are	COARTEM.xml:S1:547:3	O
discussed	COARTEM.xml:S1:551:9	O
in	COARTEM.xml:S1:561:2	O
greater	COARTEM.xml:S1:564:7	O
detail	COARTEM.xml:S1:572:6	O
in	COARTEM.xml:S1:579:2	O
other	COARTEM.xml:S1:582:5	O
sections	COARTEM.xml:S1:588:8	O
of	COARTEM.xml:S1:597:2	O
labeling	COARTEM.xml:S1:600:8	O
:	COARTEM.xml:S1:608:1	O

Hypersensitivity	COARTEM.xml:S1:617:16	B-AdverseReaction
Reactions	COARTEM.xml:S1:634:9	I-AdverseReaction
[	COARTEM.xml:S1:644:1	O
see	COARTEM.xml:S1:645:3	O
Contraindications	COARTEM.xml:S1:649:17	O
(	COARTEM.xml:S1:667:1	O
4	COARTEM.xml:S1:668:1	O
)	COARTEM.xml:S1:669:1	O
and	COARTEM.xml:S1:671:3	O
Adverse	COARTEM.xml:S1:675:7	O
Reactions	COARTEM.xml:S1:683:9	O
(	COARTEM.xml:S1:693:1	O
6.3	COARTEM.xml:S1:694:3	O
)]	COARTEM.xml:S1:697:2	O
.	COARTEM.xml:S1:700:1	O

6.2	COARTEM.xml:S1:709:3	O
Clinical	COARTEM.xml:S1:717:8	O
Studies	COARTEM.xml:S1:726:7	O
Experience	COARTEM.xml:S1:734:10	O

Because	COARTEM.xml:S1:748:7	O
clinical	COARTEM.xml:S1:756:8	O
trials	COARTEM.xml:S1:765:6	O
are	COARTEM.xml:S1:772:3	O
conducted	COARTEM.xml:S1:776:9	O
under	COARTEM.xml:S1:786:5	O
widely	COARTEM.xml:S1:792:6	O
varying	COARTEM.xml:S1:799:7	O
conditions	COARTEM.xml:S1:807:10	O
,	COARTEM.xml:S1:817:1	O
adverse	COARTEM.xml:S1:819:7	O
reaction	COARTEM.xml:S1:827:8	O
rates	COARTEM.xml:S1:836:5	O
observed	COARTEM.xml:S1:842:8	O
in	COARTEM.xml:S1:851:2	O
the	COARTEM.xml:S1:854:3	O
clinical	COARTEM.xml:S1:858:8	O
trials	COARTEM.xml:S1:867:6	O
of	COARTEM.xml:S1:874:2	O
a	COARTEM.xml:S1:877:1	O
drug	COARTEM.xml:S1:879:4	O
cannot	COARTEM.xml:S1:884:6	O
be	COARTEM.xml:S1:891:2	O
directly	COARTEM.xml:S1:894:8	O
compared	COARTEM.xml:S1:903:8	O
to	COARTEM.xml:S1:912:2	O
rates	COARTEM.xml:S1:915:5	O
in	COARTEM.xml:S1:921:2	O
the	COARTEM.xml:S1:924:3	O
clinical	COARTEM.xml:S1:928:8	O
trials	COARTEM.xml:S1:937:6	O
of	COARTEM.xml:S1:944:2	O
another	COARTEM.xml:S1:947:7	O
drug	COARTEM.xml:S1:955:4	O
and	COARTEM.xml:S1:960:3	O
may	COARTEM.xml:S1:964:3	O
not	COARTEM.xml:S1:968:3	O
reflect	COARTEM.xml:S1:972:7	O
the	COARTEM.xml:S1:980:3	O
rate	COARTEM.xml:S1:984:4	O
observed	COARTEM.xml:S1:989:8	O
in	COARTEM.xml:S1:998:2	O
practice	COARTEM.xml:S1:1001:8	O
.	COARTEM.xml:S1:1009:1	O

The	COARTEM.xml:S1:1015:3	O
data	COARTEM.xml:S1:1019:4	O
described	COARTEM.xml:S1:1024:9	O
below	COARTEM.xml:S1:1034:5	O
reflect	COARTEM.xml:S1:1040:7	O
exposure	COARTEM.xml:S1:1048:8	O
to	COARTEM.xml:S1:1057:2	O
a	COARTEM.xml:S1:1060:1	O
6	COARTEM.xml:S1:1062:1	O
-	COARTEM.xml:S1:1063:1	O
dose	COARTEM.xml:S1:1064:4	O
regimen	COARTEM.xml:S1:1069:7	O
of	COARTEM.xml:S1:1077:2	O
Coartem	COARTEM.xml:S1:1080:7	O
Tablets	COARTEM.xml:S1:1088:7	O
in	COARTEM.xml:S1:1096:2	O
1	COARTEM.xml:S1:1099:1	O
,	COARTEM.xml:S1:1100:1	O
979	COARTEM.xml:S1:1101:3	O
patients	COARTEM.xml:S1:1105:8	O
including	COARTEM.xml:S1:1114:9	O
647	COARTEM.xml:S1:1124:3	O
adults	COARTEM.xml:S1:1128:6	O
(	COARTEM.xml:S1:1135:1	O
older	COARTEM.xml:S1:1136:5	O
than	COARTEM.xml:S1:1142:4	O
16	COARTEM.xml:S1:1147:2	O
years	COARTEM.xml:S1:1150:5	O
)	COARTEM.xml:S1:1155:1	O
and	COARTEM.xml:S1:1157:3	O
1	COARTEM.xml:S1:1161:1	O
,	COARTEM.xml:S1:1162:1	O
332	COARTEM.xml:S1:1163:3	O
children	COARTEM.xml:S1:1167:8	O
(	COARTEM.xml:S1:1176:1	O
16	COARTEM.xml:S1:1177:2	O
years	COARTEM.xml:S1:1180:5	O
and	COARTEM.xml:S1:1186:3	O
younger	COARTEM.xml:S1:1190:7	O
)	COARTEM.xml:S1:1197:1	O
.	COARTEM.xml:S1:1198:1	O

For	COARTEM.xml:S1:1200:3	O
the	COARTEM.xml:S1:1204:3	O
6	COARTEM.xml:S1:1208:1	O
-	COARTEM.xml:S1:1209:1	O
dose	COARTEM.xml:S1:1210:4	O
regimen	COARTEM.xml:S1:1215:7	O
,	COARTEM.xml:S1:1222:1	O
Coartem	COARTEM.xml:S1:1224:7	O
Tablets	COARTEM.xml:S1:1232:7	O
was	COARTEM.xml:S1:1240:3	O
studied	COARTEM.xml:S1:1244:7	O
in	COARTEM.xml:S1:1252:2	O
active	COARTEM.xml:S1:1255:6	O
-	COARTEM.xml:S1:1261:1	O
controlled	COARTEM.xml:S1:1262:10	O
(	COARTEM.xml:S1:1273:1	O
366	COARTEM.xml:S1:1274:3	O
