6	COMETRIQ.xml:S1:4:1	O
ADVERSE	COMETRIQ.xml:S1:6:7	O
REACTIONS	COMETRIQ.xml:S1:14:9	O

The	COMETRIQ.xml:S1:27:3	O
following	COMETRIQ.xml:S1:31:9	O
serious	COMETRIQ.xml:S1:41:7	O
adverse	COMETRIQ.xml:S1:49:7	O
reactions	COMETRIQ.xml:S1:57:9	O
are	COMETRIQ.xml:S1:67:3	O
discussed	COMETRIQ.xml:S1:71:9	O
elsewhere	COMETRIQ.xml:S1:81:9	O
in	COMETRIQ.xml:S1:91:2	O
the	COMETRIQ.xml:S1:94:3	O
label	COMETRIQ.xml:S1:98:5	O
:	COMETRIQ.xml:S1:103:1	O

Perforations	COMETRIQ.xml:S1:112:12	B-AdverseReaction
and	COMETRIQ.xml:S1:125:3	O
Fistula	COMETRIQ.xml:S1:129:7	B-AdverseReaction
[	COMETRIQ.xml:S1:137:1	O
see	COMETRIQ.xml:S1:139:3	O
Boxed	COMETRIQ.xml:S1:144:5	O
Warning	COMETRIQ.xml:S1:150:7	O
,	COMETRIQ.xml:S1:159:1	O
Warnings	COMETRIQ.xml:S1:162:8	O
and	COMETRIQ.xml:S1:171:3	O
Precautions	COMETRIQ.xml:S1:175:11	O
(	COMETRIQ.xml:S1:188:1	O
5.1	COMETRIQ.xml:S1:191:3	O
)	COMETRIQ.xml:S1:196:1	O
]	COMETRIQ.xml:S1:198:1	O

Hemorrhage	COMETRIQ.xml:S1:205:10	B-AdverseReaction
[	COMETRIQ.xml:S1:216:1	O
see	COMETRIQ.xml:S1:218:3	O
Boxed	COMETRIQ.xml:S1:223:5	O
Warning	COMETRIQ.xml:S1:229:7	O
,	COMETRIQ.xml:S1:238:1	O
Warnings	COMETRIQ.xml:S1:241:8	O
and	COMETRIQ.xml:S1:250:3	O
Precautions	COMETRIQ.xml:S1:254:11	O
(	COMETRIQ.xml:S1:267:1	O
5.2	COMETRIQ.xml:S1:270:3	O
)	COMETRIQ.xml:S1:275:1	O
]	COMETRIQ.xml:S1:277:1	O

Thromboembolic	COMETRIQ.xml:S1:284:14	B-AdverseReaction
Events	COMETRIQ.xml:S1:299:6	I-AdverseReaction
[	COMETRIQ.xml:S1:306:1	O
see	COMETRIQ.xml:S1:308:3	O
Warnings	COMETRIQ.xml:S1:313:8	O
and	COMETRIQ.xml:S1:322:3	O
Precautions	COMETRIQ.xml:S1:326:11	O
(	COMETRIQ.xml:S1:339:1	O
5.3	COMETRIQ.xml:S1:342:3	O
)	COMETRIQ.xml:S1:347:1	O
]	COMETRIQ.xml:S1:349:1	O

Wound	COMETRIQ.xml:S1:356:5	B-AdverseReaction
Complications	COMETRIQ.xml:S1:362:13	I-AdverseReaction
[	COMETRIQ.xml:S1:376:1	O
see	COMETRIQ.xml:S1:378:3	O
Warnings	COMETRIQ.xml:S1:383:8	O
and	COMETRIQ.xml:S1:392:3	O
Precautions	COMETRIQ.xml:S1:396:11	O
(	COMETRIQ.xml:S1:409:1	O
5.4	COMETRIQ.xml:S1:412:3	O
)	COMETRIQ.xml:S1:417:1	O
]	COMETRIQ.xml:S1:419:1	O

Hypertension	COMETRIQ.xml:S1:426:12	B-AdverseReaction
[	COMETRIQ.xml:S1:439:1	O
see	COMETRIQ.xml:S1:441:3	O
Warnings	COMETRIQ.xml:S1:446:8	O
and	COMETRIQ.xml:S1:455:3	O
Precautions	COMETRIQ.xml:S1:459:11	O
(	COMETRIQ.xml:S1:472:1	O
