6	DALVANCE.xml:S1:4:1	O
ADVERSE	DALVANCE.xml:S1:6:7	O
REACTIONS	DALVANCE.xml:S1:14:9	O

Because	DALVANCE.xml:S1:27:7	O
clinical	DALVANCE.xml:S1:35:8	O
trials	DALVANCE.xml:S1:44:6	O
are	DALVANCE.xml:S1:51:3	O
conducted	DALVANCE.xml:S1:55:9	O
under	DALVANCE.xml:S1:65:5	O
widely	DALVANCE.xml:S1:71:6	O
varying	DALVANCE.xml:S1:78:7	O
conditions	DALVANCE.xml:S1:86:10	O
,	DALVANCE.xml:S1:96:1	O
adverse	DALVANCE.xml:S1:98:7	O
reaction	DALVANCE.xml:S1:106:8	O
rates	DALVANCE.xml:S1:115:5	O
observed	DALVANCE.xml:S1:121:8	O
in	DALVANCE.xml:S1:130:2	O
clinical	DALVANCE.xml:S1:133:8	O
trials	DALVANCE.xml:S1:142:6	O
of	DALVANCE.xml:S1:149:2	O
DALVANCE	DALVANCE.xml:S1:152:8	O
cannot	DALVANCE.xml:S1:161:6	O
be	DALVANCE.xml:S1:168:2	O
directly	DALVANCE.xml:S1:171:8	O
compared	DALVANCE.xml:S1:180:8	O
to	DALVANCE.xml:S1:189:2	O
rates	DALVANCE.xml:S1:192:5	O
in	DALVANCE.xml:S1:198:2	O
the	DALVANCE.xml:S1:201:3	O
clinical	DALVANCE.xml:S1:205:8	O
trials	DALVANCE.xml:S1:214:6	O
of	DALVANCE.xml:S1:221:2	O
another	DALVANCE.xml:S1:224:7	O
drug	DALVANCE.xml:S1:232:4	O
and	DALVANCE.xml:S1:237:3	O
may	DALVANCE.xml:S1:241:3	O
not	DALVANCE.xml:S1:245:3	O
reflect	DALVANCE.xml:S1:249:7	O
rates	DALVANCE.xml:S1:257:5	O
observed	DALVANCE.xml:S1:263:8	O
in	DALVANCE.xml:S1:272:2	O
practice	DALVANCE.xml:S1:275:8	O
.	DALVANCE.xml:S1:283:1	O

EXCERPT	DALVANCE.xml:S1:291:7	O
:	DALVANCE.xml:S1:298:1	O
The	DALVANCE.xml:S1:302:3	O
most	DALVANCE.xml:S1:306:4	O
common	DALVANCE.xml:S1:311:6	O
adverse	DALVANCE.xml:S1:318:7	O
reactions	DALVANCE.xml:S1:326:9	O
in	DALVANCE.xml:S1:336:2	O
patients	DALVANCE.xml:S1:339:8	O
treated	DALVANCE.xml:S1:348:7	O
with	DALVANCE.xml:S1:356:4	O
DALVANCE	DALVANCE.xml:S1:361:8	O
were	DALVANCE.xml:S1:370:4	O
nausea	DALVANCE.xml:S1:375:6	B-AdverseReaction
(	DALVANCE.xml:S1:382:1	O
5.5%	DALVANCE.xml:S1:383:4	O
)	DALVANCE.xml:S1:387:1	O
,	DALVANCE.xml:S1:388:1	O
headache	DALVANCE.xml:S1:390:8	B-AdverseReaction
(	DALVANCE.xml:S1:399:1	O
4.7%	DALVANCE.xml:S1:400:4	O
)	DALVANCE.xml:S1:404:1	O
,	DALVANCE.xml:S1:405:1	O
and	DALVANCE.xml:S1:407:3	O
diarrhea	DALVANCE.xml:S1:411:8	B-AdverseReaction
(	DALVANCE.xml:S1:420:1	O
4.4%	DALVANCE.xml:S1:421:4	O
)	DALVANCE.xml:S1:425:1	O
.	DALVANCE.xml:S1:426:1	O

To	DALVANCE.xml:S1:439:2	O
report	DALVANCE.xml:S1:442:6	O
SUSPECTED	DALVANCE.xml:S1:449:9	O
ADVERSE	DALVANCE.xml:S1:459:7	O
REACTIONS	DALVANCE.xml:S1:467:9	O
,	DALVANCE.xml:S1:476:1	O
contact	DALVANCE.xml:S1:478:7	O
Durata	DALVANCE.xml:S1:486:6	O
Therapeutics	DALVANCE.xml:S1:493:12	O
,	DALVANCE.xml:S1:505:1	O
Inc	DALVANCE.xml:S1:507:3	O
.	DALVANCE.xml:S1:510:1	O

at	DALVANCE.xml:S1:512:2	O
1	DALVANCE.xml:S1:515:1	O
-	DALVANCE.xml:S1:516:1	O
855	DALVANCE.xml:S1:517:3	O
-	DALVANCE.xml:S1:520:1	O
387	DALVANCE.xml:S1:521:3	O
-	DALVANCE.xml:S1:524:1	O
2825	DALVANCE.xml:S1:525:4	O
or	DALVANCE.xml:S1:530:2	O
FDA	DALVANCE.xml:S1:533:3	O
at	DALVANCE.xml:S1:537:2	O
1	DALVANCE.xml:S1:540:1	O
-	DALVANCE.xml:S1:541:1	O
800	DALVANCE.xml:S1:542:3	O
-	DALVANCE.xml:S1:545:1	O
FDA	DALVANCE.xml:S1:546:3	O
-	DALVANCE.xml:S1:549:1	O
1088	DALVANCE.xml:S1:550:4	O
or	DALVANCE.xml:S1:555:2	O
www	DALVANCE.xml:S1:563:3	O
.	DALVANCE.xml:S1:566:1	O
fda	DALVANCE.xml:S1:567:3	O
.	DALVANCE.xml:S1:570:1	O
gov	DALVANCE.xml:S1:571:3	O
medwatch	DALVANCE.xml:S1:577:8	O
.	DALVANCE.xml:S1:585:1	O

6.1	DALVANCE.xml:S1:597:3	O

Adverse	DALVANCE.xml:S1:601:7	O
Reactions	DALVANCE.xml:S1:609:9	O
in	DALVANCE.xml:S1:619:2	O
Clinical	DALVANCE.xml:S1:622:8	O
Trials	DALVANCE.xml:S1:631:6	O

Adverse	DALVANCE.xml:S1:641:7	O
reactions	DALVANCE.xml:S1:649:9	O
were	DALVANCE.xml:S1:659:4	O
evaluated	DALVANCE.xml:S1:664:9	O
for	DALVANCE.xml:S1:674:3	O
1778	DALVANCE.xml:S1:678:4	O
patients	DALVANCE.xml:S1:683:8	O
treated	DALVANCE.xml:S1:692:7	O
with	DALVANCE.xml:S1:700:4	O
DALVANCE	DALVANCE.xml:S1:705:8	O
and	DALVANCE.xml:S1:714:3	O
1224	DALVANCE.xml:S1:718:4	O
patients	DALVANCE.xml:S1:723:8	O
treated	DALVANCE.xml:S1:732:7	O
with	DALVANCE.xml:S1:740:4	O
comparator	DALVANCE.xml:S1:745:10	O
antibacterial	DALVANCE.xml:S1:756:13	O
drugs	DALVANCE.xml:S1:770:5	O
in	DALVANCE.xml:S1:776:2	O
seven	DALVANCE.xml:S1:779:5	O
Phase	DALVANCE.xml:S1:785:5	O
2	DALVANCE.xml:S1:791:1	O
and	DALVANCE.xml:S1:793:3	O
Phase	DALVANCE.xml:S1:797:5	O
3	DALVANCE.xml:S1:803:1	O
clinical	DALVANCE.xml:S1:805:8	O
trials	DALVANCE.xml:S1:814:6	O
.	DALVANCE.xml:S1:820:1	O

A	DALVANCE.xml:S1:822:1	O
causal	DALVANCE.xml:S1:824:6	O
relationship	DALVANCE.xml:S1:831:12	O
between	DALVANCE.xml:S1:844:7	O
study	DALVANCE.xml:S1:852:5	O
drug	DALVANCE.xml:S1:858:4	O
and	DALVANCE.xml:S1:863:3	O
adverse	DALVANCE.xml:S1:867:7	O
reactions	DALVANCE.xml:S1:875:9	O
was	DALVANCE.xml:S1:885:3	O
not	DALVANCE.xml:S1:889:3	O
always	DALVANCE.xml:S1:893:6	O
established	DALVANCE.xml:S1:900:11	O
.	DALVANCE.xml:S1:911:1	O

The	DALVANCE.xml:S1:913:3	O
median	DALVANCE.xml:S1:917:6	O
age	DALVANCE.xml:S1:924:3	O
of	DALVANCE.xml:S1:928:2	O
patients	DALVANCE.xml:S1:931:8	O
treated	DALVANCE.xml:S1:940:7	O
with	DALVANCE.xml:S1:948:4	O
DALVANCE	DALVANCE.xml:S1:953:8	O
was	DALVANCE.xml:S1:962:3	O
47	DALVANCE.xml:S1:966:2	O
years	DALVANCE.xml:S1:969:5	O
,	DALVANCE.xml:S1:974:1	O
ranging	DALVANCE.xml:S1:976:7	O
between	DALVANCE.xml:S1:984:7	O
16	DALVANCE.xml:S1:992:2	O
and	DALVANCE.xml:S1:995:3	O
93	DALVANCE.xml:S1:999:2	O
years	DALVANCE.xml:S1:1002:5	O
old	DALVANCE.xml:S1:1008:3	O
.	DALVANCE.xml:S1:1011:1	O

Patients	DALVANCE.xml:S1:1013:8	O
treated	DALVANCE.xml:S1:1022:7	O
with	DALVANCE.xml:S1:1030:4	O
DALVANCE	DALVANCE.xml:S1:1035:8	O
were	DALVANCE.xml:S1:1044:4	O
predominantly	DALVANCE.xml:S1:1049:13	O
male	DALVANCE.xml:S1:1063:4	O
(	DALVANCE.xml:S1:1068:1	O
60%	DALVANCE.xml:S1:1069:3	O
)	DALVANCE.xml:S1:1072:1	O
and	DALVANCE.xml:S1:1074:3	O
Caucasian	DALVANCE.xml:S1:1078:9	O
(	DALVANCE.xml:S1:1088:1	O
78%	DALVANCE.xml:S1:1089:3	O
)	DALVANCE.xml:S1:1092:1	O
.	DALVANCE.xml:S1:1093:1	O

Serious	DALVANCE.xml:S1:1101:7	O
Adverse	DALVANCE.xml:S1:1109:7	O
Reactions	DALVANCE.xml:S1:1117:9	O
and	DALVANCE.xml:S1:1127:3	O
Adverse	DALVANCE.xml:S1:1131:7	O
Reactions	DALVANCE.xml:S1:1139:9	O
Leading	DALVANCE.xml:S1:1149:7	O
to	DALVANCE.xml:S1:1157:2	O
Discontinuation	DALVANCE.xml:S1:1160:15	O

Serious	DALVANCE.xml:S1:1182:7	O
adverse	DALVANCE.xml:S1:1190:7	O
reactions	DALVANCE.xml:S1:1198:9	O
occurred	DALVANCE.xml:S1:1208:8	O
in	DALVANCE.xml:S1:1217:2	O
109	DALVANCE.xml:S1:1220:3	O
1778	DALVANCE.xml:S1:1224:4	O
(	DALVANCE.xml:S1:1229:1	O
6.1%	DALVANCE.xml:S1:1230:4	O
)	DALVANCE.xml:S1:1234:1	O
of	DALVANCE.xml:S1:1236:2	O
patients	DALVANCE.xml:S1:1239:8	O
treated	DALVANCE.xml:S1:1248:7	O
with	DALVANCE.xml:S1:1256:4	O
DALVANCE	DALVANCE.xml:S1:1261:8	O
and	DALVANCE.xml:S1:1270:3	O
in	DALVANCE.xml:S1:1274:2	O
80	DALVANCE.xml:S1:1277:2	O
1224	DALVANCE.xml:S1:1280:4	O
(	DALVANCE.xml:S1:1285:1	O
6.5%	DALVANCE.xml:S1:1286:4	O
)	DALVANCE.xml:S1:1290:1	O
