6	DIFICID.xml:S1:4:1	O
ADVERSE	DIFICID.xml:S1:6:7	O
REACTIONS	DIFICID.xml:S1:14:9	O

EXCERPT	DIFICID.xml:S1:27:7	O
:	DIFICID.xml:S1:34:1	O
The	DIFICID.xml:S1:38:3	O
most	DIFICID.xml:S1:42:4	O
common	DIFICID.xml:S1:47:6	O
adverse	DIFICID.xml:S1:54:7	O
reactions	DIFICID.xml:S1:62:9	O
are	DIFICID.xml:S1:72:3	O
nausea	DIFICID.xml:S1:76:6	B-AdverseReaction
(	DIFICID.xml:S1:83:1	O
11%	DIFICID.xml:S1:84:3	O
)	DIFICID.xml:S1:87:1	O
,	DIFICID.xml:S1:88:1	O
vomiting	DIFICID.xml:S1:90:8	B-AdverseReaction
(	DIFICID.xml:S1:99:1	O
7%	DIFICID.xml:S1:100:2	O
)	DIFICID.xml:S1:102:1	O
,	DIFICID.xml:S1:103:1	O
abdominal	DIFICID.xml:S1:105:9	B-AdverseReaction
pain	DIFICID.xml:S1:115:4	I-AdverseReaction
(	DIFICID.xml:S1:120:1	O
6%	DIFICID.xml:S1:121:2	O
)	DIFICID.xml:S1:123:1	O
,	DIFICID.xml:S1:124:1	O
gastrointestinal	DIFICID.xml:S1:126:16	B-AdverseReaction
hemorrhage	DIFICID.xml:S1:143:10	I-AdverseReaction
(	DIFICID.xml:S1:154:1	O
4%	DIFICID.xml:S1:155:2	O
)	DIFICID.xml:S1:157:1	O
,	DIFICID.xml:S1:158:1	O
anemia	DIFICID.xml:S1:160:6	B-AdverseReaction
(	DIFICID.xml:S1:167:1	O
2%	DIFICID.xml:S1:168:2	O
)	DIFICID.xml:S1:170:1	O
,	DIFICID.xml:S1:171:1	O
and	DIFICID.xml:S1:173:3	O
neutropenia	DIFICID.xml:S1:177:11	B-AdverseReaction
(	DIFICID.xml:S1:189:1	O
2%	DIFICID.xml:S1:190:2	O
)	DIFICID.xml:S1:192:1	O
(	DIFICID.xml:S1:194:1	O
6	DIFICID.xml:S1:197:1	O
)	DIFICID.xml:S1:200:1	O
.	DIFICID.xml:S1:201:1	O
