6	DOTAREM.xml:S1:4:1	O
ADVERSE	DOTAREM.xml:S1:6:7	O
REACTIONS	DOTAREM.xml:S1:14:9	O

GBCAs	DOTAREM.xml:S1:27:5	B-DrugClass
have	DOTAREM.xml:S1:33:4	O
been	DOTAREM.xml:S1:38:4	O
associated	DOTAREM.xml:S1:43:10	O
with	DOTAREM.xml:S1:54:4	O
a	DOTAREM.xml:S1:59:1	O
risk	DOTAREM.xml:S1:61:4	O
for	DOTAREM.xml:S1:66:3	O
NSF	DOTAREM.xml:S1:70:3	B-AdverseReaction
[	DOTAREM.xml:S1:75:1	O
see	DOTAREM.xml:S1:76:3	O
Warnings	DOTAREM.xml:S1:80:8	O
and	DOTAREM.xml:S1:89:3	O
Precautions	DOTAREM.xml:S1:93:11	O
(	DOTAREM.xml:S1:105:1	O
5.1	DOTAREM.xml:S1:108:3	O
)]	DOTAREM.xml:S1:113:2	O
.	DOTAREM.xml:S1:117:1	O

NSF	DOTAREM.xml:S1:119:3	B-AdverseReaction
has	DOTAREM.xml:S1:123:3	O
not	DOTAREM.xml:S1:127:3	B-Negation
been	DOTAREM.xml:S1:131:4	O
reported	DOTAREM.xml:S1:136:8	O
in	DOTAREM.xml:S1:145:2	O
patients	DOTAREM.xml:S1:148:8	O
with	DOTAREM.xml:S1:157:4	O
a	DOTAREM.xml:S1:162:1	O
clear	DOTAREM.xml:S1:164:5	O
history	DOTAREM.xml:S1:170:7	O
of	DOTAREM.xml:S1:178:2	O
exposure	DOTAREM.xml:S1:181:8	O
to	DOTAREM.xml:S1:190:2	O
DOTAREM	DOTAREM.xml:S1:193:7	O
alone	DOTAREM.xml:S1:201:5	O
.	DOTAREM.xml:S1:206:1	O

Hypersensitivity	DOTAREM.xml:S1:212:16	B-AdverseReaction
reactions	DOTAREM.xml:S1:229:9	I-AdverseReaction
and	DOTAREM.xml:S1:239:3	O
acute	DOTAREM.xml:S1:243:5	B-AdverseReaction
kidney	DOTAREM.xml:S1:249:6	I-AdverseReaction
injury	DOTAREM.xml:S1:256:6	I-AdverseReaction
are	DOTAREM.xml:S1:263:3	O
described	DOTAREM.xml:S1:267:9	O
in	DOTAREM.xml:S1:277:2	O
other	DOTAREM.xml:S1:280:5	O
sections	DOTAREM.xml:S1:286:8	O
of	DOTAREM.xml:S1:295:2	O
the	DOTAREM.xml:S1:298:3	O
labeling	DOTAREM.xml:S1:302:8	O
[	DOTAREM.xml:S1:312:1	O
see	DOTAREM.xml:S1:313:3	O
Warnings	DOTAREM.xml:S1:317:8	O
and	DOTAREM.xml:S1:326:3	O
Precautions	DOTAREM.xml:S1:330:11	O
(	DOTAREM.xml:S1:342:1	O
5.2	DOTAREM.xml:S1:345:3	O
)	DOTAREM.xml:S1:350:1	O
and	DOTAREM.xml:S1:352:3	O
(	DOTAREM.xml:S1:356:1	O
5.3	DOTAREM.xml:S1:359:3	O
)]	DOTAREM.xml:S1:364:2	O
.	DOTAREM.xml:S1:368:1	O

EXCERPT	DOTAREM.xml:S1:376:7	O
:	DOTAREM.xml:S1:383:1	O
The	DOTAREM.xml:S1:387:3	O
most	DOTAREM.xml:S1:391:4	O
frequent	DOTAREM.xml:S1:396:8	O
(	DOTAREM.xml:S1:405:1	O
0.2%	DOTAREM.xml:S1:409:4	O
)	DOTAREM.xml:S1:413:1	O
adverse	DOTAREM.xml:S1:415:7	O
reactions	DOTAREM.xml:S1:423:9	O
in	DOTAREM.xml:S1:433:2	O
clinical	DOTAREM.xml:S1:436:8	O
studies	DOTAREM.xml:S1:445:7	O
were	DOTAREM.xml:S1:453:4	O
nausea	DOTAREM.xml:S1:458:6	B-AdverseReaction
,	DOTAREM.xml:S1:464:1	O
headache	DOTAREM.xml:S1:466:8	B-AdverseReaction
,	DOTAREM.xml:S1:474:1	O
injection	DOTAREM.xml:S1:476:9	B-AdverseReaction
site	DOTAREM.xml:S1:486:4	I-AdverseReaction
pain	DOTAREM.xml:S1:491:4	I-AdverseReaction
,	DOTAREM.xml:S1:495:1	O
injection	DOTAREM.xml:S1:497:9	B-AdverseReaction
site	DOTAREM.xml:S1:507:4	I-AdverseReaction
coldness	DOTAREM.xml:S1:512:8	I-AdverseReaction
,	DOTAREM.xml:S1:520:1	O
and	DOTAREM.xml:S1:522:3	O
burning	DOTAREM.xml:S1:526:7	B-AdverseReaction
sensation	DOTAREM.xml:S1:534:9	I-AdverseReaction
.	DOTAREM.xml:S1:543:1	O

To	DOTAREM.xml:S1:551:2	O
report	DOTAREM.xml:S1:554:6	O
SUSPECTED	DOTAREM.xml:S1:561:9	O
ADVERSE	DOTAREM.xml:S1:571:7	O
REACTIONS	DOTAREM.xml:S1:579:9	O
,	DOTAREM.xml:S1:588:1	O
contact	DOTAREM.xml:S1:590:7	O
GUERBET	DOTAREM.xml:S1:598:7	O
LLC	DOTAREM.xml:S1:606:3	O
at	DOTAREM.xml:S1:610:2	O
1	DOTAREM.xml:S1:613:1	O
-	DOTAREM.xml:S1:614:1	O
877	DOTAREM.xml:S1:615:3	O
-	DOTAREM.xml:S1:618:1	O
729	DOTAREM.xml:S1:619:3	O
-	DOTAREM.xml:S1:622:1	O
6679	DOTAREM.xml:S1:623:4	O
or	DOTAREM.xml:S1:628:2	O
FDA	DOTAREM.xml:S1:631:3	O
at	DOTAREM.xml:S1:635:2	O
1	DOTAREM.xml:S1:638:1	O
-	DOTAREM.xml:S1:639:1	O
800	DOTAREM.xml:S1:640:3	O
-	DOTAREM.xml:S1:643:1	O
FDA	DOTAREM.xml:S1:644:3	O
-	DOTAREM.xml:S1:647:1	O
1088	DOTAREM.xml:S1:648:4	O
or	DOTAREM.xml:S1:653:2	O
www	DOTAREM.xml:S1:656:3	O
.	DOTAREM.xml:S1:659:1	O
fda	DOTAREM.xml:S1:660:3	O
.	DOTAREM.xml:S1:663:1	O
gov	DOTAREM.xml:S1:664:3	O
medwatch	DOTAREM.xml:S1:668:8	O

6.1	DOTAREM.xml:S1:687:3	O

Clinical	DOTAREM.xml:S1:691:8	O
Studies	DOTAREM.xml:S1:700:7	O
Experience	DOTAREM.xml:S1:708:10	O

Because	DOTAREM.xml:S1:722:7	O
clinical	DOTAREM.xml:S1:730:8	O
trials	DOTAREM.xml:S1:739:6	O
are	DOTAREM.xml:S1:746:3	O
conducted	DOTAREM.xml:S1:750:9	O
under	DOTAREM.xml:S1:760:5	O
widely	DOTAREM.xml:S1:766:6	O
varying	DOTAREM.xml:S1:773:7	O
conditions	DOTAREM.xml:S1:781:10	O
,	DOTAREM.xml:S1:791:1	O
adverse	DOTAREM.xml:S1:793:7	O
reaction	DOTAREM.xml:S1:801:8	O
rates	DOTAREM.xml:S1:810:5	O
observed	DOTAREM.xml:S1:816:8	O
in	DOTAREM.xml:S1:825:2	O
the	DOTAREM.xml:S1:828:3	O
clinical	DOTAREM.xml:S1:832:8	O
trials	DOTAREM.xml:S1:841:6	O
of	DOTAREM.xml:S1:848:2	O
a	DOTAREM.xml:S1:851:1	O
drug	DOTAREM.xml:S1:853:4	O
cannot	DOTAREM.xml:S1:858:6	O
be	DOTAREM.xml:S1:865:2	O
directly	DOTAREM.xml:S1:868:8	O
compared	DOTAREM.xml:S1:877:8	O
to	DOTAREM.xml:S1:886:2	O
rates	DOTAREM.xml:S1:889:5	O
in	DOTAREM.xml:S1:895:2	O
the	DOTAREM.xml:S1:898:3	O
clinical	DOTAREM.xml:S1:902:8	O
trials	DOTAREM.xml:S1:911:6	O
of	DOTAREM.xml:S1:918:2	O
another	DOTAREM.xml:S1:921:7	O
drug	DOTAREM.xml:S1:929:4	O
and	DOTAREM.xml:S1:934:3	O
may	DOTAREM.xml:S1:938:3	O
not	DOTAREM.xml:S1:942:3	O
reflect	DOTAREM.xml:S1:946:7	O
the	DOTAREM.xml:S1:954:3	O
rates	DOTAREM.xml:S1:958:5	O
observed	DOTAREM.xml:S1:964:8	O
in	DOTAREM.xml:S1:973:2	O
clinical	DOTAREM.xml:S1:976:8	O
practice	DOTAREM.xml:S1:985:8	O
.	DOTAREM.xml:S1:993:1	O

The	DOTAREM.xml:S1:999:3	O
data	DOTAREM.xml:S1:1003:4	O
described	DOTAREM.xml:S1:1008:9	O
below	DOTAREM.xml:S1:1018:5	O
reflect	DOTAREM.xml:S1:1024:7	O
DOTAREM	DOTAREM.xml:S1:1032:7	O
exposure	DOTAREM.xml:S1:1040:8	O
in	DOTAREM.xml:S1:1049:2	O
2813	DOTAREM.xml:S1:1052:4	O
patients	DOTAREM.xml:S1:1057:8	O
,	DOTAREM.xml:S1:1065:1	O
representing	DOTAREM.xml:S1:1067:12	O
2672	DOTAREM.xml:S1:1080:4	O
adults	DOTAREM.xml:S1:1085:6	O
and	DOTAREM.xml:S1:1092:3	O
141	DOTAREM.xml:S1:1096:3	O
pediatric	DOTAREM.xml:S1:1100:9	O
patients	DOTAREM.xml:S1:1110:8	O
.	DOTAREM.xml:S1:1118:1	O

Overall	DOTAREM.xml:S1:1120:7	O
,	DOTAREM.xml:S1:1127:1	O
55%	DOTAREM.xml:S1:1129:3	O
of	DOTAREM.xml:S1:1133:2	O
the	DOTAREM.xml:S1:1136:3	O
patients	DOTAREM.xml:S1:1140:8	O
were	DOTAREM.xml:S1:1149:4	O
men	DOTAREM.xml:S1:1154:3	O
.	DOTAREM.xml:S1:1157:1	O

In	DOTAREM.xml:S1:1159:2	O
clinical	DOTAREM.xml:S1:1162:8	O
trials	DOTAREM.xml:S1:1171:6	O
where	DOTAREM.xml:S1:1178:5	O
ethnicity	DOTAREM.xml:S1:1184:9	O
was	DOTAREM.xml:S1:1194:3	O
recorded	DOTAREM.xml:S1:1198:8	O
the	DOTAREM.xml:S1:1207:3	O
ethnic	DOTAREM.xml:S1:1211:6	O
distribution	DOTAREM.xml:S1:1218:12	O
was	DOTAREM.xml:S1:1231:3	O
74%	DOTAREM.xml:S1:1235:3	O
Caucasian	DOTAREM.xml:S1:1239:9	O
,	DOTAREM.xml:S1:1248:1	O
12%	DOTAREM.xml:S1:1250:3	O
Asian	DOTAREM.xml:S1:1254:5	O
,	DOTAREM.xml:S1:1259:1	O
4%	DOTAREM.xml:S1:1261:2	O
Black	DOTAREM.xml:S1:1264:5	O
,	DOTAREM.xml:S1:1269:1	O
and	DOTAREM.xml:S1:1271:3	O
10%	DOTAREM.xml:S1:1275:3	O
others	DOTAREM.xml:S1:1279:6	O
.	DOTAREM.xml:S1:1285:1	O

The	DOTAREM.xml:S1:1287:3	O
average	DOTAREM.xml:S1:1291:7	O
age	DOTAREM.xml:S1:1299:3	O
was	DOTAREM.xml:S1:1303:3	O
53	DOTAREM.xml:S1:1307:2	O
years	DOTAREM.xml:S1:1310:5	O
(	DOTAREM.xml:S1:1316:1	O
range	DOTAREM.xml:S1:1317:5	O
from	DOTAREM.xml:S1:1323:4	O
0.1	DOTAREM.xml:S1:1328:3	O
to	DOTAREM.xml:S1:1332:2	O
97	DOTAREM.xml:S1:1335:2	O
years	DOTAREM.xml:S1:1338:5	O
)	DOTAREM.xml:S1:1343:1	O
.	DOTAREM.xml:S1:1344:1	O

Overall	DOTAREM.xml:S1:1350:7	O
,	DOTAREM.xml:S1:1357:1	O
3.9%	DOTAREM.xml:S1:1359:4	O
of	DOTAREM.xml:S1:1364:2	O
patients	DOTAREM.xml:S1:1367:8	O
reported	DOTAREM.xml:S1:1376:8	O
at	DOTAREM.xml:S1:1385:2	O
least	DOTAREM.xml:S1:1388:5	O
one	DOTAREM.xml:S1:1394:3	O
adverse	DOTAREM.xml:S1:1398:7	O
reaction	DOTAREM.xml:S1:1406:8	O
,	DOTAREM.xml:S1:1414:1	O
primarily	DOTAREM.xml:S1:1416:9	O
occurring	DOTAREM.xml:S1:1426:9	O
immediately	DOTAREM.xml:S1:1436:11	O
or	DOTAREM.xml:S1:1448:2	O
several	DOTAREM.xml:S1:1451:7	O
days	DOTAREM.xml:S1:1459:4	O
following	DOTAREM.xml:S1:1464:9	O
DOTAREM	DOTAREM.xml:S1:1474:7	O
administration	DOTAREM.xml:S1:1482:14	O
.	DOTAREM.xml:S1:1496:1	O

Most	DOTAREM.xml:S1:1498:4	O
adverse	DOTAREM.xml:S1:1503:7	O
reactions	DOTAREM.xml:S1:1511:9	O
were	DOTAREM.xml:S1:1521:4	O
mild	DOTAREM.xml:S1:1526:4	O
or	DOTAREM.xml:S1:1531:2	O
moderate	DOTAREM.xml:S1:1534:8	O
in	DOTAREM.xml:S1:1543:2	O
severity	DOTAREM.xml:S1:1546:8	O
and	DOTAREM.xml:S1:1555:3	O
transient	DOTAREM.xml:S1:1559:9	O
in	DOTAREM.xml:S1:1569:2	O
nature	DOTAREM.xml:S1:1572:6	O
.	DOTAREM.xml:S1:1578:1	O

Table	DOTAREM.xml:S1:1584:5	O
2	DOTAREM.xml:S1:1590:1	O
lists	DOTAREM.xml:S1:1592:5	O
adverse	DOTAREM.xml:S1:1598:7	O
reactions	DOTAREM.xml:S1:1606:9	O
that	DOTAREM.xml:S1:1616:4	O
occurred	DOTAREM.xml:S1:1621:8	O
in	DOTAREM.xml:S1:1630:2	O
0.2%	DOTAREM.xml:S1:1636:4	O
patients	DOTAREM.xml:S1:1641:8	O
who	DOTAREM.xml:S1:1650:3	O
received	DOTAREM.xml:S1:1654:8	O
DOTAREM	DOTAREM.xml:S1:1663:7	O
.	DOTAREM.xml:S1:1670:1	O

Table	DOTAREM.xml:S1:1676:5	O
2	DOTAREM.xml:S1:1682:1	O
:	DOTAREM.xml:S1:1683:1	O
Adverse	DOTAREM.xml:S1:1685:7	O
Reactions	DOTAREM.xml:S1:1693:9	O
in	DOTAREM.xml:S1:1703:2	O
Clinical	DOTAREM.xml:S1:1706:8	O
Trials	DOTAREM.xml:S1:1715:6	O

Reaction	DOTAREM.xml:S1:1725:8	O
Rate	DOTAREM.xml:S1:1798:4	O
(	DOTAREM.xml:S1:1803:1	O
)	DOTAREM.xml:S1:1805:1	O
n	DOTAREM.xml:S1:1808:1	O
2813	DOTAREM.xml:S1:1810:4	O

Nausea	DOTAREM.xml:S1:1832:6	B-AdverseReaction
0.6%	DOTAREM.xml:S1:1911:4	O

Headache	DOTAREM.xml:S1:1939:8	B-AdverseReaction
0.5%	DOTAREM.xml:S1:2018:4	O

Injection	DOTAREM.xml:S1:2046:9	B-AdverseReaction
Site	DOTAREM.xml:S1:2056:4	I-AdverseReaction
Pain	DOTAREM.xml:S1:2061:4	I-AdverseReaction
0.4%	DOTAREM.xml:S1:2125:4	O

Injection	DOTAREM.xml:S1:2153:9	B-AdverseReaction
Site	DOTAREM.xml:S1:2163:4	I-AdverseReaction
Coldness	DOTAREM.xml:S1:2168:8	I-AdverseReaction
0.2%	DOTAREM.xml:S1:2232:4	O

Burning	DOTAREM.xml:S1:2260:7	B-AdverseReaction
Sensation	DOTAREM.xml:S1:2268:9	I-AdverseReaction
0.2%	DOTAREM.xml:S1:2339:4	O

Adverse	DOTAREM.xml:S1:2378:7	O

reactions	DOTAREM.xml:S1:2386:9	O

that	DOTAREM.xml:S1:2396:4	O
occurred	DOTAREM.xml:S1:2401:8	O
with	DOTAREM.xml:S1:2410:4	O
a	DOTAREM.xml:S1:2415:1	O
frequency	DOTAREM.xml:S1:2417:9	O
0.2%	DOTAREM.xml:S1:2429:4	O
in	DOTAREM.xml:S1:2434:2	O
patients	DOTAREM.xml:S1:2437:8	O
who	DOTAREM.xml:S1:2446:3	O
received	DOTAREM.xml:S1:2450:8	O
DOTAREM	DOTAREM.xml:S1:2459:7	O
include	DOTAREM.xml:S1:2467:7	O
:	DOTAREM.xml:S1:2474:1	O
feeling	DOTAREM.xml:S1:2476:7	B-AdverseReaction
cold	DOTAREM.xml:S1:2484:4	I-AdverseReaction
,	DOTAREM.xml:S1:2488:1	O
rash	DOTAREM.xml:S1:2490:4	B-AdverseReaction
,	DOTAREM.xml:S1:2494:1	O
somnolence	DOTAREM.xml:S1:2496:10	B-AdverseReaction
,	DOTAREM.xml:S1:2506:1	O
fatigue	DOTAREM.xml:S1:2508:7	B-AdverseReaction
,	DOTAREM.xml:S1:2515:1	O
dizziness	DOTAREM.xml:S1:2517:9	B-AdverseReaction
,	DOTAREM.xml:S1:2526:1	O
vomiting	DOTAREM.xml:S1:2528:8	B-AdverseReaction
,	DOTAREM.xml:S1:2536:1	O
pruritus	DOTAREM.xml:S1:2538:8	B-AdverseReaction
,	DOTAREM.xml:S1:2546:1	O
paresthesia	DOTAREM.xml:S1:2548:11	B-AdverseReaction
,	DOTAREM.xml:S1:2559:1	O
dysgeusia	DOTAREM.xml:S1:2561:9	B-AdverseReaction
,	DOTAREM.xml:S1:2570:1	O
pain	DOTAREM.xml:S1:2572:4	B-AdverseReaction
in	DOTAREM.xml:S1:2577:2	I-AdverseReaction
extremity	DOTAREM.xml:S1:2580:9	I-AdverseReaction
,	DOTAREM.xml:S1:2589:1	O
anxiety	DOTAREM.xml:S1:2591:7	B-AdverseReaction
,	DOTAREM.xml:S1:2598:1	O
hypertension	DOTAREM.xml:S1:2600:12	B-AdverseReaction
,	DOTAREM.xml:S1:2612:1	O
palpitations	DOTAREM.xml:S1:2614:12	B-AdverseReaction
,	DOTAREM.xml:S1:2626:1	O
oropharyngeal	DOTAREM.xml:S1:2628:13	B-AdverseReaction
discomfort	DOTAREM.xml:S1:2642:10	I-AdverseReaction
,	DOTAREM.xml:S1:2652:1	O
serum	DOTAREM.xml:S1:2654:5	B-AdverseReaction
creatinine	DOTAREM.xml:S1:2660:10	I-AdverseReaction
increased	DOTAREM.xml:S1:2671:9	I-AdverseReaction
and	DOTAREM.xml:S1:2681:3	O
injection	DOTAREM.xml:S1:2685:9	B-AdverseReaction
site	DOTAREM.xml:S1:2695:4	I-AdverseReaction
reactions	DOTAREM.xml:S1:2700:9	I-AdverseReaction
,	DOTAREM.xml:S1:2709:1	O
including	DOTAREM.xml:S1:2711:9	O
site	DOTAREM.xml:S1:2721:4	I-AdverseReaction
inflammation	DOTAREM.xml:S1:2726:12	I-AdverseReaction
,	DOTAREM.xml:S1:2738:1	O
extravasation	DOTAREM.xml:S1:2740:13	I-AdverseReaction
,	DOTAREM.xml:S1:2753:1	O
pruritus	DOTAREM.xml:S1:2755:8	I-AdverseReaction
,	DOTAREM.xml:S1:2763:1	O
and	DOTAREM.xml:S1:2765:3	O
warmth	DOTAREM.xml:S1:2769:6	I-AdverseReaction
.	DOTAREM.xml:S1:2775:1	O

Adverse	DOTAREM.xml:S1:2783:7	O
Reactions	DOTAREM.xml:S1:2791:9	O
in	DOTAREM.xml:S1:2801:2	O
Pediatric	DOTAREM.xml:S1:2804:9	O
Patients	DOTAREM.xml:S1:2814:8	O

During	DOTAREM.xml:S1:2829:6	O
clinical	DOTAREM.xml:S1:2836:8	O
trials	DOTAREM.xml:S1:2845:6	O
,	DOTAREM.xml:S1:2851:1	O
141	DOTAREM.xml:S1:2853:3	O
pediatric	DOTAREM.xml:S1:2857:9	O
patients	DOTAREM.xml:S1:2867:8	O
(	DOTAREM.xml:S1:2876:1	O
7	DOTAREM.xml:S1:2877:1	O
aged	DOTAREM.xml:S1:2879:4	O
24	DOTAREM.xml:S1:2886:2	O
months	DOTAREM.xml:S1:2889:6	O
,	DOTAREM.xml:S1:2895:1	O
33	DOTAREM.xml:S1:2897:2	O
aged	DOTAREM.xml:S1:2900:4	O
2	DOTAREM.xml:S1:2905:1	O
-	DOTAREM.xml:S1:2907:1	O
5	DOTAREM.xml:S1:2909:1	O
years	DOTAREM.xml:S1:2911:5	O
,	DOTAREM.xml:S1:2916:1	O
58	DOTAREM.xml:S1:2918:2	O
aged	DOTAREM.xml:S1:2921:4	O
6	DOTAREM.xml:S1:2926:1	O
-	DOTAREM.xml:S1:2928:1	O
11	DOTAREM.xml:S1:2930:2	O
years	DOTAREM.xml:S1:2933:5	O
and	DOTAREM.xml:S1:2939:3	O
43	DOTAREM.xml:S1:2943:2	O
aged	DOTAREM.xml:S1:2946:4	O
12	DOTAREM.xml:S1:2951:2	O
-	DOTAREM.xml:S1:2954:1	O
17	DOTAREM.xml:S1:2956:2	O
)	DOTAREM.xml:S1:2958:1	O
received	DOTAREM.xml:S1:2960:8	O
DOTAREM	DOTAREM.xml:S1:2969:7	O
.	DOTAREM.xml:S1:2976:1	O

Overall	DOTAREM.xml:S1:2978:7	O
,	DOTAREM.xml:S1:2985:1	O
6	DOTAREM.xml:S1:2987:1	O
pediatric	DOTAREM.xml:S1:2989:9	O
patients	DOTAREM.xml:S1:2999:8	O
(	DOTAREM.xml:S1:3008:1	O
4.3%	DOTAREM.xml:S1:3009:4	O
)	DOTAREM.xml:S1:3013:1	O
reported	DOTAREM.xml:S1:3015:8	O
at	DOTAREM.xml:S1:3024:2	O
least	DOTAREM.xml:S1:3027:5	O
one	DOTAREM.xml:S1:3033:3	O
adverse	DOTAREM.xml:S1:3037:7	O
reaction	DOTAREM.xml:S1:3045:8	O
following	DOTAREM.xml:S1:3054:9	O
DOTAREM	DOTAREM.xml:S1:3064:7	O
administration	DOTAREM.xml:S1:3072:14	O
.	DOTAREM.xml:S1:3086:1	O

The	DOTAREM.xml:S1:3088:3	O
most	DOTAREM.xml:S1:3092:4	O
frequently	DOTAREM.xml:S1:3097:10	O
reported	DOTAREM.xml:S1:3108:8	O
adverse	DOTAREM.xml:S1:3117:7	O
reaction	DOTAREM.xml:S1:3125:8	O
was	DOTAREM.xml:S1:3134:3	O
headache	DOTAREM.xml:S1:3138:8	B-AdverseReaction
(	DOTAREM.xml:S1:3147:1	O
1.5%	DOTAREM.xml:S1:3148:4	O
)	DOTAREM.xml:S1:3152:1	O
.	DOTAREM.xml:S1:3153:1	O

Most	DOTAREM.xml:S1:3155:4	O
adverse	DOTAREM.xml:S1:3160:7	O
events	DOTAREM.xml:S1:3168:6	O
were	DOTAREM.xml:S1:3175:4	O
mild	DOTAREM.xml:S1:3180:4	O
in	DOTAREM.xml:S1:3185:2	O
severity	DOTAREM.xml:S1:3188:8	O
and	DOTAREM.xml:S1:3197:3	O
transient	DOTAREM.xml:S1:3201:9	O
in	DOTAREM.xml:S1:3211:2	O
nature	DOTAREM.xml:S1:3214:6	O
,	DOTAREM.xml:S1:3220:1	O
and	DOTAREM.xml:S1:3222:3	O
all	DOTAREM.xml:S1:3226:3	O
patients	DOTAREM.xml:S1:3230:8	O
recovered	DOTAREM.xml:S1:3239:9	O
without	DOTAREM.xml:S1:3249:7	O
treatment	DOTAREM.xml:S1:3257:9	O
.	DOTAREM.xml:S1:3266:1	O

6.2	DOTAREM.xml:S1:3274:3	O
Postmarketing	DOTAREM.xml:S1:3278:13	O
Experience	DOTAREM.xml:S1:3292:10	O

The	DOTAREM.xml:S1:3306:3	O
following	DOTAREM.xml:S1:3310:9	O
additional	DOTAREM.xml:S1:3320:10	O
adverse	DOTAREM.xml:S1:3331:7	O
reactions	DOTAREM.xml:S1:3339:9	O
have	DOTAREM.xml:S1:3349:4	O
been	DOTAREM.xml:S1:3354:4	O
identified	DOTAREM.xml:S1:3359:10	O
during	DOTAREM.xml:S1:3370:6	O
postmarketing	DOTAREM.xml:S1:3377:13	O
use	DOTAREM.xml:S1:3391:3	O
of	DOTAREM.xml:S1:3395:2	O
DOTAREM	DOTAREM.xml:S1:3398:7	O
.	DOTAREM.xml:S1:3405:1	O

Because	DOTAREM.xml:S1:3407:7	O
these	DOTAREM.xml:S1:3415:5	O
reactions	DOTAREM.xml:S1:3421:9	O
are	DOTAREM.xml:S1:3431:3	O
reported	DOTAREM.xml:S1:3435:8	O
voluntarily	DOTAREM.xml:S1:3444:11	O
from	DOTAREM.xml:S1:3456:4	O
a	DOTAREM.xml:S1:3461:1	O
population	DOTAREM.xml:S1:3463:10	O
of	DOTAREM.xml:S1:3474:2	O
uncertain	DOTAREM.xml:S1:3477:9	O
size	DOTAREM.xml:S1:3487:4	O
,	DOTAREM.xml:S1:3491:1	O
it	DOTAREM.xml:S1:3493:2	O
is	DOTAREM.xml:S1:3496:2	O
not	DOTAREM.xml:S1:3499:3	O
always	DOTAREM.xml:S1:3503:6	O
possible	DOTAREM.xml:S1:3510:8	O
