6	DUREZOL.xml:S1:4:1	O
ADVERSE	DUREZOL.xml:S1:6:7	O
REACTIONS	DUREZOL.xml:S1:14:9	O

Adverse	DUREZOL.xml:S1:27:7	O
reactions	DUREZOL.xml:S1:35:9	O
associated	DUREZOL.xml:S1:45:10	O
with	DUREZOL.xml:S1:56:4	O
ophthalmic	DUREZOL.xml:S1:61:10	B-DrugClass
steroids	DUREZOL.xml:S1:72:8	I-DrugClass
include	DUREZOL.xml:S1:81:7	O
elevated	DUREZOL.xml:S1:89:8	B-AdverseReaction
intraocular	DUREZOL.xml:S1:98:11	I-AdverseReaction
pressure	DUREZOL.xml:S1:110:8	I-AdverseReaction
,	DUREZOL.xml:S1:118:1	O
which	DUREZOL.xml:S1:120:5	O
may	DUREZOL.xml:S1:126:3	O
be	DUREZOL.xml:S1:130:2	O
associated	DUREZOL.xml:S1:133:10	O
with	DUREZOL.xml:S1:144:4	O
optic	DUREZOL.xml:S1:149:5	B-AdverseReaction
nerve	DUREZOL.xml:S1:155:5	I-AdverseReaction
damage	DUREZOL.xml:S1:161:6	I-AdverseReaction
,	DUREZOL.xml:S1:167:1	O
visual	DUREZOL.xml:S1:169:6	B-AdverseReaction
acuity	DUREZOL.xml:S1:176:6	I-AdverseReaction
and	DUREZOL.xml:S1:183:3	O
field	DUREZOL.xml:S1:187:5	I-AdverseReaction
defects	DUREZOL.xml:S1:193:7	I-AdverseReaction
,	DUREZOL.xml:S1:200:1	O
posterior	DUREZOL.xml:S1:202:9	B-AdverseReaction
subcapsular	DUREZOL.xml:S1:212:11	I-AdverseReaction
cataract	DUREZOL.xml:S1:224:8	I-AdverseReaction
formation	DUREZOL.xml:S1:233:9	I-AdverseReaction
;	DUREZOL.xml:S1:242:1	O
secondary	DUREZOL.xml:S1:244:9	B-AdverseReaction
ocular	DUREZOL.xml:S1:254:6	I-AdverseReaction
infection	DUREZOL.xml:S1:261:9	I-AdverseReaction
from	DUREZOL.xml:S1:271:4	O
pathogens	DUREZOL.xml:S1:276:9	O
including	DUREZOL.xml:S1:286:9	O
herpes	DUREZOL.xml:S1:296:6	I-AdverseReaction
simplex	DUREZOL.xml:S1:303:7	I-AdverseReaction
,	DUREZOL.xml:S1:310:1	O
and	DUREZOL.xml:S1:312:3	O
perforation	DUREZOL.xml:S1:316:11	B-AdverseReaction
of	DUREZOL.xml:S1:328:2	I-AdverseReaction
the	DUREZOL.xml:S1:331:3	I-AdverseReaction
globe	DUREZOL.xml:S1:335:5	I-AdverseReaction
where	DUREZOL.xml:S1:341:5	O
there	DUREZOL.xml:S1:347:5	O
is	DUREZOL.xml:S1:353:2	O
thinning	DUREZOL.xml:S1:356:8	O
of	DUREZOL.xml:S1:365:2	O
the	DUREZOL.xml:S1:368:3	O
cornea	DUREZOL.xml:S1:372:6	O
or	DUREZOL.xml:S1:379:2	O
sclera	DUREZOL.xml:S1:382:6	O
.	DUREZOL.xml:S1:388:1	O

6.1	DUREZOL.xml:S1:396:3	O
Ocular	DUREZOL.xml:S1:400:6	O
Surgery	DUREZOL.xml:S1:407:7	O

Ocular	DUREZOL.xml:S1:418:6	B-AdverseReaction
adverse	DUREZOL.xml:S1:425:7	I-AdverseReaction
reactions	DUREZOL.xml:S1:433:9	I-AdverseReaction
occurring	DUREZOL.xml:S1:443:9	O
in	DUREZOL.xml:S1:453:2	O
5	DUREZOL.xml:S1:456:1	O
-	DUREZOL.xml:S1:457:1	O
15%	DUREZOL.xml:S1:458:3	O
of	DUREZOL.xml:S1:462:2	O
subjects	DUREZOL.xml:S1:465:8	O
in	DUREZOL.xml:S1:474:2	O
clinical	DUREZOL.xml:S1:477:8	O
studies	DUREZOL.xml:S1:486:7	O
with	DUREZOL.xml:S1:494:4	O
DUREZOL	DUREZOL.xml:S1:499:7	O
included	DUREZOL.xml:S1:507:8	O
corneal	DUREZOL.xml:S1:516:7	B-AdverseReaction
edema	DUREZOL.xml:S1:524:5	I-AdverseReaction
,	DUREZOL.xml:S1:529:1	O
ciliary	DUREZOL.xml:S1:531:7	B-AdverseReaction
and	DUREZOL.xml:S1:539:3	O
conjunctival	DUREZOL.xml:S1:543:12	B-AdverseReaction
hyperemia	DUREZOL.xml:S1:556:9	I-AdverseReaction
,	DUREZOL.xml:S1:565:1	O
eye	DUREZOL.xml:S1:567:3	B-AdverseReaction
pain	DUREZOL.xml:S1:571:4	I-AdverseReaction
,	DUREZOL.xml:S1:575:1	O
photophobia	DUREZOL.xml:S1:577:11	B-AdverseReaction
,	DUREZOL.xml:S1:588:1	O
posterior	DUREZOL.xml:S1:590:9	B-AdverseReaction
capsule	DUREZOL.xml:S1:600:7	I-AdverseReaction
opacification	DUREZOL.xml:S1:608:13	I-AdverseReaction
,	DUREZOL.xml:S1:621:1	O
anterior	DUREZOL.xml:S1:623:8	B-AdverseReaction
