6	DYSPORT.xml:S1:4:1	O
ADVERSE	DYSPORT.xml:S1:6:7	O
REACTIONS	DYSPORT.xml:S1:14:9	O

The	DYSPORT.xml:S1:27:3	O
following	DYSPORT.xml:S1:31:9	O
serious	DYSPORT.xml:S1:41:7	O
adverse	DYSPORT.xml:S1:49:7	O
reactions	DYSPORT.xml:S1:57:9	O
are	DYSPORT.xml:S1:67:3	O
discussed	DYSPORT.xml:S1:71:9	O
below	DYSPORT.xml:S1:81:5	O
and	DYSPORT.xml:S1:87:3	O
elsewhere	DYSPORT.xml:S1:91:9	O
in	DYSPORT.xml:S1:101:2	O
labeling	DYSPORT.xml:S1:104:8	O
:	DYSPORT.xml:S1:112:1	O

Distant	DYSPORT.xml:S1:121:7	B-AdverseReaction
Spread	DYSPORT.xml:S1:129:6	I-AdverseReaction
of	DYSPORT.xml:S1:136:2	I-AdverseReaction
Toxin	DYSPORT.xml:S1:139:5	I-AdverseReaction
Effect	DYSPORT.xml:S1:145:6	I-AdverseReaction
[	DYSPORT.xml:S1:152:1	O
seeBoxed	DYSPORT.xml:S1:153:8	O
Warning	DYSPORT.xml:S1:162:7	O
]	DYSPORT.xml:S1:169:1	O

Lack	DYSPORT.xml:S1:177:4	O
of	DYSPORT.xml:S1:182:2	O
Interchangeability	DYSPORT.xml:S1:185:18	O
between	DYSPORT.xml:S1:204:7	O
Botulinum	DYSPORT.xml:S1:212:9	O
Toxin	DYSPORT.xml:S1:222:5	O
Products	DYSPORT.xml:S1:228:8	O
[	DYSPORT.xml:S1:237:1	O
seeWarnings	DYSPORT.xml:S1:238:11	O
and	DYSPORT.xml:S1:250:3	O
Precautions	DYSPORT.xml:S1:254:11	O
(	DYSPORT.xml:S1:266:1	O
5.1	DYSPORT.xml:S1:267:3	O
)]	DYSPORT.xml:S1:270:2	O

Spread	DYSPORT.xml:S1:279:6	B-AdverseReaction
of	DYSPORT.xml:S1:286:2	I-AdverseReaction
Effects	DYSPORT.xml:S1:289:7	I-AdverseReaction
from	DYSPORT.xml:S1:297:4	I-AdverseReaction
Toxin	DYSPORT.xml:S1:302:5	I-AdverseReaction
[	DYSPORT.xml:S1:308:1	O
seeWarnings	DYSPORT.xml:S1:310:11	O
and	DYSPORT.xml:S1:322:3	O
Precautions	DYSPORT.xml:S1:326:11	O
(	DYSPORT.xml:S1:338:1	O
5.2	DYSPORT.xml:S1:339:3	O
)	DYSPORT.xml:S1:342:1	O
]	DYSPORT.xml:S1:344:1	O

Dysphagia	DYSPORT.xml:S1:351:9	B-AdverseReaction
and	DYSPORT.xml:S1:361:3	O
Breathing	DYSPORT.xml:S1:365:9	B-AdverseReaction
Difficulties	DYSPORT.xml:S1:375:12	I-AdverseReaction
[	DYSPORT.xml:S1:388:1	O
seeWarnings	DYSPORT.xml:S1:389:11	O
and	DYSPORT.xml:S1:401:3	O
Precautions	DYSPORT.xml:S1:405:11	O
(	DYSPORT.xml:S1:417:1	O
5.3	DYSPORT.xml:S1:418:3	O
)]	DYSPORT.xml:S1:421:2	O

Facial	DYSPORT.xml:S1:430:6	O
Anatomy	DYSPORT.xml:S1:437:7	O
