6	ELIQUIS.xml:S1:4:1	O
ADVERSE	ELIQUIS.xml:S1:6:7	O
REACTIONS	ELIQUIS.xml:S1:14:9	O

The	ELIQUIS.xml:S1:27:3	O
following	ELIQUIS.xml:S1:31:9	O
serious	ELIQUIS.xml:S1:41:7	O
adverse	ELIQUIS.xml:S1:49:7	O
reactions	ELIQUIS.xml:S1:57:9	O
are	ELIQUIS.xml:S1:67:3	O
discussed	ELIQUIS.xml:S1:71:9	O
in	ELIQUIS.xml:S1:81:2	O
greater	ELIQUIS.xml:S1:84:7	O
detail	ELIQUIS.xml:S1:92:6	O
in	ELIQUIS.xml:S1:99:2	O
other	ELIQUIS.xml:S1:102:5	O
sections	ELIQUIS.xml:S1:108:8	O
of	ELIQUIS.xml:S1:117:2	O
the	ELIQUIS.xml:S1:120:3	O
prescribing	ELIQUIS.xml:S1:124:11	O
information	ELIQUIS.xml:S1:136:11	O
.	ELIQUIS.xml:S1:147:1	O

?	ELIQUIS.xml:S1:156:1	O

Increased	ELIQUIS.xml:S1:159:9	O
risk	ELIQUIS.xml:S1:169:4	B-Factor
of	ELIQUIS.xml:S1:174:2	O
thrombotic	ELIQUIS.xml:S1:177:10	B-AdverseReaction
events	ELIQUIS.xml:S1:188:6	I-AdverseReaction
after	ELIQUIS.xml:S1:195:5	O
premature	ELIQUIS.xml:S1:201:9	O
discontinuation	ELIQUIS.xml:S1:211:15	O
[	ELIQUIS.xml:S1:227:1	O
seeWarnings	ELIQUIS.xml:S1:228:11	O
and	ELIQUIS.xml:S1:240:3	O
Precautions	ELIQUIS.xml:S1:244:11	O
(	ELIQUIS.xml:S1:256:1	O
5.1	ELIQUIS.xml:S1:257:3	O
)]	ELIQUIS.xml:S1:260:2	O

?	ELIQUIS.xml:S1:269:1	O

Bleeding	ELIQUIS.xml:S1:272:8	B-AdverseReaction
[	ELIQUIS.xml:S1:281:1	O
seeWarnings	ELIQUIS.xml:S1:282:11	O
and	ELIQUIS.xml:S1:294:3	O
Precautions	ELIQUIS.xml:S1:298:11	O
(	ELIQUIS.xml:S1:310:1	O
5.2	ELIQUIS.xml:S1:311:3	O
)]	ELIQUIS.xml:S1:314:2	O

?	ELIQUIS.xml:S1:323:1	O

Spinal	ELIQUIS.xml:S1:326:6	O
epidural	ELIQUIS.xml:S1:333:8	O
anesthesia	ELIQUIS.xml:S1:342:10	O
or	ELIQUIS.xml:S1:353:2	O
puncture	ELIQUIS.xml:S1:356:8	O
[	ELIQUIS.xml:S1:365:1	O
seeWarnings	ELIQUIS.xml:S1:366:11	O
and	ELIQUIS.xml:S1:378:3	O
Precautions	ELIQUIS.xml:S1:382:11	O
(	ELIQUIS.xml:S1:394:1	O
5.3	ELIQUIS.xml:S1:395:3	O
)]	ELIQUIS.xml:S1:398:2	O

EXCERPT	ELIQUIS.xml:S1:409:7	O
:	ELIQUIS.xml:S1:416:1	O
