6	EOVIST.xml:S1:4:1	O
ADVERSE	EOVIST.xml:S1:6:7	O
REACTIONS	EOVIST.xml:S1:14:9	O

The	EOVIST.xml:S1:27:3	O
following	EOVIST.xml:S1:31:9	O
serious	EOVIST.xml:S1:41:7	O
adverse	EOVIST.xml:S1:49:7	O
reactionsare	EOVIST.xml:S1:57:12	O
discussed	EOVIST.xml:S1:70:9	O
elsewhere	EOVIST.xml:S1:80:9	O
in	EOVIST.xml:S1:90:2	O
the	EOVIST.xml:S1:93:3	O
labeling	EOVIST.xml:S1:97:8	O
:	EOVIST.xml:S1:105:1	O

Nephrogenic	EOVIST.xml:S1:116:11	B-AdverseReaction
systemic	EOVIST.xml:S1:128:8	I-AdverseReaction
fibrosis	EOVIST.xml:S1:137:8	I-AdverseReaction
(	EOVIST.xml:S1:146:1	O
NSF	EOVIST.xml:S1:147:3	B-AdverseReaction
)	EOVIST.xml:S1:150:1	O
[	EOVIST.xml:S1:152:1	O
see	EOVIST.xml:S1:153:3	O
Boxed	EOVIST.xml:S1:157:5	O
Warning	EOVIST.xml:S1:163:7	O
and	EOVIST.xml:S1:171:3	O
Warnings	EOVIST.xml:S1:175:8	O
and	EOVIST.xml:S1:184:3	O
Precautions	EOVIST.xml:S1:188:11	O
(	EOVIST.xml:S1:200:1	O
5.1	EOVIST.xml:S1:203:3	O
)]	EOVIST.xml:S1:208:2	O

Hypersensitivity	EOVIST.xml:S1:219:16	B-AdverseReaction
reactions	EOVIST.xml:S1:236:9	I-AdverseReaction
[	EOVIST.xml:S1:246:1	O
see	EOVIST.xml:S1:247:3	O
Contraindications	EOVIST.xml:S1:251:17	O
(	EOVIST.xml:S1:269:1	O
4	EOVIST.xml:S1:272:1	O
)	EOVIST.xml:S1:275:1	O
and	EOVIST.xml:S1:277:3	O
Warnings	EOVIST.xml:S1:281:8	O
and	EOVIST.xml:S1:290:3	O
Precautions	EOVIST.xml:S1:294:11	O
(	EOVIST.xml:S1:306:1	O
