6	ERWINAZE.xml:S1:4:1	O
ADVERSE	ERWINAZE.xml:S1:6:7	O
REACTIONS	ERWINAZE.xml:S1:14:9	O

The	ERWINAZE.xml:S1:27:3	O
following	ERWINAZE.xml:S1:31:9	O
serious	ERWINAZE.xml:S1:41:7	O
adverse	ERWINAZE.xml:S1:49:7	O
reactions	ERWINAZE.xml:S1:57:9	O
are	ERWINAZE.xml:S1:67:3	O
discussed	ERWINAZE.xml:S1:71:9	O
in	ERWINAZE.xml:S1:81:2	O
greater	ERWINAZE.xml:S1:84:7	O
detail	ERWINAZE.xml:S1:92:6	O
in	ERWINAZE.xml:S1:99:2	O
other	ERWINAZE.xml:S1:102:5	O
sections	ERWINAZE.xml:S1:108:8	O
of	ERWINAZE.xml:S1:117:2	O
the	ERWINAZE.xml:S1:120:3	O
label	ERWINAZE.xml:S1:124:5	O
:	ERWINAZE.xml:S1:129:1	O

Hypersensitivity	ERWINAZE.xml:S1:140:16	B-AdverseReaction
reactions	ERWINAZE.xml:S1:157:9	I-AdverseReaction
[	ERWINAZE.xml:S1:167:1	O
see	ERWINAZE.xml:S1:169:3	O
Warnings	ERWINAZE.xml:S1:173:8	O
and	ERWINAZE.xml:S1:182:3	O
Precautions	ERWINAZE.xml:S1:186:11	O
(	ERWINAZE.xml:S1:198:1	O
5.1	ERWINAZE.xml:S1:199:3	O
)	ERWINAZE.xml:S1:202:1	O
]	ERWINAZE.xml:S1:204:1	O

Pancreatitis	ERWINAZE.xml:S1:213:12	B-AdverseReaction
[	ERWINAZE.xml:S1:226:1	O
see	ERWINAZE.xml:S1:228:3	O
Warnings	ERWINAZE.xml:S1:232:8	O
and	ERWINAZE.xml:S1:241:3	O
Precautions	ERWINAZE.xml:S1:245:11	O
(	ERWINAZE.xml:S1:257:1	O
5.2	ERWINAZE.xml:S1:258:3	O
)	ERWINAZE.xml:S1:261:1	O
]	ERWINAZE.xml:S1:263:1	O

Glucose	ERWINAZE.xml:S1:272:7	B-AdverseReaction
intolerance	ERWINAZE.xml:S1:280:11	I-AdverseReaction
[	ERWINAZE.xml:S1:292:1	O
see	ERWINAZE.xml:S1:294:3	O
Warnings	ERWINAZE.xml:S1:298:8	O
and	ERWINAZE.xml:S1:307:3	O
Precautions	ERWINAZE.xml:S1:311:11	O
(	ERWINAZE.xml:S1:323:1	O
5.3	ERWINAZE.xml:S1:324:3	O
)	ERWINAZE.xml:S1:327:1	O
]	ERWINAZE.xml:S1:329:1	O

Thrombosis	ERWINAZE.xml:S1:338:10	B-AdverseReaction
and	ERWINAZE.xml:S1:349:3	O
hemorrhage	ERWINAZE.xml:S1:353:10	B-AdverseReaction
[	ERWINAZE.xml:S1:364:1	O
see	ERWINAZE.xml:S1:366:3	O
Warnings	ERWINAZE.xml:S1:370:8	O
and	ERWINAZE.xml:S1:379:3	O
Precautions	ERWINAZE.xml:S1:383:11	O
(	ERWINAZE.xml:S1:395:1	O
5.4	ERWINAZE.xml:S1:396:3	O
)	ERWINAZE.xml:S1:399:1	O
]	ERWINAZE.xml:S1:401:1	O

The	ERWINAZE.xml:S1:408:3	O
most	ERWINAZE.xml:S1:412:4	O
common	ERWINAZE.xml:S1:417:6	O
adverse	ERWINAZE.xml:S1:424:7	O
reactions	ERWINAZE.xml:S1:432:9	O
(	ERWINAZE.xml:S1:442:1	O
incidence	ERWINAZE.xml:S1:443:9	O
1%	ERWINAZE.xml:S1:453:2	O
or	ERWINAZE.xml:S1:456:2	O
greater	ERWINAZE.xml:S1:459:7	O
)	ERWINAZE.xml:S1:466:1	O
with	ERWINAZE.xml:S1:468:4	O
ERWINAZE	ERWINAZE.xml:S1:473:8	O
treatment	ERWINAZE.xml:S1:482:9	O
are	ERWINAZE.xml:S1:492:3	O
systemic	ERWINAZE.xml:S1:496:8	B-AdverseReaction
hypersensitivity	ERWINAZE.xml:S1:505:16	I-AdverseReaction
,	ERWINAZE.xml:S1:521:1	O
hyperglycemia	ERWINAZE.xml:S1:523:13	B-AdverseReaction
,	ERWINAZE.xml:S1:536:1	O
transaminases	ERWINAZE.xml:S1:538:13	B-AdverseReaction
abnormal	ERWINAZE.xml:S1:552:8	I-AdverseReaction
,	ERWINAZE.xml:S1:560:1	O
fever	ERWINAZE.xml:S1:562:5	B-AdverseReaction
,	ERWINAZE.xml:S1:567:1	O
pancreatitis	ERWINAZE.xml:S1:569:12	B-AdverseReaction
,	ERWINAZE.xml:S1:581:1	O
local	ERWINAZE.xml:S1:583:5	B-AdverseReaction
reactions	ERWINAZE.xml:S1:589:9	I-AdverseReaction
,	ERWINAZE.xml:S1:598:1	O
vomiting	ERWINAZE.xml:S1:600:8	B-AdverseReaction
,	ERWINAZE.xml:S1:608:1	O
nausea	ERWINAZE.xml:S1:610:6	B-AdverseReaction
,	ERWINAZE.xml:S1:616:1	O
thrombosis	ERWINAZE.xml:S1:618:10	B-AdverseReaction
,	ERWINAZE.xml:S1:628:1	O
hyperbilirubinemia	ERWINAZE.xml:S1:630:18	B-AdverseReaction
,	ERWINAZE.xml:S1:648:1	O
abdominal	ERWINAZE.xml:S1:650:9	B-AdverseReaction
pain	ERWINAZE.xml:S1:660:4	I-AdverseReaction
discomfort	ERWINAZE.xml:S1:665:10	I-AdverseReaction
,	ERWINAZE.xml:S1:675:1	O
and	ERWINAZE.xml:S1:677:3	O
diarrhea	ERWINAZE.xml:S1:681:8	B-AdverseReaction
.	ERWINAZE.xml:S1:689:1	O

EXCERPT	ERWINAZE.xml:S1:697:7	O

:	ERWINAZE.xml:S1:704:1	O
Most	ERWINAZE.xml:S1:708:4	O
common	ERWINAZE.xml:S1:713:6	O
adverse	ERWINAZE.xml:S1:720:7	O
reactions	ERWINAZE.xml:S1:728:9	O
(	ERWINAZE.xml:S1:738:1	O
incidence	ERWINAZE.xml:S1:739:9	O
1%	ERWINAZE.xml:S1:749:2	O
or	ERWINAZE.xml:S1:752:2	O
greater	ERWINAZE.xml:S1:755:7	O
)	ERWINAZE.xml:S1:762:1	O
are	ERWINAZE.xml:S1:764:3	O
:	ERWINAZE.xml:S1:767:1	O
systemic	ERWINAZE.xml:S1:769:8	B-AdverseReaction
hypersensitivity	ERWINAZE.xml:S1:778:16	I-AdverseReaction
,	ERWINAZE.xml:S1:794:1	O
hyperglycemia	ERWINAZE.xml:S1:796:13	B-AdverseReaction
,	ERWINAZE.xml:S1:809:1	O
transaminases	ERWINAZE.xml:S1:811:13	B-AdverseReaction
abnormal	ERWINAZE.xml:S1:825:8	I-AdverseReaction
,	ERWINAZE.xml:S1:833:1	O
fever	ERWINAZE.xml:S1:835:5	B-AdverseReaction
,	ERWINAZE.xml:S1:840:1	O
pancreatitis	ERWINAZE.xml:S1:842:12	B-AdverseReaction
,	ERWINAZE.xml:S1:854:1	O
local	ERWINAZE.xml:S1:856:5	B-AdverseReaction
reactions	ERWINAZE.xml:S1:862:9	I-AdverseReaction
,	ERWINAZE.xml:S1:871:1	O
vomiting	ERWINAZE.xml:S1:873:8	B-AdverseReaction
,	ERWINAZE.xml:S1:881:1	O
nausea	ERWINAZE.xml:S1:883:6	B-AdverseReaction
,	ERWINAZE.xml:S1:889:1	O
thrombosis	ERWINAZE.xml:S1:891:10	B-AdverseReaction
,	ERWINAZE.xml:S1:901:1	O
hyperbilirubinemia	ERWINAZE.xml:S1:903:18	B-AdverseReaction
,	ERWINAZE.xml:S1:921:1	O
abdominal	ERWINAZE.xml:S1:923:9	B-AdverseReaction
pain	ERWINAZE.xml:S1:933:4	I-AdverseReaction
discomfort	ERWINAZE.xml:S1:938:10	I-AdverseReaction
,	ERWINAZE.xml:S1:948:1	O
and	ERWINAZE.xml:S1:950:3	O
diarrhea	ERWINAZE.xml:S1:954:8	B-AdverseReaction
.	ERWINAZE.xml:S1:962:1	O

To	ERWINAZE.xml:S1:965:2	O
report	ERWINAZE.xml:S1:968:6	O
SUSPECTED	ERWINAZE.xml:S1:975:9	O
ADVERSE	ERWINAZE.xml:S1:985:7	O
REACTIONS	ERWINAZE.xml:S1:993:9	O
,	ERWINAZE.xml:S1:1002:1	O
contact	ERWINAZE.xml:S1:1004:7	O
Jazz	ERWINAZE.xml:S1:1012:4	O
Pharmaceuticals	ERWINAZE.xml:S1:1017:15	O
,	ERWINAZE.xml:S1:1032:1	O
Inc	ERWINAZE.xml:S1:1034:3	O
.	ERWINAZE.xml:S1:1037:1	O

at	ERWINAZE.xml:S1:1039:2	O
1	ERWINAZE.xml:S1:1042:1	O
-	ERWINAZE.xml:S1:1043:1	O
800	ERWINAZE.xml:S1:1044:3	O
-	ERWINAZE.xml:S1:1047:1	O
520	ERWINAZE.xml:S1:1048:3	O
-	ERWINAZE.xml:S1:1051:1	O
5568	ERWINAZE.xml:S1:1052:4	O
or	ERWINAZE.xml:S1:1057:2	O
FDA	ERWINAZE.xml:S1:1060:3	O
at	ERWINAZE.xml:S1:1064:2	O
1	ERWINAZE.xml:S1:1067:1	O
-	ERWINAZE.xml:S1:1068:1	O
800	ERWINAZE.xml:S1:1069:3	O
-	ERWINAZE.xml:S1:1072:1	O
FDA	ERWINAZE.xml:S1:1073:3	O
-	ERWINAZE.xml:S1:1076:1	O
1088	ERWINAZE.xml:S1:1077:4	O
or	ERWINAZE.xml:S1:1082:2	O
www	ERWINAZE.xml:S1:1088:3	O
.	ERWINAZE.xml:S1:1091:1	O
fda	ERWINAZE.xml:S1:1092:3	O
.	ERWINAZE.xml:S1:1095:1	O
gov	ERWINAZE.xml:S1:1096:3	O
medwatch	ERWINAZE.xml:S1:1100:8	O

6.1	ERWINAZE.xml:S1:1123:3	O

Clinical	ERWINAZE.xml:S1:1127:8	O
Studies	ERWINAZE.xml:S1:1136:7	O

Because	ERWINAZE.xml:S1:1147:7	O
clinical	ERWINAZE.xml:S1:1155:8	O
trials	ERWINAZE.xml:S1:1164:6	O
are	ERWINAZE.xml:S1:1171:3	O
conducted	ERWINAZE.xml:S1:1175:9	O
under	ERWINAZE.xml:S1:1185:5	O
controlled	ERWINAZE.xml:S1:1191:10	O
,	ERWINAZE.xml:S1:1201:1	O
but	ERWINAZE.xml:S1:1203:3	O
widely	ERWINAZE.xml:S1:1207:6	O
varying	ERWINAZE.xml:S1:1214:7	O
conditions	ERWINAZE.xml:S1:1222:10	O
,	ERWINAZE.xml:S1:1232:1	O
adverse	ERWINAZE.xml:S1:1234:7	O
reaction	ERWINAZE.xml:S1:1242:8	O
rates	ERWINAZE.xml:S1:1251:5	O
observed	ERWINAZE.xml:S1:1257:8	O
in	ERWINAZE.xml:S1:1266:2	O
clinical	ERWINAZE.xml:S1:1269:8	O
trials	ERWINAZE.xml:S1:1278:6	O
of	ERWINAZE.xml:S1:1285:2	O
ERWINAZE	ERWINAZE.xml:S1:1288:8	O
cannot	ERWINAZE.xml:S1:1297:6	O
be	ERWINAZE.xml:S1:1304:2	O
directly	ERWINAZE.xml:S1:1307:8	O
compared	ERWINAZE.xml:S1:1316:8	O
to	ERWINAZE.xml:S1:1325:2	O
rates	ERWINAZE.xml:S1:1328:5	O
in	ERWINAZE.xml:S1:1334:2	O
the	ERWINAZE.xml:S1:1337:3	O
clinical	ERWINAZE.xml:S1:1341:8	O
trials	ERWINAZE.xml:S1:1350:6	O
of	ERWINAZE.xml:S1:1357:2	O
other	ERWINAZE.xml:S1:1360:5	O
drugs	ERWINAZE.xml:S1:1366:5	O
and	ERWINAZE.xml:S1:1372:3	O
may	ERWINAZE.xml:S1:1376:3	O
not	ERWINAZE.xml:S1:1380:3	O
reflect	ERWINAZE.xml:S1:1384:7	O
the	ERWINAZE.xml:S1:1392:3	O
rates	ERWINAZE.xml:S1:1396:5	O
observed	ERWINAZE.xml:S1:1402:8	O
in	ERWINAZE.xml:S1:1411:2	O
practice	ERWINAZE.xml:S1:1414:8	O
.	ERWINAZE.xml:S1:1422:1	O

The	ERWINAZE.xml:S1:1428:3	O
data	ERWINAZE.xml:S1:1432:4	O
presented	ERWINAZE.xml:S1:1437:9	O
below	ERWINAZE.xml:S1:1447:5	O
are	ERWINAZE.xml:S1:1453:3	O
based	ERWINAZE.xml:S1:1457:5	O
on	ERWINAZE.xml:S1:1463:2	O
