6	FARXIGA.xml:S1:4:1	O
ADVERSE	FARXIGA.xml:S1:6:7	O
REACTIONS	FARXIGA.xml:S1:14:9	O

The	FARXIGA.xml:S1:27:3	O
following	FARXIGA.xml:S1:31:9	O
important	FARXIGA.xml:S1:41:9	O
adverse	FARXIGA.xml:S1:51:7	O
reactions	FARXIGA.xml:S1:59:9	O
are	FARXIGA.xml:S1:69:3	O
described	FARXIGA.xml:S1:73:9	O
below	FARXIGA.xml:S1:83:5	O
and	FARXIGA.xml:S1:89:3	O
elsewhere	FARXIGA.xml:S1:93:9	O
in	FARXIGA.xml:S1:103:2	O
the	FARXIGA.xml:S1:106:3	O
labeling	FARXIGA.xml:S1:110:8	O
:	FARXIGA.xml:S1:118:1	O

Hypotension	FARXIGA.xml:S1:129:11	B-AdverseReaction
[	FARXIGA.xml:S1:141:1	O
see	FARXIGA.xml:S1:142:3	O
Warnings	FARXIGA.xml:S1:147:8	O
and	FARXIGA.xml:S1:156:3	O
Precautions	FARXIGA.xml:S1:160:11	O
(	FARXIGA.xml:S1:172:1	O
5.1	FARXIGA.xml:S1:173:3	O
)	FARXIGA.xml:S1:176:1	O
]	FARXIGA.xml:S1:179:1	O

Impairment	FARXIGA.xml:S1:189:10	B-AdverseReaction
in	FARXIGA.xml:S1:200:2	I-AdverseReaction
Renal	FARXIGA.xml:S1:203:5	I-AdverseReaction
Function	FARXIGA.xml:S1:209:8	I-AdverseReaction
[	FARXIGA.xml:S1:218:1	O
see	FARXIGA.xml:S1:219:3	O
Warnings	FARXIGA.xml:S1:224:8	O
and	FARXIGA.xml:S1:233:3	O
Precautions	FARXIGA.xml:S1:237:11	O
(	FARXIGA.xml:S1:249:1	O
5.2	FARXIGA.xml:S1:250:3	O
)	FARXIGA.xml:S1:253:1	O
]	FARXIGA.xml:S1:256:1	O

Hypoglycemia	FARXIGA.xml:S1:266:12	B-AdverseReaction
with	FARXIGA.xml:S1:279:4	O
Concomitant	FARXIGA.xml:S1:284:11	O
Use	FARXIGA.xml:S1:296:3	O
with	FARXIGA.xml:S1:300:4	O
Insulin	FARXIGA.xml:S1:305:7	O
and	FARXIGA.xml:S1:313:3	O
Insulin	FARXIGA.xml:S1:317:7	O
Secretagogues	FARXIGA.xml:S1:325:13	O
[	FARXIGA.xml:S1:339:1	O
see	FARXIGA.xml:S1:340:3	O
Warnings	FARXIGA.xml:S1:345:8	O
and	FARXIGA.xml:S1:354:3	O
Precautions	FARXIGA.xml:S1:358:11	O
(	FARXIGA.xml:S1:370:1	O
5.3	FARXIGA.xml:S1:371:3	O
)	FARXIGA.xml:S1:374:1	O
]	FARXIGA.xml:S1:377:1	O

Genital	FARXIGA.xml:S1:387:7	B-AdverseReaction
Mycotic	FARXIGA.xml:S1:395:7	I-AdverseReaction
Infections	FARXIGA.xml:S1:403:10	I-AdverseReaction
