6	FERRIPROX.xml:S1:4:1	O
ADVERSE	FERRIPROX.xml:S1:6:7	O
REACTIONS	FERRIPROX.xml:S1:14:9	O

EXCERPT	FERRIPROX.xml:S1:30:7	O
:	FERRIPROX.xml:S1:37:1	O
The	FERRIPROX.xml:S1:45:3	O
most	FERRIPROX.xml:S1:49:4	O
common	FERRIPROX.xml:S1:54:6	O
adverse	FERRIPROX.xml:S1:61:7	O
reactions	FERRIPROX.xml:S1:69:9	O
are	FERRIPROX.xml:S1:79:3	O
(	FERRIPROX.xml:S1:83:1	O
incidence	FERRIPROX.xml:S1:84:9	O
5%	FERRIPROX.xml:S1:97:2	O
)	FERRIPROX.xml:S1:99:1	O
chromaturia	FERRIPROX.xml:S1:101:11	B-AdverseReaction
,	FERRIPROX.xml:S1:112:1	O
nausea	FERRIPROX.xml:S1:114:6	B-AdverseReaction
,	FERRIPROX.xml:S1:120:1	O
vomiting	FERRIPROX.xml:S1:122:8	B-AdverseReaction
and	FERRIPROX.xml:S1:131:3	O
abdominal	FERRIPROX.xml:S1:135:9	B-AdverseReaction
pain	FERRIPROX.xml:S1:145:4	I-AdverseReaction
,	FERRIPROX.xml:S1:149:1	O
alanine	FERRIPROX.xml:S1:151:7	B-AdverseReaction
aminotransferase	FERRIPROX.xml:S1:159:16	I-AdverseReaction
increased	FERRIPROX.xml:S1:176:9	I-AdverseReaction
,	FERRIPROX.xml:S1:185:1	O
arthralgia	FERRIPROX.xml:S1:187:10	B-AdverseReaction
and	FERRIPROX.xml:S1:198:3	O
neutropenia	FERRIPROX.xml:S1:202:11	B-AdverseReaction
.	FERRIPROX.xml:S1:213:1	O

(	FERRIPROX.xml:S1:215:1	O
5.1	FERRIPROX.xml:S1:218:3	O
,	FERRIPROX.xml:S1:223:1	O
6	FERRIPROX.xml:S1:226:1	O
)	FERRIPROX.xml:S1:229:1	O

To	FERRIPROX.xml:S1:242:2	O

report	FERRIPROX.xml:S1:245:6	O

SUSPECTED	FERRIPROX.xml:S1:252:9	O
ADVERSE	FERRIPROX.xml:S1:262:7	O
REACTIONS	FERRIPROX.xml:S1:270:9	O
,	FERRIPROX.xml:S1:279:1	O
contact	FERRIPROX.xml:S1:281:7	O
ApoPharma	FERRIPROX.xml:S1:289:9	O
Inc	FERRIPROX.xml:S1:299:3	O
.	FERRIPROX.xml:S1:302:1	O

at	FERRIPROX.xml:S1:304:2	O
:	FERRIPROX.xml:S1:306:1	O
Telephone	FERRIPROX.xml:S1:309:9	O
:	FERRIPROX.xml:S1:318:1	O
1	FERRIPROX.xml:S1:320:1	O
-	FERRIPROX.xml:S1:321:1	O
866	FERRIPROX.xml:S1:322:3	O
-	FERRIPROX.xml:S1:325:1	O
949	FERRIPROX.xml:S1:326:3	O
-	FERRIPROX.xml:S1:329:1	O
0995	FERRIPROX.xml:S1:330:4	O

Email	FERRIPROX.xml:S1:341:5	O
:	FERRIPROX.xml:S1:346:1	O
medicalsafety	FERRIPROX.xml:S1:351:13	O
apopharma	FERRIPROX.xml:S1:365:9	O
.	FERRIPROX.xml:S1:374:1	O
com	FERRIPROX.xml:S1:375:3	O
or	FERRIPROX.xml:S1:382:2	O
FDA	FERRIPROX.xml:S1:385:3	O
at	FERRIPROX.xml:S1:389:2	O
1	FERRIPROX.xml:S1:392:1	O
-	FERRIPROX.xml:S1:393:1	O
800	FERRIPROX.xml:S1:394:3	O
-	FERRIPROX.xml:S1:397:1	O
FDA	FERRIPROX.xml:S1:398:3	O
-	FERRIPROX.xml:S1:401:1	O
1088	FERRIPROX.xml:S1:402:4	O
or	FERRIPROX.xml:S1:407:2	O
www	FERRIPROX.xml:S1:417:3	O
.	FERRIPROX.xml:S1:420:1	O
fda	FERRIPROX.xml:S1:421:3	O
.	FERRIPROX.xml:S1:424:1	O
gov	FERRIPROX.xml:S1:425:3	O
medwatch	FERRIPROX.xml:S1:429:8	O

6.1	FERRIPROX.xml:S1:451:3	O

Clinical	FERRIPROX.xml:S1:455:8	O
Trial	FERRIPROX.xml:S1:464:5	O
Experience	FERRIPROX.xml:S1:470:10	O

The	FERRIPROX.xml:S1:484:3	O
following	FERRIPROX.xml:S1:488:9	O
adverse	FERRIPROX.xml:S1:498:7	O
reactions	FERRIPROX.xml:S1:506:9	O
are	FERRIPROX.xml:S1:516:3	O
also	FERRIPROX.xml:S1:520:4	O
discussed	FERRIPROX.xml:S1:525:9	O
in	FERRIPROX.xml:S1:535:2	O
other	FERRIPROX.xml:S1:538:5	O
sections	FERRIPROX.xml:S1:544:8	O
of	FERRIPROX.xml:S1:553:2	O
the	FERRIPROX.xml:S1:556:3	O
labeling	FERRIPROX.xml:S1:560:8	O
:	FERRIPROX.xml:S1:568:1	O
Agranulocytosis	FERRIPROX.xml:S1:570:15	B-AdverseReaction
Neutropenia	FERRIPROX.xml:S1:586:11	B-AdverseReaction
[	FERRIPROX.xml:S1:599:1	O
see	FERRIPROX.xml:S1:600:3	O
Warnings	FERRIPROX.xml:S1:605:8	O
and	FERRIPROX.xml:S1:614:3	O
Precautions	FERRIPROX.xml:S1:618:11	O
(	FERRIPROX.xml:S1:630:1	O
5.1	FERRIPROX.xml:S1:631:3	O
)	FERRIPROX.xml:S1:634:1	O
]	FERRIPROX.xml:S1:637:1	O
.	FERRIPROX.xml:S1:640:1	O

Elevated	FERRIPROX.xml:S1:642:8	B-AdverseReaction
ALT	FERRIPROX.xml:S1:651:3	I-AdverseReaction
(	FERRIPROX.xml:S1:656:1	O
5.3	FERRIPROX.xml:S1:657:3	O
)	FERRIPROX.xml:S1:660:1	O
,	FERRIPROX.xml:S1:663:1	O
Decreased	FERRIPROX.xml:S1:665:9	B-AdverseReaction
plasma	FERRIPROX.xml:S1:675:6	I-AdverseReaction
zinc	FERRIPROX.xml:S1:682:4	I-AdverseReaction
concentrations	FERRIPROX.xml:S1:687:14	I-AdverseReaction
(	FERRIPROX.xml:S1:703:1	O
5.3	FERRIPROX.xml:S1:704:3	O
)	FERRIPROX.xml:S1:707:1	O
.	FERRIPROX.xml:S1:710:1	O

Because	FERRIPROX.xml:S1:716:7	O
clinical	FERRIPROX.xml:S1:724:8	O
trials	FERRIPROX.xml:S1:733:6	O
are	FERRIPROX.xml:S1:740:3	O
conducted	FERRIPROX.xml:S1:744:9	O
under	FERRIPROX.xml:S1:754:5	O
widely	FERRIPROX.xml:S1:760:6	O
varying	FERRIPROX.xml:S1:767:7	O
conditions	FERRIPROX.xml:S1:775:10	O
,	FERRIPROX.xml:S1:785:1	O
adverse	FERRIPROX.xml:S1:787:7	O
reaction	FERRIPROX.xml:S1:795:8	O
rates	FERRIPROX.xml:S1:804:5	O
observed	FERRIPROX.xml:S1:810:8	O
in	FERRIPROX.xml:S1:819:2	O
the	FERRIPROX.xml:S1:822:3	O
clinical	FERRIPROX.xml:S1:826:8	O
trials	FERRIPROX.xml:S1:835:6	O
of	FERRIPROX.xml:S1:842:2	O
a	FERRIPROX.xml:S1:845:1	O
drug	FERRIPROX.xml:S1:847:4	O
cannot	FERRIPROX.xml:S1:852:6	O
be	FERRIPROX.xml:S1:859:2	O
directly	FERRIPROX.xml:S1:862:8	O
compared	FERRIPROX.xml:S1:871:8	O
to	FERRIPROX.xml:S1:880:2	O
rates	FERRIPROX.xml:S1:883:5	O
in	FERRIPROX.xml:S1:889:2	O
the	FERRIPROX.xml:S1:892:3	O
clinical	FERRIPROX.xml:S1:896:8	O
trials	FERRIPROX.xml:S1:905:6	O
of	FERRIPROX.xml:S1:912:2	O
another	FERRIPROX.xml:S1:915:7	O
drug	FERRIPROX.xml:S1:923:4	O
and	FERRIPROX.xml:S1:928:3	O
may	FERRIPROX.xml:S1:932:3	O
not	FERRIPROX.xml:S1:936:3	O
reflect	FERRIPROX.xml:S1:940:7	O
the	FERRIPROX.xml:S1:948:3	O
rates	FERRIPROX.xml:S1:952:5	O
observed	FERRIPROX.xml:S1:958:8	O
in	FERRIPROX.xml:S1:967:2	O
practice	FERRIPROX.xml:S1:970:8	O
.	FERRIPROX.xml:S1:978:1	O

Adverse	FERRIPROX.xml:S1:984:7	O
reaction	FERRIPROX.xml:S1:992:8	O
information	FERRIPROX.xml:S1:1001:11	O
for	FERRIPROX.xml:S1:1013:3	O
Ferriprox	FERRIPROX.xml:S1:1017:9	O
represents	FERRIPROX.xml:S1:1027:10	O
the	FERRIPROX.xml:S1:1038:3	O
pooled	FERRIPROX.xml:S1:1042:6	O
data	FERRIPROX.xml:S1:1049:4	O
collected	FERRIPROX.xml:S1:1054:9	O
from	FERRIPROX.xml:S1:1064:4	O
642	FERRIPROX.xml:S1:1069:3	O
patients	FERRIPROX.xml:S1:1073:8	O
who	FERRIPROX.xml:S1:1082:3	O
participated	FERRIPROX.xml:S1:1086:12	O
in	FERRIPROX.xml:S1:1099:2	O
single	FERRIPROX.xml:S1:1102:6	O
arm	FERRIPROX.xml:S1:1109:3	O
or	FERRIPROX.xml:S1:1113:2	O
active	FERRIPROX.xml:S1:1116:6	O
-	FERRIPROX.xml:S1:1122:1	O
controlled	FERRIPROX.xml:S1:1123:10	O
clinical	FERRIPROX.xml:S1:1134:8	O
studies	FERRIPROX.xml:S1:1143:7	O
.	FERRIPROX.xml:S1:1150:1	O

The	FERRIPROX.xml:S1:1156:3	O
most	FERRIPROX.xml:S1:1160:4	O
serious	FERRIPROX.xml:S1:1165:7	O
adverse	FERRIPROX.xml:S1:1173:7	O
reaction	FERRIPROX.xml:S1:1181:8	O
reported	FERRIPROX.xml:S1:1190:8	O
in	FERRIPROX.xml:S1:1199:2	O
clinical	FERRIPROX.xml:S1:1202:8	O
trials	FERRIPROX.xml:S1:1211:6	O
with	FERRIPROX.xml:S1:1218:4	O
Ferriprox	FERRIPROX.xml:S1:1223:9	O
was	FERRIPROX.xml:S1:1233:3	O
agranulocytosis	FERRIPROX.xml:S1:1237:15	B-AdverseReaction
[	FERRIPROX.xml:S1:1254:1	O
see	FERRIPROX.xml:S1:1255:3	O
Warnings	FERRIPROX.xml:S1:1260:8	O
and	FERRIPROX.xml:S1:1269:3	O
Precautions	FERRIPROX.xml:S1:1273:11	O
(	FERRIPROX.xml:S1:1285:1	O
5.1	FERRIPROX.xml:S1:1286:3	O
)	FERRIPROX.xml:S1:1289:1	O
]	FERRIPROX.xml:S1:1292:1	O
.	FERRIPROX.xml:S1:1295:1	O

The	FERRIPROX.xml:S1:1301:3	O
most	FERRIPROX.xml:S1:1305:4	O
common	FERRIPROX.xml:S1:1310:6	O
adverse	FERRIPROX.xml:S1:1317:7	O
reactions	FERRIPROX.xml:S1:1325:9	O
reported	FERRIPROX.xml:S1:1335:8	O
during	FERRIPROX.xml:S1:1344:6	O
clinical	FERRIPROX.xml:S1:1351:8	O
trials	FERRIPROX.xml:S1:1360:6	O
were	FERRIPROX.xml:S1:1367:4	O
chromaturia	FERRIPROX.xml:S1:1372:11	B-AdverseReaction
,	FERRIPROX.xml:S1:1383:1	O
nausea	FERRIPROX.xml:S1:1385:6	B-AdverseReaction
,	FERRIPROX.xml:S1:1391:1	O
vomiting	FERRIPROX.xml:S1:1393:8	B-AdverseReaction
,	FERRIPROX.xml:S1:1401:1	O
abdominal	FERRIPROX.xml:S1:1403:9	B-AdverseReaction
pain	FERRIPROX.xml:S1:1413:4	I-AdverseReaction
,	FERRIPROX.xml:S1:1417:1	O
alanine	FERRIPROX.xml:S1:1419:7	B-AdverseReaction
aminotransferase	FERRIPROX.xml:S1:1427:16	I-AdverseReaction
increased	FERRIPROX.xml:S1:1444:9	I-AdverseReaction
,	FERRIPROX.xml:S1:1453:1	O
arthralgia	FERRIPROX.xml:S1:1455:10	B-AdverseReaction
and	FERRIPROX.xml:S1:1466:3	O
neutropenia	FERRIPROX.xml:S1:1470:11	B-AdverseReaction
.	FERRIPROX.xml:S1:1481:1	O

The	FERRIPROX.xml:S1:1487:3	O
table	FERRIPROX.xml:S1:1491:5	O
below	FERRIPROX.xml:S1:1497:5	O
lists	FERRIPROX.xml:S1:1503:5	O
the	FERRIPROX.xml:S1:1509:3	O
adverse	FERRIPROX.xml:S1:1513:7	O
drug	FERRIPROX.xml:S1:1521:4	O
reactions	FERRIPROX.xml:S1:1526:9	O
that	FERRIPROX.xml:S1:1536:4	O
occurred	FERRIPROX.xml:S1:1541:8	O
in	FERRIPROX.xml:S1:1550:2	O
at	FERRIPROX.xml:S1:1553:2	O
least	FERRIPROX.xml:S1:1556:5	O
1%	FERRIPROX.xml:S1:1562:2	O
of	FERRIPROX.xml:S1:1565:2	O
patients	FERRIPROX.xml:S1:1568:8	O
treated	FERRIPROX.xml:S1:1577:7	O
with	FERRIPROX.xml:S1:1585:4	O
Ferriprox	FERRIPROX.xml:S1:1590:9	O
in	FERRIPROX.xml:S1:1600:2	O
clinical	FERRIPROX.xml:S1:1603:8	O
trials	FERRIPROX.xml:S1:1612:6	O
.	FERRIPROX.xml:S1:1618:1	O

Table	FERRIPROX.xml:S1:1624:5	O
2	FERRIPROX.xml:S1:1630:1	O
:	FERRIPROX.xml:S1:1631:1	O
Adverse	FERRIPROX.xml:S1:1633:7	O
drug	FERRIPROX.xml:S1:1641:4	O
reactions	FERRIPROX.xml:S1:1646:9	O
occurring	FERRIPROX.xml:S1:1656:9	O
in	FERRIPROX.xml:S1:1666:2	O
1%	FERRIPROX.xml:S1:1672:2	O
of	FERRIPROX.xml:S1:1675:2	O
642	FERRIPROX.xml:S1:1678:3	O
Ferriprox	FERRIPROX.xml:S1:1682:9	O
-	FERRIPROX.xml:S1:1691:1	O
treated	FERRIPROX.xml:S1:1692:7	O
patients	FERRIPROX.xml:S1:1700:8	O

Body	FERRIPROX.xml:S1:1713:4	O
System	FERRIPROX.xml:S1:1718:6	O
Subjects	FERRIPROX.xml:S1:1742:8	O

Preferred	FERRIPROX.xml:S1:1795:9	O
Term	FERRIPROX.xml:S1:1805:4	O

BLOOD	FERRIPROX.xml:S1:1827:5	O
AND	FERRIPROX.xml:S1:1833:3	O
LYMPHATIC	FERRIPROX.xml:S1:1837:9	O
SYSTEM	FERRIPROX.xml:S1:1847:6	O
DISORDERS	FERRIPROX.xml:S1:1854:9	O

Neutropenia	FERRIPROX.xml:S1:1897:11	B-AdverseReaction
6.2	FERRIPROX.xml:S1:1924:3	O

Agranulocytosis	FERRIPROX.xml:S1:1981:15	B-AdverseReaction
1.7	FERRIPROX.xml:S1:2008:3	O

GASTROINTESTINAL	FERRIPROX.xml:S1:2040:16	O
DISORDERS	FERRIPROX.xml:S1:2057:9	O

Nausea	FERRIPROX.xml:S1:2100:6	B-AdverseReaction
12.6	FERRIPROX.xml:S1:2127:4	O

Abdominal	FERRIPROX.xml:S1:2184:9	B-AdverseReaction
pain	FERRIPROX.xml:S1:2194:4	I-AdverseReaction
discomfort	FERRIPROX.xml:S1:2199:10	I-AdverseReaction
10.4	FERRIPROX.xml:S1:2211:4	O

Vomiting	FERRIPROX.xml:S1:2268:8	B-AdverseReaction
9.8	FERRIPROX.xml:S1:2295:3	O

Diarrhea	FERRIPROX.xml:S1:2352:8	B-AdverseReaction
3.0	FERRIPROX.xml:S1:2379:3	O

Dyspepsia	FERRIPROX.xml:S1:2436:9	B-AdverseReaction
2.0	FERRIPROX.xml:S1:2463:3	O

INVESTIGATIONS	FERRIPROX.xml:S1:2495:14	O

Alanine	FERRIPROX.xml:S1:2550:7	B-AdverseReaction
Aminotransferase	FERRIPROX.xml:S1:2558:16	I-AdverseReaction
increased	FERRIPROX.xml:S1:2575:9	I-AdverseReaction
7.5	FERRIPROX.xml:S1:2586:3	O

Neutrophil	FERRIPROX.xml:S1:2643:10	B-AdverseReaction
count	FERRIPROX.xml:S1:2654:5	I-AdverseReaction
decreased	FERRIPROX.xml:S1:2660:9	I-AdverseReaction
7.3	FERRIPROX.xml:S1:2671:3	O

Weight	FERRIPROX.xml:S1:2728:6	B-AdverseReaction
increased	FERRIPROX.xml:S1:2735:9	I-AdverseReaction
