6	FIRAZYR.xml:S1:4:1	O
ADVERSE	FIRAZYR.xml:S1:6:7	O
REACTIONS	FIRAZYR.xml:S1:14:9	O

EXCERPT	FIRAZYR.xml:S1:27:7	O
:	FIRAZYR.xml:S1:34:1	O
The	FIRAZYR.xml:S1:38:3	O
most	FIRAZYR.xml:S1:42:4	O
commonly	FIRAZYR.xml:S1:47:8	O
reported	FIRAZYR.xml:S1:56:8	O
adverse	FIRAZYR.xml:S1:65:7	O
reactions	FIRAZYR.xml:S1:73:9	O
were	FIRAZYR.xml:S1:83:4	O
injection	FIRAZYR.xml:S1:88:9	B-AdverseReaction
site	FIRAZYR.xml:S1:98:4	I-AdverseReaction
reactions	FIRAZYR.xml:S1:103:9	I-AdverseReaction
,	FIRAZYR.xml:S1:112:1	O
which	FIRAZYR.xml:S1:114:5	O
occurred	FIRAZYR.xml:S1:120:8	O
in	FIRAZYR.xml:S1:129:2	O
almost	FIRAZYR.xml:S1:132:6	O
all	FIRAZYR.xml:S1:139:3	O
patients	FIRAZYR.xml:S1:143:8	O
(	FIRAZYR.xml:S1:152:1	O
97%	FIRAZYR.xml:S1:153:3	O
)	FIRAZYR.xml:S1:156:1	O
in	FIRAZYR.xml:S1:158:2	O
clinical	FIRAZYR.xml:S1:161:8	O
trials	FIRAZYR.xml:S1:170:6	O
.	FIRAZYR.xml:S1:176:1	O

Other	FIRAZYR.xml:S1:178:5	O
common	FIRAZYR.xml:S1:184:6	O
adverse	FIRAZYR.xml:S1:191:7	O
reactions	FIRAZYR.xml:S1:199:9	O
occurring	FIRAZYR.xml:S1:209:9	O
in	FIRAZYR.xml:S1:219:2	O
greater	FIRAZYR.xml:S1:222:7	O
than	FIRAZYR.xml:S1:230:4	O
1%	FIRAZYR.xml:S1:235:2	O
of	FIRAZYR.xml:S1:238:2	O
patients	FIRAZYR.xml:S1:241:8	O
included	FIRAZYR.xml:S1:250:8	O
pyrexia	FIRAZYR.xml:S1:259:7	B-AdverseReaction
,	FIRAZYR.xml:S1:266:1	O
transaminase	FIRAZYR.xml:S1:268:12	B-AdverseReaction
increase	FIRAZYR.xml:S1:281:8	I-AdverseReaction
,	FIRAZYR.xml:S1:289:1	O
dizziness	FIRAZYR.xml:S1:291:9	B-AdverseReaction
,	FIRAZYR.xml:S1:300:1	O
and	FIRAZYR.xml:S1:302:3	O
rash	FIRAZYR.xml:S1:306:4	B-AdverseReaction
.	FIRAZYR.xml:S1:310:1	O

(	FIRAZYR.xml:S1:312:1	O
6.1	FIRAZYR.xml:S1:315:3	O
)	FIRAZYR.xml:S1:320:1	O

To	FIRAZYR.xml:S1:328:2	O
report	FIRAZYR.xml:S1:331:6	O
SUSPECTED	FIRAZYR.xml:S1:338:9	O
ADVERSE	FIRAZYR.xml:S1:348:7	O
REACTIONS	FIRAZYR.xml:S1:356:9	O
,	FIRAZYR.xml:S1:365:1	O
contact	FIRAZYR.xml:S1:367:7	O
Shire	FIRAZYR.xml:S1:375:5	O
Human	FIRAZYR.xml:S1:381:5	O
Genetic	FIRAZYR.xml:S1:387:7	O
Therapies	FIRAZYR.xml:S1:395:9	O
at	FIRAZYR.xml:S1:405:2	O
the	FIRAZYR.xml:S1:408:3	O
OnePath	FIRAZYR.xml:S1:412:7	O
(	FIRAZYR.xml:S1:421:1	O
r	FIRAZYR.xml:S1:422:1	O
)	FIRAZYR.xml:S1:423:1	O
phone	FIRAZYR.xml:S1:426:5	O
1	FIRAZYR.xml:S1:434:1	O
-	FIRAZYR.xml:S1:435:1	O
866	FIRAZYR.xml:S1:436:3	O
-	FIRAZYR.xml:S1:439:1	O
888	FIRAZYR.xml:S1:440:3	O
-	FIRAZYR.xml:S1:443:1	O
0660	FIRAZYR.xml:S1:444:4	O
or	FIRAZYR.xml:S1:449:2	O
FDA	FIRAZYR.xml:S1:452:3	O
at	FIRAZYR.xml:S1:456:2	O
1	FIRAZYR.xml:S1:459:1	O
-	FIRAZYR.xml:S1:460:1	O
800	FIRAZYR.xml:S1:461:3	O
-	FIRAZYR.xml:S1:464:1	O
FDA	FIRAZYR.xml:S1:465:3	O
-	FIRAZYR.xml:S1:468:1	O
1088	FIRAZYR.xml:S1:469:4	O
or	FIRAZYR.xml:S1:474:2	O
www	FIRAZYR.xml:S1:478:3	O
.	FIRAZYR.xml:S1:481:1	O
fda	FIRAZYR.xml:S1:482:3	O
.	FIRAZYR.xml:S1:485:1	O
gov	FIRAZYR.xml:S1:486:3	O
medwatch	FIRAZYR.xml:S1:490:8	O

6.1	FIRAZYR.xml:S1:511:3	O

Clinical	FIRAZYR.xml:S1:515:8	O
Trials	FIRAZYR.xml:S1:524:6	O
Experience	FIRAZYR.xml:S1:531:10	O

The	FIRAZYR.xml:S1:545:3	O
safety	FIRAZYR.xml:S1:549:6	O
of	FIRAZYR.xml:S1:556:2	O
icatibant	FIRAZYR.xml:S1:559:9	O
was	FIRAZYR.xml:S1:569:3	O
evaluated	FIRAZYR.xml:S1:573:9	O
in	FIRAZYR.xml:S1:583:2	O
three	FIRAZYR.xml:S1:586:5	O
controlled	FIRAZYR.xml:S1:592:10	O
trials	FIRAZYR.xml:S1:603:6	O
that	FIRAZYR.xml:S1:610:4	O
included	FIRAZYR.xml:S1:615:8	O
223	FIRAZYR.xml:S1:624:3	O
patients	FIRAZYR.xml:S1:628:8	O
who	FIRAZYR.xml:S1:637:3	O
received	FIRAZYR.xml:S1:641:8	O
FIRAZYR	FIRAZYR.xml:S1:650:7	O
30	FIRAZYR.xml:S1:658:2	O
mg	FIRAZYR.xml:S1:661:2	O
(	FIRAZYR.xml:S1:664:1	O
n	FIRAZYR.xml:S1:665:1	O
113	FIRAZYR.xml:S1:667:3	O
)	FIRAZYR.xml:S1:670:1	O
,	FIRAZYR.xml:S1:671:1	O
placebo	FIRAZYR.xml:S1:673:7	O
(	FIRAZYR.xml:S1:681:1	O
n	FIRAZYR.xml:S1:682:1	O
75	FIRAZYR.xml:S1:684:2	O
)	FIRAZYR.xml:S1:686:1	O
,	FIRAZYR.xml:S1:687:1	O
or	FIRAZYR.xml:S1:689:2	O
comparator	FIRAZYR.xml:S1:692:10	O
(	FIRAZYR.xml:S1:703:1	O
n	FIRAZYR.xml:S1:704:1	O
38	FIRAZYR.xml:S1:706:2	O
)	FIRAZYR.xml:S1:708:1	O
.	FIRAZYR.xml:S1:709:1	O

The	FIRAZYR.xml:S1:711:3	O
mean	FIRAZYR.xml:S1:715:4	O
age	FIRAZYR.xml:S1:720:3	O
at	FIRAZYR.xml:S1:724:2	O
study	FIRAZYR.xml:S1:727:5	O
entry	FIRAZYR.xml:S1:733:5	O
was	FIRAZYR.xml:S1:739:3	O
38	FIRAZYR.xml:S1:743:2	O
years	FIRAZYR.xml:S1:746:5	O
(	FIRAZYR.xml:S1:752:1	O
range	FIRAZYR.xml:S1:753:5	O
18	FIRAZYR.xml:S1:759:2	O
to	FIRAZYR.xml:S1:762:2	O
83	FIRAZYR.xml:S1:765:2	O
years	FIRAZYR.xml:S1:768:5	O
