6	FULYZAQ.xml:S1:4:1	O
ADVERSE	FULYZAQ.xml:S1:6:7	O
REACTIONS	FULYZAQ.xml:S1:14:9	O

6.1	FULYZAQ.xml:S1:29:3	O
Clinical	FULYZAQ.xml:S1:46:8	O
Trials	FULYZAQ.xml:S1:55:6	O
Experience	FULYZAQ.xml:S1:62:10	O

Because	FULYZAQ.xml:S1:79:7	O
clinical	FULYZAQ.xml:S1:87:8	O
trials	FULYZAQ.xml:S1:96:6	O
are	FULYZAQ.xml:S1:103:3	O
conducted	FULYZAQ.xml:S1:107:9	O
under	FULYZAQ.xml:S1:117:5	O
widely	FULYZAQ.xml:S1:123:6	O
varying	FULYZAQ.xml:S1:130:7	O
conditions	FULYZAQ.xml:S1:138:10	O
,	FULYZAQ.xml:S1:148:1	O
adverse	FULYZAQ.xml:S1:150:7	O
reaction	FULYZAQ.xml:S1:158:8	O
rates	FULYZAQ.xml:S1:167:5	O
observed	FULYZAQ.xml:S1:173:8	O
in	FULYZAQ.xml:S1:182:2	O
the	FULYZAQ.xml:S1:185:3	O
clinical	FULYZAQ.xml:S1:189:8	O
trials	FULYZAQ.xml:S1:198:6	O
of	FULYZAQ.xml:S1:205:2	O
a	FULYZAQ.xml:S1:208:1	O
drug	FULYZAQ.xml:S1:210:4	O
cannot	FULYZAQ.xml:S1:215:6	O
be	FULYZAQ.xml:S1:222:2	O
directly	FULYZAQ.xml:S1:225:8	O
compared	FULYZAQ.xml:S1:234:8	O
to	FULYZAQ.xml:S1:243:2	O
rates	FULYZAQ.xml:S1:246:5	O
in	FULYZAQ.xml:S1:252:2	O
the	FULYZAQ.xml:S1:255:3	O
clinical	FULYZAQ.xml:S1:259:8	O
trials	FULYZAQ.xml:S1:268:6	O
of	FULYZAQ.xml:S1:275:2	O
another	FULYZAQ.xml:S1:278:7	O
drug	FULYZAQ.xml:S1:286:4	O
and	FULYZAQ.xml:S1:291:3	O
may	FULYZAQ.xml:S1:295:3	O
not	FULYZAQ.xml:S1:299:3	O
reflect	FULYZAQ.xml:S1:303:7	O
the	FULYZAQ.xml:S1:311:3	O
rates	FULYZAQ.xml:S1:315:5	O
observed	FULYZAQ.xml:S1:321:8	O
in	FULYZAQ.xml:S1:330:2	O
practice	FULYZAQ.xml:S1:333:8	O
.	FULYZAQ.xml:S1:341:1	O

A	FULYZAQ.xml:S1:348:1	O
total	FULYZAQ.xml:S1:350:5	O
of	FULYZAQ.xml:S1:356:2	O
696	FULYZAQ.xml:S1:359:3	O
HIV	FULYZAQ.xml:S1:363:3	O
-	FULYZAQ.xml:S1:366:1	O
positive	FULYZAQ.xml:S1:367:8	O
patients	FULYZAQ.xml:S1:376:8	O
in	FULYZAQ.xml:S1:385:2	O
three	FULYZAQ.xml:S1:388:5	O
placebo	FULYZAQ.xml:S1:394:7	O
-	FULYZAQ.xml:S1:401:1	O
controlled	FULYZAQ.xml:S1:402:10	O
trials	FULYZAQ.xml:S1:413:6	O
received	FULYZAQ.xml:S1:420:8	O
FULYZAQ	FULYZAQ.xml:S1:429:7	O
for	FULYZAQ.xml:S1:437:3	O
a	FULYZAQ.xml:S1:441:1	O
mean	FULYZAQ.xml:S1:443:4	O
duration	FULYZAQ.xml:S1:448:8	O
of	FULYZAQ.xml:S1:457:2	O
78	FULYZAQ.xml:S1:460:2	O
days	FULYZAQ.xml:S1:463:4	O
.	FULYZAQ.xml:S1:467:1	O

Of	FULYZAQ.xml:S1:470:2	O
the	FULYZAQ.xml:S1:473:3	O
total	FULYZAQ.xml:S1:477:5	O
population	FULYZAQ.xml:S1:483:10	O
across	FULYZAQ.xml:S1:494:6	O
the	FULYZAQ.xml:S1:501:3	O
three	FULYZAQ.xml:S1:505:5	O
trials	FULYZAQ.xml:S1:511:6	O
,	FULYZAQ.xml:S1:517:1	O
229	FULYZAQ.xml:S1:519:3	O
patients	FULYZAQ.xml:S1:523:8	O
received	FULYZAQ.xml:S1:532:8	O
a	FULYZAQ.xml:S1:541:1	O
dose	FULYZAQ.xml:S1:543:4	O
of	FULYZAQ.xml:S1:548:2	O
125	FULYZAQ.xml:S1:551:3	O
mg	FULYZAQ.xml:S1:555:2	O
twice	FULYZAQ.xml:S1:558:5	O
a	FULYZAQ.xml:S1:564:1	O
day	FULYZAQ.xml:S1:566:3	O
for	FULYZAQ.xml:S1:570:3	O
a	FULYZAQ.xml:S1:574:1	O
mean	FULYZAQ.xml:S1:576:4	O
duration	FULYZAQ.xml:S1:581:8	O
of	FULYZAQ.xml:S1:590:2	O
141	FULYZAQ.xml:S1:593:3	O
days	FULYZAQ.xml:S1:597:4	O
,	FULYZAQ.xml:S1:601:1	O
69	FULYZAQ.xml:S1:603:2	O
patients	FULYZAQ.xml:S1:606:8	O
received	FULYZAQ.xml:S1:615:8	O
a	FULYZAQ.xml:S1:624:1	O
dose	FULYZAQ.xml:S1:626:4	O
of	FULYZAQ.xml:S1:631:2	O
250	FULYZAQ.xml:S1:634:3	O
mg	FULYZAQ.xml:S1:638:2	O
twice	FULYZAQ.xml:S1:641:5	O
a	FULYZAQ.xml:S1:647:1	O
day	FULYZAQ.xml:S1:649:3	O
for	FULYZAQ.xml:S1:653:3	O
a	FULYZAQ.xml:S1:657:1	O
mean	FULYZAQ.xml:S1:659:4	O
duration	FULYZAQ.xml:S1:664:8	O
of	FULYZAQ.xml:S1:673:2	O
139	FULYZAQ.xml:S1:676:3	O
days	FULYZAQ.xml:S1:680:4	O
,	FULYZAQ.xml:S1:684:1	O
102	FULYZAQ.xml:S1:686:3	O
patients	FULYZAQ.xml:S1:690:8	O
received	FULYZAQ.xml:S1:699:8	O
a	FULYZAQ.xml:S1:708:1	O
dose	FULYZAQ.xml:S1:710:4	O
of	FULYZAQ.xml:S1:715:2	O
250	FULYZAQ.xml:S1:718:3	O
mg	FULYZAQ.xml:S1:722:2	O
four	FULYZAQ.xml:S1:725:4	O
times	FULYZAQ.xml:S1:730:5	O
a	FULYZAQ.xml:S1:736:1	O
day	FULYZAQ.xml:S1:738:3	O
for	FULYZAQ.xml:S1:742:3	O
a	FULYZAQ.xml:S1:746:1	O
mean	FULYZAQ.xml:S1:748:4	O
duration	FULYZAQ.xml:S1:753:8	O
of	FULYZAQ.xml:S1:762:2	O
14	FULYZAQ.xml:S1:765:2	O
days	FULYZAQ.xml:S1:768:4	O
,	FULYZAQ.xml:S1:772:1	O
54	FULYZAQ.xml:S1:774:2	O
patients	FULYZAQ.xml:S1:777:8	O
received	FULYZAQ.xml:S1:786:8	O
a	FULYZAQ.xml:S1:795:1	O
dose	FULYZAQ.xml:S1:797:4	O
of	FULYZAQ.xml:S1:802:2	O
500	FULYZAQ.xml:S1:805:3	O
mg	FULYZAQ.xml:S1:809:2	O
twice	FULYZAQ.xml:S1:812:5	O
a	FULYZAQ.xml:S1:818:1	O
day	FULYZAQ.xml:S1:820:3	O
for	FULYZAQ.xml:S1:824:3	O
a	FULYZAQ.xml:S1:828:1	O
mean	FULYZAQ.xml:S1:830:4	O
duration	FULYZAQ.xml:S1:835:8	O
of	FULYZAQ.xml:S1:844:2	O
146	FULYZAQ.xml:S1:847:3	O
days	FULYZAQ.xml:S1:851:4	O
,	FULYZAQ.xml:S1:855:1	O
and	FULYZAQ.xml:S1:857:3	O
242	FULYZAQ.xml:S1:861:3	O
patients	FULYZAQ.xml:S1:865:8	O
received	FULYZAQ.xml:S1:874:8	O
a	FULYZAQ.xml:S1:883:1	O
dose	FULYZAQ.xml:S1:885:4	O
of	FULYZAQ.xml:S1:890:2	O
500	FULYZAQ.xml:S1:893:3	O
mg	FULYZAQ.xml:S1:897:2	O
four	FULYZAQ.xml:S1:900:4	O
times	FULYZAQ.xml:S1:905:5	O
a	FULYZAQ.xml:S1:911:1	O
day	FULYZAQ.xml:S1:913:3	O
for	FULYZAQ.xml:S1:917:3	O
a	FULYZAQ.xml:S1:921:1	O
mean	FULYZAQ.xml:S1:923:4	O
duration	FULYZAQ.xml:S1:928:8	O
of	FULYZAQ.xml:S1:937:2	O
14	FULYZAQ.xml:S1:940:2	O
days	FULYZAQ.xml:S1:943:4	O
.	FULYZAQ.xml:S1:947:1	O

Adverse	FULYZAQ.xml:S1:954:7	O
reactions	FULYZAQ.xml:S1:962:9	O
for	FULYZAQ.xml:S1:972:3	O
FULYZAQ	FULYZAQ.xml:S1:976:7	O
that	FULYZAQ.xml:S1:984:4	O
occurred	FULYZAQ.xml:S1:989:8	O
in	FULYZAQ.xml:S1:998:2	O
at	FULYZAQ.xml:S1:1001:2	O
least	FULYZAQ.xml:S1:1004:5	O
2%	FULYZAQ.xml:S1:1010:2	O
of	FULYZAQ.xml:S1:1013:2	O
patients	FULYZAQ.xml:S1:1016:8	O
and	FULYZAQ.xml:S1:1025:3	O
at	FULYZAQ.xml:S1:1029:2	O
a	FULYZAQ.xml:S1:1032:1	O
higher	FULYZAQ.xml:S1:1034:6	O
incidence	FULYZAQ.xml:S1:1041:9	O
than	FULYZAQ.xml:S1:1051:4	O
placebo	FULYZAQ.xml:S1:1056:7	O
are	FULYZAQ.xml:S1:1064:3	O
provided	FULYZAQ.xml:S1:1068:8	O
in	FULYZAQ.xml:S1:1077:2	O
Table	FULYZAQ.xml:S1:1080:5	O
1	FULYZAQ.xml:S1:1086:1	O
.	FULYZAQ.xml:S1:1087:1	O

Table	FULYZAQ.xml:S1:1095:5	O
1	FULYZAQ.xml:S1:1104:1	O
:	FULYZAQ.xml:S1:1105:1	O
Adverse	FULYZAQ.xml:S1:1122:7	O
Reactions	FULYZAQ.xml:S1:1130:9	O
Occurring	FULYZAQ.xml:S1:1140:9	O
in	FULYZAQ.xml:S1:1150:2	O
at	FULYZAQ.xml:S1:1153:2	O
Least	FULYZAQ.xml:S1:1156:5	O
2%	FULYZAQ.xml:S1:1162:2	O
of	FULYZAQ.xml:S1:1165:2	O
Patients	FULYZAQ.xml:S1:1168:8	O
in	FULYZAQ.xml:S1:1177:2	O
the	FULYZAQ.xml:S1:1180:3	O
125	FULYZAQ.xml:S1:1184:3	O
mg	FULYZAQ.xml:S1:1188:2	O
Twice	FULYZAQ.xml:S1:1191:5	O
Daily	FULYZAQ.xml:S1:1197:5	O
Group	FULYZAQ.xml:S1:1203:5	O

Adverse	FULYZAQ.xml:S1:1217:7	O
Reaction	FULYZAQ.xml:S1:1225:8	O
Crofelemer	FULYZAQ.xml:S1:1237:10	O
125	FULYZAQ.xml:S1:1248:3	O
mg	FULYZAQ.xml:S1:1252:2	O
BID	FULYZAQ.xml:S1:1255:3	O
N	FULYZAQ.xml:S1:1259:1	O
229	FULYZAQ.xml:S1:1263:3	O
n	FULYZAQ.xml:S1:1266:1	O
(	FULYZAQ.xml:S1:1268:1	O
)	FULYZAQ.xml:S1:1270:1	O
