6	GADAVIST.xml:S1:4:1	O
ADVERSE	GADAVIST.xml:S1:6:7	O
REACTIONS	GADAVIST.xml:S1:14:9	O

The	GADAVIST.xml:S1:34:3	O
following	GADAVIST.xml:S1:38:9	O
serious	GADAVIST.xml:S1:48:7	O
adverse	GADAVIST.xml:S1:56:7	O
reactions	GADAVIST.xml:S1:64:9	O
are	GADAVIST.xml:S1:74:3	O
discussed	GADAVIST.xml:S1:78:9	O
elsewhere	GADAVIST.xml:S1:88:9	O
in	GADAVIST.xml:S1:98:2	O
labeling	GADAVIST.xml:S1:101:8	O
:	GADAVIST.xml:S1:109:1	O

Nephrogenic	GADAVIST.xml:S1:118:11	B-AdverseReaction
Systemic	GADAVIST.xml:S1:130:8	I-AdverseReaction
Fibrosis	GADAVIST.xml:S1:139:8	I-AdverseReaction
(	GADAVIST.xml:S1:148:1	O
NSF	GADAVIST.xml:S1:149:3	B-AdverseReaction
)	GADAVIST.xml:S1:152:1	O
[	GADAVIST.xml:S1:154:1	O
see	GADAVIST.xml:S1:155:3	O
Boxed	GADAVIST.xml:S1:159:5	O
Warning	GADAVIST.xml:S1:165:7	O
and	GADAVIST.xml:S1:173:3	O
Warnings	GADAVIST.xml:S1:177:8	O
and	GADAVIST.xml:S1:186:3	O
Precautions	GADAVIST.xml:S1:190:11	O
(	GADAVIST.xml:S1:202:1	O
5.1	GADAVIST.xml:S1:205:3	O
)]	GADAVIST.xml:S1:210:2	O
.	GADAVIST.xml:S1:212:1	O

Hypersensitivity	GADAVIST.xml:S1:220:16	B-AdverseReaction
reactions	GADAVIST.xml:S1:237:9	I-AdverseReaction
[	GADAVIST.xml:S1:248:1	O
see	GADAVIST.xml:S1:249:3	O
Contraindications	GADAVIST.xml:S1:253:17	O
(	GADAVIST.xml:S1:271:1	O
4	GADAVIST.xml:S1:272:1	O
)	GADAVIST.xml:S1:273:1	O
and	GADAVIST.xml:S1:275:3	O
Warnings	GADAVIST.xml:S1:279:8	O
and	GADAVIST.xml:S1:288:3	O
Precautions	GADAVIST.xml:S1:292:11	O
(	GADAVIST.xml:S1:304:1	O
5.2	GADAVIST.xml:S1:307:3	O
)]	GADAVIST.xml:S1:312:2	O
.	GADAVIST.xml:S1:314:1	O

EXCERPT	GADAVIST.xml:S1:325:7	O

:	GADAVIST.xml:S1:332:1	O
Most	GADAVIST.xml:S1:342:4	O
common	GADAVIST.xml:S1:347:6	O
adverse	GADAVIST.xml:S1:354:7	O
reactions	GADAVIST.xml:S1:362:9	O
(	GADAVIST.xml:S1:372:1	O
incidence	GADAVIST.xml:S1:373:9	O
0.5%	GADAVIST.xml:S1:386:4	O
)	GADAVIST.xml:S1:390:1	O
are	GADAVIST.xml:S1:392:3	O
headache	GADAVIST.xml:S1:396:8	B-AdverseReaction
,	GADAVIST.xml:S1:404:1	O
nausea	GADAVIST.xml:S1:406:6	B-AdverseReaction
,	GADAVIST.xml:S1:412:1	O
and	GADAVIST.xml:S1:414:3	O
dizziness	GADAVIST.xml:S1:418:9	B-AdverseReaction
(	GADAVIST.xml:S1:428:1	O
6.1	GADAVIST.xml:S1:431:3	O
)	GADAVIST.xml:S1:434:1	O

To	GADAVIST.xml:S1:445:2	O
report	GADAVIST.xml:S1:448:6	O
SUSPECTED	GADAVIST.xml:S1:455:9	O
ADVERSE	GADAVIST.xml:S1:465:7	O
REACTIONS	GADAVIST.xml:S1:473:9	O
,	GADAVIST.xml:S1:482:1	O
contact	GADAVIST.xml:S1:484:7	O
Bayer	GADAVIST.xml:S1:492:5	O
HealthCare	GADAVIST.xml:S1:498:10	O
Pharmaceuticals	GADAVIST.xml:S1:509:15	O
Inc	GADAVIST.xml:S1:525:3	O
.	GADAVIST.xml:S1:528:1	O

at	GADAVIST.xml:S1:530:2	O
1	GADAVIST.xml:S1:533:1	O
-	GADAVIST.xml:S1:534:1	O
888	GADAVIST.xml:S1:535:3	O
-	GADAVIST.xml:S1:538:1	O
842	GADAVIST.xml:S1:539:3	O
-	GADAVIST.xml:S1:542:1	O
2937	GADAVIST.xml:S1:543:4	O
or	GADAVIST.xml:S1:548:2	O
FDA	GADAVIST.xml:S1:551:3	O
at	GADAVIST.xml:S1:555:2	O
1	GADAVIST.xml:S1:558:1	O
-	GADAVIST.xml:S1:559:1	O
800	GADAVIST.xml:S1:560:3	O
-	GADAVIST.xml:S1:563:1	O
FDA	GADAVIST.xml:S1:564:3	O
-	GADAVIST.xml:S1:567:1	O
1088	GADAVIST.xml:S1:568:4	O
or	GADAVIST.xml:S1:573:2	O
www	GADAVIST.xml:S1:577:3	O
.	GADAVIST.xml:S1:580:1	O
fda	GADAVIST.xml:S1:581:3	O
.	GADAVIST.xml:S1:584:1	O
gov	GADAVIST.xml:S1:585:3	O
medwatch	GADAVIST.xml:S1:589:8	O

6.1	GADAVIST.xml:S1:610:3	O

Clinical	GADAVIST.xml:S1:614:8	O

Trials	GADAVIST.xml:S1:623:6	O
Experience	GADAVIST.xml:S1:630:10	O

Because	GADAVIST.xml:S1:644:7	O
clinical	GADAVIST.xml:S1:652:8	O
trials	GADAVIST.xml:S1:661:6	O
are	GADAVIST.xml:S1:668:3	O
conducted	GADAVIST.xml:S1:672:9	O
under	GADAVIST.xml:S1:682:5	O
widely	GADAVIST.xml:S1:688:6	O
varying	GADAVIST.xml:S1:695:7	O
conditions	GADAVIST.xml:S1:703:10	O
,	GADAVIST.xml:S1:713:1	O
adverse	GADAVIST.xml:S1:715:7	O
reaction	GADAVIST.xml:S1:723:8	O
rates	GADAVIST.xml:S1:732:5	O
observed	GADAVIST.xml:S1:738:8	O
in	GADAVIST.xml:S1:747:2	O
the	GADAVIST.xml:S1:750:3	O
clinical	GADAVIST.xml:S1:754:8	O
trials	GADAVIST.xml:S1:763:6	O
of	GADAVIST.xml:S1:770:2	O
a	GADAVIST.xml:S1:773:1	O
drug	GADAVIST.xml:S1:775:4	O
cannot	GADAVIST.xml:S1:780:6	O
be	GADAVIST.xml:S1:787:2	O
directly	GADAVIST.xml:S1:790:8	O
compared	GADAVIST.xml:S1:799:8	O
to	GADAVIST.xml:S1:808:2	O
rates	GADAVIST.xml:S1:811:5	O
in	GADAVIST.xml:S1:817:2	O
the	GADAVIST.xml:S1:820:3	O
clinical	GADAVIST.xml:S1:824:8	O
trials	GADAVIST.xml:S1:833:6	O
of	GADAVIST.xml:S1:840:2	O
another	GADAVIST.xml:S1:843:7	O
drug	GADAVIST.xml:S1:851:4	O
and	GADAVIST.xml:S1:856:3	O
may	GADAVIST.xml:S1:860:3	O
not	GADAVIST.xml:S1:864:3	O
reflect	GADAVIST.xml:S1:868:7	O
the	GADAVIST.xml:S1:876:3	O
rates	GADAVIST.xml:S1:880:5	O
observed	GADAVIST.xml:S1:886:8	O
in	GADAVIST.xml:S1:895:2	O
clinical	GADAVIST.xml:S1:898:8	O
practice	GADAVIST.xml:S1:907:8	O
.	GADAVIST.xml:S1:915:1	O

The	GADAVIST.xml:S1:921:3	O
adverse	GADAVIST.xml:S1:925:7	O
reactions	GADAVIST.xml:S1:933:9	O
described	GADAVIST.xml:S1:943:9	O
in	GADAVIST.xml:S1:953:2	O
this	GADAVIST.xml:S1:956:4	O
section	GADAVIST.xml:S1:961:7	O
reflect	GADAVIST.xml:S1:969:7	O
Gadavist	GADAVIST.xml:S1:977:8	O
exposure	GADAVIST.xml:S1:986:8	O
in	GADAVIST.xml:S1:995:2	O
6	GADAVIST.xml:S1:998:1	O
,	GADAVIST.xml:S1:999:1	O
330	GADAVIST.xml:S1:1000:3	O
subjects	GADAVIST.xml:S1:1004:8	O
(	GADAVIST.xml:S1:1013:1	O
including	GADAVIST.xml:S1:1014:9	O
184	GADAVIST.xml:S1:1024:3	O
pediatric	GADAVIST.xml:S1:1028:9	O
patients	GADAVIST.xml:S1:1038:8	O
,	GADAVIST.xml:S1:1046:1	O
ages	GADAVIST.xml:S1:1048:4	O
0	GADAVIST.xml:S1:1053:1	O
to	GADAVIST.xml:S1:1055:2	O
17	GADAVIST.xml:S1:1058:2	O
years	GADAVIST.xml:S1:1061:5	O
)	GADAVIST.xml:S1:1066:1	O
with	GADAVIST.xml:S1:1068:4	O
the	GADAVIST.xml:S1:1073:3	O
majority	GADAVIST.xml:S1:1077:8	O
receiving	GADAVIST.xml:S1:1086:9	O
the	GADAVIST.xml:S1:1096:3	O
recommended	GADAVIST.xml:S1:1100:11	O
dose	GADAVIST.xml:S1:1112:4	O
.	GADAVIST.xml:S1:1116:1	O

Approximately	GADAVIST.xml:S1:1118:13	O
50%	GADAVIST.xml:S1:1132:3	O
of	GADAVIST.xml:S1:1136:2	O
the	GADAVIST.xml:S1:1139:3	O
subjects	GADAVIST.xml:S1:1143:8	O
were	GADAVIST.xml:S1:1152:4	O
male	GADAVIST.xml:S1:1157:4	O
and	GADAVIST.xml:S1:1162:3	O
the	GADAVIST.xml:S1:1166:3	O
ethnic	GADAVIST.xml:S1:1170:6	O
distribution	GADAVIST.xml:S1:1177:12	O
was	GADAVIST.xml:S1:1190:3	O
60%	GADAVIST.xml:S1:1194:3	O
Caucasian	GADAVIST.xml:S1:1198:9	O
,	GADAVIST.xml:S1:1207:1	O
30%	GADAVIST.xml:S1:1209:3	O
Asian	GADAVIST.xml:S1:1213:5	O
,	GADAVIST.xml:S1:1218:1	O
6%	GADAVIST.xml:S1:1220:2	O
Hispanic	GADAVIST.xml:S1:1223:8	O
,	GADAVIST.xml:S1:1231:1	O
2%	GADAVIST.xml:S1:1233:2	O
Black	GADAVIST.xml:S1:1236:5	O
,	GADAVIST.xml:S1:1241:1	O
and	GADAVIST.xml:S1:1243:3	O
3%	GADAVIST.xml:S1:1247:2	O
patients	GADAVIST.xml:S1:1250:8	O
of	GADAVIST.xml:S1:1259:2	O
other	GADAVIST.xml:S1:1262:5	O
ethnic	GADAVIST.xml:S1:1268:6	O
groups	GADAVIST.xml:S1:1275:6	O
.	GADAVIST.xml:S1:1281:1	O

The	GADAVIST.xml:S1:1283:3	O
average	GADAVIST.xml:S1:1287:7	O
age	GADAVIST.xml:S1:1295:3	O
was	GADAVIST.xml:S1:1299:3	O
55	GADAVIST.xml:S1:1303:2	O
years	GADAVIST.xml:S1:1306:5	O
(	GADAVIST.xml:S1:1312:1	O
range	GADAVIST.xml:S1:1313:5	O
from1	GADAVIST.xml:S1:1319:5	O
week	GADAVIST.xml:S1:1325:4	O
to	GADAVIST.xml:S1:1330:2	O
93	GADAVIST.xml:S1:1333:2	O
years	GADAVIST.xml:S1:1336:5	O
)	GADAVIST.xml:S1:1341:1	O
.	GADAVIST.xml:S1:1342:1	O

Overall	GADAVIST.xml:S1:1348:7	O
,	GADAVIST.xml:S1:1355:1	O
approximately	GADAVIST.xml:S1:1357:13	O
4%	GADAVIST.xml:S1:1371:2	O
of	GADAVIST.xml:S1:1374:2	O
subjects	GADAVIST.xml:S1:1377:8	O
reported	GADAVIST.xml:S1:1386:8	O
one	GADAVIST.xml:S1:1395:3	O
or	GADAVIST.xml:S1:1399:2	O
more	GADAVIST.xml:S1:1402:4	O
adverse	GADAVIST.xml:S1:1407:7	O
reactions	GADAVIST.xml:S1:1415:9	O
during	GADAVIST.xml:S1:1425:6	O
a	GADAVIST.xml:S1:1432:1	O
follow	GADAVIST.xml:S1:1434:6	O
-	GADAVIST.xml:S1:1440:1	O
up	GADAVIST.xml:S1:1441:2	O
period	GADAVIST.xml:S1:1444:6	O
that	GADAVIST.xml:S1:1451:4	O
ranged	GADAVIST.xml:S1:1456:6	O
from	GADAVIST.xml:S1:1463:4	O
24	GADAVIST.xml:S1:1468:2	O
hours	GADAVIST.xml:S1:1471:5	O
to	GADAVIST.xml:S1:1477:2	O
7	GADAVIST.xml:S1:1480:1	O
days	GADAVIST.xml:S1:1482:4	O
after	GADAVIST.xml:S1:1487:5	O
Gadavist	GADAVIST.xml:S1:1493:8	O
administration	GADAVIST.xml:S1:1502:14	O
.	GADAVIST.xml:S1:1516:1	O

Adverse	GADAVIST.xml:S1:1522:7	O
reactions	GADAVIST.xml:S1:1530:9	O
