6	GILENYA.xml:S1:4:1	O
ADVERSE	GILENYA.xml:S1:10:7	O
REACTIONS	GILENYA.xml:S1:18:9	O

The	GILENYA.xml:S1:31:3	O
following	GILENYA.xml:S1:35:9	O
serious	GILENYA.xml:S1:45:7	O
adverse	GILENYA.xml:S1:53:7	O
reactions	GILENYA.xml:S1:61:9	O
are	GILENYA.xml:S1:71:3	O
described	GILENYA.xml:S1:75:9	O
elsewhere	GILENYA.xml:S1:85:9	O
in	GILENYA.xml:S1:95:2	O
labeling	GILENYA.xml:S1:98:8	O
:	GILENYA.xml:S1:106:1	O

Bradyarrhythmia	GILENYA.xml:S1:115:15	B-AdverseReaction
and	GILENYA.xml:S1:131:3	O
Atrioventricular	GILENYA.xml:S1:135:16	B-AdverseReaction
Blocks	GILENYA.xml:S1:152:6	I-AdverseReaction
[	GILENYA.xml:S1:159:1	O
see	GILENYA.xml:S1:160:3	O
Warnings	GILENYA.xml:S1:164:8	O
and	GILENYA.xml:S1:173:3	O
Precautions	GILENYA.xml:S1:177:11	O
(	GILENYA.xml:S1:189:1	O
5.1	GILENYA.xml:S1:190:3	O
)]	GILENYA.xml:S1:193:2	O

Infections	GILENYA.xml:S1:202:10	B-AdverseReaction
[	GILENYA.xml:S1:213:1	O
see	GILENYA.xml:S1:214:3	O
Warnings	GILENYA.xml:S1:218:8	O
and	GILENYA.xml:S1:227:3	O
Precautions	GILENYA.xml:S1:231:11	O
(	GILENYA.xml:S1:243:1	O
5.2	GILENYA.xml:S1:244:3	O
)]	GILENYA.xml:S1:247:2	O

Progressive	GILENYA.xml:S1:256:11	B-AdverseReaction
multifocal	GILENYA.xml:S1:268:10	I-AdverseReaction
leukoencephalopathy	GILENYA.xml:S1:279:19	I-AdverseReaction
[	GILENYA.xml:S1:299:1	O
see	GILENYA.xml:S1:300:3	O
Warnings	GILENYA.xml:S1:304:8	O
and	GILENYA.xml:S1:313:3	O
Precautions	GILENYA.xml:S1:317:11	O
(	GILENYA.xml:S1:329:1	O
5.3	GILENYA.xml:S1:330:3	O
)]	GILENYA.xml:S1:333:2	O

Macular	GILENYA.xml:S1:342:7	B-AdverseReaction
Edema	GILENYA.xml:S1:350:5	I-AdverseReaction
[	GILENYA.xml:S1:356:1	O
see	GILENYA.xml:S1:357:3	O
Warnings	GILENYA.xml:S1:361:8	O
and	GILENYA.xml:S1:370:3	O
Precautions	GILENYA.xml:S1:374:11	O
(	GILENYA.xml:S1:386:1	O
5.4	GILENYA.xml:S1:387:3	O
)]	GILENYA.xml:S1:390:2	O

Posterior	GILENYA.xml:S1:399:9	B-AdverseReaction
Reversible	GILENYA.xml:S1:409:10	I-AdverseReaction
Encephalopathy	GILENYA.xml:S1:420:14	I-AdverseReaction
Syndrome	GILENYA.xml:S1:435:8	I-AdverseReaction
[	GILENYA.xml:S1:444:1	O
see	GILENYA.xml:S1:445:3	O
Warnings	GILENYA.xml:S1:449:8	O
and	GILENYA.xml:S1:458:3	O
Precautions	GILENYA.xml:S1:462:11	O
(	GILENYA.xml:S1:474:1	O
5.5	GILENYA.xml:S1:475:3	O
)]	GILENYA.xml:S1:478:2	O

Respiratory	GILENYA.xml:S1:487:11	B-AdverseReaction
Effects	GILENYA.xml:S1:499:7	I-AdverseReaction
[	GILENYA.xml:S1:507:1	O
see	GILENYA.xml:S1:508:3	O
Warnings	GILENYA.xml:S1:512:8	O
and	GILENYA.xml:S1:521:3	O
Precautions	GILENYA.xml:S1:525:11	O
(	GILENYA.xml:S1:537:1	O
5.6	GILENYA.xml:S1:538:3	O
)]	GILENYA.xml:S1:541:2	O

Liver	GILENYA.xml:S1:550:5	B-AdverseReaction
Injury	GILENYA.xml:S1:556:6	I-AdverseReaction
[	GILENYA.xml:S1:563:1	O
see	GILENYA.xml:S1:564:3	O
Warnings	GILENYA.xml:S1:568:8	O
and	GILENYA.xml:S1:577:3	O
Precautions	GILENYA.xml:S1:581:11	O
(	GILENYA.xml:S1:593:1	O
5.7	GILENYA.xml:S1:594:3	O
)]	GILENYA.xml:S1:597:2	O

EXCERPT	GILENYA.xml:S1:608:7	O
:	GILENYA.xml:S1:615:1	O
Most	GILENYA.xml:S1:619:4	O
common	GILENYA.xml:S1:624:6	O
adverse	GILENYA.xml:S1:631:7	O
reactions	GILENYA.xml:S1:639:9	O
(	GILENYA.xml:S1:649:1	O
incidence	GILENYA.xml:S1:650:9	O
10%	GILENYA.xml:S1:662:3	O
and	GILENYA.xml:S1:666:3	O
placebo	GILENYA.xml:S1:672:7	O
)	GILENYA.xml:S1:679:1	O
:	GILENYA.xml:S1:680:1	O
Headache	GILENYA.xml:S1:682:8	B-AdverseReaction
,	GILENYA.xml:S1:690:1	O
liver	GILENYA.xml:S1:692:5	B-AdverseReaction
transaminase	GILENYA.xml:S1:698:12	I-AdverseReaction
elevation	GILENYA.xml:S1:711:9	I-AdverseReaction
,	GILENYA.xml:S1:720:1	O
diarrhea	GILENYA.xml:S1:722:8	B-AdverseReaction
,	GILENYA.xml:S1:730:1	O
cough	GILENYA.xml:S1:732:5	B-AdverseReaction
,	GILENYA.xml:S1:737:1	O
influenza	GILENYA.xml:S1:739:9	B-AdverseReaction
,	GILENYA.xml:S1:748:1	O
sinusitis	GILENYA.xml:S1:750:9	B-AdverseReaction
,	GILENYA.xml:S1:759:1	O
back	GILENYA.xml:S1:761:4	B-AdverseReaction
pain	GILENYA.xml:S1:766:4	I-AdverseReaction
