6	GILOTRIF.xml:S1:4:1	O
ADVERSE	GILOTRIF.xml:S1:7:7	O
REACTIONS	GILOTRIF.xml:S1:15:9	O

The	GILOTRIF.xml:S1:28:3	O
following	GILOTRIF.xml:S1:32:9	O
adverse	GILOTRIF.xml:S1:42:7	O
reactions	GILOTRIF.xml:S1:50:9	O
are	GILOTRIF.xml:S1:60:3	O
discussed	GILOTRIF.xml:S1:64:9	O
in	GILOTRIF.xml:S1:74:2	O
greater	GILOTRIF.xml:S1:77:7	O
detail	GILOTRIF.xml:S1:85:6	O
in	GILOTRIF.xml:S1:92:2	O
other	GILOTRIF.xml:S1:95:5	O
sections	GILOTRIF.xml:S1:101:8	O
of	GILOTRIF.xml:S1:110:2	O
the	GILOTRIF.xml:S1:113:3	O
labeling	GILOTRIF.xml:S1:117:8	O
:	GILOTRIF.xml:S1:125:1	O

Diarrhea	GILOTRIF.xml:S1:134:8	B-AdverseReaction
[	GILOTRIF.xml:S1:143:1	O
see	GILOTRIF.xml:S1:144:3	O
Warnings	GILOTRIF.xml:S1:148:8	O
and	GILOTRIF.xml:S1:157:3	O
Precautions	GILOTRIF.xml:S1:161:11	O
(	GILOTRIF.xml:S1:173:1	O
5.1	GILOTRIF.xml:S1:174:3	O
)]	GILOTRIF.xml:S1:177:2	O

Bullous	GILOTRIF.xml:S1:186:7	B-AdverseReaction
and	GILOTRIF.xml:S1:194:3	O
Exfoliative	GILOTRIF.xml:S1:198:11	B-AdverseReaction
Skin	GILOTRIF.xml:S1:210:4	I-AdverseReaction
Disorders	GILOTRIF.xml:S1:215:9	I-AdverseReaction
[	GILOTRIF.xml:S1:225:1	O
see	GILOTRIF.xml:S1:226:3	O
Warnings	GILOTRIF.xml:S1:230:8	O
and	GILOTRIF.xml:S1:239:3	O
Precautions	GILOTRIF.xml:S1:243:11	O
(	GILOTRIF.xml:S1:255:1	O
5.2	GILOTRIF.xml:S1:256:3	O
)]	GILOTRIF.xml:S1:259:2	O

Interstitial	GILOTRIF.xml:S1:268:12	B-AdverseReaction
Lung	GILOTRIF.xml:S1:281:4	I-AdverseReaction
Disease	GILOTRIF.xml:S1:286:7	I-AdverseReaction
[	GILOTRIF.xml:S1:294:1	O
see	GILOTRIF.xml:S1:295:3	O
Warnings	GILOTRIF.xml:S1:299:8	O
and	GILOTRIF.xml:S1:308:3	O
Precautions	GILOTRIF.xml:S1:312:11	O
(	GILOTRIF.xml:S1:324:1	O
5.3	GILOTRIF.xml:S1:325:3	O
)]	GILOTRIF.xml:S1:328:2	O

Hepatic	GILOTRIF.xml:S1:337:7	B-AdverseReaction
Toxicity	GILOTRIF.xml:S1:345:8	I-AdverseReaction
[	GILOTRIF.xml:S1:354:1	O
see	GILOTRIF.xml:S1:355:3	O
Warnings	GILOTRIF.xml:S1:359:8	O
and	GILOTRIF.xml:S1:368:3	O
Precautions	GILOTRIF.xml:S1:372:11	O
(	GILOTRIF.xml:S1:384:1	O
5.4	GILOTRIF.xml:S1:385:3	O
)]	GILOTRIF.xml:S1:388:2	O

Keratitis	GILOTRIF.xml:S1:397:9	B-AdverseReaction
[	GILOTRIF.xml:S1:407:1	O
see	GILOTRIF.xml:S1:408:3	O
Warnings	GILOTRIF.xml:S1:412:8	O
and	GILOTRIF.xml:S1:421:3	O
Precautions	GILOTRIF.xml:S1:425:11	O
(	GILOTRIF.xml:S1:437:1	O
5.5	GILOTRIF.xml:S1:438:3	O
)]	GILOTRIF.xml:S1:441:2	O

EXCERPT	GILOTRIF.xml:S1:452:7	O
:	GILOTRIF.xml:S1:459:1	O
Most	GILOTRIF.xml:S1:463:4	O
common	GILOTRIF.xml:S1:468:6	O
adverse	GILOTRIF.xml:S1:475:7	O
reactions	GILOTRIF.xml:S1:483:9	O
(	GILOTRIF.xml:S1:493:1	O
20%	GILOTRIF.xml:S1:496:3	O
)	GILOTRIF.xml:S1:499:1	O
are	GILOTRIF.xml:S1:501:3	O
diarrhea	GILOTRIF.xml:S1:505:8	B-AdverseReaction
,	GILOTRIF.xml:S1:513:1	O
rash	GILOTRIF.xml:S1:515:4	B-AdverseReaction
dermatitis	GILOTRIF.xml:S1:520:10	B-AdverseReaction
acneiform	GILOTRIF.xml:S1:531:9	I-AdverseReaction
,	GILOTRIF.xml:S1:540:1	O
stomatitis	GILOTRIF.xml:S1:542:10	B-AdverseReaction
,	GILOTRIF.xml:S1:552:1	O
paronychia	GILOTRIF.xml:S1:554:10	B-AdverseReaction
,	GILOTRIF.xml:S1:564:1	O
dry	GILOTRIF.xml:S1:566:3	B-AdverseReaction
skin	GILOTRIF.xml:S1:570:4	I-AdverseReaction
,	GILOTRIF.xml:S1:574:1	O
decreased	GILOTRIF.xml:S1:576:9	B-AdverseReaction
appetite	GILOTRIF.xml:S1:586:8	I-AdverseReaction
,	GILOTRIF.xml:S1:594:1	O
nausea	GILOTRIF.xml:S1:596:6	B-AdverseReaction
,	GILOTRIF.xml:S1:602:1	O
vomiting	GILOTRIF.xml:S1:604:8	B-AdverseReaction
,	GILOTRIF.xml:S1:612:1	O
pruritus	GILOTRIF.xml:S1:614:8	B-AdverseReaction
(	GILOTRIF.xml:S1:623:1	O
6.1	GILOTRIF.xml:S1:624:3	O
)	GILOTRIF.xml:S1:627:1	O

To	GILOTRIF.xml:S1:635:2	O

report	GILOTRIF.xml:S1:638:6	O
SUSPECTED	GILOTRIF.xml:S1:645:9	O
ADVERSE	GILOTRIF.xml:S1:655:7	O
REACTIONS	GILOTRIF.xml:S1:663:9	O
,	GILOTRIF.xml:S1:672:1	O
contact	GILOTRIF.xml:S1:674:7	O
Boehringer	GILOTRIF.xml:S1:682:10	O
Ingelheim	GILOTRIF.xml:S1:693:9	O
Pharmaceuticals	GILOTRIF.xml:S1:703:15	O
,	GILOTRIF.xml:S1:718:1	O
Inc	GILOTRIF.xml:S1:720:3	O
.	GILOTRIF.xml:S1:723:1	O

at	GILOTRIF.xml:S1:725:2	O
(	GILOTRIF.xml:S1:728:1	O
800	GILOTRIF.xml:S1:729:3	O
)	GILOTRIF.xml:S1:732:1	O
542	GILOTRIF.xml:S1:734:3	O
-	GILOTRIF.xml:S1:737:1	O
6257	GILOTRIF.xml:S1:738:4	O
