6	GRANIX.xml:S1:4:1	O
ADVERSE	GRANIX.xml:S1:6:7	O
REACTIONS	GRANIX.xml:S1:14:9	O

The	GRANIX.xml:S1:27:3	O
following	GRANIX.xml:S1:31:9	O
potential	GRANIX.xml:S1:41:9	O
serious	GRANIX.xml:S1:51:7	O
adverse	GRANIX.xml:S1:59:7	O
reactions	GRANIX.xml:S1:67:9	O
are	GRANIX.xml:S1:77:3	O
discussed	GRANIX.xml:S1:81:9	O
in	GRANIX.xml:S1:91:2	O
greater	GRANIX.xml:S1:94:7	O
detail	GRANIX.xml:S1:102:6	O
in	GRANIX.xml:S1:109:2	O
other	GRANIX.xml:S1:112:5	O
sections	GRANIX.xml:S1:118:8	O
of	GRANIX.xml:S1:127:2	O
the	GRANIX.xml:S1:130:3	O
labeling	GRANIX.xml:S1:134:8	O
:	GRANIX.xml:S1:142:1	O

Splenic	GRANIX.xml:S1:149:7	B-AdverseReaction
Rupture	GRANIX.xml:S1:157:7	I-AdverseReaction
[	GRANIX.xml:S1:165:1	O
see	GRANIX.xml:S1:168:3	O
Warnings	GRANIX.xml:S1:173:8	O
and	GRANIX.xml:S1:182:3	O
Precautions	GRANIX.xml:S1:186:11	O
(	GRANIX.xml:S1:198:1	O
5.1	GRANIX.xml:S1:199:3	O
)	GRANIX.xml:S1:202:1	O
]	GRANIX.xml:S1:207:1	O

Acute	GRANIX.xml:S1:214:5	B-AdverseReaction
Respiratory	GRANIX.xml:S1:220:11	I-AdverseReaction
Distress	GRANIX.xml:S1:232:8	I-AdverseReaction
Syndrome	GRANIX.xml:S1:241:8	I-AdverseReaction
[	GRANIX.xml:S1:250:1	O
see	GRANIX.xml:S1:253:3	O
Warnings	GRANIX.xml:S1:258:8	O
and	GRANIX.xml:S1:267:3	O
Precautions	GRANIX.xml:S1:271:11	O
(	GRANIX.xml:S1:283:1	O
5.2	GRANIX.xml:S1:284:3	O
)	GRANIX.xml:S1:287:1	O
]	GRANIX.xml:S1:292:1	O

Serious	GRANIX.xml:S1:299:7	B-Severity
Allergic	GRANIX.xml:S1:307:8	B-AdverseReaction
Reactions	GRANIX.xml:S1:316:9	I-AdverseReaction
[	GRANIX.xml:S1:326:1	O
see	GRANIX.xml:S1:329:3	O
Warnings	GRANIX.xml:S1:334:8	O
and	GRANIX.xml:S1:343:3	O
Precautions	GRANIX.xml:S1:347:11	O
(	GRANIX.xml:S1:359:1	O
5.3	GRANIX.xml:S1:360:3	O
)	GRANIX.xml:S1:363:1	O
]	GRANIX.xml:S1:368:1	O

Use	GRANIX.xml:S1:375:3	O
in	GRANIX.xml:S1:379:2	O
Patients	GRANIX.xml:S1:382:8	O
with	GRANIX.xml:S1:391:4	O
Sickle	GRANIX.xml:S1:396:6	O
Cell	GRANIX.xml:S1:403:4	O
Disease	GRANIX.xml:S1:408:7	O
[	GRANIX.xml:S1:416:1	O
see	GRANIX.xml:S1:419:3	O
Warnings	GRANIX.xml:S1:424:8	O
and	GRANIX.xml:S1:433:3	O
Precautions	GRANIX.xml:S1:437:11	O
(	GRANIX.xml:S1:449:1	O
5.4	GRANIX.xml:S1:450:3	O
)	GRANIX.xml:S1:453:1	O
]	GRANIX.xml:S1:458:1	O

Capillary	GRANIX.xml:S1:465:9	B-AdverseReaction
Leak	GRANIX.xml:S1:475:4	I-AdverseReaction
Syndrome	GRANIX.xml:S1:480:8	I-AdverseReaction
[	GRANIX.xml:S1:489:1	O
see	GRANIX.xml:S1:492:3	O
Warnings	GRANIX.xml:S1:501:8	O
and	GRANIX.xml:S1:510:3	O
Precautions	GRANIX.xml:S1:514:11	O
(	GRANIX.xml:S1:526:1	O
5.5	GRANIX.xml:S1:527:3	O
)	GRANIX.xml:S1:530:1	O
]	GRANIX.xml:S1:535:1	O

Potential	GRANIX.xml:S1:542:9	B-Factor
for	GRANIX.xml:S1:552:3	O
