6	HALAVEN.xml:S1:6:1	O
ADVERSE	HALAVEN.xml:S1:11:7	O
REACTIONS	HALAVEN.xml:S1:19:9	O

EXCERPT	HALAVEN.xml:S1:34:7	O
:	HALAVEN.xml:S1:41:1	O
The	HALAVEN.xml:S1:45:3	O
most	HALAVEN.xml:S1:49:4	O
common	HALAVEN.xml:S1:54:6	O
adverse	HALAVEN.xml:S1:61:7	O
reactions	HALAVEN.xml:S1:69:9	O
(	HALAVEN.xml:S1:79:1	O
incidence	HALAVEN.xml:S1:80:9	O
25%	HALAVEN.xml:S1:92:3	O
)	HALAVEN.xml:S1:95:1	O
were	HALAVEN.xml:S1:97:4	O
neutropenia	HALAVEN.xml:S1:102:11	B-AdverseReaction
,	HALAVEN.xml:S1:113:1	O
anemia	HALAVEN.xml:S1:115:6	B-AdverseReaction
,	HALAVEN.xml:S1:121:1	O
asthenia	HALAVEN.xml:S1:123:8	B-AdverseReaction
fatigue	HALAVEN.xml:S1:132:7	B-AdverseReaction
,	HALAVEN.xml:S1:139:1	O
alopecia	HALAVEN.xml:S1:141:8	B-AdverseReaction
,	HALAVEN.xml:S1:149:1	O
peripheral	HALAVEN.xml:S1:151:10	B-AdverseReaction
neuropathy	HALAVEN.xml:S1:162:10	I-AdverseReaction
,	HALAVEN.xml:S1:172:1	O
nausea	HALAVEN.xml:S1:174:6	B-AdverseReaction
,	HALAVEN.xml:S1:180:1	O
and	HALAVEN.xml:S1:182:3	O
constipation	HALAVEN.xml:S1:186:12	B-AdverseReaction
(	HALAVEN.xml:S1:199:1	O
6	HALAVEN.xml:S1:202:1	O
)	HALAVEN.xml:S1:205:1	O

To	HALAVEN.xml:S1:213:2	O
report	HALAVEN.xml:S1:216:6	O
SUSPECTED	HALAVEN.xml:S1:223:9	O
ADVERSE	HALAVEN.xml:S1:233:7	O
REACTIONS	HALAVEN.xml:S1:241:9	O
,	HALAVEN.xml:S1:250:1	O
contact	HALAVEN.xml:S1:252:7	O
Eisai	HALAVEN.xml:S1:260:5	O
Inc	HALAVEN.xml:S1:266:3	O
.	HALAVEN.xml:S1:269:1	O

at	HALAVEN.xml:S1:271:2	O
(	HALAVEN.xml:S1:274:1	O
1	HALAVEN.xml:S1:275:1	O
-	HALAVEN.xml:S1:276:1	O
877	HALAVEN.xml:S1:277:3	O
-	HALAVEN.xml:S1:280:1	O
873	HALAVEN.xml:S1:281:3	O
-	HALAVEN.xml:S1:284:1	O
4724	HALAVEN.xml:S1:285:4	O
)	HALAVEN.xml:S1:289:1	O
or	HALAVEN.xml:S1:291:2	O
contact	HALAVEN.xml:S1:294:7	O
FDA	HALAVEN.xml:S1:302:3	O
at	HALAVEN.xml:S1:306:2	O
1	HALAVEN.xml:S1:309:1	O
