6	ILARIS.xml:S1:6:1	O
ADVERSE	ILARIS.xml:S1:12:7	O
REACTIONS	ILARIS.xml:S1:20:9	O

Three	ILARIS.xml:S1:35:5	O
hundred	ILARIS.xml:S1:41:7	O
ninety	ILARIS.xml:S1:49:6	O
-	ILARIS.xml:S1:55:1	O
five	ILARIS.xml:S1:56:4	O
patients	ILARIS.xml:S1:61:8	O
,	ILARIS.xml:S1:69:1	O
including	ILARIS.xml:S1:71:9	O
approximately	ILARIS.xml:S1:81:13	O
250	ILARIS.xml:S1:95:3	O
children	ILARIS.xml:S1:99:8	O
(	ILARIS.xml:S1:108:1	O
aged	ILARIS.xml:S1:109:4	O
2	ILARIS.xml:S1:114:1	O
to	ILARIS.xml:S1:116:2	O
17	ILARIS.xml:S1:119:2	O
years	ILARIS.xml:S1:122:5	O
)	ILARIS.xml:S1:127:1	O
have	ILARIS.xml:S1:129:4	O
been	ILARIS.xml:S1:134:4	O
treated	ILARIS.xml:S1:139:7	O
with	ILARIS.xml:S1:147:4	O
ILARIS	ILARIS.xml:S1:152:6	O
in	ILARIS.xml:S1:159:2	O
interventional	ILARIS.xml:S1:162:14	O
trials	ILARIS.xml:S1:177:6	O
in	ILARIS.xml:S1:184:2	O
CAPS	ILARIS.xml:S1:187:4	O
or	ILARIS.xml:S1:192:2	O
SJIA	ILARIS.xml:S1:195:4	O
.	ILARIS.xml:S1:199:1	O

The	ILARIS.xml:S1:201:3	O
most	ILARIS.xml:S1:205:4	O
frequently	ILARIS.xml:S1:210:10	O
reported	ILARIS.xml:S1:221:8	O
adverse	ILARIS.xml:S1:230:7	O
drug	ILARIS.xml:S1:238:4	O
reactions	ILARIS.xml:S1:243:9	O
were	ILARIS.xml:S1:253:4	O
infections	ILARIS.xml:S1:258:10	B-AdverseReaction
predominantly	ILARIS.xml:S1:269:13	O
of	ILARIS.xml:S1:283:2	I-AdverseReaction
the	ILARIS.xml:S1:286:3	I-AdverseReaction
upper	ILARIS.xml:S1:290:5	I-AdverseReaction
respiratory	ILARIS.xml:S1:296:11	I-AdverseReaction
tract	ILARIS.xml:S1:308:5	I-AdverseReaction
.	ILARIS.xml:S1:313:1	O

The	ILARIS.xml:S1:315:3	O
majority	ILARIS.xml:S1:319:8	O
of	ILARIS.xml:S1:328:2	O
the	ILARIS.xml:S1:331:3	O
events	ILARIS.xml:S1:335:6	O
were	ILARIS.xml:S1:342:4	O
mild	ILARIS.xml:S1:347:4	B-Severity
to	ILARIS.xml:S1:352:2	I-Severity
moderate	ILARIS.xml:S1:355:8	I-Severity
although	ILARIS.xml:S1:364:8	O
serious	ILARIS.xml:S1:373:7	B-Severity
infections	ILARIS.xml:S1:381:10	B-AdverseReaction
were	ILARIS.xml:S1:392:4	O
observed	ILARIS.xml:S1:397:8	O
.	ILARIS.xml:S1:405:1	O

The	ILARIS.xml:S1:407:3	O
type	ILARIS.xml:S1:411:4	O
and	ILARIS.xml:S1:416:3	O
frequency	ILARIS.xml:S1:420:9	O
of	ILARIS.xml:S1:430:2	O
adverse	ILARIS.xml:S1:433:7	O
drug	ILARIS.xml:S1:441:4	O
reactions	ILARIS.xml:S1:446:9	O
appeared	ILARIS.xml:S1:456:8	O
to	ILARIS.xml:S1:465:2	O
be	ILARIS.xml:S1:468:2	O
consistent	ILARIS.xml:S1:471:10	O
over	ILARIS.xml:S1:482:4	O
time	ILARIS.xml:S1:487:4	O
.	ILARIS.xml:S1:491:1	O

Opportunistic	ILARIS.xml:S1:497:13	B-AdverseReaction
infections	ILARIS.xml:S1:511:10	I-AdverseReaction
have	ILARIS.xml:S1:522:4	O
also	ILARIS.xml:S1:527:4	O
been	ILARIS.xml:S1:532:4	O
reported	ILARIS.xml:S1:537:8	O
in	ILARIS.xml:S1:546:2	O
patients	ILARIS.xml:S1:549:8	O
treated	ILARIS.xml:S1:558:7	O
with	ILARIS.xml:S1:566:4	O
ILARIS	ILARIS.xml:S1:571:6	O
[	ILARIS.xml:S1:579:1	O
see	ILARIS.xml:S1:580:3	O
Warnings	ILARIS.xml:S1:584:8	O
and	ILARIS.xml:S1:593:3	O
Precautions	ILARIS.xml:S1:597:11	O
(	ILARIS.xml:S1:609:1	O
5.1	ILARIS.xml:S1:610:3	O
)]	ILARIS.xml:S1:613:2	O
.	ILARIS.xml:S1:617:1	O

EXCERPT	ILARIS.xml:S1:625:7	O
:	ILARIS.xml:S1:632:1	O
CAPS	ILARIS.xml:S1:638:4	O
:	ILARIS.xml:S1:642:1	O
The	ILARIS.xml:S1:645:3	O
most	ILARIS.xml:S1:649:4	O
common	ILARIS.xml:S1:654:6	O
adverse	ILARIS.xml:S1:661:7	O
reactions	ILARIS.xml:S1:669:9	O
greater	ILARIS.xml:S1:679:7	O
than	ILARIS.xml:S1:687:4	O
10%	ILARIS.xml:S1:692:3	O
reported	ILARIS.xml:S1:696:8	O
by	ILARIS.xml:S1:705:2	O
patients	ILARIS.xml:S1:708:8	O
with	ILARIS.xml:S1:717:4	O
CAPS	ILARIS.xml:S1:722:4	O
treated	ILARIS.xml:S1:727:7	O
with	ILARIS.xml:S1:735:4	O
ILARIS	ILARIS.xml:S1:740:6	O
are	ILARIS.xml:S1:747:3	O
nasopharyngitis	ILARIS.xml:S1:751:15	B-AdverseReaction
,	ILARIS.xml:S1:766:1	O
diarrhea	ILARIS.xml:S1:768:8	B-AdverseReaction
,	ILARIS.xml:S1:776:1	O
influenza	ILARIS.xml:S1:778:9	B-AdverseReaction
,	ILARIS.xml:S1:787:1	O
headache	ILARIS.xml:S1:789:8	B-AdverseReaction
and	ILARIS.xml:S1:798:3	O
nausea	ILARIS.xml:S1:802:6	B-AdverseReaction
.	ILARIS.xml:S1:808:1	O

(	ILARIS.xml:S1:810:1	O
6	ILARIS.xml:S1:813:1	O
)	ILARIS.xml:S1:816:1	O

SJIA	ILARIS.xml:S1:824:4	O
:	ILARIS.xml:S1:828:1	O
The	ILARIS.xml:S1:831:3	O
most	ILARIS.xml:S1:835:4	O
common	ILARIS.xml:S1:840:6	O
adverse	ILARIS.xml:S1:847:7	O
drug	ILARIS.xml:S1:855:4	O
reactions	ILARIS.xml:S1:860:9	O
greater	ILARIS.xml:S1:870:7	O
than	ILARIS.xml:S1:878:4	O
10%	ILARIS.xml:S1:883:3	O
reported	ILARIS.xml:S1:887:8	O
by	ILARIS.xml:S1:896:2	O
patients	ILARIS.xml:S1:899:8	O
with	ILARIS.xml:S1:908:4	O
SJIA	ILARIS.xml:S1:913:4	O
treated	ILARIS.xml:S1:918:7	O
with	ILARIS.xml:S1:926:4	O
ILARIS	ILARIS.xml:S1:931:6	O
are	ILARIS.xml:S1:938:3	O
infections	ILARIS.xml:S1:942:10	B-AdverseReaction
(	ILARIS.xml:S1:953:1	O
nasopharyngitis	ILARIS.xml:S1:954:15	B-AdverseReaction
and	ILARIS.xml:S1:970:3	O
upper	ILARIS.xml:S1:974:5	B-AdverseReaction
