6	IMBRUVICA.xml:S1:4:1	O
ADVERSE	IMBRUVICA.xml:S1:6:7	O
REACTIONS	IMBRUVICA.xml:S1:14:9	O

The	IMBRUVICA.xml:S1:27:3	O
following	IMBRUVICA.xml:S1:31:9	O
adverse	IMBRUVICA.xml:S1:41:7	O
reactions	IMBRUVICA.xml:S1:49:9	O
are	IMBRUVICA.xml:S1:59:3	O
discussed	IMBRUVICA.xml:S1:63:9	O
in	IMBRUVICA.xml:S1:73:2	O
more	IMBRUVICA.xml:S1:76:4	O
detail	IMBRUVICA.xml:S1:81:6	O
in	IMBRUVICA.xml:S1:88:2	O
other	IMBRUVICA.xml:S1:91:5	O
sections	IMBRUVICA.xml:S1:97:8	O
of	IMBRUVICA.xml:S1:106:2	O
the	IMBRUVICA.xml:S1:109:3	O
labeling	IMBRUVICA.xml:S1:113:8	O
:	IMBRUVICA.xml:S1:121:1	O

Hemorrhage	IMBRUVICA.xml:S1:130:10	B-AdverseReaction
[	IMBRUVICA.xml:S1:141:1	O
see	IMBRUVICA.xml:S1:142:3	O
Warnings	IMBRUVICA.xml:S1:147:8	O
and	IMBRUVICA.xml:S1:156:3	O
Precautions	IMBRUVICA.xml:S1:160:11	O
(	IMBRUVICA.xml:S1:172:1	O
5.1	IMBRUVICA.xml:S1:173:3	O
)	IMBRUVICA.xml:S1:176:1	O
]	IMBRUVICA.xml:S1:179:1	O

Infections	IMBRUVICA.xml:S1:187:10	B-AdverseReaction
[	IMBRUVICA.xml:S1:198:1	O
see	IMBRUVICA.xml:S1:199:3	O
Warnings	IMBRUVICA.xml:S1:204:8	O
and	IMBRUVICA.xml:S1:213:3	O
Precautions	IMBRUVICA.xml:S1:217:11	O
(	IMBRUVICA.xml:S1:229:1	O
5.2	IMBRUVICA.xml:S1:230:3	O
)	IMBRUVICA.xml:S1:233:1	O
]	IMBRUVICA.xml:S1:236:1	O

Cytopenias	IMBRUVICA.xml:S1:244:10	B-AdverseReaction
[	IMBRUVICA.xml:S1:255:1	O
see	IMBRUVICA.xml:S1:256:3	O
Warnings	IMBRUVICA.xml:S1:261:8	O
and	IMBRUVICA.xml:S1:270:3	O
Precautions	IMBRUVICA.xml:S1:274:11	O
(	IMBRUVICA.xml:S1:286:1	O
5.3	IMBRUVICA.xml:S1:287:3	O
)	IMBRUVICA.xml:S1:290:1	O
]	IMBRUVICA.xml:S1:293:1	O

Atrial	IMBRUVICA.xml:S1:301:6	B-AdverseReaction
Fibrillation	IMBRUVICA.xml:S1:308:12	I-AdverseReaction
[	IMBRUVICA.xml:S1:321:1	O
see	IMBRUVICA.xml:S1:322:3	O
Warnings	IMBRUVICA.xml:S1:327:8	O
and	IMBRUVICA.xml:S1:336:3	O
Precautions	IMBRUVICA.xml:S1:340:11	O
(	IMBRUVICA.xml:S1:352:1	O
5.4	IMBRUVICA.xml:S1:353:3	O
)	IMBRUVICA.xml:S1:356:1	O
]	IMBRUVICA.xml:S1:359:1	O

Second	IMBRUVICA.xml:S1:367:6	B-AdverseReaction
Primary	IMBRUVICA.xml:S1:374:7	I-AdverseReaction
Malignancies	IMBRUVICA.xml:S1:382:12	I-AdverseReaction
[	IMBRUVICA.xml:S1:395:1	O
see	IMBRUVICA.xml:S1:396:3	O
Warnings	IMBRUVICA.xml:S1:401:8	O
and	IMBRUVICA.xml:S1:410:3	O
Precautions	IMBRUVICA.xml:S1:414:11	O
(	IMBRUVICA.xml:S1:426:1	O
5.5	IMBRUVICA.xml:S1:427:3	O
)	IMBRUVICA.xml:S1:430:1	O
]	IMBRUVICA.xml:S1:433:1	O

Tumor	IMBRUVICA.xml:S1:441:5	B-AdverseReaction
Lysis	IMBRUVICA.xml:S1:447:5	I-AdverseReaction
Syndrome	IMBRUVICA.xml:S1:453:8	I-AdverseReaction
[	IMBRUVICA.xml:S1:462:1	O
see	IMBRUVICA.xml:S1:463:3	O
Warnings	IMBRUVICA.xml:S1:468:8	O
and	IMBRUVICA.xml:S1:477:3	O
Precautions	IMBRUVICA.xml:S1:481:11	O
(	IMBRUVICA.xml:S1:493:1	O
5.6	IMBRUVICA.xml:S1:494:3	O
)	IMBRUVICA.xml:S1:497:1	O
]	IMBRUVICA.xml:S1:500:1	O

Because	IMBRUVICA.xml:S1:508:7	O
clinical	IMBRUVICA.xml:S1:516:8	O
trials	IMBRUVICA.xml:S1:525:6	O
are	IMBRUVICA.xml:S1:532:3	O
conducted	IMBRUVICA.xml:S1:536:9	O
under	IMBRUVICA.xml:S1:546:5	O
widely	IMBRUVICA.xml:S1:552:6	O
variable	IMBRUVICA.xml:S1:559:8	O
conditions	IMBRUVICA.xml:S1:568:10	O
,	IMBRUVICA.xml:S1:578:1	O
adverse	IMBRUVICA.xml:S1:580:7	O
event	IMBRUVICA.xml:S1:588:5	O
rates	IMBRUVICA.xml:S1:594:5	O
observed	IMBRUVICA.xml:S1:600:8	O
in	IMBRUVICA.xml:S1:609:2	O
clinical	IMBRUVICA.xml:S1:612:8	O
trials	IMBRUVICA.xml:S1:621:6	O
of	IMBRUVICA.xml:S1:628:2	O
a	IMBRUVICA.xml:S1:631:1	O
drug	IMBRUVICA.xml:S1:633:4	O
cannot	IMBRUVICA.xml:S1:638:6	O
be	IMBRUVICA.xml:S1:645:2	O
directly	IMBRUVICA.xml:S1:648:8	O
compared	IMBRUVICA.xml:S1:657:8	O
with	IMBRUVICA.xml:S1:666:4	O
rates	IMBRUVICA.xml:S1:671:5	O
of	IMBRUVICA.xml:S1:677:2	O
clinical	IMBRUVICA.xml:S1:680:8	O
trials	IMBRUVICA.xml:S1:689:6	O
of	IMBRUVICA.xml:S1:696:2	O
another	IMBRUVICA.xml:S1:699:7	O
drug	IMBRUVICA.xml:S1:707:4	O
and	IMBRUVICA.xml:S1:712:3	O
may	IMBRUVICA.xml:S1:716:3	O
not	IMBRUVICA.xml:S1:720:3	O
reflect	IMBRUVICA.xml:S1:724:7	O
the	IMBRUVICA.xml:S1:732:3	O
rates	IMBRUVICA.xml:S1:736:5	O
observed	IMBRUVICA.xml:S1:742:8	O
in	IMBRUVICA.xml:S1:751:2	O
practice	IMBRUVICA.xml:S1:754:8	O
.	IMBRUVICA.xml:S1:762:1	O

EXCERPT	IMBRUVICA.xml:S1:770:7	O

:	IMBRUVICA.xml:S1:777:1	O
The	IMBRUVICA.xml:S1:781:3	O
