6	INLYTA.xml:S1:4:1	O
ADVERSE	INLYTA.xml:S1:6:7	O
REACTIONS	INLYTA.xml:S1:14:9	O

Because	INLYTA.xml:S1:27:7	O
clinical	INLYTA.xml:S1:35:8	O
trials	INLYTA.xml:S1:44:6	O
are	INLYTA.xml:S1:51:3	O
conducted	INLYTA.xml:S1:55:9	O
under	INLYTA.xml:S1:65:5	O
widely	INLYTA.xml:S1:71:6	O
varying	INLYTA.xml:S1:78:7	O
conditions	INLYTA.xml:S1:86:10	O
,	INLYTA.xml:S1:96:1	O
adverse	INLYTA.xml:S1:98:7	O
reaction	INLYTA.xml:S1:106:8	O
rates	INLYTA.xml:S1:115:5	O
observed	INLYTA.xml:S1:121:8	O
in	INLYTA.xml:S1:130:2	O
the	INLYTA.xml:S1:133:3	O
clinical	INLYTA.xml:S1:137:8	O
trials	INLYTA.xml:S1:146:6	O
of	INLYTA.xml:S1:153:2	O
a	INLYTA.xml:S1:156:1	O
drug	INLYTA.xml:S1:158:4	O
cannot	INLYTA.xml:S1:163:6	O
be	INLYTA.xml:S1:170:2	O
directly	INLYTA.xml:S1:173:8	O
compared	INLYTA.xml:S1:182:8	O
to	INLYTA.xml:S1:191:2	O
rates	INLYTA.xml:S1:194:5	O
in	INLYTA.xml:S1:200:2	O
the	INLYTA.xml:S1:203:3	O
clinical	INLYTA.xml:S1:207:8	O
trials	INLYTA.xml:S1:216:6	O
of	INLYTA.xml:S1:223:2	O
another	INLYTA.xml:S1:226:7	O
drug	INLYTA.xml:S1:234:4	O
and	INLYTA.xml:S1:239:3	O
may	INLYTA.xml:S1:243:3	O
not	INLYTA.xml:S1:247:3	O
reflect	INLYTA.xml:S1:251:7	O
the	INLYTA.xml:S1:259:3	O
rates	INLYTA.xml:S1:263:5	O
observed	INLYTA.xml:S1:269:8	O
in	INLYTA.xml:S1:278:2	O
clinical	INLYTA.xml:S1:281:8	O
practice	INLYTA.xml:S1:290:8	O
.	INLYTA.xml:S1:298:1	O

The	INLYTA.xml:S1:304:3	O
safety	INLYTA.xml:S1:308:6	O
of	INLYTA.xml:S1:315:2	O
INLYTA	INLYTA.xml:S1:318:6	O
has	INLYTA.xml:S1:325:3	O
been	INLYTA.xml:S1:329:4	O
evaluated	INLYTA.xml:S1:334:9	O
in	INLYTA.xml:S1:344:2	O
715	INLYTA.xml:S1:347:3	O
patients	INLYTA.xml:S1:351:8	O
in	INLYTA.xml:S1:360:2	O
monotherapy	INLYTA.xml:S1:363:11	O
studies	INLYTA.xml:S1:375:7	O
,	INLYTA.xml:S1:382:1	O
which	INLYTA.xml:S1:384:5	O
included	INLYTA.xml:S1:390:8	O
537	INLYTA.xml:S1:399:3	O
patients	INLYTA.xml:S1:403:8	O
with	INLYTA.xml:S1:412:4	O
advanced	INLYTA.xml:S1:417:8	O
RCC	INLYTA.xml:S1:426:3	O
.	INLYTA.xml:S1:429:1	O

The	INLYTA.xml:S1:431:3	O
data	INLYTA.xml:S1:435:4	O
described	INLYTA.xml:S1:440:9	O
[	INLYTA.xml:S1:451:1	O
seeAdverse	INLYTA.xml:S1:452:10	O
Reactions	INLYTA.xml:S1:463:9	O
(	INLYTA.xml:S1:473:1	O
6.1	INLYTA.xml:S1:474:3	O
)]	INLYTA.xml:S1:477:2	O
reflect	INLYTA.xml:S1:481:7	O
exposure	INLYTA.xml:S1:489:8	O
to	INLYTA.xml:S1:498:2	O
INLYTA	INLYTA.xml:S1:501:6	O
in	INLYTA.xml:S1:508:2	O
359	INLYTA.xml:S1:511:3	O
patients	INLYTA.xml:S1:515:8	O
with	INLYTA.xml:S1:524:4	O
advanced	INLYTA.xml:S1:529:8	O
RCC	INLYTA.xml:S1:538:3	O
who	INLYTA.xml:S1:542:3	O
participated	INLYTA.xml:S1:546:12	O
in	INLYTA.xml:S1:559:2	O
a	INLYTA.xml:S1:562:1	O
randomized	INLYTA.xml:S1:564:10	O
clinical	INLYTA.xml:S1:575:8	O
study	INLYTA.xml:S1:584:5	O
versus	INLYTA.xml:S1:590:6	O
sorafenib	INLYTA.xml:S1:597:9	O
[	INLYTA.xml:S1:608:1	O
seeClinical	INLYTA.xml:S1:609:11	O
Studies	INLYTA.xml:S1:621:7	O
(	INLYTA.xml:S1:629:1	O
14	INLYTA.xml:S1:630:2	O
)]	INLYTA.xml:S1:632:2	O
.	INLYTA.xml:S1:636:1	O

The	INLYTA.xml:S1:642:3	O
following	INLYTA.xml:S1:646:9	O
risks	INLYTA.xml:S1:656:5	B-Factor
,	INLYTA.xml:S1:661:1	O
including	INLYTA.xml:S1:663:9	O
appropriate	INLYTA.xml:S1:673:11	O
action	INLYTA.xml:S1:685:6	O
to	INLYTA.xml:S1:692:2	O
be	INLYTA.xml:S1:695:2	O
taken	INLYTA.xml:S1:698:5	O
,	INLYTA.xml:S1:703:1	O
are	INLYTA.xml:S1:705:3	O
discussed	INLYTA.xml:S1:709:9	O
in	INLYTA.xml:S1:719:2	O
greater	INLYTA.xml:S1:722:7	O
detail	INLYTA.xml:S1:730:6	O
in	INLYTA.xml:S1:737:2	O
other	INLYTA.xml:S1:740:5	O
sections	INLYTA.xml:S1:746:8	O
of	INLYTA.xml:S1:755:2	O
the	INLYTA.xml:S1:758:3	O
label	INLYTA.xml:S1:762:5	O
[	INLYTA.xml:S1:769:1	O
seeWarnings	INLYTA.xml:S1:770:11	O
and	INLYTA.xml:S1:782:3	O
Precautions	INLYTA.xml:S1:786:11	O
(	INLYTA.xml:S1:798:1	O
5.1	INLYTA.xml:S1:799:3	O
-	INLYTA.xml:S1:802:1	O
5.13	INLYTA.xml:S1:803:4	O
)]	INLYTA.xml:S1:807:2	O
:	INLYTA.xml:S1:811:1	O
hypertension	INLYTA.xml:S1:813:12	B-AdverseReaction
,	INLYTA.xml:S1:825:1	O
arterial	INLYTA.xml:S1:827:8	B-AdverseReaction
thromboembolic	INLYTA.xml:S1:836:14	I-AdverseReaction
events	INLYTA.xml:S1:851:6	I-AdverseReaction
,	INLYTA.xml:S1:857:1	O
venous	INLYTA.xml:S1:859:6	B-AdverseReaction
thromboembolic	INLYTA.xml:S1:866:14	I-AdverseReaction
events	INLYTA.xml:S1:881:6	I-AdverseReaction
,	INLYTA.xml:S1:887:1	O
hemorrhage	INLYTA.xml:S1:889:10	B-AdverseReaction
,	INLYTA.xml:S1:899:1	O
cardiac	INLYTA.xml:S1:901:7	B-AdverseReaction
failure	INLYTA.xml:S1:909:7	I-AdverseReaction
,	INLYTA.xml:S1:916:1	O
gastrointestinal	INLYTA.xml:S1:918:16	B-AdverseReaction
perforation	INLYTA.xml:S1:935:11	I-AdverseReaction
and	INLYTA.xml:S1:947:3	O
fistula	INLYTA.xml:S1:951:7	B-AdverseReaction
formation	INLYTA.xml:S1:959:9	I-AdverseReaction
,	INLYTA.xml:S1:968:1	O
thyroid	INLYTA.xml:S1:970:7	B-AdverseReaction
dysfunction	INLYTA.xml:S1:978:11	I-AdverseReaction
,	INLYTA.xml:S1:989:1	O
wound	INLYTA.xml:S1:991:5	B-AdverseReaction
healing	INLYTA.xml:S1:997:7	I-AdverseReaction
complications	INLYTA.xml:S1:1005:13	I-AdverseReaction
,	INLYTA.xml:S1:1018:1	O
RPLS	INLYTA.xml:S1:1020:4	B-AdverseReaction
,	INLYTA.xml:S1:1024:1	O
proteinuria	INLYTA.xml:S1:1026:11	B-AdverseReaction
,	INLYTA.xml:S1:1037:1	O
elevation	INLYTA.xml:S1:1039:9	B-AdverseReaction
of	INLYTA.xml:S1:1049:2	I-AdverseReaction
liver	INLYTA.xml:S1:1052:5	I-AdverseReaction
enzymes	INLYTA.xml:S1:1058:7	I-AdverseReaction
,	INLYTA.xml:S1:1065:1	O
hepatic	INLYTA.xml:S1:1067:7	B-AdverseReaction
impairment	INLYTA.xml:S1:1075:10	I-AdverseReaction
and	INLYTA.xml:S1:1086:3	O
fetal	INLYTA.xml:S1:1090:5	O
development	INLYTA.xml:S1:1096:11	O
.	INLYTA.xml:S1:1107:1	O

EXCERPT	INLYTA.xml:S1:1115:7	O
:	INLYTA.xml:S1:1122:1	O
The	INLYTA.xml:S1:1126:3	O
most	INLYTA.xml:S1:1130:4	O
common	INLYTA.xml:S1:1135:6	O
(	INLYTA.xml:S1:1142:1	O
20%	INLYTA.xml:S1:1145:3	O
)	INLYTA.xml:S1:1148:1	O
adverse	INLYTA.xml:S1:1150:7	O
reactions	INLYTA.xml:S1:1158:9	O
are	INLYTA.xml:S1:1168:3	O
diarrhea	INLYTA.xml:S1:1172:8	B-AdverseReaction
,	INLYTA.xml:S1:1180:1	O
hypertension	INLYTA.xml:S1:1182:12	B-AdverseReaction
,	INLYTA.xml:S1:1194:1	O
fatigue	INLYTA.xml:S1:1196:7	B-AdverseReaction
,	INLYTA.xml:S1:1203:1	O
decreased	INLYTA.xml:S1:1205:9	B-AdverseReaction
appetite	INLYTA.xml:S1:1215:8	I-AdverseReaction
,	INLYTA.xml:S1:1223:1	O
nausea	INLYTA.xml:S1:1225:6	B-AdverseReaction
,	INLYTA.xml:S1:1231:1	O
dysphonia	INLYTA.xml:S1:1233:9	B-AdverseReaction
,	INLYTA.xml:S1:1242:1	O
palmar	INLYTA.xml:S1:1244:6	B-AdverseReaction
-	INLYTA.xml:S1:1250:1	I-AdverseReaction
plantar	INLYTA.xml:S1:1251:7	I-AdverseReaction
erythrodysesthesia	INLYTA.xml:S1:1259:18	I-AdverseReaction
(	INLYTA.xml:S1:1278:1	O
hand	INLYTA.xml:S1:1279:4	B-AdverseReaction
-	INLYTA.xml:S1:1283:1	I-AdverseReaction
foot	INLYTA.xml:S1:1284:4	I-AdverseReaction
)	INLYTA.xml:S1:1288:1	O
syndrome	INLYTA.xml:S1:1290:8	I-AdverseReaction
,	INLYTA.xml:S1:1298:1	O
weight	INLYTA.xml:S1:1300:6	B-AdverseReaction
decreased	INLYTA.xml:S1:1307:9	I-AdverseReaction
,	INLYTA.xml:S1:1316:1	O
vomiting	INLYTA.xml:S1:1318:8	B-AdverseReaction
,	INLYTA.xml:S1:1326:1	O
asthenia	INLYTA.xml:S1:1328:8	B-AdverseReaction
,	INLYTA.xml:S1:1336:1	O
and	INLYTA.xml:S1:1338:3	O
