6	INTELENCE.xml:S1:4:1	O
ADVERSE	INTELENCE.xml:S1:6:7	O
REACTIONS	INTELENCE.xml:S1:14:9	O

The	INTELENCE.xml:S1:27:3	O
following	INTELENCE.xml:S1:31:9	O
adverse	INTELENCE.xml:S1:41:7	O
reactions	INTELENCE.xml:S1:49:9	O
are	INTELENCE.xml:S1:59:3	O
described	INTELENCE.xml:S1:63:9	O
in	INTELENCE.xml:S1:73:2	O
greater	INTELENCE.xml:S1:76:7	O
detail	INTELENCE.xml:S1:84:6	O
in	INTELENCE.xml:S1:91:2	O
other	INTELENCE.xml:S1:94:5	O
sections	INTELENCE.xml:S1:100:8	O
:	INTELENCE.xml:S1:108:1	O

Severe	INTELENCE.xml:S1:117:6	B-Severity
skin	INTELENCE.xml:S1:124:4	B-AdverseReaction
and	INTELENCE.xml:S1:129:3	O
hypersensitivity	INTELENCE.xml:S1:133:16	B-AdverseReaction
reactions	INTELENCE.xml:S1:150:9	I-AdverseReaction
[	INTELENCE.xml:S1:160:1	O
see	INTELENCE.xml:S1:162:3	O
Warnings	INTELENCE.xml:S1:167:8	O
and	INTELENCE.xml:S1:176:3	O
Precautions	INTELENCE.xml:S1:180:11	O
(	INTELENCE.xml:S1:192:1	O
5.1	INTELENCE.xml:S1:193:3	O
)	INTELENCE.xml:S1:196:1	O
]	INTELENCE.xml:S1:200:1	O
.	INTELENCE.xml:S1:201:1	O

EXCERPT	INTELENCE.xml:S1:210:7	O
:	INTELENCE.xml:S1:217:1	O
The	INTELENCE.xml:S1:221:3	O
most	INTELENCE.xml:S1:225:4	O
common	INTELENCE.xml:S1:230:6	O
adverse	INTELENCE.xml:S1:237:7	O
drug	INTELENCE.xml:S1:245:4	O
reactions	INTELENCE.xml:S1:250:9	O
of	INTELENCE.xml:S1:260:2	O
moderate	INTELENCE.xml:S1:263:8	B-Severity
to	INTELENCE.xml:S1:272:2	I-Severity
severe	INTELENCE.xml:S1:275:6	I-Severity
intensity	INTELENCE.xml:S1:282:9	O
(	INTELENCE.xml:S1:292:1	O
at	INTELENCE.xml:S1:293:2	O
least	INTELENCE.xml:S1:296:5	O
2%	INTELENCE.xml:S1:302:2	O
)	INTELENCE.xml:S1:304:1	O
which	INTELENCE.xml:S1:306:5	O
occurred	INTELENCE.xml:S1:312:8	O
at	INTELENCE.xml:S1:321:2	O
a	INTELENCE.xml:S1:324:1	O
higher	INTELENCE.xml:S1:326:6	O
rate	INTELENCE.xml:S1:333:4	O
than	INTELENCE.xml:S1:338:4	O
placebo	INTELENCE.xml:S1:343:7	O
in	INTELENCE.xml:S1:351:2	O
adults	INTELENCE.xml:S1:354:6	O
are	INTELENCE.xml:S1:361:3	O
rash	INTELENCE.xml:S1:365:4	B-AdverseReaction
and	INTELENCE.xml:S1:370:3	O
peripheral	INTELENCE.xml:S1:374:10	B-AdverseReaction
neuropathy	INTELENCE.xml:S1:385:10	I-AdverseReaction
.	INTELENCE.xml:S1:395:1	O

(	INTELENCE.xml:S1:397:1	O
6.1	INTELENCE.xml:S1:400:3	O
)	INTELENCE.xml:S1:405:1	O

The	INTELENCE.xml:S1:411:3	O

most	INTELENCE.xml:S1:415:4	O
common	INTELENCE.xml:S1:420:6	O
adverse	INTELENCE.xml:S1:427:7	O
drug	INTELENCE.xml:S1:435:4	O
reactions	INTELENCE.xml:S1:440:9	O
in	INTELENCE.xml:S1:450:2	O
at	INTELENCE.xml:S1:453:2	O
least	INTELENCE.xml:S1:456:5	O
2%	INTELENCE.xml:S1:462:2	O
of	INTELENCE.xml:S1:465:2	O
pediatric	INTELENCE.xml:S1:468:9	O
patients	INTELENCE.xml:S1:478:8	O
are	INTELENCE.xml:S1:487:3	O
rash	INTELENCE.xml:S1:491:4	B-AdverseReaction
and	INTELENCE.xml:S1:496:3	O
diarrhea	INTELENCE.xml:S1:500:8	B-AdverseReaction
.	INTELENCE.xml:S1:508:1	O

(	INTELENCE.xml:S1:510:1	O
6.2	INTELENCE.xml:S1:513:3	O
)	INTELENCE.xml:S1:518:1	O

To	INTELENCE.xml:S1:526:2	O
report	INTELENCE.xml:S1:529:6	O
SUSPECTED	INTELENCE.xml:S1:536:9	O
ADVERSE	INTELENCE.xml:S1:546:7	O
REACTIONS	INTELENCE.xml:S1:554:9	O
,	INTELENCE.xml:S1:563:1	O
contact	INTELENCE.xml:S1:565:7	O
Janssen	INTELENCE.xml:S1:573:7	O
Products	INTELENCE.xml:S1:581:8	O
,	INTELENCE.xml:S1:589:1	O
LP	INTELENCE.xml:S1:591:2	O
at	INTELENCE.xml:S1:594:2	O
1	INTELENCE.xml:S1:597:1	O
-	INTELENCE.xml:S1:598:1	O
800	INTELENCE.xml:S1:599:3	O
-	INTELENCE.xml:S1:602:1	O
JANSSEN	INTELENCE.xml:S1:603:7	O
(	INTELENCE.xml:S1:614:1	O
1	INTELENCE.xml:S1:615:1	O
-	INTELENCE.xml:S1:616:1	O
800	INTELENCE.xml:S1:617:3	O
-	INTELENCE.xml:S1:620:1	O
526	INTELENCE.xml:S1:621:3	O
-	INTELENCE.xml:S1:624:1	O
7736	INTELENCE.xml:S1:625:4	O
)	INTELENCE.xml:S1:629:1	O
or	INTELENCE.xml:S1:631:2	O
FDA	INTELENCE.xml:S1:634:3	O
at	INTELENCE.xml:S1:638:2	O
1	INTELENCE.xml:S1:641:1	O
-	INTELENCE.xml:S1:642:1	O
800	INTELENCE.xml:S1:643:3	O
-	INTELENCE.xml:S1:646:1	O
FDA	INTELENCE.xml:S1:647:3	O
-	INTELENCE.xml:S1:650:1	O
1088	INTELENCE.xml:S1:651:4	O
or	INTELENCE.xml:S1:656:2	O
www	INTELENCE.xml:S1:660:3	O
.	INTELENCE.xml:S1:663:1	O
fda	INTELENCE.xml:S1:664:3	O
.	INTELENCE.xml:S1:667:1	O
gov	INTELENCE.xml:S1:668:3	O
medwatch	INTELENCE.xml:S1:672:8	O
.	INTELENCE.xml:S1:682:1	O

6.1	INTELENCE.xml:S1:694:3	O

Clinical	INTELENCE.xml:S1:698:8	O
Trials	INTELENCE.xml:S1:707:6	O
Experience	INTELENCE.xml:S1:714:10	O
:	INTELENCE.xml:S1:724:1	O
Adults	INTELENCE.xml:S1:726:6	O

Because	INTELENCE.xml:S1:736:7	O
clinical	INTELENCE.xml:S1:744:8	O
trials	INTELENCE.xml:S1:753:6	O
are	INTELENCE.xml:S1:760:3	O
conducted	INTELENCE.xml:S1:764:9	O
under	INTELENCE.xml:S1:774:5	O
widely	INTELENCE.xml:S1:780:6	O
varying	INTELENCE.xml:S1:787:7	O
conditions	INTELENCE.xml:S1:795:10	O
,	INTELENCE.xml:S1:805:1	O
adverse	INTELENCE.xml:S1:807:7	O
reaction	INTELENCE.xml:S1:815:8	O
rates	INTELENCE.xml:S1:824:5	O
observed	INTELENCE.xml:S1:830:8	O
in	INTELENCE.xml:S1:839:2	O
the	INTELENCE.xml:S1:842:3	O
clinical	INTELENCE.xml:S1:846:8	O
trials	INTELENCE.xml:S1:855:6	O
of	INTELENCE.xml:S1:862:2	O
a	INTELENCE.xml:S1:865:1	O
drug	INTELENCE.xml:S1:867:4	O
cannot	INTELENCE.xml:S1:872:6	O
be	INTELENCE.xml:S1:879:2	O
directly	INTELENCE.xml:S1:882:8	O
compared	INTELENCE.xml:S1:891:8	O
to	INTELENCE.xml:S1:900:2	O
rates	INTELENCE.xml:S1:903:5	O
in	INTELENCE.xml:S1:909:2	O
the	INTELENCE.xml:S1:912:3	O
clinical	INTELENCE.xml:S1:916:8	O
trials	INTELENCE.xml:S1:925:6	O
of	INTELENCE.xml:S1:932:2	O
another	INTELENCE.xml:S1:935:7	O
drug	INTELENCE.xml:S1:943:4	O
and	INTELENCE.xml:S1:948:3	O
may	INTELENCE.xml:S1:952:3	O
not	INTELENCE.xml:S1:956:3	O
reflect	INTELENCE.xml:S1:960:7	O
the	INTELENCE.xml:S1:968:3	O
rates	INTELENCE.xml:S1:972:5	O
observed	INTELENCE.xml:S1:978:8	O
in	INTELENCE.xml:S1:987:2	O
practice	INTELENCE.xml:S1:990:8	O
.	INTELENCE.xml:S1:998:1	O

The	INTELENCE.xml:S1:1004:3	O
safety	INTELENCE.xml:S1:1008:6	O
assessment	INTELENCE.xml:S1:1015:10	O
is	INTELENCE.xml:S1:1026:2	O
based	INTELENCE.xml:S1:1029:5	O
on	INTELENCE.xml:S1:1035:2	O
all	INTELENCE.xml:S1:1038:3	O
data	INTELENCE.xml:S1:1042:4	O
from	INTELENCE.xml:S1:1047:4	O
1203	INTELENCE.xml:S1:1052:4	O
subjects	INTELENCE.xml:S1:1057:8	O
in	INTELENCE.xml:S1:1066:2	O
the	INTELENCE.xml:S1:1069:3	O
Phase	INTELENCE.xml:S1:1073:5	O
3	INTELENCE.xml:S1:1079:1	O
placebo	INTELENCE.xml:S1:1081:7	O
-	INTELENCE.xml:S1:1088:1	O
controlled	INTELENCE.xml:S1:1089:10	O
trials	INTELENCE.xml:S1:1100:6	O
