6	INVOKANA.xml:S1:4:1	O
ADVERSE	INVOKANA.xml:S1:6:7	O
REACTIONS	INVOKANA.xml:S1:14:9	O

The	INVOKANA.xml:S1:27:3	O
following	INVOKANA.xml:S1:31:9	O
important	INVOKANA.xml:S1:41:9	O
adverse	INVOKANA.xml:S1:51:7	O
reactions	INVOKANA.xml:S1:59:9	O
are	INVOKANA.xml:S1:69:3	O
described	INVOKANA.xml:S1:73:9	O
below	INVOKANA.xml:S1:83:5	O
and	INVOKANA.xml:S1:89:3	O
elsewhere	INVOKANA.xml:S1:93:9	O
in	INVOKANA.xml:S1:103:2	O
the	INVOKANA.xml:S1:106:3	O
labeling	INVOKANA.xml:S1:110:8	O
:	INVOKANA.xml:S1:118:1	O

Hypotension	INVOKANA.xml:S1:127:11	B-AdverseReaction
[	INVOKANA.xml:S1:139:1	O
see	INVOKANA.xml:S1:140:3	O
Warnings	INVOKANA.xml:S1:145:8	O
and	INVOKANA.xml:S1:154:3	O
Precautions	INVOKANA.xml:S1:158:11	O
(	INVOKANA.xml:S1:170:1	O
5.1	INVOKANA.xml:S1:171:3	O
)	INVOKANA.xml:S1:174:1	O
]	INVOKANA.xml:S1:177:1	O

Impairment	INVOKANA.xml:S1:185:10	B-AdverseReaction
in	INVOKANA.xml:S1:196:2	I-AdverseReaction
Renal	INVOKANA.xml:S1:199:5	I-AdverseReaction
Function	INVOKANA.xml:S1:205:8	I-AdverseReaction
[	INVOKANA.xml:S1:214:1	O
see	INVOKANA.xml:S1:215:3	O
Warnings	INVOKANA.xml:S1:220:8	O
and	INVOKANA.xml:S1:229:3	O
Precautions	INVOKANA.xml:S1:233:11	O
(	INVOKANA.xml:S1:245:1	O
5.2	INVOKANA.xml:S1:246:3	O
)	INVOKANA.xml:S1:249:1	O
]	INVOKANA.xml:S1:252:1	O

Hyperkalemia	INVOKANA.xml:S1:260:12	B-AdverseReaction
[	INVOKANA.xml:S1:273:1	O
see	INVOKANA.xml:S1:274:3	O
Warnings	INVOKANA.xml:S1:279:8	O
and	INVOKANA.xml:S1:288:3	O
Precautions	INVOKANA.xml:S1:292:11	O
(	INVOKANA.xml:S1:304:1	O
5.3	INVOKANA.xml:S1:305:3	O
)	INVOKANA.xml:S1:308:1	O
]	INVOKANA.xml:S1:311:1	O

Hypoglycemia	INVOKANA.xml:S1:319:12	B-AdverseReaction
with	INVOKANA.xml:S1:332:4	O
Concomitant	INVOKANA.xml:S1:337:11	O
Use	INVOKANA.xml:S1:349:3	O
with	INVOKANA.xml:S1:353:4	O
Insulin	INVOKANA.xml:S1:358:7	O
and	INVOKANA.xml:S1:366:3	O
Insulin	INVOKANA.xml:S1:370:7	O
Secretagogues	INVOKANA.xml:S1:378:13	O
[	INVOKANA.xml:S1:392:1	O
see	INVOKANA.xml:S1:393:3	O
Warnings	INVOKANA.xml:S1:398:8	O
and	INVOKANA.xml:S1:407:3	O
Precautions	INVOKANA.xml:S1:411:11	O
(	INVOKANA.xml:S1:423:1	O
5.4	INVOKANA.xml:S1:424:3	O
)	INVOKANA.xml:S1:427:1	O
]	INVOKANA.xml:S1:430:1	O

Genital	INVOKANA.xml:S1:438:7	B-AdverseReaction
Mycotic	INVOKANA.xml:S1:446:7	I-AdverseReaction
Infections	INVOKANA.xml:S1:454:10	I-AdverseReaction
[	INVOKANA.xml:S1:465:1	O
see	INVOKANA.xml:S1:466:3	O
Warnings	INVOKANA.xml:S1:471:8	O
and	INVOKANA.xml:S1:480:3	O
Precautions	INVOKANA.xml:S1:484:11	O
(	INVOKANA.xml:S1:496:1	O
5.5	INVOKANA.xml:S1:497:3	O
)	INVOKANA.xml:S1:500:1	O
]	INVOKANA.xml:S1:503:1	O

Hypersensitivity	INVOKANA.xml:S1:511:16	B-AdverseReaction
Reactions	INVOKANA.xml:S1:528:9	I-AdverseReaction
[	INVOKANA.xml:S1:538:1	O
see	INVOKANA.xml:S1:539:3	O
Warnings	INVOKANA.xml:S1:544:8	O
and	INVOKANA.xml:S1:553:3	O
Precautions	INVOKANA.xml:S1:557:11	O
(	INVOKANA.xml:S1:569:1	O
5.6	INVOKANA.xml:S1:570:3	O
)	INVOKANA.xml:S1:573:1	O
]	INVOKANA.xml:S1:576:1	O

Bone	INVOKANA.xml:S1:584:4	B-AdverseReaction
Fracture	INVOKANA.xml:S1:589:8	I-AdverseReaction
[	INVOKANA.xml:S1:598:1	O
see	INVOKANA.xml:S1:599:3	O
Warnings	INVOKANA.xml:S1:604:8	O
and	INVOKANA.xml:S1:613:3	O
Precautions	INVOKANA.xml:S1:617:11	O
(	INVOKANA.xml:S1:629:1	O
5.7	INVOKANA.xml:S1:630:3	O
)	INVOKANA.xml:S1:633:1	O
]	INVOKANA.xml:S1:636:1	O

Increases	INVOKANA.xml:S1:644:9	B-AdverseReaction
in	INVOKANA.xml:S1:654:2	I-AdverseReaction
Low	INVOKANA.xml:S1:657:3	I-AdverseReaction
-	INVOKANA.xml:S1:660:1	I-AdverseReaction
Density	INVOKANA.xml:S1:661:7	I-AdverseReaction
Lipoprotein	INVOKANA.xml:S1:669:11	I-AdverseReaction
(	INVOKANA.xml:S1:681:1	O
LDL	INVOKANA.xml:S1:682:3	O
-	INVOKANA.xml:S1:685:1	O
C	INVOKANA.xml:S1:686:1	O
)	INVOKANA.xml:S1:687:1	O
[	INVOKANA.xml:S1:689:1	O
see	INVOKANA.xml:S1:690:3	O
Warnings	INVOKANA.xml:S1:695:8	O
and	INVOKANA.xml:S1:704:3	O
Precautions	INVOKANA.xml:S1:708:11	O
(	INVOKANA.xml:S1:720:1	O
5.8	INVOKANA.xml:S1:721:3	O
)	INVOKANA.xml:S1:724:1	O
]	INVOKANA.xml:S1:727:1	O

Most	INVOKANA.xml:S1:737:4	O
common	INVOKANA.xml:S1:742:6	O
adverse	INVOKANA.xml:S1:749:7	O
reactions	INVOKANA.xml:S1:757:9	O
associated	INVOKANA.xml:S1:767:10	O
with	INVOKANA.xml:S1:778:4	O
INVOKANA	INVOKANA.xml:S1:783:8	O
(	INVOKANA.xml:S1:792:1	O
5%	INVOKANA.xml:S1:793:2	O
or	INVOKANA.xml:S1:796:2	O
greater	INVOKANA.xml:S1:799:7	O
incidence	INVOKANA.xml:S1:807:9	O
)	INVOKANA.xml:S1:816:1	O
:	INVOKANA.xml:S1:817:1	O
female	INVOKANA.xml:S1:819:6	B-AdverseReaction
genital	INVOKANA.xml:S1:826:7	I-AdverseReaction
mycotic	INVOKANA.xml:S1:834:7	I-AdverseReaction
infections	INVOKANA.xml:S1:842:10	I-AdverseReaction
,	INVOKANA.xml:S1:852:1	O
urinary	INVOKANA.xml:S1:854:7	B-AdverseReaction
tract	INVOKANA.xml:S1:862:5	I-AdverseReaction
infection	INVOKANA.xml:S1:868:9	I-AdverseReaction
,	INVOKANA.xml:S1:877:1	O
and	INVOKANA.xml:S1:879:3	O
increased	INVOKANA.xml:S1:883:9	B-AdverseReaction
urination	INVOKANA.xml:S1:893:9	I-AdverseReaction
(	INVOKANA.xml:S1:903:1	O
6.1	INVOKANA.xml:S1:906:3	O
)	INVOKANA.xml:S1:911:1	O

EXCERPT	INVOKANA.xml:S1:920:7	O
:	INVOKANA.xml:S1:927:1	O
To	INVOKANA.xml:S1:933:2	O
report	INVOKANA.xml:S1:936:6	O
SUSPECTED	INVOKANA.xml:S1:943:9	O
ADVERSE	INVOKANA.xml:S1:953:7	O
REACTIONS	INVOKANA.xml:S1:961:9	O
,	INVOKANA.xml:S1:970:1	O
contact	INVOKANA.xml:S1:972:7	O
Janssen	INVOKANA.xml:S1:980:7	O
Pharmaceuticals	INVOKANA.xml:S1:988:15	O
,	INVOKANA.xml:S1:1003:1	O
Inc	INVOKANA.xml:S1:1005:3	O
.	INVOKANA.xml:S1:1008:1	O

at	INVOKANA.xml:S1:1010:2	O
1	INVOKANA.xml:S1:1013:1	O
-	INVOKANA.xml:S1:1014:1	O
800	INVOKANA.xml:S1:1015:3	O
-	INVOKANA.xml:S1:1018:1	O
526	INVOKANA.xml:S1:1019:3	O
-	INVOKANA.xml:S1:1022:1	O
7736	INVOKANA.xml:S1:1023:4	O
or	INVOKANA.xml:S1:1028:2	O
FDA	INVOKANA.xml:S1:1031:3	O
at	INVOKANA.xml:S1:1035:2	O
1	INVOKANA.xml:S1:1038:1	O
-	INVOKANA.xml:S1:1039:1	O
800	INVOKANA.xml:S1:1040:3	O
-	INVOKANA.xml:S1:1043:1	O
FDA	INVOKANA.xml:S1:1044:3	O
-	INVOKANA.xml:S1:1047:1	O
1088	INVOKANA.xml:S1:1048:4	O
or	INVOKANA.xml:S1:1053:2	O
www	INVOKANA.xml:S1:1057:3	O
.	INVOKANA.xml:S1:1060:1	O
fda	INVOKANA.xml:S1:1061:3	O
.	INVOKANA.xml:S1:1064:1	O
gov	INVOKANA.xml:S1:1065:3	O
medwatch	INVOKANA.xml:S1:1069:8	O
.	INVOKANA.xml:S1:1077:1	O

6.1	INVOKANA.xml:S1:1091:3	O

Clinical	INVOKANA.xml:S1:1095:8	O

Studies	INVOKANA.xml:S1:1104:7	O
Experience	INVOKANA.xml:S1:1112:10	O

Because	INVOKANA.xml:S1:1126:7	O
clinical	INVOKANA.xml:S1:1134:8	O
trials	INVOKANA.xml:S1:1143:6	O
are	INVOKANA.xml:S1:1150:3	O
conducted	INVOKANA.xml:S1:1154:9	O
under	INVOKANA.xml:S1:1164:5	O
widely	INVOKANA.xml:S1:1170:6	O
varying	INVOKANA.xml:S1:1177:7	O
conditions	INVOKANA.xml:S1:1185:10	O
,	INVOKANA.xml:S1:1195:1	O
