6	JARDIANCE.xml:S1:4:1	O
ADVERSE	JARDIANCE.xml:S1:7:7	O
REACTIONS	JARDIANCE.xml:S1:15:9	O

The	JARDIANCE.xml:S1:28:3	O
following	JARDIANCE.xml:S1:32:9	O
important	JARDIANCE.xml:S1:42:9	O
adverse	JARDIANCE.xml:S1:52:7	O
reactions	JARDIANCE.xml:S1:60:9	O
are	JARDIANCE.xml:S1:70:3	O
described	JARDIANCE.xml:S1:74:9	O
below	JARDIANCE.xml:S1:84:5	O
and	JARDIANCE.xml:S1:90:3	O
elsewhere	JARDIANCE.xml:S1:94:9	O
in	JARDIANCE.xml:S1:104:2	O
the	JARDIANCE.xml:S1:107:3	O
labeling	JARDIANCE.xml:S1:111:8	O
:	JARDIANCE.xml:S1:119:1	O

Hypotension	JARDIANCE.xml:S1:128:11	B-AdverseReaction
[	JARDIANCE.xml:S1:140:1	O
see	JARDIANCE.xml:S1:141:3	O
Warnings	JARDIANCE.xml:S1:145:8	O
and	JARDIANCE.xml:S1:154:3	O
Precautions	JARDIANCE.xml:S1:158:11	O
(	JARDIANCE.xml:S1:170:1	O
5.1	JARDIANCE.xml:S1:173:3	O
)]	JARDIANCE.xml:S1:178:2	O

Impairment	JARDIANCE.xml:S1:187:10	B-AdverseReaction
in	JARDIANCE.xml:S1:198:2	I-AdverseReaction
Renal	JARDIANCE.xml:S1:201:5	I-AdverseReaction
Function	JARDIANCE.xml:S1:207:8	I-AdverseReaction
[	JARDIANCE.xml:S1:216:1	O
see	JARDIANCE.xml:S1:217:3	O
Warnings	JARDIANCE.xml:S1:221:8	O
and	JARDIANCE.xml:S1:230:3	O
Precautions	JARDIANCE.xml:S1:234:11	O
(	JARDIANCE.xml:S1:246:1	O
5.2	JARDIANCE.xml:S1:249:3	O
)]	JARDIANCE.xml:S1:254:2	O

Hypoglycemia	JARDIANCE.xml:S1:263:12	B-AdverseReaction
with	JARDIANCE.xml:S1:276:4	O
Concomitant	JARDIANCE.xml:S1:281:11	O
Use	JARDIANCE.xml:S1:293:3	O
with	JARDIANCE.xml:S1:297:4	O
Insulin	JARDIANCE.xml:S1:302:7	O
and	JARDIANCE.xml:S1:310:3	O
Insulin	JARDIANCE.xml:S1:314:7	O
Secretagogues	JARDIANCE.xml:S1:322:13	O
[	JARDIANCE.xml:S1:336:1	O
see	JARDIANCE.xml:S1:337:3	O
Warnings	JARDIANCE.xml:S1:341:8	O
and	JARDIANCE.xml:S1:350:3	O
Precautions	JARDIANCE.xml:S1:354:11	O
(	JARDIANCE.xml:S1:366:1	O
5.3	JARDIANCE.xml:S1:369:3	O
)]	JARDIANCE.xml:S1:374:2	O

Genital	JARDIANCE.xml:S1:383:7	B-AdverseReaction
Mycotic	JARDIANCE.xml:S1:391:7	I-AdverseReaction
Infections	JARDIANCE.xml:S1:399:10	I-AdverseReaction
[	JARDIANCE.xml:S1:410:1	O
see	JARDIANCE.xml:S1:411:3	O
Warnings	JARDIANCE.xml:S1:415:8	O
and	JARDIANCE.xml:S1:424:3	O
Precautions	JARDIANCE.xml:S1:428:11	O
(	JARDIANCE.xml:S1:440:1	O
