6	JEVTANA.xml:S1:4:1	O
ADVERSE	JEVTANA.xml:S1:6:7	O
REACTIONS	JEVTANA.xml:S1:14:9	O

The	JEVTANA.xml:S1:27:3	O
following	JEVTANA.xml:S1:31:9	O
serious	JEVTANA.xml:S1:41:7	O
adverse	JEVTANA.xml:S1:49:7	O
reactions	JEVTANA.xml:S1:57:9	O
are	JEVTANA.xml:S1:67:3	O
discussed	JEVTANA.xml:S1:71:9	O
in	JEVTANA.xml:S1:81:2	O
greater	JEVTANA.xml:S1:84:7	O
detail	JEVTANA.xml:S1:92:6	O
in	JEVTANA.xml:S1:99:2	O
another	JEVTANA.xml:S1:102:7	O
section	JEVTANA.xml:S1:110:7	O
of	JEVTANA.xml:S1:118:2	O
the	JEVTANA.xml:S1:121:3	O
label	JEVTANA.xml:S1:125:5	O
:	JEVTANA.xml:S1:130:1	O

Bone	JEVTANA.xml:S1:139:4	B-AdverseReaction
Marrow	JEVTANA.xml:S1:144:6	I-AdverseReaction
Suppression	JEVTANA.xml:S1:151:11	I-AdverseReaction
[	JEVTANA.xml:S1:163:1	O
see	JEVTANA.xml:S1:164:3	O
Warnings	JEVTANA.xml:S1:169:8	O
and	JEVTANA.xml:S1:178:3	O
Precautions	JEVTANA.xml:S1:182:11	O
(	JEVTANA.xml:S1:194:1	O
5.1	JEVTANA.xml:S1:195:3	O
)	JEVTANA.xml:S1:198:1	O
]	JEVTANA.xml:S1:201:1	O
.	JEVTANA.xml:S1:203:1	O

Hypersensitivity	JEVTANA.xml:S1:210:16	B-AdverseReaction
Reactions	JEVTANA.xml:S1:227:9	I-AdverseReaction
[	JEVTANA.xml:S1:237:1	O
see	JEVTANA.xml:S1:238:3	O
Warnings	JEVTANA.xml:S1:243:8	O
and	JEVTANA.xml:S1:252:3	O
Precautions	JEVTANA.xml:S1:256:11	O
(	JEVTANA.xml:S1:268:1	O
5.2	JEVTANA.xml:S1:269:3	O
)	JEVTANA.xml:S1:272:1	O
]	JEVTANA.xml:S1:275:1	O
.	JEVTANA.xml:S1:277:1	O

Gastrointestinal	JEVTANA.xml:S1:284:16	B-AdverseReaction
Adverse	JEVTANA.xml:S1:301:7	I-AdverseReaction
Reactions	JEVTANA.xml:S1:309:9	I-AdverseReaction
[	JEVTANA.xml:S1:319:1	O
see	JEVTANA.xml:S1:320:3	O
Warnings	JEVTANA.xml:S1:325:8	O
and	JEVTANA.xml:S1:334:3	O
Precautions	JEVTANA.xml:S1:338:11	O
