6	KALBITOR.xml:S1:4:1	O
ADVERSE	KALBITOR.xml:S1:7:7	O
REACTIONS	KALBITOR.xml:S1:15:9	O

Hypersensitivity	KALBITOR.xml:S1:28:16	B-AdverseReaction
reactions	KALBITOR.xml:S1:45:9	O
,	KALBITOR.xml:S1:54:1	O
including	KALBITOR.xml:S1:56:9	O
anaphylaxis	KALBITOR.xml:S1:66:11	B-AdverseReaction
,	KALBITOR.xml:S1:77:1	O
have	KALBITOR.xml:S1:79:4	O
occurred	KALBITOR.xml:S1:84:8	O
in	KALBITOR.xml:S1:93:2	O
patients	KALBITOR.xml:S1:96:8	O
treated	KALBITOR.xml:S1:105:7	O
with	KALBITOR.xml:S1:113:4	O
KALBITOR	KALBITOR.xml:S1:118:8	O
[	KALBITOR.xml:S1:127:1	O
see	KALBITOR.xml:S1:130:3	O
Contraindications	KALBITOR.xml:S1:134:17	O
(	KALBITOR.xml:S1:153:1	O
4	KALBITOR.xml:S1:154:1	O
)	KALBITOR.xml:S1:155:1	O
and	KALBITOR.xml:S1:162:3	O
Warnings	KALBITOR.xml:S1:166:8	O
and	KALBITOR.xml:S1:175:3	O
Precautions	KALBITOR.xml:S1:179:11	O
(	KALBITOR.xml:S1:192:1	O
5.1	KALBITOR.xml:S1:193:3	O
)	KALBITOR.xml:S1:196:1	O
]	KALBITOR.xml:S1:201:1	O
.	KALBITOR.xml:S1:202:1	O

EXCERPT	KALBITOR.xml:S1:211:7	O
:	KALBITOR.xml:S1:218:1	O
The	KALBITOR.xml:S1:226:3	O
most	KALBITOR.xml:S1:230:4	O
common	KALBITOR.xml:S1:235:6	O
adverse	KALBITOR.xml:S1:242:7	O
reactions	KALBITOR.xml:S1:250:9	O
occurring	KALBITOR.xml:S1:260:9	O
in	KALBITOR.xml:S1:270:2	O
3%	KALBITOR.xml:S1:275:2	O
of	KALBITOR.xml:S1:278:2	O
KALBITOR	KALBITOR.xml:S1:281:8	O
-	KALBITOR.xml:S1:289:1	O
treated	KALBITOR.xml:S1:290:7	O
patients	KALBITOR.xml:S1:298:8	O
and	KALBITOR.xml:S1:307:3	O
greater	KALBITOR.xml:S1:311:7	O
than	KALBITOR.xml:S1:319:4	O
placebo	KALBITOR.xml:S1:324:7	O
are	KALBITOR.xml:S1:332:3	O
headache	KALBITOR.xml:S1:336:8	B-AdverseReaction
,	KALBITOR.xml:S1:344:1	O
nausea	KALBITOR.xml:S1:346:6	B-AdverseReaction
,	KALBITOR.xml:S1:352:1	O
diarrhea	KALBITOR.xml:S1:354:8	B-AdverseReaction
,	KALBITOR.xml:S1:362:1	O
pyrexia	KALBITOR.xml:S1:364:7	B-AdverseReaction
,	KALBITOR.xml:S1:371:1	O
injection	KALBITOR.xml:S1:373:9	B-AdverseReaction
site	KALBITOR.xml:S1:383:4	I-AdverseReaction
reactions	KALBITOR.xml:S1:388:9	I-AdverseReaction
,	KALBITOR.xml:S1:397:1	O
and	KALBITOR.xml:S1:399:3	O
nasopharyngitis	KALBITOR.xml:S1:403:15	B-AdverseReaction
.	KALBITOR.xml:S1:418:1	O

(	KALBITOR.xml:S1:421:1	O
6	KALBITOR.xml:S1:422:1	O
)	KALBITOR.xml:S1:423:1	O

To	KALBITOR.xml:S1:434:2	O
report	KALBITOR.xml:S1:437:6	O
SUSPECTED	KALBITOR.xml:S1:444:9	O
ADVERSE	KALBITOR.xml:S1:454:7	O
REACTIONS	KALBITOR.xml:S1:462:9	O
,	KALBITOR.xml:S1:471:1	O
contact	KALBITOR.xml:S1:473:7	O
Dyax	KALBITOR.xml:S1:481:4	O
Corp	KALBITOR.xml:S1:486:4	O
.	KALBITOR.xml:S1:490:1	O

at	KALBITOR.xml:S1:492:2	O
1	KALBITOR.xml:S1:495:1	O
-	KALBITOR.xml:S1:496:1	O
888	KALBITOR.xml:S1:497:3	O
-	KALBITOR.xml:S1:500:1	O
452	KALBITOR.xml:S1:501:3	O
-	KALBITOR.xml:S1:504:1	O
5248	KALBITOR.xml:S1:505:4	O
or	KALBITOR.xml:S1:510:2	O
FDA	KALBITOR.xml:S1:513:3	O
at	KALBITOR.xml:S1:517:2	O
1	KALBITOR.xml:S1:520:1	O
-	KALBITOR.xml:S1:521:1	O
