6	KALYDECO.xml:S1:4:1	O
ADVERSE	KALYDECO.xml:S1:6:7	O
REACTIONS	KALYDECO.xml:S1:14:9	O

The	KALYDECO.xml:S1:27:3	O
following	KALYDECO.xml:S1:31:9	O
adverse	KALYDECO.xml:S1:41:7	O
reaction	KALYDECO.xml:S1:49:8	O
is	KALYDECO.xml:S1:58:2	O
discussed	KALYDECO.xml:S1:61:9	O
in	KALYDECO.xml:S1:71:2	O
greater	KALYDECO.xml:S1:74:7	O
detail	KALYDECO.xml:S1:82:6	O
in	KALYDECO.xml:S1:89:2	O
other	KALYDECO.xml:S1:92:5	O
sections	KALYDECO.xml:S1:98:8	O
of	KALYDECO.xml:S1:107:2	O
the	KALYDECO.xml:S1:110:3	O
label	KALYDECO.xml:S1:114:5	O
:	KALYDECO.xml:S1:119:1	O

Transaminase	KALYDECO.xml:S1:128:12	B-AdverseReaction
Elevations	KALYDECO.xml:S1:141:10	I-AdverseReaction
[	KALYDECO.xml:S1:152:1	O
see	KALYDECO.xml:S1:154:3	O
Warnings	KALYDECO.xml:S1:161:8	O
and	KALYDECO.xml:S1:170:3	O
Precautions	KALYDECO.xml:S1:174:11	O
(	KALYDECO.xml:S1:186:1	O
5.1	KALYDECO.xml:S1:187:3	O
)	KALYDECO.xml:S1:190:1	O
]	KALYDECO.xml:S1:194:1	O

EXCERPT	KALYDECO.xml:S1:203:7	O
:	KALYDECO.xml:S1:210:1	O
The	KALYDECO.xml:S1:214:3	O
most	KALYDECO.xml:S1:218:4	O
common	KALYDECO.xml:S1:223:6	O
adverse	KALYDECO.xml:S1:230:7	O
drug	KALYDECO.xml:S1:238:4	O
reactions	KALYDECO.xml:S1:243:9	O
to	KALYDECO.xml:S1:253:2	O
KALYDECO	KALYDECO.xml:S1:256:8	O
(	KALYDECO.xml:S1:265:1	O
occurring	KALYDECO.xml:S1:266:9	O
in	KALYDECO.xml:S1:276:2	O
8%	KALYDECO.xml:S1:281:2	O
of	KALYDECO.xml:S1:284:2	O
patients	KALYDECO.xml:S1:287:8	O
with	KALYDECO.xml:S1:296:4	O
CF	KALYDECO.xml:S1:301:2	O
who	KALYDECO.xml:S1:304:3	O
have	KALYDECO.xml:S1:308:4	O
a	KALYDECO.xml:S1:313:1	O
G551D	KALYDECO.xml:S1:316:5	O
mutation	KALYDECO.xml:S1:323:8	O
in	KALYDECO.xml:S1:332:2	O
the	KALYDECO.xml:S1:335:3	O
CFTR	KALYDECO.xml:S1:340:4	O
gene	KALYDECO.xml:S1:346:4	O
)	KALYDECO.xml:S1:350:1	O
were	KALYDECO.xml:S1:352:4	O
headache	KALYDECO.xml:S1:357:8	B-AdverseReaction
,	KALYDECO.xml:S1:365:1	O
oropharyngeal	KALYDECO.xml:S1:367:13	B-AdverseReaction
pain	KALYDECO.xml:S1:381:4	I-AdverseReaction
,	KALYDECO.xml:S1:385:1	O
upper	KALYDECO.xml:S1:387:5	B-AdverseReaction
respiratory	KALYDECO.xml:S1:393:11	I-AdverseReaction
tract	KALYDECO.xml:S1:405:5	I-AdverseReaction
infection	KALYDECO.xml:S1:411:9	I-AdverseReaction
,	KALYDECO.xml:S1:420:1	O
nasal	KALYDECO.xml:S1:422:5	B-AdverseReaction
congestion	KALYDECO.xml:S1:428:10	I-AdverseReaction
,	KALYDECO.xml:S1:438:1	O
abdominal	KALYDECO.xml:S1:440:9	B-AdverseReaction
pain	KALYDECO.xml:S1:450:4	I-AdverseReaction
,	KALYDECO.xml:S1:454:1	O
nasopharyngitis	KALYDECO.xml:S1:456:15	B-AdverseReaction
,	KALYDECO.xml:S1:471:1	O
diarrhea	KALYDECO.xml:S1:473:8	B-AdverseReaction
,	KALYDECO.xml:S1:481:1	O
rash	KALYDECO.xml:S1:483:4	B-AdverseReaction
,	KALYDECO.xml:S1:487:1	O
nausea	KALYDECO.xml:S1:489:6	B-AdverseReaction
,	KALYDECO.xml:S1:495:1	O
and	KALYDECO.xml:S1:497:3	O
dizziness	KALYDECO.xml:S1:501:9	B-AdverseReaction
.	KALYDECO.xml:S1:510:1	O

(	KALYDECO.xml:S1:512:1	O
6.1	KALYDECO.xml:S1:515:3	O
)	KALYDECO.xml:S1:520:1	O

To	KALYDECO.xml:S1:528:2	O

report	KALYDECO.xml:S1:531:6	O
SUSPECTED	KALYDECO.xml:S1:538:9	O
ADVERSE	KALYDECO.xml:S1:548:7	O
REACTIONS	KALYDECO.xml:S1:556:9	O
,	KALYDECO.xml:S1:565:1	O
contact	KALYDECO.xml:S1:567:7	O
Vertex	KALYDECO.xml:S1:575:6	O
Pharmaceuticals	KALYDECO.xml:S1:582:15	O
Incorporated	KALYDECO.xml:S1:598:12	O
at	KALYDECO.xml:S1:611:2	O
1	KALYDECO.xml:S1:614:1	O
-	KALYDECO.xml:S1:615:1	O
877	KALYDECO.xml:S1:616:3	O
-	KALYDECO.xml:S1:619:1	O
634	KALYDECO.xml:S1:620:3	O
-	KALYDECO.xml:S1:623:1	O
8789	KALYDECO.xml:S1:624:4	O
or	KALYDECO.xml:S1:629:2	O
FDA	KALYDECO.xml:S1:632:3	O
at	KALYDECO.xml:S1:636:2	O
1	KALYDECO.xml:S1:639:1	O
-	KALYDECO.xml:S1:640:1	O
800	KALYDECO.xml:S1:641:3	O
-	KALYDECO.xml:S1:644:1	O
FDA	KALYDECO.xml:S1:645:3	O
-	KALYDECO.xml:S1:648:1	O
1088	KALYDECO.xml:S1:649:4	O
or	KALYDECO.xml:S1:654:2	O
www	KALYDECO.xml:S1:658:3	O
.	KALYDECO.xml:S1:661:1	O
fda	KALYDECO.xml:S1:662:3	O
.	KALYDECO.xml:S1:665:1	O
gov	KALYDECO.xml:S1:666:3	O
medwatch	KALYDECO.xml:S1:670:8	O
.	KALYDECO.xml:S1:678:1	O

6.1	KALYDECO.xml:S1:692:3	O

Clinical	KALYDECO.xml:S1:696:8	O
Trials	KALYDECO.xml:S1:705:6	O
Experience	KALYDECO.xml:S1:712:10	O

Because	KALYDECO.xml:S1:726:7	O
clinical	KALYDECO.xml:S1:734:8	O
trials	KALYDECO.xml:S1:743:6	O
are	KALYDECO.xml:S1:750:3	O
conducted	KALYDECO.xml:S1:754:9	O
under	KALYDECO.xml:S1:764:5	O
widely	KALYDECO.xml:S1:770:6	O
varying	KALYDECO.xml:S1:777:7	O
conditions	KALYDECO.xml:S1:785:10	O
,	KALYDECO.xml:S1:795:1	O
adverse	KALYDECO.xml:S1:797:7	O
reaction	KALYDECO.xml:S1:805:8	O
rates	KALYDECO.xml:S1:814:5	O
observed	KALYDECO.xml:S1:820:8	O
in	KALYDECO.xml:S1:829:2	O
the	KALYDECO.xml:S1:832:3	O
clinical	KALYDECO.xml:S1:836:8	O
trials	KALYDECO.xml:S1:845:6	O
of	KALYDECO.xml:S1:852:2	O
a	KALYDECO.xml:S1:855:1	O
drug	KALYDECO.xml:S1:857:4	O
cannot	KALYDECO.xml:S1:862:6	O
be	KALYDECO.xml:S1:869:2	O
directly	KALYDECO.xml:S1:872:8	O
compared	KALYDECO.xml:S1:881:8	O
to	KALYDECO.xml:S1:890:2	O
rates	KALYDECO.xml:S1:893:5	O
in	KALYDECO.xml:S1:899:2	O
the	KALYDECO.xml:S1:902:3	O
clinical	KALYDECO.xml:S1:906:8	O
trials	KALYDECO.xml:S1:915:6	O
of	KALYDECO.xml:S1:922:2	O
another	KALYDECO.xml:S1:925:7	O
drug	KALYDECO.xml:S1:933:4	O
and	KALYDECO.xml:S1:938:3	O
may	KALYDECO.xml:S1:942:3	O
not	KALYDECO.xml:S1:946:3	O
reflect	KALYDECO.xml:S1:950:7	O
the	KALYDECO.xml:S1:958:3	O
rates	KALYDECO.xml:S1:962:5	O
observed	KALYDECO.xml:S1:968:8	O
in	KALYDECO.xml:S1:977:2	O
clinical	KALYDECO.xml:S1:980:8	O
practice	KALYDECO.xml:S1:989:8	O
.	KALYDECO.xml:S1:997:1	O

The	KALYDECO.xml:S1:1003:3	O
overall	KALYDECO.xml:S1:1007:7	O
safety	KALYDECO.xml:S1:1015:6	O
profile	KALYDECO.xml:S1:1022:7	O
of	KALYDECO.xml:S1:1030:2	O
KALYDECO	KALYDECO.xml:S1:1033:8	O
is	KALYDECO.xml:S1:1042:2	O
based	KALYDECO.xml:S1:1045:5	O
on	KALYDECO.xml:S1:1051:2	O
pooled	KALYDECO.xml:S1:1054:6	O
data	KALYDECO.xml:S1:1061:4	O
from	KALYDECO.xml:S1:1066:4	O
three	KALYDECO.xml:S1:1071:5	O
placebo	KALYDECO.xml:S1:1077:7	O
-	KALYDECO.xml:S1:1084:1	O
controlled	KALYDECO.xml:S1:1085:10	O
clinical	KALYDECO.xml:S1:1096:8	O
trials	KALYDECO.xml:S1:1105:6	O
conducted	KALYDECO.xml:S1:1112:9	O
in	KALYDECO.xml:S1:1122:2	O
353	KALYDECO.xml:S1:1125:3	O
patients	KALYDECO.xml:S1:1129:8	O
6	KALYDECO.xml:S1:1138:1	O
years	KALYDECO.xml:S1:1140:5	O
of	KALYDECO.xml:S1:1146:2	O
age	KALYDECO.xml:S1:1149:3	O
and	KALYDECO.xml:S1:1153:3	O
older	KALYDECO.xml:S1:1157:5	O
with	KALYDECO.xml:S1:1163:4	O
CF	KALYDECO.xml:S1:1168:2	O
who	KALYDECO.xml:S1:1171:3	O
had	KALYDECO.xml:S1:1175:3	O
a	KALYDECO.xml:S1:1179:1	O
G551D	KALYDECO.xml:S1:1182:5	O
mutation	KALYDECO.xml:S1:1189:8	O
in	KALYDECO.xml:S1:1198:2	O
the	KALYDECO.xml:S1:1201:3	O
CFTR	KALYDECO.xml:S1:1206:4	O
gene	KALYDECO.xml:S1:1212:4	O
(	KALYDECO.xml:S1:1217:1	O
Trials	KALYDECO.xml:S1:1218:6	O
1	KALYDECO.xml:S1:1225:1	O
and	KALYDECO.xml:S1:1227:3	O
2	KALYDECO.xml:S1:1231:1	O
)	KALYDECO.xml:S1:1232:1	O
or	KALYDECO.xml:S1:1234:2	O
were	KALYDECO.xml:S1:1237:4	O
homozygous	KALYDECO.xml:S1:1242:10	O
for	KALYDECO.xml:S1:1253:3	O
the	KALYDECO.xml:S1:1257:3	O
F508del	KALYDECO.xml:S1:1262:7	O
mutation	KALYDECO.xml:S1:1271:8	O
(	KALYDECO.xml:S1:1280:1	O
Trial	KALYDECO.xml:S1:1281:5	O
3	KALYDECO.xml:S1:1287:1	O
)	KALYDECO.xml:S1:1288:1	O
.	KALYDECO.xml:S1:1289:1	O

In	KALYDECO.xml:S1:1291:2	O
addition	KALYDECO.xml:S1:1294:8	O
,	KALYDECO.xml:S1:1302:1	O
the	KALYDECO.xml:S1:1304:3	O
following	KALYDECO.xml:S1:1308:9	O
clinical	KALYDECO.xml:S1:1318:8	O
trials	KALYDECO.xml:S1:1327:6	O
have	KALYDECO.xml:S1:1334:4	O
also	KALYDECO.xml:S1:1339:4	O
been	KALYDECO.xml:S1:1344:4	O
conducted	KALYDECO.xml:S1:1349:9	O
[	KALYDECO.xml:S1:1359:1	O
see	KALYDECO.xml:S1:1362:3	O
Clinical	KALYDECO.xml:S1:1367:8	O
Pharmacology	KALYDECO.xml:S1:1376:12	O
(	KALYDECO.xml:S1:1389:1	O
12	KALYDECO.xml:S1:1390:2	O
)	KALYDECO.xml:S1:1392:1	O
and	KALYDECO.xml:S1:1397:3	O
Clinical	KALYDECO.xml:S1:1404:8	O
Studies	KALYDECO.xml:S1:1413:7	O
(	KALYDECO.xml:S1:1421:1	O
14	KALYDECO.xml:S1:1422:2	O
)	KALYDECO.xml:S1:1424:1	O
]	KALYDECO.xml:S1:1429:1	O
:	KALYDECO.xml:S1:1430:1	O

An	KALYDECO.xml:S1:1439:2	O
8	KALYDECO.xml:S1:1442:1	O
-	KALYDECO.xml:S1:1443:1	O
week	KALYDECO.xml:S1:1444:4	O
crossover	KALYDECO.xml:S1:1449:9	O
design	KALYDECO.xml:S1:1459:6	O
trial	KALYDECO.xml:S1:1466:5	O
(	KALYDECO.xml:S1:1472:1	O
Trial	KALYDECO.xml:S1:1473:5	O
4	KALYDECO.xml:S1:1479:1	O
)	KALYDECO.xml:S1:1480:1	O
involving	KALYDECO.xml:S1:1482:9	O
39	KALYDECO.xml:S1:1492:2	O
patients	KALYDECO.xml:S1:1495:8	O
between	KALYDECO.xml:S1:1504:7	O
the	KALYDECO.xml:S1:1512:3	O
ages	KALYDECO.xml:S1:1516:4	O
of	KALYDECO.xml:S1:1521:2	O
6	KALYDECO.xml:S1:1524:1	O
and	KALYDECO.xml:S1:1526:3	O
57	KALYDECO.xml:S1:1530:2	O
years	KALYDECO.xml:S1:1533:5	O
with	KALYDECO.xml:S1:1539:4	O
a	KALYDECO.xml:S1:1544:1	O
G1244E	KALYDECO.xml:S1:1546:6	O
,	KALYDECO.xml:S1:1553:1	O
