6	KYPROLIS.xml:S1:4:1	O
ADVERSE	KYPROLIS.xml:S1:6:7	O
REACTIONS	KYPROLIS.xml:S1:14:9	O

The	KYPROLIS.xml:S1:27:3	O
following	KYPROLIS.xml:S1:31:9	O
adverse	KYPROLIS.xml:S1:41:7	O
reactions	KYPROLIS.xml:S1:49:9	O
are	KYPROLIS.xml:S1:59:3	O
discussed	KYPROLIS.xml:S1:63:9	O
in	KYPROLIS.xml:S1:73:2	O
greater	KYPROLIS.xml:S1:76:7	O
detail	KYPROLIS.xml:S1:84:6	O
in	KYPROLIS.xml:S1:91:2	O
other	KYPROLIS.xml:S1:94:5	O
sections	KYPROLIS.xml:S1:100:8	O
of	KYPROLIS.xml:S1:109:2	O
the	KYPROLIS.xml:S1:112:3	O
labeling	KYPROLIS.xml:S1:116:8	O
:	KYPROLIS.xml:S1:124:1	O

Cardiac	KYPROLIS.xml:S1:135:7	B-AdverseReaction
Toxicities	KYPROLIS.xml:S1:143:10	I-AdverseReaction
[	KYPROLIS.xml:S1:154:1	O
see	KYPROLIS.xml:S1:156:3	O
Warnings	KYPROLIS.xml:S1:160:8	O
and	KYPROLIS.xml:S1:169:3	O
Precautions	KYPROLIS.xml:S1:173:11	O
(	KYPROLIS.xml:S1:185:1	O
5.1	KYPROLIS.xml:S1:188:3	O
)	KYPROLIS.xml:S1:193:1	O
]	KYPROLIS.xml:S1:195:1	O

Acute	KYPROLIS.xml:S1:204:5	B-AdverseReaction
Renal	KYPROLIS.xml:S1:210:5	I-AdverseReaction
Failure	KYPROLIS.xml:S1:216:7	I-AdverseReaction
[	KYPROLIS.xml:S1:224:1	O
see	KYPROLIS.xml:S1:226:3	O
Warnings	KYPROLIS.xml:S1:230:8	O
and	KYPROLIS.xml:S1:239:3	O
Precautions	KYPROLIS.xml:S1:243:11	O
(	KYPROLIS.xml:S1:255:1	O
5.2	KYPROLIS.xml:S1:258:3	O
)	KYPROLIS.xml:S1:263:1	O
]	KYPROLIS.xml:S1:265:1	O

Tumor	KYPROLIS.xml:S1:274:5	B-AdverseReaction
Lysis	KYPROLIS.xml:S1:280:5	I-AdverseReaction
Syndrome	KYPROLIS.xml:S1:286:8	I-AdverseReaction
[	KYPROLIS.xml:S1:295:1	O
see	KYPROLIS.xml:S1:297:3	O
Warnings	KYPROLIS.xml:S1:301:8	O
and	KYPROLIS.xml:S1:310:3	O
Precautions	KYPROLIS.xml:S1:314:11	O
(	KYPROLIS.xml:S1:326:1	O
5.3	KYPROLIS.xml:S1:329:3	O
)	KYPROLIS.xml:S1:334:1	O
]	KYPROLIS.xml:S1:336:1	O

Pulmonary	KYPROLIS.xml:S1:345:9	B-AdverseReaction
Toxicity	KYPROLIS.xml:S1:355:8	I-AdverseReaction
[	KYPROLIS.xml:S1:364:1	O
see	KYPROLIS.xml:S1:366:3	O
Warnings	KYPROLIS.xml:S1:370:8	O
and	KYPROLIS.xml:S1:379:3	O
Precautions	KYPROLIS.xml:S1:383:11	O
(	KYPROLIS.xml:S1:395:1	O
5.4	KYPROLIS.xml:S1:398:3	O
)	KYPROLIS.xml:S1:403:1	O
]	KYPROLIS.xml:S1:405:1	O

Pulmonary	KYPROLIS.xml:S1:414:9	B-AdverseReaction
Hypertension	KYPROLIS.xml:S1:424:12	I-AdverseReaction
[	KYPROLIS.xml:S1:437:1	O
