6	LUMIZYME.xml:S1:4:1	O
ADVERSE	LUMIZYME.xml:S1:6:7	O
REACTIONS	LUMIZYME.xml:S1:14:9	O

EXCERPT	LUMIZYME.xml:S1:28:7	O
:	LUMIZYME.xml:S1:35:1	O
The	LUMIZYME.xml:S1:43:3	O
most	LUMIZYME.xml:S1:47:4	O
frequently	LUMIZYME.xml:S1:52:10	O
reported	LUMIZYME.xml:S1:63:8	O
adverse	LUMIZYME.xml:S1:72:7	O
reactions	LUMIZYME.xml:S1:80:9	O
(	LUMIZYME.xml:S1:90:1	O
5%	LUMIZYME.xml:S1:94:2	O
)	LUMIZYME.xml:S1:96:1	O
in	LUMIZYME.xml:S1:98:2	O
clinical	LUMIZYME.xml:S1:101:8	O
trials	LUMIZYME.xml:S1:110:6	O
were	LUMIZYME.xml:S1:117:4	O
hypersensitivity	LUMIZYME.xml:S1:122:16	B-AdverseReaction
reactions	LUMIZYME.xml:S1:139:9	I-AdverseReaction
and	LUMIZYME.xml:S1:149:3	O
included	LUMIZYME.xml:S1:153:8	O
:	LUMIZYME.xml:S1:161:1	O
anaphylaxis	LUMIZYME.xml:S1:163:11	B-AdverseReaction
,	LUMIZYME.xml:S1:174:1	O
rash	LUMIZYME.xml:S1:176:4	B-AdverseReaction
,	LUMIZYME.xml:S1:180:1	O
pyrexia	LUMIZYME.xml:S1:182:7	B-AdverseReaction
,	LUMIZYME.xml:S1:189:1	O
flushing	LUMIZYME.xml:S1:191:8	B-AdverseReaction
feeling	LUMIZYME.xml:S1:200:7	B-AdverseReaction
hot	LUMIZYME.xml:S1:208:3	I-AdverseReaction
,	LUMIZYME.xml:S1:211:1	O
urticaria	LUMIZYME.xml:S1:213:9	B-AdverseReaction
,	LUMIZYME.xml:S1:222:1	O
headache	LUMIZYME.xml:S1:224:8	B-AdverseReaction
,	LUMIZYME.xml:S1:232:1	O
hyperhidrosis	LUMIZYME.xml:S1:234:13	B-AdverseReaction
,	LUMIZYME.xml:S1:247:1	O
