6	MULTAQ.xml:S1:4:1	O
ADVERSE	MULTAQ.xml:S1:6:7	O
REACTIONS	MULTAQ.xml:S1:14:9	O

The	MULTAQ.xml:S1:27:3	O
following	MULTAQ.xml:S1:31:9	O
safety	MULTAQ.xml:S1:41:6	O
concerns	MULTAQ.xml:S1:48:8	O
are	MULTAQ.xml:S1:57:3	O
described	MULTAQ.xml:S1:61:9	O
elsewhere	MULTAQ.xml:S1:71:9	O
in	MULTAQ.xml:S1:81:2	O
the	MULTAQ.xml:S1:84:3	O
label	MULTAQ.xml:S1:88:5	O
:	MULTAQ.xml:S1:93:1	O

New	MULTAQ.xml:S1:104:3	B-AdverseReaction
or	MULTAQ.xml:S1:108:2	O
worsening	MULTAQ.xml:S1:111:9	B-AdverseReaction
heart	MULTAQ.xml:S1:121:5	I-AdverseReaction
failure	MULTAQ.xml:S1:127:7	I-AdverseReaction
[	MULTAQ.xml:S1:135:1	O
see	MULTAQ.xml:S1:136:3	O
Warnings	MULTAQ.xml:S1:141:8	O
and	MULTAQ.xml:S1:150:3	O
Precautions	MULTAQ.xml:S1:154:11	O
(	MULTAQ.xml:S1:166:1	O
5.4	MULTAQ.xml:S1:167:3	O
)	MULTAQ.xml:S1:170:1	O
]	MULTAQ.xml:S1:173:1	O

Liver	MULTAQ.xml:S1:183:5	B-AdverseReaction
Injury	MULTAQ.xml:S1:189:6	I-AdverseReaction
[	MULTAQ.xml:S1:196:1	O
see	MULTAQ.xml:S1:197:3	O
Warnings	MULTAQ.xml:S1:202:8	O
and	MULTAQ.xml:S1:211:3	O
Precautions	MULTAQ.xml:S1:215:11	O
(	MULTAQ.xml:S1:227:1	O
5.5	MULTAQ.xml:S1:228:3	O
)	MULTAQ.xml:S1:231:1	O
]	MULTAQ.xml:S1:234:1	O

Pulmonary	MULTAQ.xml:S1:244:9	B-AdverseReaction
toxicity	MULTAQ.xml:S1:254:8	I-AdverseReaction
[	MULTAQ.xml:S1:263:1	O
see	MULTAQ.xml:S1:264:3	O
Warnings	MULTAQ.xml:S1:269:8	O
and	MULTAQ.xml:S1:278:3	O
Precautions	MULTAQ.xml:S1:282:11	O
(	MULTAQ.xml:S1:294:1	O
