6	NATAZIA.xml:S1:4:1	O
ADVERSE	NATAZIA.xml:S1:6:7	O
REACTIONS	NATAZIA.xml:S1:14:9	O

The	NATAZIA.xml:S1:27:3	O
following	NATAZIA.xml:S1:31:9	O
serious	NATAZIA.xml:S1:41:7	O
adverse	NATAZIA.xml:S1:49:7	O
reactions	NATAZIA.xml:S1:57:9	O
with	NATAZIA.xml:S1:67:4	O
the	NATAZIA.xml:S1:72:3	O
use	NATAZIA.xml:S1:76:3	O
of	NATAZIA.xml:S1:80:2	O
COCs	NATAZIA.xml:S1:83:4	O
are	NATAZIA.xml:S1:88:3	O
discussed	NATAZIA.xml:S1:92:9	O
elsewhere	NATAZIA.xml:S1:102:9	O
in	NATAZIA.xml:S1:112:2	O
the	NATAZIA.xml:S1:115:3	O
labeling	NATAZIA.xml:S1:119:8	O
:	NATAZIA.xml:S1:127:1	O

Serious	NATAZIA.xml:S1:138:7	B-Severity
cardiovascular	NATAZIA.xml:S1:146:14	B-AdverseReaction
events	NATAZIA.xml:S1:161:6	I-AdverseReaction
and	NATAZIA.xml:S1:168:3	O
stroke	NATAZIA.xml:S1:172:6	B-AdverseReaction
[	NATAZIA.xml:S1:179:1	O
see	NATAZIA.xml:S1:180:3	O
Boxed	NATAZIA.xml:S1:184:5	O
Warning	NATAZIA.xml:S1:190:7	O
and	NATAZIA.xml:S1:198:3	O
Warnings	NATAZIA.xml:S1:202:8	O
and	NATAZIA.xml:S1:211:3	O
Precautions	NATAZIA.xml:S1:215:11	O
(	NATAZIA.xml:S1:227:1	O
5.1	NATAZIA.xml:S1:230:3	O
)]	NATAZIA.xml:S1:235:2	O

Vascular	NATAZIA.xml:S1:246:8	B-AdverseReaction
events	NATAZIA.xml:S1:255:6	I-AdverseReaction
[	NATAZIA.xml:S1:262:1	O
see	NATAZIA.xml:S1:263:3	O
Warnings	NATAZIA.xml:S1:267:8	O
and	NATAZIA.xml:S1:276:3	O
Precautions	NATAZIA.xml:S1:280:11	O
(	NATAZIA.xml:S1:292:1	O
5.1	NATAZIA.xml:S1:295:3	O
)]	NATAZIA.xml:S1:300:2	O

Liver	NATAZIA.xml:S1:311:5	B-AdverseReaction
disease	NATAZIA.xml:S1:317:7	I-AdverseReaction
[	NATAZIA.xml:S1:325:1	O
see	NATAZIA.xml:S1:326:3	O
Warnings	NATAZIA.xml:S1:330:8	O
and	NATAZIA.xml:S1:339:3	O
Precautions	NATAZIA.xml:S1:343:11	O
(	NATAZIA.xml:S1:355:1	O
5.3	NATAZIA.xml:S1:358:3	O
)]	NATAZIA.xml:S1:363:2	O

Adverse	NATAZIA.xml:S1:372:7	O
reactions	NATAZIA.xml:S1:380:9	O
commonly	NATAZIA.xml:S1:390:8	O
reported	NATAZIA.xml:S1:399:8	O
by	NATAZIA.xml:S1:408:2	O
COC	NATAZIA.xml:S1:411:3	O
users	NATAZIA.xml:S1:415:5	O
are	NATAZIA.xml:S1:421:3	O
:	NATAZIA.xml:S1:424:1	O

Irregular	NATAZIA.xml:S1:435:9	B-AdverseReaction

uterine	NATAZIA.xml:S1:445:7	I-AdverseReaction
bleeding	NATAZIA.xml:S1:453:8	I-AdverseReaction

Nausea	NATAZIA.xml:S1:469:6	B-AdverseReaction

Breast	NATAZIA.xml:S1:483:6	B-AdverseReaction
tenderness	NATAZIA.xml:S1:490:10	I-AdverseReaction

Headache	NATAZIA.xml:S1:508:8	B-AdverseReaction

EXCERPT	NATAZIA.xml:S1:524:7	O
:	NATAZIA.xml:S1:531:1	O
The	NATAZIA.xml:S1:537:3	O
most	NATAZIA.xml:S1:541:4	O
common	NATAZIA.xml:S1:546:6	O
adverse	NATAZIA.xml:S1:553:7	O
reactions	NATAZIA.xml:S1:561:9	O
(	NATAZIA.xml:S1:571:1	O
2%	NATAZIA.xml:S1:575:2	O
)	NATAZIA.xml:S1:577:1	O
in	NATAZIA.xml:S1:579:2	O
clinical	NATAZIA.xml:S1:582:8	O
trials	NATAZIA.xml:S1:591:6	O
for	NATAZIA.xml:S1:598:3	O
Natazia	NATAZIA.xml:S1:602:7	O
are	NATAZIA.xml:S1:610:3	O
headaches	NATAZIA.xml:S1:614:9	B-AdverseReaction
,	NATAZIA.xml:S1:623:1	O
irregular	NATAZIA.xml:S1:625:9	B-AdverseReaction
uterine	NATAZIA.xml:S1:635:7	I-AdverseReaction
bleeding	NATAZIA.xml:S1:643:8	I-AdverseReaction
,	NATAZIA.xml:S1:651:1	O
headache	NATAZIA.xml:S1:652:8	B-AdverseReaction
(	NATAZIA.xml:S1:661:1	O
including	NATAZIA.xml:S1:662:9	O
migraines	NATAZIA.xml:S1:672:9	B-AdverseReaction
)	NATAZIA.xml:S1:681:1	O
13%	NATAZIA.xml:S1:683:3	O
,	NATAZIA.xml:S1:686:1	O
breast	NATAZIA.xml:S1:688:6	B-AdverseReaction
tenderness	NATAZIA.xml:S1:695:10	I-AdverseReaction
,	NATAZIA.xml:S1:705:1	O
pain	NATAZIA.xml:S1:706:4	I-AdverseReaction
7%	NATAZIA.xml:S1:711:2	O
,	NATAZIA.xml:S1:713:1	O
menstrual	NATAZIA.xml:S1:715:9	B-AdverseReaction
disorders	NATAZIA.xml:S1:725:9	I-AdverseReaction
7%	NATAZIA.xml:S1:735:2	O
,	NATAZIA.xml:S1:737:1	O
nausea	NATAZIA.xml:S1:739:6	B-AdverseReaction
or	NATAZIA.xml:S1:747:2	O
vomiting	NATAZIA.xml:S1:750:8	B-AdverseReaction
,	NATAZIA.xml:S1:758:1	O
6%	NATAZIA.xml:S1:760:2	O
,	NATAZIA.xml:S1:762:1	O
acne	NATAZIA.xml:S1:764:4	B-AdverseReaction
4%	NATAZIA.xml:S1:769:2	O
,	NATAZIA.xml:S1:771:1	O
mood	NATAZIA.xml:S1:773:4	B-AdverseReaction
changes	NATAZIA.xml:S1:778:7	I-AdverseReaction
(	NATAZIA.xml:S1:786:1	O
3%	NATAZIA.xml:S1:787:2	O
)	NATAZIA.xml:S1:789:1	O
and	NATAZIA.xml:S1:791:3	O
increased	NATAZIA.xml:S1:795:9	B-AdverseReaction
weight	NATAZIA.xml:S1:805:6	I-AdverseReaction
.	NATAZIA.xml:S1:811:1	O

3%	NATAZIA.xml:S1:813:2	O
.	NATAZIA.xml:S1:815:1	O

(	NATAZIA.xml:S1:817:1	O
6	NATAZIA.xml:S1:820:1	O
)	NATAZIA.xml:S1:823:1	O

To	NATAZIA.xml:S1:833:2	O

report	NATAZIA.xml:S1:836:6	O
SUSPECTED	NATAZIA.xml:S1:843:9	O
ADVERSE	NATAZIA.xml:S1:853:7	O
REACTIONS	NATAZIA.xml:S1:861:9	O
,	NATAZIA.xml:S1:870:1	O
contact	NATAZIA.xml:S1:872:7	O
Bayer	NATAZIA.xml:S1:880:5	O
HealthCare	NATAZIA.xml:S1:886:10	O
Pharmaceuticals	NATAZIA.xml:S1:897:15	O
Inc	NATAZIA.xml:S1:913:3	O
.	NATAZIA.xml:S1:916:1	O

at	NATAZIA.xml:S1:918:2	O
1	NATAZIA.xml:S1:921:1	O
-	NATAZIA.xml:S1:922:1	O
888	NATAZIA.xml:S1:923:3	O
-	NATAZIA.xml:S1:926:1	O
842	NATAZIA.xml:S1:927:3	O
-	NATAZIA.xml:S1:930:1	O
2937	NATAZIA.xml:S1:931:4	O
or	NATAZIA.xml:S1:936:2	O
FDA	NATAZIA.xml:S1:939:3	O
at	NATAZIA.xml:S1:943:2	O
1	NATAZIA.xml:S1:946:1	O
-	NATAZIA.xml:S1:947:1	O
800	NATAZIA.xml:S1:948:3	O
-	NATAZIA.xml:S1:951:1	O
FDA	NATAZIA.xml:S1:952:3	O
-	NATAZIA.xml:S1:955:1	O
1088	NATAZIA.xml:S1:956:4	O
or	NATAZIA.xml:S1:961:2	O
www	NATAZIA.xml:S1:965:3	O
.	NATAZIA.xml:S1:968:1	O
fda	NATAZIA.xml:S1:969:3	O
.	NATAZIA.xml:S1:972:1	O
gov	NATAZIA.xml:S1:973:3	O
medwatch	NATAZIA.xml:S1:977:8	O

6.1	NATAZIA.xml:S1:998:3	O

Clinical	NATAZIA.xml:S1:1002:8	O
Trials	NATAZIA.xml:S1:1011:6	O
Experience	NATAZIA.xml:S1:1018:10	O

Because	NATAZIA.xml:S1:1032:7	O
clinical	NATAZIA.xml:S1:1040:8	O
trials	NATAZIA.xml:S1:1049:6	O
are	NATAZIA.xml:S1:1056:3	O
conducted	NATAZIA.xml:S1:1060:9	O
under	NATAZIA.xml:S1:1070:5	O
widely	NATAZIA.xml:S1:1076:6	O
varying	NATAZIA.xml:S1:1083:7	O
conditions	NATAZIA.xml:S1:1091:10	O
,	NATAZIA.xml:S1:1101:1	O
adverse	NATAZIA.xml:S1:1103:7	O
reaction	NATAZIA.xml:S1:1111:8	O
rates	NATAZIA.xml:S1:1120:5	O
observed	NATAZIA.xml:S1:1126:8	O
in	NATAZIA.xml:S1:1135:2	O
the	NATAZIA.xml:S1:1138:3	O
clinical	NATAZIA.xml:S1:1142:8	O
trials	NATAZIA.xml:S1:1151:6	O
of	NATAZIA.xml:S1:1158:2	O
a	NATAZIA.xml:S1:1161:1	O
drug	NATAZIA.xml:S1:1163:4	O
cannot	NATAZIA.xml:S1:1168:6	O
be	NATAZIA.xml:S1:1175:2	O
directly	NATAZIA.xml:S1:1178:8	O
compared	NATAZIA.xml:S1:1187:8	O
to	NATAZIA.xml:S1:1196:2	O
rates	NATAZIA.xml:S1:1199:5	O
in	NATAZIA.xml:S1:1205:2	O
the	NATAZIA.xml:S1:1208:3	O
clinical	NATAZIA.xml:S1:1212:8	O
trials	NATAZIA.xml:S1:1221:6	O
of	NATAZIA.xml:S1:1228:2	O
another	NATAZIA.xml:S1:1231:7	O
drug	NATAZIA.xml:S1:1239:4	O
and	NATAZIA.xml:S1:1244:3	O
may	NATAZIA.xml:S1:1248:3	O
not	NATAZIA.xml:S1:1252:3	O
reflect	NATAZIA.xml:S1:1256:7	O
the	NATAZIA.xml:S1:1264:3	O
rates	NATAZIA.xml:S1:1268:5	O
observed	NATAZIA.xml:S1:1274:8	O
in	NATAZIA.xml:S1:1283:2	O
practice	NATAZIA.xml:S1:1286:8	O
.	NATAZIA.xml:S1:1294:1	O

Contraception	NATAZIA.xml:S1:1302:13	O
and	NATAZIA.xml:S1:1316:3	O
Heavy	NATAZIA.xml:S1:1320:5	O
Menstrual	NATAZIA.xml:S1:1326:9	O
Bleeding	NATAZIA.xml:S1:1336:8	O
Studies	NATAZIA.xml:S1:1345:7	O

A	NATAZIA.xml:S1:1356:1	O
total	NATAZIA.xml:S1:1358:5	O
of	NATAZIA.xml:S1:1364:2	O
2	NATAZIA.xml:S1:1367:1	O
,	NATAZIA.xml:S1:1368:1	O
131	NATAZIA.xml:S1:1369:3	O
women	NATAZIA.xml:S1:1373:5	O
,	NATAZIA.xml:S1:1378:1	O
18	NATAZIA.xml:S1:1380:2	O
to	NATAZIA.xml:S1:1383:2	O
54	NATAZIA.xml:S1:1386:2	O
years	NATAZIA.xml:S1:1389:5	O
