6	NESINA.xml:S1:4:1	O
ADVERSE	NESINA.xml:S1:6:7	O
REACTIONS	NESINA.xml:S1:14:9	O

EXCERPT	NESINA.xml:S1:27:7	O
:	NESINA.xml:S1:34:1	O
Common	NESINA.xml:S1:38:6	O
adverse	NESINA.xml:S1:45:7	O
reactions	NESINA.xml:S1:53:9	O
(	NESINA.xml:S1:63:1	O
reported	NESINA.xml:S1:64:8	O
in	NESINA.xml:S1:73:2	O
4%	NESINA.xml:S1:78:2	O
of	NESINA.xml:S1:81:2	O
patients	NESINA.xml:S1:84:8	O
treated	NESINA.xml:S1:93:7	O
with	NESINA.xml:S1:101:4	O
NESINA	NESINA.xml:S1:106:6	O
25	NESINA.xml:S1:113:2	O
mg	NESINA.xml:S1:116:2	O
and	NESINA.xml:S1:119:3	O
more	NESINA.xml:S1:123:4	O
frequently	NESINA.xml:S1:128:10	O
than	NESINA.xml:S1:139:4	O
in	NESINA.xml:S1:144:2	O
patients	NESINA.xml:S1:147:8	O
who	NESINA.xml:S1:156:3	O
received	NESINA.xml:S1:160:8	O
placebo	NESINA.xml:S1:169:7	O
)	NESINA.xml:S1:176:1	O
are	NESINA.xml:S1:178:3	O
:	NESINA.xml:S1:181:1	O
nasopharyngitis	NESINA.xml:S1:183:15	B-AdverseReaction
,	NESINA.xml:S1:198:1	O
headache	NESINA.xml:S1:200:8	B-AdverseReaction
and	NESINA.xml:S1:209:3	O
upper	NESINA.xml:S1:213:5	B-AdverseReaction
respiratory	NESINA.xml:S1:219:11	I-AdverseReaction
tract	NESINA.xml:S1:231:5	I-AdverseReaction
infection	NESINA.xml:S1:237:9	I-AdverseReaction
.	NESINA.xml:S1:246:1	O

(	NESINA.xml:S1:248:1	O
6.1	NESINA.xml:S1:249:3	O
)	NESINA.xml:S1:252:1	O

To	NESINA.xml:S1:266:2	O

report	NESINA.xml:S1:269:6	O
SUSPECTED	NESINA.xml:S1:276:9	O
ADVERSE	NESINA.xml:S1:286:7	O
REACTIONS	NESINA.xml:S1:294:9	O
,	NESINA.xml:S1:303:1	O
contact	NESINA.xml:S1:305:7	O
Takeda	NESINA.xml:S1:313:6	O
Pharmaceuticals	NESINA.xml:S1:320:15	O
at	NESINA.xml:S1:336:2	O
1	NESINA.xml:S1:339:1	O
-	NESINA.xml:S1:340:1	O
877	NESINA.xml:S1:341:3	O
-	NESINA.xml:S1:344:1	O
TAKEDA	NESINA.xml:S1:345:6	O
-	NESINA.xml:S1:351:1	O
7	NESINA.xml:S1:352:1	O
(	NESINA.xml:S1:354:1	O
1	NESINA.xml:S1:355:1	O
-	NESINA.xml:S1:356:1	O
877	NESINA.xml:S1:357:3	O
-	NESINA.xml:S1:360:1	O
825	NESINA.xml:S1:361:3	O
-	NESINA.xml:S1:364:1	O
3327	NESINA.xml:S1:365:4	O
)	NESINA.xml:S1:369:1	O
or	NESINA.xml:S1:371:2	O
FDA	NESINA.xml:S1:374:3	O
at	NESINA.xml:S1:378:2	O
1	NESINA.xml:S1:381:1	O
-	NESINA.xml:S1:382:1	O
800	NESINA.xml:S1:383:3	O
-	NESINA.xml:S1:386:1	O
FDA	NESINA.xml:S1:387:3	O
-	NESINA.xml:S1:390:1	O
1088	NESINA.xml:S1:391:4	O
or	NESINA.xml:S1:396:2	O
www	NESINA.xml:S1:399:3	O
.	NESINA.xml:S1:402:1	O
fda	NESINA.xml:S1:403:3	O
.	NESINA.xml:S1:406:1	O
gov	NESINA.xml:S1:407:3	O
medwatch	NESINA.xml:S1:411:8	O
.	NESINA.xml:S1:419:1	O

6.1	NESINA.xml:S1:441:3	O

Clinical	NESINA.xml:S1:445:8	O

Studies	NESINA.xml:S1:454:7	O
Experience	NESINA.xml:S1:462:10	O

Because	NESINA.xml:S1:476:7	O
clinical	NESINA.xml:S1:484:8	O
trials	NESINA.xml:S1:493:6	O
are	NESINA.xml:S1:500:3	O
conducted	NESINA.xml:S1:504:9	O
under	NESINA.xml:S1:514:5	O
widely	NESINA.xml:S1:520:6	O
varying	NESINA.xml:S1:527:7	O
conditions	NESINA.xml:S1:535:10	O
,	NESINA.xml:S1:545:1	O
adverse	NESINA.xml:S1:547:7	O
reaction	NESINA.xml:S1:555:8	O
rates	NESINA.xml:S1:564:5	O
observed	NESINA.xml:S1:570:8	O
in	NESINA.xml:S1:579:2	O
the	NESINA.xml:S1:582:3	O
clinical	NESINA.xml:S1:586:8	O
trials	NESINA.xml:S1:595:6	O
of	NESINA.xml:S1:602:2	O
a	NESINA.xml:S1:605:1	O
drug	NESINA.xml:S1:607:4	O
cannot	NESINA.xml:S1:612:6	O
be	NESINA.xml:S1:619:2	O
directly	NESINA.xml:S1:622:8	O
compared	NESINA.xml:S1:631:8	O
to	NESINA.xml:S1:640:2	O
rates	NESINA.xml:S1:643:5	O
in	NESINA.xml:S1:649:2	O
the	NESINA.xml:S1:652:3	O
clinical	NESINA.xml:S1:656:8	O
trials	NESINA.xml:S1:665:6	O
of	NESINA.xml:S1:672:2	O
another	NESINA.xml:S1:675:7	O
drug	NESINA.xml:S1:683:4	O
and	NESINA.xml:S1:688:3	O
may	NESINA.xml:S1:692:3	O
not	NESINA.xml:S1:696:3	O
reflect	NESINA.xml:S1:700:7	O
the	NESINA.xml:S1:708:3	O
rates	NESINA.xml:S1:712:5	O
observed	NESINA.xml:S1:718:8	O
in	NESINA.xml:S1:727:2	O
clinical	NESINA.xml:S1:730:8	O
practice	NESINA.xml:S1:739:8	O
.	NESINA.xml:S1:747:1	O

Approximately	NESINA.xml:S1:753:13	O
8500	NESINA.xml:S1:767:4	O
patients	NESINA.xml:S1:772:8	O
with	NESINA.xml:S1:781:4	O
type	NESINA.xml:S1:786:4	O
2	NESINA.xml:S1:791:1	O
diabetes	NESINA.xml:S1:793:8	O
have	NESINA.xml:S1:802:4	O
been	NESINA.xml:S1:807:4	O
treated	NESINA.xml:S1:812:7	O
with	NESINA.xml:S1:820:4	O
NESINA	NESINA.xml:S1:825:6	O
in	NESINA.xml:S1:832:2	O
14	NESINA.xml:S1:835:2	O
randomized	NESINA.xml:S1:838:10	O
,	NESINA.xml:S1:848:1	O
double	NESINA.xml:S1:850:6	O
-	NESINA.xml:S1:856:1	O
blind	NESINA.xml:S1:857:5	O
,	NESINA.xml:S1:862:1	O
controlled	NESINA.xml:S1:864:10	O
clinical	NESINA.xml:S1:875:8	O
trials	NESINA.xml:S1:884:6	O
with	NESINA.xml:S1:891:4	O
approximately	NESINA.xml:S1:896:13	O
2900	NESINA.xml:S1:910:4	O
subjects	NESINA.xml:S1:915:8	O
randomized	NESINA.xml:S1:924:10	O
to	NESINA.xml:S1:935:2	O
placebo	NESINA.xml:S1:938:7	O
and	NESINA.xml:S1:946:3	O
approximately	NESINA.xml:S1:950:13	O
2200	NESINA.xml:S1:964:4	O
to	NESINA.xml:S1:969:2	O
an	NESINA.xml:S1:972:2	O
active	NESINA.xml:S1:975:6	O
comparator	NESINA.xml:S1:982:10	O
.	NESINA.xml:S1:992:1	O

The	NESINA.xml:S1:994:3	O
mean	NESINA.xml:S1:998:4	O
exposure	NESINA.xml:S1:1003:8	O
to	NESINA.xml:S1:1012:2	O
NESINA	NESINA.xml:S1:1015:6	O
was	NESINA.xml:S1:1022:3	O
40	NESINA.xml:S1:1026:2	O
weeks	NESINA.xml:S1:1029:5	O
with	NESINA.xml:S1:1035:4	O
more	NESINA.xml:S1:1040:4	O
than	NESINA.xml:S1:1045:4	O
2400	NESINA.xml:S1:1050:4	O
subjects	NESINA.xml:S1:1055:8	O
treated	NESINA.xml:S1:1064:7	O
for	NESINA.xml:S1:1072:3	O
more	NESINA.xml:S1:1076:4	O
than	NESINA.xml:S1:1081:4	O
one	NESINA.xml:S1:1086:3	O
year	NESINA.xml:S1:1090:4	O
.	NESINA.xml:S1:1094:1	O

Among	NESINA.xml:S1:1096:5	O
these	NESINA.xml:S1:1102:5	O
patients	NESINA.xml:S1:1108:8	O
,	NESINA.xml:S1:1116:1	O
63%	NESINA.xml:S1:1118:3	O
had	NESINA.xml:S1:1122:3	O
a	NESINA.xml:S1:1126:1	O
history	NESINA.xml:S1:1128:7	O
of	NESINA.xml:S1:1136:2	O
hypertension	NESINA.xml:S1:1139:12	O
,	NESINA.xml:S1:1151:1	O
51%	NESINA.xml:S1:1153:3	O
had	NESINA.xml:S1:1157:3	O
a	NESINA.xml:S1:1161:1	O
history	NESINA.xml:S1:1163:7	O
of	NESINA.xml:S1:1171:2	O
dyslipidemia	NESINA.xml:S1:1174:12	O
,	NESINA.xml:S1:1186:1	O
25%	NESINA.xml:S1:1188:3	O
had	NESINA.xml:S1:1192:3	O
a	NESINA.xml:S1:1196:1	O
history	NESINA.xml:S1:1198:7	O
of	NESINA.xml:S1:1206:2	O
myocardial	NESINA.xml:S1:1209:10	O
infarction	NESINA.xml:S1:1220:10	O
,	NESINA.xml:S1:1230:1	O
8%	NESINA.xml:S1:1232:2	O
had	NESINA.xml:S1:1235:3	O
a	NESINA.xml:S1:1239:1	O
history	NESINA.xml:S1:1241:7	O
of	NESINA.xml:S1:1249:2	O
unstable	NESINA.xml:S1:1252:8	O
angina	NESINA.xml:S1:1261:6	O
and	NESINA.xml:S1:1268:3	O
7%	NESINA.xml:S1:1272:2	O
had	NESINA.xml:S1:1275:3	O
a	NESINA.xml:S1:1279:1	O
history	NESINA.xml:S1:1281:7	O
of	NESINA.xml:S1:1289:2	O
congestive	NESINA.xml:S1:1292:10	O
