6	NEURACEQ.xml:S1:4:1	O
ADVERSE	NEURACEQ.xml:S1:6:7	O
REACTIONS	NEURACEQ.xml:S1:14:9	O

EXCERPT	NEURACEQ.xml:S1:34:7	O

:	NEURACEQ.xml:S1:41:1	O
The	NEURACEQ.xml:S1:45:3	O
most	NEURACEQ.xml:S1:49:4	O
commonly	NEURACEQ.xml:S1:54:8	O
reported	NEURACEQ.xml:S1:63:8	O
adverse	NEURACEQ.xml:S1:72:7	O
reactions	NEURACEQ.xml:S1:80:9	O
were	NEURACEQ.xml:S1:90:4	O
:	NEURACEQ.xml:S1:94:1	O
injection	NEURACEQ.xml:S1:96:9	B-AdverseReaction
site	NEURACEQ.xml:S1:106:4	I-AdverseReaction
reaction	NEURACEQ.xml:S1:111:8	I-AdverseReaction
consisting	NEURACEQ.xml:S1:120:10	O
of	NEURACEQ.xml:S1:131:2	O
erythema	NEURACEQ.xml:S1:134:8	I-AdverseReaction
(	NEURACEQ.xml:S1:143:1	O
1.7	NEURACEQ.xml:S1:144:3	O
)	NEURACEQ.xml:S1:149:1	O
,	NEURACEQ.xml:S1:150:1	O
irritation	NEURACEQ.xml:S1:152:10	I-AdverseReaction
(	NEURACEQ.xml:S1:163:1	O
1.2	NEURACEQ.xml:S1:164:3	O
)	NEURACEQ.xml:S1:169:1	O
,	NEURACEQ.xml:S1:170:1	O
and	NEURACEQ.xml:S1:172:3	O
pain	NEURACEQ.xml:S1:176:4	I-AdverseReaction
(	NEURACEQ.xml:S1:181:1	O
3.9	NEURACEQ.xml:S1:182:3	O
)	NEURACEQ.xml:S1:187:1	O
.	NEURACEQ.xml:S1:188:1	O

To	NEURACEQ.xml:S1:196:2	O
report	NEURACEQ.xml:S1:199:6	O
SUSPECTED	NEURACEQ.xml:S1:206:9	O
ADVERSE	NEURACEQ.xml:S1:216:7	O
REACTIONS	NEURACEQ.xml:S1:224:9	O
,	NEURACEQ.xml:S1:233:1	O
contact	NEURACEQ.xml:S1:235:7	O
Piramal	NEURACEQ.xml:S1:243:7	O
at	NEURACEQ.xml:S1:251:2	O
1	NEURACEQ.xml:S1:254:1	O
-	NEURACEQ.xml:S1:255:1	O
855	NEURACEQ.xml:S1:256:3	O
-	NEURACEQ.xml:S1:259:1	O
545	NEURACEQ.xml:S1:260:3	O
-	NEURACEQ.xml:S1:263:1	O
5245	NEURACEQ.xml:S1:264:4	O
or	NEURACEQ.xml:S1:269:2	O
FDA	NEURACEQ.xml:S1:272:3	O
at	NEURACEQ.xml:S1:276:2	O
1	NEURACEQ.xml:S1:279:1	O
-	NEURACEQ.xml:S1:280:1	O
800	NEURACEQ.xml:S1:281:3	O
-	NEURACEQ.xml:S1:284:1	O
FDA	NEURACEQ.xml:S1:285:3	O
-	NEURACEQ.xml:S1:288:1	O
1088	NEURACEQ.xml:S1:289:4	O
or	NEURACEQ.xml:S1:294:2	O
www	NEURACEQ.xml:S1:297:3	O
.	NEURACEQ.xml:S1:300:1	O
fda	NEURACEQ.xml:S1:301:3	O
.	NEURACEQ.xml:S1:304:1	O
gov	NEURACEQ.xml:S1:305:3	O
medwatch	NEURACEQ.xml:S1:309:8	O
.	NEURACEQ.xml:S1:317:1	O

6.1	NEURACEQ.xml:S1:329:3	O

Clinical	NEURACEQ.xml:S1:333:8	O
Trials	NEURACEQ.xml:S1:342:6	O
Experience	NEURACEQ.xml:S1:349:10	O

Because	NEURACEQ.xml:S1:363:7	O
clinical	NEURACEQ.xml:S1:371:8	O
trials	NEURACEQ.xml:S1:380:6	O
are	NEURACEQ.xml:S1:387:3	O
conducted	NEURACEQ.xml:S1:391:9	O
under	NEURACEQ.xml:S1:401:5	O
widely	NEURACEQ.xml:S1:407:6	O
varying	NEURACEQ.xml:S1:414:7	O
conditions	NEURACEQ.xml:S1:422:10	O
,	NEURACEQ.xml:S1:432:1	O
adverse	NEURACEQ.xml:S1:434:7	O
reaction	NEURACEQ.xml:S1:442:8	O
rates	NEURACEQ.xml:S1:451:5	O
observed	NEURACEQ.xml:S1:457:8	O
in	NEURACEQ.xml:S1:466:2	O
the	NEURACEQ.xml:S1:469:3	O
clinical	NEURACEQ.xml:S1:473:8	O
trials	NEURACEQ.xml:S1:482:6	O
of	NEURACEQ.xml:S1:489:2	O
a	NEURACEQ.xml:S1:492:1	O
drug	NEURACEQ.xml:S1:494:4	O
cannot	NEURACEQ.xml:S1:499:6	O
be	NEURACEQ.xml:S1:506:2	O
directly	NEURACEQ.xml:S1:509:8	O
compared	NEURACEQ.xml:S1:518:8	O
to	NEURACEQ.xml:S1:527:2	O
rates	NEURACEQ.xml:S1:530:5	O
in	NEURACEQ.xml:S1:536:2	O
the	NEURACEQ.xml:S1:539:3	O
clinical	NEURACEQ.xml:S1:543:8	O
trials	NEURACEQ.xml:S1:552:6	O
of	NEURACEQ.xml:S1:559:2	O
another	NEURACEQ.xml:S1:562:7	O
drug	NEURACEQ.xml:S1:570:4	O
and	NEURACEQ.xml:S1:575:3	O
may	NEURACEQ.xml:S1:579:3	O
not	NEURACEQ.xml:S1:583:3	O
reflect	NEURACEQ.xml:S1:587:7	O
the	NEURACEQ.xml:S1:595:3	O
rate	NEURACEQ.xml:S1:599:4	O
observed	NEURACEQ.xml:S1:604:8	O
in	NEURACEQ.xml:S1:613:2	O
clinical	NEURACEQ.xml:S1:616:8	O
practice	NEURACEQ.xml:S1:625:8	O
.	NEURACEQ.xml:S1:633:1	O

The	NEURACEQ.xml:S1:639:3	O
overall	NEURACEQ.xml:S1:643:7	O
