6	NORTHERA.xml:S1:4:1	O
ADVERSE	NORTHERA.xml:S1:6:7	O
REACTIONS	NORTHERA.xml:S1:14:9	O

The	NORTHERA.xml:S1:27:3	O
following	NORTHERA.xml:S1:31:9	O
adverse	NORTHERA.xml:S1:41:7	O
reactions	NORTHERA.xml:S1:49:9	O
with	NORTHERA.xml:S1:59:4	O
NORTHERA	NORTHERA.xml:S1:64:8	O
are	NORTHERA.xml:S1:73:3	O
included	NORTHERA.xml:S1:77:8	O
in	NORTHERA.xml:S1:86:2	O
more	NORTHERA.xml:S1:89:4	O
detail	NORTHERA.xml:S1:94:6	O
in	NORTHERA.xml:S1:101:2	O
the	NORTHERA.xml:S1:104:3	O
Warnings	NORTHERA.xml:S1:108:8	O
and	NORTHERA.xml:S1:117:3	O
Precautions	NORTHERA.xml:S1:121:11	O
section	NORTHERA.xml:S1:133:7	O
of	NORTHERA.xml:S1:141:2	O
the	NORTHERA.xml:S1:144:3	O
label	NORTHERA.xml:S1:148:5	O
:	NORTHERA.xml:S1:153:1	O

Supine	NORTHERA.xml:S1:162:6	B-AdverseReaction
Hypertension	NORTHERA.xml:S1:169:12	I-AdverseReaction
[	NORTHERA.xml:S1:182:1	O
see	NORTHERA.xml:S1:183:3	O
Warnings	NORTHERA.xml:S1:187:8	O
and	NORTHERA.xml:S1:196:3	O
Precautions	NORTHERA.xml:S1:200:11	O
(	NORTHERA.xml:S1:212:1	O
5.1	NORTHERA.xml:S1:215:3	O
)]	NORTHERA.xml:S1:220:2	O

Hyperpyrexia	NORTHERA.xml:S1:229:12	B-AdverseReaction
and	NORTHERA.xml:S1:242:3	O
Confusion	NORTHERA.xml:S1:246:9	B-AdverseReaction
[	NORTHERA.xml:S1:256:1	O
see	NORTHERA.xml:S1:257:3	O
Warnings	NORTHERA.xml:S1:261:8	O
and	NORTHERA.xml:S1:270:3	O
Precautions	NORTHERA.xml:S1:274:11	O
(	NORTHERA.xml:S1:286:1	O
5.2	NORTHERA.xml:S1:289:3	O
)]	NORTHERA.xml:S1:294:2	O

May	NORTHERA.xml:S1:303:3	B-Factor
exacerbate	NORTHERA.xml:S1:307:10	B-AdverseReaction
existing	NORTHERA.xml:S1:318:8	O
ischemic	NORTHERA.xml:S1:327:8	I-AdverseReaction
heart	NORTHERA.xml:S1:336:5	I-AdverseReaction
disease	NORTHERA.xml:S1:342:7	I-AdverseReaction
,	NORTHERA.xml:S1:349:1	O
arrhythmias	NORTHERA.xml:S1:351:11	I-AdverseReaction
,	NORTHERA.xml:S1:362:1	O
and	NORTHERA.xml:S1:364:3	O
congestive	NORTHERA.xml:S1:368:10	I-AdverseReaction
heart	NORTHERA.xml:S1:379:5	I-AdverseReaction
failure	NORTHERA.xml:S1:385:7	I-AdverseReaction
[	NORTHERA.xml:S1:393:1	O
see	NORTHERA.xml:S1:394:3	O
Warnings	NORTHERA.xml:S1:398:8	O
and	NORTHERA.xml:S1:407:3	O
Precautions	NORTHERA.xml:S1:411:11	O
(	NORTHERA.xml:S1:423:1	O
5.3	NORTHERA.xml:S1:426:3	O
)]	NORTHERA.xml:S1:431:2	O

EXCERPT	NORTHERA.xml:S1:442:7	O
:	NORTHERA.xml:S1:449:1	O
Headache	NORTHERA.xml:S1:453:8	B-AdverseReaction
,	NORTHERA.xml:S1:461:1	O
dizziness	NORTHERA.xml:S1:463:9	B-AdverseReaction
