6	NULOJIX.xml:S1:4:1	O
ADVERSE	NULOJIX.xml:S1:6:7	O
REACTIONS	NULOJIX.xml:S1:14:9	O

The	NULOJIX.xml:S1:27:3	O
most	NULOJIX.xml:S1:31:4	O
serious	NULOJIX.xml:S1:36:7	O
adverse	NULOJIX.xml:S1:44:7	O
reactions	NULOJIX.xml:S1:52:9	O
reported	NULOJIX.xml:S1:62:8	O
with	NULOJIX.xml:S1:71:4	O
NULOJIX	NULOJIX.xml:S1:76:7	O
are	NULOJIX.xml:S1:84:3	O
:	NULOJIX.xml:S1:87:1	O

PTLD	NULOJIX.xml:S1:98:4	B-AdverseReaction
,	NULOJIX.xml:S1:102:1	O
predominantly	NULOJIX.xml:S1:104:13	O
CNS	NULOJIX.xml:S1:118:3	B-AdverseReaction
PTLD	NULOJIX.xml:S1:122:4	I-AdverseReaction
,	NULOJIX.xml:S1:126:1	O
and	NULOJIX.xml:S1:128:3	O
other	NULOJIX.xml:S1:132:5	O
malignancies	NULOJIX.xml:S1:138:12	B-AdverseReaction
[	NULOJIX.xml:S1:151:1	O
see	NULOJIX.xml:S1:152:3	O
Boxed	NULOJIX.xml:S1:158:5	O
Warning	NULOJIX.xml:S1:164:7	O
and	NULOJIX.xml:S1:174:3	O
Warnings	NULOJIX.xml:S1:180:8	O
and	NULOJIX.xml:S1:189:3	O
Precautions	NULOJIX.xml:S1:193:11	O
(	NULOJIX.xml:S1:205:1	O
5.1	NULOJIX.xml:S1:206:3	O
,	NULOJIX.xml:S1:211:1	O
5.3	NULOJIX.xml:S1:214:3	O
)	NULOJIX.xml:S1:217:1	O
]	NULOJIX.xml:S1:221:1	O

Serious	NULOJIX.xml:S1:230:7	B-Severity
infections	NULOJIX.xml:S1:238:10	B-AdverseReaction
,	NULOJIX.xml:S1:248:1	O
including	NULOJIX.xml:S1:250:9	O
JC	NULOJIX.xml:S1:260:2	B-AdverseReaction
virus	NULOJIX.xml:S1:263:5	I-AdverseReaction
-	NULOJIX.xml:S1:268:1	O
associated	NULOJIX.xml:S1:269:10	O
PML	NULOJIX.xml:S1:280:3	B-AdverseReaction
and	NULOJIX.xml:S1:284:3	O
polyoma	NULOJIX.xml:S1:288:7	B-AdverseReaction
virus	NULOJIX.xml:S1:296:5	I-AdverseReaction
nephropathy	NULOJIX.xml:S1:302:11	I-AdverseReaction
[	NULOJIX.xml:S1:314:1	O
see	NULOJIX.xml:S1:315:3	O
Warnings	NULOJIX.xml:S1:321:8	O
and	NULOJIX.xml:S1:330:3	O
Precautions	NULOJIX.xml:S1:334:11	O
(	NULOJIX.xml:S1:346:1	O
5.4	NULOJIX.xml:S1:347:3	O
,	NULOJIX.xml:S1:352:1	O
5.5	NULOJIX.xml:S1:355:3	O
,	NULOJIX.xml:S1:360:1	O
5.6	NULOJIX.xml:S1:363:3	O
)	NULOJIX.xml:S1:366:1	O
]	NULOJIX.xml:S1:370:1	O

EXCERPT	NULOJIX.xml:S1:379:7	O
:	NULOJIX.xml:S1:386:1	O
Most	NULOJIX.xml:S1:390:4	O
common	NULOJIX.xml:S1:395:6	O
adverse	NULOJIX.xml:S1:402:7	O
reactions	NULOJIX.xml:S1:410:9	O
(	NULOJIX.xml:S1:420:1	O
20%	NULOJIX.xml:S1:423:3	O
on	NULOJIX.xml:S1:427:2	O
NULOJIX	NULOJIX.xml:S1:430:7	O
treatment	NULOJIX.xml:S1:438:9	O
)	NULOJIX.xml:S1:447:1	O
are	NULOJIX.xml:S1:449:3	O
anemia	NULOJIX.xml:S1:453:6	B-AdverseReaction
,	NULOJIX.xml:S1:459:1	O
diarrhea	NULOJIX.xml:S1:461:8	B-AdverseReaction
,	NULOJIX.xml:S1:469:1	O
urinary	NULOJIX.xml:S1:471:7	B-AdverseReaction
tract	NULOJIX.xml:S1:479:5	I-AdverseReaction
infection	NULOJIX.xml:S1:485:9	I-AdverseReaction
,	NULOJIX.xml:S1:494:1	O
peripheral	NULOJIX.xml:S1:496:10	B-AdverseReaction
edema	NULOJIX.xml:S1:507:5	I-AdverseReaction
,	NULOJIX.xml:S1:512:1	O
constipation	NULOJIX.xml:S1:514:12	B-AdverseReaction
,	NULOJIX.xml:S1:526:1	O
hypertension	NULOJIX.xml:S1:528:12	B-AdverseReaction
,	NULOJIX.xml:S1:540:1	O
pyrexia	NULOJIX.xml:S1:542:7	B-AdverseReaction
,	NULOJIX.xml:S1:549:1	O
graft	NULOJIX.xml:S1:551:5	B-AdverseReaction
dysfunction	NULOJIX.xml:S1:557:11	I-AdverseReaction
,	NULOJIX.xml:S1:568:1	O
cough	NULOJIX.xml:S1:570:5	B-AdverseReaction
,	NULOJIX.xml:S1:575:1	O
nausea	NULOJIX.xml:S1:577:6	B-AdverseReaction
,	NULOJIX.xml:S1:583:1	O
vomiting	NULOJIX.xml:S1:585:8	B-AdverseReaction
,	NULOJIX.xml:S1:593:1	O
headache	NULOJIX.xml:S1:595:8	B-AdverseReaction
,	NULOJIX.xml:S1:603:1	O
hypokalemia	NULOJIX.xml:S1:605:11	B-AdverseReaction
,	NULOJIX.xml:S1:616:1	O
hyperkalemia	NULOJIX.xml:S1:618:12	B-AdverseReaction
,	NULOJIX.xml:S1:630:1	O
and	NULOJIX.xml:S1:632:3	O
leukopenia	NULOJIX.xml:S1:636:10	B-AdverseReaction
.	NULOJIX.xml:S1:646:1	O

(	NULOJIX.xml:S1:649:1	O
6.1	NULOJIX.xml:S1:650:3	O
)	NULOJIX.xml:S1:653:1	O

To	NULOJIX.xml:S1:663:2	O

report	NULOJIX.xml:S1:666:6	O
SUSPECTED	NULOJIX.xml:S1:673:9	O
ADVERSE	NULOJIX.xml:S1:683:7	O
REACTIONS	NULOJIX.xml:S1:691:9	O
,	NULOJIX.xml:S1:700:1	O
contact	NULOJIX.xml:S1:702:7	O
Bristol	NULOJIX.xml:S1:710:7	O
-	NULOJIX.xml:S1:717:1	O
Myers	NULOJIX.xml:S1:718:5	O
Squibb	NULOJIX.xml:S1:724:6	O
at	NULOJIX.xml:S1:731:2	O
1	NULOJIX.xml:S1:734:1	O
-	NULOJIX.xml:S1:735:1	O
800	NULOJIX.xml:S1:736:3	O
-	NULOJIX.xml:S1:739:1	O
721	NULOJIX.xml:S1:740:3	O
-	NULOJIX.xml:S1:743:1	O
5072	NULOJIX.xml:S1:744:4	O
or	NULOJIX.xml:S1:749:2	O
FDA	NULOJIX.xml:S1:752:3	O
at	NULOJIX.xml:S1:756:2	O
1	NULOJIX.xml:S1:759:1	O
-	NULOJIX.xml:S1:760:1	O
800	NULOJIX.xml:S1:761:3	O
-	NULOJIX.xml:S1:764:1	O
FDA	NULOJIX.xml:S1:765:3	O
-	NULOJIX.xml:S1:768:1	O
1088	NULOJIX.xml:S1:769:4	O
or	NULOJIX.xml:S1:774:2	O
www	NULOJIX.xml:S1:780:3	O
.	NULOJIX.xml:S1:783:1	O
fda	NULOJIX.xml:S1:784:3	O
.	NULOJIX.xml:S1:787:1	O
gov	NULOJIX.xml:S1:788:3	O
medwatch	NULOJIX.xml:S1:792:8	O
.	NULOJIX.xml:S1:804:1	O

6.1	NULOJIX.xml:S1:816:3	O

Clinical	NULOJIX.xml:S1:820:8	O
Studies	NULOJIX.xml:S1:829:7	O
Experience	NULOJIX.xml:S1:837:10	O

The	NULOJIX.xml:S1:851:3	O
data	NULOJIX.xml:S1:855:4	O
described	NULOJIX.xml:S1:860:9	O
below	NULOJIX.xml:S1:870:5	O
primarily	NULOJIX.xml:S1:876:9	O
derive	NULOJIX.xml:S1:886:6	O
from	NULOJIX.xml:S1:893:4	O
two	NULOJIX.xml:S1:898:3	O
randomized	NULOJIX.xml:S1:902:10	O
,	NULOJIX.xml:S1:912:1	O
active	NULOJIX.xml:S1:914:6	O
-	NULOJIX.xml:S1:920:1	O
controlled	NULOJIX.xml:S1:921:10	O
three	NULOJIX.xml:S1:932:5	O
-	NULOJIX.xml:S1:937:1	O
year	NULOJIX.xml:S1:938:4	O
trials	NULOJIX.xml:S1:943:6	O
of	NULOJIX.xml:S1:950:2	O
NULOJIX	NULOJIX.xml:S1:953:7	O
in	NULOJIX.xml:S1:961:2	O
de	NULOJIX.xml:S1:965:2	O
novo	NULOJIX.xml:S1:968:4	O
kidney	NULOJIX.xml:S1:974:6	O
transplant	NULOJIX.xml:S1:981:10	O
patients	NULOJIX.xml:S1:992:8	O
.	NULOJIX.xml:S1:1000:1	O

In	NULOJIX.xml:S1:1002:2	O
Study	NULOJIX.xml:S1:1005:5	O
1	NULOJIX.xml:S1:1011:1	O
and	NULOJIX.xml:S1:1013:3	O
Study	NULOJIX.xml:S1:1017:5	O
2	NULOJIX.xml:S1:1023:1	O
,	NULOJIX.xml:S1:1024:1	O
NULOJIX	NULOJIX.xml:S1:1026:7	O
was	NULOJIX.xml:S1:1034:3	O
studied	NULOJIX.xml:S1:1038:7	O
at	NULOJIX.xml:S1:1046:2	O
the	NULOJIX.xml:S1:1049:3	O
recommended	NULOJIX.xml:S1:1053:11	O
dose	NULOJIX.xml:S1:1065:4	O
and	NULOJIX.xml:S1:1070:3	O
frequency	NULOJIX.xml:S1:1074:9	O
[	NULOJIX.xml:S1:1084:1	O
see	NULOJIX.xml:S1:1085:3	O
Dosage	NULOJIX.xml:S1:1092:6	O
and	NULOJIX.xml:S1:1099:3	O
Administration	NULOJIX.xml:S1:1103:14	O
(	NULOJIX.xml:S1:1118:1	O
2.1	NULOJIX.xml:S1:1119:3	O
)	NULOJIX.xml:S1:1122:1	O
]	NULOJIX.xml:S1:1127:1	O
in	NULOJIX.xml:S1:1129:2	O
a	NULOJIX.xml:S1:1132:1	O
total	NULOJIX.xml:S1:1134:5	O
of	NULOJIX.xml:S1:1140:2	O
401	NULOJIX.xml:S1:1143:3	O
patients	NULOJIX.xml:S1:1147:8	O
compared	NULOJIX.xml:S1:1156:8	O
to	NULOJIX.xml:S1:1165:2	O
a	NULOJIX.xml:S1:1168:1	O
cyclosporine	NULOJIX.xml:S1:1170:12	O
control	NULOJIX.xml:S1:1183:7	O
regimen	NULOJIX.xml:S1:1191:7	O
in	NULOJIX.xml:S1:1199:2	O
a	NULOJIX.xml:S1:1202:1	O
total	NULOJIX.xml:S1:1204:5	O
of	NULOJIX.xml:S1:1210:2	O
405	NULOJIX.xml:S1:1213:3	O
patients	NULOJIX.xml:S1:1217:8	O
.	NULOJIX.xml:S1:1225:1	O

These	NULOJIX.xml:S1:1227:5	O
two	NULOJIX.xml:S1:1233:3	O
trials	NULOJIX.xml:S1:1237:6	O
also	NULOJIX.xml:S1:1244:4	O
included	NULOJIX.xml:S1:1249:8	O
a	NULOJIX.xml:S1:1258:1	O
total	NULOJIX.xml:S1:1260:5	O
of	NULOJIX.xml:S1:1266:2	O
403	NULOJIX.xml:S1:1269:3	O
patients	NULOJIX.xml:S1:1273:8	O
treated	NULOJIX.xml:S1:1282:7	O
with	NULOJIX.xml:S1:1290:4	O
a	NULOJIX.xml:S1:1295:1	O
NULOJIX	NULOJIX.xml:S1:1297:7	O
regimen	NULOJIX.xml:S1:1305:7	O
of	NULOJIX.xml:S1:1313:2	O
higher	NULOJIX.xml:S1:1316:6	O
cumulative	NULOJIX.xml:S1:1323:10	O
dose	NULOJIX.xml:S1:1334:4	O
and	NULOJIX.xml:S1:1339:3	O
more	NULOJIX.xml:S1:1343:4	O
frequent	NULOJIX.xml:S1:1348:8	O
dosing	NULOJIX.xml:S1:1357:6	O
than	NULOJIX.xml:S1:1364:4	O
recommended	NULOJIX.xml:S1:1369:11	O
[	NULOJIX.xml:S1:1381:1	O
see	NULOJIX.xml:S1:1382:3	O
Clinical	NULOJIX.xml:S1:1389:8	O
Studies	NULOJIX.xml:S1:1398:7	O
(	NULOJIX.xml:S1:1406:1	O
14.1	NULOJIX.xml:S1:1407:4	O
)	NULOJIX.xml:S1:1411:1	O
]	NULOJIX.xml:S1:1416:1	O
.	NULOJIX.xml:S1:1417:1	O

All	NULOJIX.xml:S1:1419:3	O
patients	NULOJIX.xml:S1:1423:8	O
also	NULOJIX.xml:S1:1432:4	O
received	NULOJIX.xml:S1:1437:8	O
basiliximab	NULOJIX.xml:S1:1446:11	O
induction	NULOJIX.xml:S1:1458:9	O
,	NULOJIX.xml:S1:1467:1	O
mycophenolate	NULOJIX.xml:S1:1469:13	O
mofetil	NULOJIX.xml:S1:1483:7	O
,	NULOJIX.xml:S1:1490:1	O
and	NULOJIX.xml:S1:1492:3	O
corticosteroids	NULOJIX.xml:S1:1496:15	O
.	NULOJIX.xml:S1:1511:1	O

Patients	NULOJIX.xml:S1:1513:8	O
were	NULOJIX.xml:S1:1522:4	O
treated	NULOJIX.xml:S1:1527:7	O
and	NULOJIX.xml:S1:1535:3	O
followed	NULOJIX.xml:S1:1539:8	O
for	NULOJIX.xml:S1:1548:3	O
3	NULOJIX.xml:S1:1552:1	O
years	NULOJIX.xml:S1:1554:5	O
.	NULOJIX.xml:S1:1559:1	O

CNS	NULOJIX.xml:S1:1565:3	B-AdverseReaction
PTLD	NULOJIX.xml:S1:1569:4	I-AdverseReaction
,	NULOJIX.xml:S1:1573:1	O
PML	NULOJIX.xml:S1:1575:3	B-AdverseReaction
,	NULOJIX.xml:S1:1578:1	O
and	NULOJIX.xml:S1:1580:3	O
other	NULOJIX.xml:S1:1584:5	O
CNS	NULOJIX.xml:S1:1590:3	B-AdverseReaction
infections	NULOJIX.xml:S1:1594:10	I-AdverseReaction
were	NULOJIX.xml:S1:1605:4	O
more	NULOJIX.xml:S1:1610:4	O
frequently	NULOJIX.xml:S1:1615:10	O
observed	NULOJIX.xml:S1:1626:8	O
in	NULOJIX.xml:S1:1635:2	O
association	NULOJIX.xml:S1:1638:11	O
with	NULOJIX.xml:S1:1650:4	O
a	NULOJIX.xml:S1:1655:1	O
NULOJIX	NULOJIX.xml:S1:1657:7	O
regimen	NULOJIX.xml:S1:1665:7	O
of	NULOJIX.xml:S1:1673:2	O
higher	NULOJIX.xml:S1:1676:6	O
cumulative	NULOJIX.xml:S1:1683:10	O
dose	NULOJIX.xml:S1:1694:4	O
and	NULOJIX.xml:S1:1699:3	O
more	NULOJIX.xml:S1:1703:4	O
frequent	NULOJIX.xml:S1:1708:8	O
dosing	NULOJIX.xml:S1:1717:6	O
compared	NULOJIX.xml:S1:1724:8	O
to	NULOJIX.xml:S1:1733:2	O
the	NULOJIX.xml:S1:1736:3	O
recommended	NULOJIX.xml:S1:1740:11	O
regimen	NULOJIX.xml:S1:1752:7	O
;	NULOJIX.xml:S1:1759:1	O
therefore	NULOJIX.xml:S1:1761:9	O
,	NULOJIX.xml:S1:1770:1	O
administration	NULOJIX.xml:S1:1772:14	O
of	NULOJIX.xml:S1:1787:2	O
higher	NULOJIX.xml:S1:1790:6	O
than	NULOJIX.xml:S1:1797:4	O
the	NULOJIX.xml:S1:1802:3	O
recommended	NULOJIX.xml:S1:1806:11	O
doses	NULOJIX.xml:S1:1818:5	O
and	NULOJIX.xml:S1:1824:3	O
or	NULOJIX.xml:S1:1828:2	O
more	NULOJIX.xml:S1:1831:4	O
frequent	NULOJIX.xml:S1:1836:8	O
dosing	NULOJIX.xml:S1:1845:6	O
of	NULOJIX.xml:S1:1852:2	O
NULOJIX	NULOJIX.xml:S1:1855:7	O
is	NULOJIX.xml:S1:1863:2	O
not	NULOJIX.xml:S1:1866:3	O
recommended	NULOJIX.xml:S1:1870:11	O
[	NULOJIX.xml:S1:1882:1	O
see	NULOJIX.xml:S1:1883:3	O
Dosage	NULOJIX.xml:S1:1890:6	O
and	NULOJIX.xml:S1:1897:3	O
Administration	NULOJIX.xml:S1:1901:14	O
(	NULOJIX.xml:S1:1916:1	O
2.1	NULOJIX.xml:S1:1917:3	O
)	NULOJIX.xml:S1:1920:1	O
]	NULOJIX.xml:S1:1925:1	O
.	NULOJIX.xml:S1:1926:1	O

The	NULOJIX.xml:S1:1932:3	O
average	NULOJIX.xml:S1:1936:7	O
age	NULOJIX.xml:S1:1944:3	O
of	NULOJIX.xml:S1:1948:2	O
patients	NULOJIX.xml:S1:1951:8	O
in	NULOJIX.xml:S1:1960:2	O
Studies	NULOJIX.xml:S1:1963:7	O
1	NULOJIX.xml:S1:1971:1	O
and	NULOJIX.xml:S1:1973:3	O
2	NULOJIX.xml:S1:1977:1	O
