6	ONFI.xml:S1:6:1	O
ADVERSE	ONFI.xml:S1:8:7	O
REACTIONS	ONFI.xml:S1:16:9	O

Clinically	ONFI.xml:S1:31:10	O
significant	ONFI.xml:S1:42:11	O
adverse	ONFI.xml:S1:54:7	O
reactions	ONFI.xml:S1:62:9	O
that	ONFI.xml:S1:72:4	O
appear	ONFI.xml:S1:77:6	O
in	ONFI.xml:S1:84:2	O
other	ONFI.xml:S1:87:5	O
sections	ONFI.xml:S1:93:8	O
of	ONFI.xml:S1:102:2	O
the	ONFI.xml:S1:105:3	O
labeling	ONFI.xml:S1:109:8	O
include	ONFI.xml:S1:118:7	O
the	ONFI.xml:S1:126:3	O
following	ONFI.xml:S1:130:9	O
:	ONFI.xml:S1:139:1	O

Somnolence	ONFI.xml:S1:148:10	B-AdverseReaction
or	ONFI.xml:S1:159:2	O
Sedation	ONFI.xml:S1:162:8	B-AdverseReaction
[	ONFI.xml:S1:171:1	O
see	ONFI.xml:S1:172:3	O
Warnings	ONFI.xml:S1:176:8	O
and	ONFI.xml:S1:185:3	O
Precautions	ONFI.xml:S1:189:11	O
(	ONFI.xml:S1:201:1	O
5.1	ONFI.xml:S1:204:3	O
)]	ONFI.xml:S1:209:2	O

Potentiation	ONFI.xml:S1:218:12	B-AdverseReaction
of	ONFI.xml:S1:231:2	I-AdverseReaction
Sedation	ONFI.xml:S1:234:8	I-AdverseReaction
from	ONFI.xml:S1:243:4	O
Concomitant	ONFI.xml:S1:248:11	O
Use	ONFI.xml:S1:260:3	O
with	ONFI.xml:S1:264:4	O
Central	ONFI.xml:S1:269:7	O
Nervous	ONFI.xml:S1:277:7	O
System	ONFI.xml:S1:285:6	O
Depressants	ONFI.xml:S1:292:11	O
[	ONFI.xml:S1:304:1	O
see	ONFI.xml:S1:305:3	O
Warnings	ONFI.xml:S1:309:8	O
and	ONFI.xml:S1:318:3	O
Precautions	ONFI.xml:S1:322:11	O
(	ONFI.xml:S1:334:1	O
5.2	ONFI.xml:S1:337:3	O
)]	ONFI.xml:S1:342:2	O

Withdrawal	ONFI.xml:S1:351:10	O
Symptoms	ONFI.xml:S1:362:8	O
[	ONFI.xml:S1:371:1	O
see	ONFI.xml:S1:372:3	O
Warnings	ONFI.xml:S1:376:8	O
and	ONFI.xml:S1:385:3	O
Precautions	ONFI.xml:S1:389:11	O
(	ONFI.xml:S1:401:1	O
5.3	ONFI.xml:S1:406:3	O
)]	ONFI.xml:S1:413:2	O

Serious	ONFI.xml:S1:422:7	B-Severity
Dermatological	ONFI.xml:S1:430:14	B-AdverseReaction
Reactions	ONFI.xml:S1:445:9	I-AdverseReaction
[	ONFI.xml:S1:455:1	O
see	ONFI.xml:S1:456:3	O
Contraindications	ONFI.xml:S1:460:17	O
(	ONFI.xml:S1:478:1	O
4	ONFI.xml:S1:481:1	O
)	ONFI.xml:S1:484:1	O
,	ONFI.xml:S1:485:1	O
Warnings	ONFI.xml:S1:487:8	O
and	ONFI.xml:S1:496:3	O
Precautions	ONFI.xml:S1:500:11	O
(	ONFI.xml:S1:512:1	O
5.4	ONFI.xml:S1:517:3	O
)]	ONFI.xml:S1:524:2	O

Physical	ONFI.xml:S1:533:8	B-AdverseReaction
and	ONFI.xml:S1:542:3	O
Psychological	ONFI.xml:S1:546:13	B-AdverseReaction
Dependence	ONFI.xml:S1:560:10	I-AdverseReaction
[	ONFI.xml:S1:571:1	O
see	ONFI.xml:S1:572:3	O
Warnings	ONFI.xml:S1:576:8	O
and	ONFI.xml:S1:585:3	O
Precautions	ONFI.xml:S1:589:11	O
(	ONFI.xml:S1:601:1	O
5.5	ONFI.xml:S1:604:3	O
)]	ONFI.xml:S1:609:2	O

Suicidal	ONFI.xml:S1:618:8	B-AdverseReaction
Behavior	ONFI.xml:S1:627:8	I-AdverseReaction
and	ONFI.xml:S1:636:3	O
Ideation	ONFI.xml:S1:640:8	I-AdverseReaction
[	ONFI.xml:S1:649:1	O
see	ONFI.xml:S1:650:3	O
Warnings	ONFI.xml:S1:654:8	O
and	ONFI.xml:S1:663:3	O
Precautions	ONFI.xml:S1:667:11	O
(	ONFI.xml:S1:679:1	O
5.6	ONFI.xml:S1:682:3	O
)]	ONFI.xml:S1:687:2	O

EXCERPT	ONFI.xml:S1:698:7	O
:	ONFI.xml:S1:705:1	O
Adverse	ONFI.xml:S1:709:7	O
reactions	ONFI.xml:S1:717:9	O
that	ONFI.xml:S1:727:4	O
occurred	ONFI.xml:S1:732:8	O
at	ONFI.xml:S1:741:2	O
least	ONFI.xml:S1:744:5	O
10%	ONFI.xml:S1:750:3	O
more	ONFI.xml:S1:754:4	O
frequently	ONFI.xml:S1:759:10	O
than	ONFI.xml:S1:770:4	O
placebo	ONFI.xml:S1:775:7	O
in	ONFI.xml:S1:783:2	O
any	ONFI.xml:S1:786:3	O
ONFI	ONFI.xml:S1:790:4	O
dose	ONFI.xml:S1:795:4	O
included	ONFI.xml:S1:800:8	O
constipation	ONFI.xml:S1:809:12	B-AdverseReaction
,	ONFI.xml:S1:821:1	O
somnolence	ONFI.xml:S1:823:10	B-AdverseReaction
or	ONFI.xml:S1:834:2	O
sedation	ONFI.xml:S1:837:8	B-AdverseReaction
,	ONFI.xml:S1:845:1	O
pyrexia	ONFI.xml:S1:847:7	B-AdverseReaction
,	ONFI.xml:S1:854:1	O
lethargy	ONFI.xml:S1:856:8	B-AdverseReaction
,	ONFI.xml:S1:864:1	O
and	ONFI.xml:S1:866:3	O
drooling	ONFI.xml:S1:870:8	B-AdverseReaction
(	ONFI.xml:S1:879:1	O
6.1	ONFI.xml:S1:882:3	O
)	ONFI.xml:S1:887:1	O

To	ONFI.xml:S1:898:2	O

report	ONFI.xml:S1:901:6	O
SUSPECTED	ONFI.xml:S1:908:9	O
ADVERSE	ONFI.xml:S1:918:7	O
REACTIONS	ONFI.xml:S1:926:9	O
,	ONFI.xml:S1:935:1	O
contact	ONFI.xml:S1:937:7	O
Lundbeck	ONFI.xml:S1:945:8	O
at	ONFI.xml:S1:954:2	O
1	ONFI.xml:S1:957:1	O
-	ONFI.xml:S1:958:1	O
800	ONFI.xml:S1:959:3	O
-	ONFI.xml:S1:962:1	O
455	ONFI.xml:S1:963:3	O
-	ONFI.xml:S1:966:1	O
1141	ONFI.xml:S1:967:4	O
or	ONFI.xml:S1:972:2	O
FDA	ONFI.xml:S1:975:3	O
at	ONFI.xml:S1:979:2	O
1	ONFI.xml:S1:982:1	O
-	ONFI.xml:S1:983:1	O
800	ONFI.xml:S1:984:3	O
-	ONFI.xml:S1:987:1	O
FDA	ONFI.xml:S1:988:3	O
-	ONFI.xml:S1:991:1	O
1088	ONFI.xml:S1:992:4	O
or	ONFI.xml:S1:997:2	O
www	ONFI.xml:S1:1003:3	O
.	ONFI.xml:S1:1006:1	O
fda	ONFI.xml:S1:1007:3	O
.	ONFI.xml:S1:1010:1	O
gov	ONFI.xml:S1:1011:3	O
medwatch	ONFI.xml:S1:1015:8	O
.	ONFI.xml:S1:1025:1	O

6.1	ONFI.xml:S1:1037:3	O

Clinical	ONFI.xml:S1:1041:8	O
Trials	ONFI.xml:S1:1050:6	O
Experience	ONFI.xml:S1:1057:10	O

Because	ONFI.xml:S1:1073:7	O
clinical	ONFI.xml:S1:1081:8	O
trials	ONFI.xml:S1:1090:6	O
are	ONFI.xml:S1:1097:3	O
conducted	ONFI.xml:S1:1101:9	O
under	ONFI.xml:S1:1111:5	O
widely	ONFI.xml:S1:1117:6	O
varying	ONFI.xml:S1:1124:7	O
conditions	ONFI.xml:S1:1132:10	O
,	ONFI.xml:S1:1142:1	O
adverse	ONFI.xml:S1:1144:7	O
reaction	ONFI.xml:S1:1152:8	O
rates	ONFI.xml:S1:1161:5	O
observed	ONFI.xml:S1:1167:8	O
in	ONFI.xml:S1:1176:2	O
the	ONFI.xml:S1:1179:3	O
clinical	ONFI.xml:S1:1183:8	O
trials	ONFI.xml:S1:1192:6	O
of	ONFI.xml:S1:1199:2	O
a	ONFI.xml:S1:1202:1	O
drug	ONFI.xml:S1:1204:4	O
cannot	ONFI.xml:S1:1209:6	O
be	ONFI.xml:S1:1216:2	O
directly	ONFI.xml:S1:1219:8	O
compared	ONFI.xml:S1:1228:8	O
to	ONFI.xml:S1:1237:2	O
rates	ONFI.xml:S1:1240:5	O
in	ONFI.xml:S1:1246:2	O
the	ONFI.xml:S1:1249:3	O
clinical	ONFI.xml:S1:1253:8	O
trials	ONFI.xml:S1:1262:6	O
of	ONFI.xml:S1:1269:2	O
another	ONFI.xml:S1:1272:7	O
drug	ONFI.xml:S1:1280:4	O
and	ONFI.xml:S1:1285:3	O
may	ONFI.xml:S1:1289:3	O
not	ONFI.xml:S1:1293:3	O
reflect	ONFI.xml:S1:1297:7	O
the	ONFI.xml:S1:1305:3	O
rates	ONFI.xml:S1:1309:5	O
observed	ONFI.xml:S1:1315:8	O
in	ONFI.xml:S1:1324:2	O
practice	ONFI.xml:S1:1327:8	O
.	ONFI.xml:S1:1335:1	O

During	ONFI.xml:S1:1341:6	O
its	ONFI.xml:S1:1348:3	O
development	ONFI.xml:S1:1352:11	O
for	ONFI.xml:S1:1364:3	O
the	ONFI.xml:S1:1368:3	O
adjunctive	ONFI.xml:S1:1372:10	O
treatment	ONFI.xml:S1:1383:9	O
of	ONFI.xml:S1:1393:2	O
seizures	ONFI.xml:S1:1396:8	O
associated	ONFI.xml:S1:1405:10	O
with	ONFI.xml:S1:1416:4	O
LGS	ONFI.xml:S1:1421:3	O
,	ONFI.xml:S1:1424:1	O
ONFI	ONFI.xml:S1:1426:4	O
was	ONFI.xml:S1:1431:3	O
administered	ONFI.xml:S1:1435:12	O
to	ONFI.xml:S1:1448:2	O
333	ONFI.xml:S1:1451:3	O
healthy	ONFI.xml:S1:1455:7	O
volunteers	ONFI.xml:S1:1463:10	O
and	ONFI.xml:S1:1474:3	O
300	ONFI.xml:S1:1478:3	O
patients	ONFI.xml:S1:1482:8	O
with	ONFI.xml:S1:1491:4	O
a	ONFI.xml:S1:1496:1	O
current	ONFI.xml:S1:1498:7	O
or	ONFI.xml:S1:1506:2	O
prior	ONFI.xml:S1:1509:5	O
diagnosis	ONFI.xml:S1:1515:9	O
of	ONFI.xml:S1:1525:2	O
LGS	ONFI.xml:S1:1528:3	O
,	ONFI.xml:S1:1531:1	O
including	ONFI.xml:S1:1533:9	O
197	ONFI.xml:S1:1543:3	O
patients	ONFI.xml:S1:1547:8	O
treated	ONFI.xml:S1:1556:7	O
for	ONFI.xml:S1:1564:3	O
12	ONFI.xml:S1:1568:2	O
months	ONFI.xml:S1:1571:6	O
or	ONFI.xml:S1:1578:2	O
more	ONFI.xml:S1:1581:4	O
.	ONFI.xml:S1:1585:1	O

The	ONFI.xml:S1:1587:3	O
conditions	ONFI.xml:S1:1591:10	O
and	ONFI.xml:S1:1602:3	O
duration	ONFI.xml:S1:1606:8	O
of	ONFI.xml:S1:1615:2	O
exposure	ONFI.xml:S1:1618:8	O
varied	ONFI.xml:S1:1627:6	O
greatly	ONFI.xml:S1:1634:7	O
and	ONFI.xml:S1:1642:3	O
included	ONFI.xml:S1:1646:8	O
single	ONFI.xml:S1:1655:6	O
-	ONFI.xml:S1:1661:1	O
and	ONFI.xml:S1:1663:3	O
multiple	ONFI.xml:S1:1667:8	O
-	ONFI.xml:S1:1675:1	O
dose	ONFI.xml:S1:1676:4	O
clinical	ONFI.xml:S1:1681:8	O
pharmacology	ONFI.xml:S1:1690:12	O
studies	ONFI.xml:S1:1703:7	O
in	ONFI.xml:S1:1711:2	O
healthy	ONFI.xml:S1:1714:7	O
volunteers	ONFI.xml:S1:1722:10	O
and	ONFI.xml:S1:1733:3	O
two	ONFI.xml:S1:1737:3	O
double	ONFI.xml:S1:1741:6	O
-	ONFI.xml:S1:1747:1	O
blind	ONFI.xml:S1:1748:5	O
studies	ONFI.xml:S1:1754:7	O
in	ONFI.xml:S1:1762:2	O
patients	ONFI.xml:S1:1765:8	O
with	ONFI.xml:S1:1774:4	O
LGS	ONFI.xml:S1:1779:3	O
(	ONFI.xml:S1:1783:1	O
Study	ONFI.xml:S1:1784:5	O
1	ONFI.xml:S1:1790:1	O
and	ONFI.xml:S1:1792:3	O
2	ONFI.xml:S1:1796:1	O
)	ONFI.xml:S1:1797:1	O
[	ONFI.xml:S1:1800:1	O
see	ONFI.xml:S1:1801:3	O
Clinical	ONFI.xml:S1:1805:8	O
Studies	ONFI.xml:S1:1814:7	O
(	ONFI.xml:S1:1822:1	O
14	ONFI.xml:S1:1825:2	O
)]	ONFI.xml:S1:1829:2	O
.	ONFI.xml:S1:1833:1	O

Only	ONFI.xml:S1:1835:4	O
Study	ONFI.xml:S1:1840:5	O
1	ONFI.xml:S1:1846:1	O
included	ONFI.xml:S1:1848:8	O
a	ONFI.xml:S1:1857:1	O
placebo	ONFI.xml:S1:1859:7	O
group	ONFI.xml:S1:1867:5	O
,	ONFI.xml:S1:1872:1	O
allowing	ONFI.xml:S1:1874:8	O
comparison	ONFI.xml:S1:1883:10	O
of	ONFI.xml:S1:1894:2	O
adverse	ONFI.xml:S1:1897:7	O
reaction	ONFI.xml:S1:1905:8	O
rates	ONFI.xml:S1:1914:5	O
on	ONFI.xml:S1:1920:2	O
ONFI	ONFI.xml:S1:1923:4	O
at	ONFI.xml:S1:1928:2	O
several	ONFI.xml:S1:1931:7	O
doses	ONFI.xml:S1:1939:5	O
to	ONFI.xml:S1:1945:2	O
placebo	ONFI.xml:S1:1948:7	O
.	ONFI.xml:S1:1955:1	O

Adverse	ONFI.xml:S1:1963:7	O
Reactions	ONFI.xml:S1:1971:9	O
Leading	ONFI.xml:S1:1981:7	O
to	ONFI.xml:S1:1989:2	O
Discontinuation	ONFI.xml:S1:1992:15	O
in	ONFI.xml:S1:2008:2	O
an	ONFI.xml:S1:2011:2	O
LGS	ONFI.xml:S1:2014:3	O
Placebo	ONFI.xml:S1:2018:7	O
Controlled	ONFI.xml:S1:2026:10	O
Clinical	ONFI.xml:S1:2037:8	O
Trial	ONFI.xml:S1:2046:5	O
(	ONFI.xml:S1:2052:1	O
Study	ONFI.xml:S1:2053:5	O
1	ONFI.xml:S1:2059:1	O
)	ONFI.xml:S1:2060:1	O
The	ONFI.xml:S1:2063:3	O
adverse	ONFI.xml:S1:2067:7	O
reactions	ONFI.xml:S1:2075:9	O
associated	ONFI.xml:S1:2085:10	O
with	ONFI.xml:S1:2096:4	O
ONFI	ONFI.xml:S1:2101:4	O
treatment	ONFI.xml:S1:2106:9	O
discontinuation	ONFI.xml:S1:2116:15	O
in	ONFI.xml:S1:2132:2	O
1%	ONFI.xml:S1:2137:2	O
of	ONFI.xml:S1:2140:2	O
patients	ONFI.xml:S1:2143:8	O
in	ONFI.xml:S1:2152:2	O
decreasing	ONFI.xml:S1:2155:10	O
order	ONFI.xml:S1:2166:5	O
of	ONFI.xml:S1:2172:2	O
frequency	ONFI.xml:S1:2175:9	O
included	ONFI.xml:S1:2185:8	O
