6	PICATO.xml:S1:6:1	O
ADVERSE	PICATO.xml:S1:8:7	O
REACTIONS	PICATO.xml:S1:16:9	O

The	PICATO.xml:S1:40:3	O

following	PICATO.xml:S1:44:9	O
serious	PICATO.xml:S1:54:7	O
adverse	PICATO.xml:S1:62:7	O
reactions	PICATO.xml:S1:70:9	O
are	PICATO.xml:S1:80:3	O
discussed	PICATO.xml:S1:84:9	O
in	PICATO.xml:S1:94:2	O
more	PICATO.xml:S1:97:4	O
detail	PICATO.xml:S1:102:6	O
in	PICATO.xml:S1:109:2	O
other	PICATO.xml:S1:112:5	O
sections	PICATO.xml:S1:118:8	O
of	PICATO.xml:S1:127:2	O
the	PICATO.xml:S1:130:3	O
labeling	PICATO.xml:S1:134:8	O
:	PICATO.xml:S1:142:1	O

Ophthalmic	PICATO.xml:S1:160:10	B-AdverseReaction

Adverse	PICATO.xml:S1:171:7	I-AdverseReaction
Reaction	PICATO.xml:S1:179:8	I-AdverseReaction
[	PICATO.xml:S1:188:1	O
see	PICATO.xml:S1:189:3	O
Warnings	PICATO.xml:S1:193:8	O
and	PICATO.xml:S1:202:3	O
Precautions	PICATO.xml:S1:206:11	O
(	PICATO.xml:S1:218:1	O
5.1	PICATO.xml:S1:221:3	O
)]	PICATO.xml:S1:226:2	O

Hypersensitivity	PICATO.xml:S1:235:16	B-AdverseReaction
Reactions	PICATO.xml:S1:252:9	I-AdverseReaction
[	PICATO.xml:S1:262:1	O
see	PICATO.xml:S1:263:3	O
Warnings	PICATO.xml:S1:267:8	O
and	PICATO.xml:S1:276:3	O
Precautions	PICATO.xml:S1:280:11	O
(	PICATO.xml:S1:292:1	O
5.2	PICATO.xml:S1:295:3	O
)]	PICATO.xml:S1:300:2	O

EXCERPT	PICATO.xml:S1:316:7	O

:	PICATO.xml:S1:323:1	O

The	PICATO.xml:S1:327:3	O
most	PICATO.xml:S1:331:4	O
common	PICATO.xml:S1:336:6	O
adverse	PICATO.xml:S1:343:7	O
reactions	PICATO.xml:S1:351:9	O
(	PICATO.xml:S1:361:1	O
2	PICATO.xml:S1:364:1	O
)	PICATO.xml:S1:367:1	O
are	PICATO.xml:S1:369:3	O
local	PICATO.xml:S1:373:5	B-AdverseReaction
skin	PICATO.xml:S1:379:4	I-AdverseReaction
reactions	PICATO.xml:S1:384:9	I-AdverseReaction
,	PICATO.xml:S1:393:1	O
application	PICATO.xml:S1:395:11	B-AdverseReaction
site	PICATO.xml:S1:407:4	I-AdverseReaction
pain	PICATO.xml:S1:412:4	I-AdverseReaction
,	PICATO.xml:S1:416:1	O
application	PICATO.xml:S1:418:11	B-AdverseReaction
site	PICATO.xml:S1:430:4	I-AdverseReaction
pruritus	PICATO.xml:S1:435:8	I-AdverseReaction
,	PICATO.xml:S1:443:1	O
application	PICATO.xml:S1:445:11	B-AdverseReaction
site	PICATO.xml:S1:457:4	I-AdverseReaction
irritation	PICATO.xml:S1:462:10	I-AdverseReaction
,	PICATO.xml:S1:472:1	O
application	PICATO.xml:S1:474:11	B-AdverseReaction
site	PICATO.xml:S1:486:4	I-AdverseReaction
infection	PICATO.xml:S1:491:9	I-AdverseReaction
,	PICATO.xml:S1:500:1	O
periorbital	PICATO.xml:S1:502:11	B-AdverseReaction
edema	PICATO.xml:S1:514:5	I-AdverseReaction
,	PICATO.xml:S1:519:1	O
nasopharyngitis	PICATO.xml:S1:521:15	B-AdverseReaction
and	PICATO.xml:S1:537:3	O
headache	PICATO.xml:S1:541:8	B-AdverseReaction
.	PICATO.xml:S1:549:1	O

(	PICATO.xml:S1:551:1	O
6.1	PICATO.xml:S1:556:3	O
)	PICATO.xml:S1:563:1	O

To	PICATO.xml:S1:571:2	O
report	PICATO.xml:S1:574:6	O
SUSPECTED	PICATO.xml:S1:581:9	O
ADVERSE	PICATO.xml:S1:591:7	O
REACTIONS	PICATO.xml:S1:599:9	O
,	PICATO.xml:S1:608:1	O
contact	PICATO.xml:S1:610:7	O
LEO	PICATO.xml:S1:618:3	O
Pharma	PICATO.xml:S1:622:6	O
Inc	PICATO.xml:S1:629:3	O
.	PICATO.xml:S1:632:1	O

at	PICATO.xml:S1:634:2	O
1	PICATO.xml:S1:637:1	O
-	PICATO.xml:S1:638:1	O
877	PICATO.xml:S1:639:3	O
