6	POTIGA.xml:S1:4:1	O
ADVERSE	POTIGA.xml:S1:6:7	O
REACTIONS	POTIGA.xml:S1:14:9	O

The	POTIGA.xml:S1:27:3	O
following	POTIGA.xml:S1:31:9	O
adverse	POTIGA.xml:S1:41:7	O
reactions	POTIGA.xml:S1:49:9	O
are	POTIGA.xml:S1:59:3	O
described	POTIGA.xml:S1:63:9	O
in	POTIGA.xml:S1:73:2	O
more	POTIGA.xml:S1:76:4	O
detail	POTIGA.xml:S1:81:6	O
in	POTIGA.xml:S1:88:2	O
the	POTIGA.xml:S1:91:3	O
Warnings	POTIGA.xml:S1:96:8	O
and	POTIGA.xml:S1:105:3	O
Precautions	POTIGA.xml:S1:109:11	O
section	POTIGA.xml:S1:122:7	O
of	POTIGA.xml:S1:130:2	O
the	POTIGA.xml:S1:133:3	O
label	POTIGA.xml:S1:137:5	O
:	POTIGA.xml:S1:142:1	O

Retinal	POTIGA.xml:S1:153:7	B-AdverseReaction
abnormalities	POTIGA.xml:S1:161:13	I-AdverseReaction
and	POTIGA.xml:S1:175:3	O
potential	POTIGA.xml:S1:179:9	B-Factor
vision	POTIGA.xml:S1:189:6	B-AdverseReaction
loss	POTIGA.xml:S1:196:4	I-AdverseReaction
[	POTIGA.xml:S1:201:1	O
see	POTIGA.xml:S1:202:3	O
Warnings	POTIGA.xml:S1:206:8	O
and	POTIGA.xml:S1:215:3	O
Precautions	POTIGA.xml:S1:219:11	O
(	POTIGA.xml:S1:231:1	O
5.1	POTIGA.xml:S1:232:3	O
)]	POTIGA.xml:S1:235:2	O

Urinary	POTIGA.xml:S1:246:7	B-AdverseReaction
retention	POTIGA.xml:S1:254:9	I-AdverseReaction
[	POTIGA.xml:S1:264:1	O
see	POTIGA.xml:S1:265:3	O
Warnings	POTIGA.xml:S1:269:8	O
and	POTIGA.xml:S1:278:3	O
Precautions	POTIGA.xml:S1:282:11	O
(	POTIGA.xml:S1:294:1	O
5.2	POTIGA.xml:S1:295:3	O
)]	POTIGA.xml:S1:298:2	O

Skin	POTIGA.xml:S1:309:4	B-AdverseReaction
discoloration	POTIGA.xml:S1:314:13	I-AdverseReaction
[	POTIGA.xml:S1:328:1	O
see	POTIGA.xml:S1:329:3	O
Warnings	POTIGA.xml:S1:333:8	O
and	POTIGA.xml:S1:342:3	O
Precautions	POTIGA.xml:S1:346:11	O
(	POTIGA.xml:S1:358:1	O
5.3	POTIGA.xml:S1:359:3	O
)]	POTIGA.xml:S1:362:2	O

Neuropsychiatric	POTIGA.xml:S1:373:16	B-AdverseReaction
symptoms	POTIGA.xml:S1:390:8	I-AdverseReaction
[	POTIGA.xml:S1:399:1	O
see	POTIGA.xml:S1:400:3	O
Warnings	POTIGA.xml:S1:404:8	O
and	POTIGA.xml:S1:413:3	O
Precautions	POTIGA.xml:S1:417:11	O
(	POTIGA.xml:S1:429:1	O
5.4	POTIGA.xml:S1:430:3	O
)]	POTIGA.xml:S1:433:2	O

Dizziness	POTIGA.xml:S1:444:9	B-AdverseReaction
and	POTIGA.xml:S1:454:3	O
somnolence	POTIGA.xml:S1:458:10	B-AdverseReaction
[	POTIGA.xml:S1:469:1	O
see	POTIGA.xml:S1:470:3	O
Warnings	POTIGA.xml:S1:474:8	O
and	POTIGA.xml:S1:483:3	O
Precautions	POTIGA.xml:S1:487:11	O
(	POTIGA.xml:S1:499:1	O
5.5	POTIGA.xml:S1:500:3	O
)]	POTIGA.xml:S1:503:2	O

QT	POTIGA.xml:S1:514:2	B-AdverseReaction
interval	POTIGA.xml:S1:517:8	I-AdverseReaction
effect	POTIGA.xml:S1:526:6	I-AdverseReaction
[	POTIGA.xml:S1:533:1	O
see	POTIGA.xml:S1:534:3	O
Warnings	POTIGA.xml:S1:538:8	O
and	POTIGA.xml:S1:547:3	O
Precautions	POTIGA.xml:S1:551:11	O
(	POTIGA.xml:S1:563:1	O
5.6	POTIGA.xml:S1:564:3	O
)]	POTIGA.xml:S1:567:2	O

