6	PRISTIQ.xml:S1:4:1	O
ADVERSE	PRISTIQ.xml:S1:6:7	O
REACTIONS	PRISTIQ.xml:S1:14:9	O

The	PRISTIQ.xml:S1:27:3	O
following	PRISTIQ.xml:S1:31:9	O
adverse	PRISTIQ.xml:S1:41:7	O
reactions	PRISTIQ.xml:S1:49:9	O
are	PRISTIQ.xml:S1:59:3	O
discussed	PRISTIQ.xml:S1:63:9	O
in	PRISTIQ.xml:S1:73:2	O
greater	PRISTIQ.xml:S1:76:7	O
detail	PRISTIQ.xml:S1:84:6	O
in	PRISTIQ.xml:S1:91:2	O
other	PRISTIQ.xml:S1:94:5	O
sections	PRISTIQ.xml:S1:100:8	O
of	PRISTIQ.xml:S1:109:2	O
the	PRISTIQ.xml:S1:112:3	O
label	PRISTIQ.xml:S1:116:5	O
.	PRISTIQ.xml:S1:121:1	O

Hypersensitivity	PRISTIQ.xml:S1:132:16	B-AdverseReaction
[	PRISTIQ.xml:S1:149:1	O
see	PRISTIQ.xml:S1:150:3	O
Contraindications	PRISTIQ.xml:S1:155:17	O
(	PRISTIQ.xml:S1:173:1	O
4	PRISTIQ.xml:S1:174:1	O
)	PRISTIQ.xml:S1:175:1	O
]	PRISTIQ.xml:S1:178:1	O

Suicidal	PRISTIQ.xml:S1:188:8	B-AdverseReaction
Thoughts	PRISTIQ.xml:S1:197:8	I-AdverseReaction
and	PRISTIQ.xml:S1:206:3	O
Behaviors	PRISTIQ.xml:S1:210:9	I-AdverseReaction
in	PRISTIQ.xml:S1:220:2	O
Adolescents	PRISTIQ.xml:S1:223:11	O
and	PRISTIQ.xml:S1:235:3	O
Young	PRISTIQ.xml:S1:239:5	O
Adults	PRISTIQ.xml:S1:245:6	O
[	PRISTIQ.xml:S1:252:1	O
see	PRISTIQ.xml:S1:253:3	O
Warnings	PRISTIQ.xml:S1:258:8	O
and	PRISTIQ.xml:S1:267:3	O
Precautions	PRISTIQ.xml:S1:271:11	O
(	PRISTIQ.xml:S1:283:1	O
5.1	PRISTIQ.xml:S1:284:3	O
)	PRISTIQ.xml:S1:287:1	O
]	PRISTIQ.xml:S1:290:1	O

Serotonin	PRISTIQ.xml:S1:300:9	B-AdverseReaction
Syndrome	PRISTIQ.xml:S1:310:8	I-AdverseReaction
[	PRISTIQ.xml:S1:319:1	O
see	PRISTIQ.xml:S1:320:3	O
Warnings	PRISTIQ.xml:S1:325:8	O
and	PRISTIQ.xml:S1:334:3	O
Precautions	PRISTIQ.xml:S1:338:11	O
(	PRISTIQ.xml:S1:350:1	O
5.2	PRISTIQ.xml:S1:351:3	O
)	PRISTIQ.xml:S1:354:1	O
]	PRISTIQ.xml:S1:357:1	O

Elevated	PRISTIQ.xml:S1:367:8	B-AdverseReaction
Blood	PRISTIQ.xml:S1:376:5	I-AdverseReaction
Pressure	PRISTIQ.xml:S1:382:8	I-AdverseReaction
[	PRISTIQ.xml:S1:391:1	O
see	PRISTIQ.xml:S1:392:3	O
Warnings	PRISTIQ.xml:S1:397:8	O
and	PRISTIQ.xml:S1:406:3	O
Precautions	PRISTIQ.xml:S1:410:11	O
(	PRISTIQ.xml:S1:422:1	O
5.3	PRISTIQ.xml:S1:423:3	O
)	PRISTIQ.xml:S1:426:1	O
]	PRISTIQ.xml:S1:429:1	O

Abnormal	PRISTIQ.xml:S1:439:8	B-AdverseReaction
Bleeding	PRISTIQ.xml:S1:448:8	I-AdverseReaction
[	PRISTIQ.xml:S1:457:1	O
see	PRISTIQ.xml:S1:458:3	O
Warnings	PRISTIQ.xml:S1:463:8	O
and	PRISTIQ.xml:S1:472:3	O
Precautions	PRISTIQ.xml:S1:476:11	O
(	PRISTIQ.xml:S1:488:1	O
5.4	PRISTIQ.xml:S1:489:3	O
)	PRISTIQ.xml:S1:492:1	O
]	PRISTIQ.xml:S1:495:1	O

Angle	PRISTIQ.xml:S1:505:5	B-AdverseReaction
Closure	PRISTIQ.xml:S1:511:7	I-AdverseReaction
Glaucoma	PRISTIQ.xml:S1:519:8	I-AdverseReaction
[	PRISTIQ.xml:S1:528:1	O
see	PRISTIQ.xml:S1:530:3	O
Warnings	PRISTIQ.xml:S1:535:8	O
and	PRISTIQ.xml:S1:544:3	O
Precautions	PRISTIQ.xml:S1:548:11	O
(	PRISTIQ.xml:S1:560:1	O
5.5	PRISTIQ.xml:S1:561:3	O
)	PRISTIQ.xml:S1:564:1	O
]	PRISTIQ.xml:S1:567:1	O

Activation	PRISTIQ.xml:S1:577:10	O
of	PRISTIQ.xml:S1:588:2	O
Mania	PRISTIQ.xml:S1:591:5	B-AdverseReaction
Hypomania	PRISTIQ.xml:S1:597:9	B-AdverseReaction
[	PRISTIQ.xml:S1:607:1	O
see	PRISTIQ.xml:S1:608:3	O
Warnings	PRISTIQ.xml:S1:613:8	O
and	PRISTIQ.xml:S1:622:3	O
Precautions	PRISTIQ.xml:S1:626:11	O
(	PRISTIQ.xml:S1:638:1	O
5.6	PRISTIQ.xml:S1:639:3	O
)	PRISTIQ.xml:S1:642:1	O
]	PRISTIQ.xml:S1:645:1	O

Discontinuation	PRISTIQ.xml:S1:655:15	B-AdverseReaction
Syndrome	PRISTIQ.xml:S1:671:8	I-AdverseReaction
[	PRISTIQ.xml:S1:680:1	O
see	PRISTIQ.xml:S1:681:3	O
Warnings	PRISTIQ.xml:S1:686:8	O
and	PRISTIQ.xml:S1:695:3	O
Precautions	PRISTIQ.xml:S1:699:11	O
(	PRISTIQ.xml:S1:711:1	O
5.7	PRISTIQ.xml:S1:712:3	O
)	PRISTIQ.xml:S1:715:1	O
]	PRISTIQ.xml:S1:718:1	O

Seizure	PRISTIQ.xml:S1:728:7	B-AdverseReaction
[	PRISTIQ.xml:S1:736:1	O
see	PRISTIQ.xml:S1:737:3	O
Warnings	PRISTIQ.xml:S1:742:8	O
and	PRISTIQ.xml:S1:751:3	O
Precautions	PRISTIQ.xml:S1:755:11	O
(	PRISTIQ.xml:S1:767:1	O
5.8	PRISTIQ.xml:S1:768:3	O
)	PRISTIQ.xml:S1:771:1	O
]	PRISTIQ.xml:S1:774:1	O

Hyponatremia	PRISTIQ.xml:S1:784:12	B-AdverseReaction
[	PRISTIQ.xml:S1:797:1	O
see	PRISTIQ.xml:S1:798:3	O
Warnings	PRISTIQ.xml:S1:803:8	O
and	PRISTIQ.xml:S1:812:3	O
Precautions	PRISTIQ.xml:S1:816:11	O
(	PRISTIQ.xml:S1:828:1	O
5.9	PRISTIQ.xml:S1:829:3	O
)	PRISTIQ.xml:S1:832:1	O
]	PRISTIQ.xml:S1:835:1	O

Interstitial	PRISTIQ.xml:S1:845:12	B-AdverseReaction
Lung	PRISTIQ.xml:S1:858:4	I-AdverseReaction
Disease	PRISTIQ.xml:S1:863:7	I-AdverseReaction
and	PRISTIQ.xml:S1:871:3	O
Eosinophilic	PRISTIQ.xml:S1:875:12	B-AdverseReaction
Pneumonia	PRISTIQ.xml:S1:888:9	I-AdverseReaction
[	PRISTIQ.xml:S1:898:1	O
see	PRISTIQ.xml:S1:899:3	O
Warnings	PRISTIQ.xml:S1:904:8	O
and	PRISTIQ.xml:S1:913:3	O
Precautions	PRISTIQ.xml:S1:917:11	O
(	PRISTIQ.xml:S1:929:1	O
5.10	PRISTIQ.xml:S1:930:4	O
)	PRISTIQ.xml:S1:934:1	O
]	PRISTIQ.xml:S1:937:1	O

EXCERPT	PRISTIQ.xml:S1:947:7	O
:	PRISTIQ.xml:S1:954:1	O
Most	PRISTIQ.xml:S1:958:4	O
common	PRISTIQ.xml:S1:963:6	O
adverse	PRISTIQ.xml:S1:970:7	O
reactions	PRISTIQ.xml:S1:978:9	O
(	PRISTIQ.xml:S1:988:1	O
incidence	PRISTIQ.xml:S1:989:9	O
5%	PRISTIQ.xml:S1:1001:2	O
and	PRISTIQ.xml:S1:1004:3	O
twice	PRISTIQ.xml:S1:1008:5	O
the	PRISTIQ.xml:S1:1014:3	O
rate	PRISTIQ.xml:S1:1018:4	O
of	PRISTIQ.xml:S1:1023:2	O
placebo	PRISTIQ.xml:S1:1026:7	O
