6	PROLIA.xml:S1:4:1	O
ADVERSE	PROLIA.xml:S1:6:7	O
REACTIONS	PROLIA.xml:S1:14:9	O

The	PROLIA.xml:S1:27:3	O
following	PROLIA.xml:S1:31:9	O
serious	PROLIA.xml:S1:41:7	O
adverse	PROLIA.xml:S1:49:7	O
reactions	PROLIA.xml:S1:57:9	O
are	PROLIA.xml:S1:67:3	O
discussed	PROLIA.xml:S1:71:9	O
below	PROLIA.xml:S1:81:5	O
and	PROLIA.xml:S1:87:3	O
also	PROLIA.xml:S1:91:4	O
elsewhere	PROLIA.xml:S1:96:9	O
in	PROLIA.xml:S1:106:2	O
the	PROLIA.xml:S1:109:3	O
labeling	PROLIA.xml:S1:113:8	O
:	PROLIA.xml:S1:121:1	O

Hypocalcemia	PROLIA.xml:S1:130:12	B-AdverseReaction
[	PROLIA.xml:S1:143:1	O
see	PROLIA.xml:S1:144:3	O
Warnings	PROLIA.xml:S1:148:8	O
and	PROLIA.xml:S1:157:3	O
Precautions	PROLIA.xml:S1:161:11	O
(	PROLIA.xml:S1:173:1	O
5.3	PROLIA.xml:S1:176:3	O
)]	PROLIA.xml:S1:181:2	O

Serious	PROLIA.xml:S1:190:7	B-Severity
Infections	PROLIA.xml:S1:198:10	B-AdverseReaction
[	PROLIA.xml:S1:209:1	O
see	PROLIA.xml:S1:210:3	O
Warnings	PROLIA.xml:S1:214:8	O
and	PROLIA.xml:S1:223:3	O
Precautions	PROLIA.xml:S1:227:11	O
(	PROLIA.xml:S1:239:1	O
5.6	PROLIA.xml:S1:242:3	O
)]	PROLIA.xml:S1:247:2	O

Dermatologic	PROLIA.xml:S1:256:12	B-AdverseReaction
Adverse	PROLIA.xml:S1:269:7	I-AdverseReaction
Reactions	PROLIA.xml:S1:277:9	I-AdverseReaction
[	PROLIA.xml:S1:287:1	O
see	PROLIA.xml:S1:288:3	O
Warnings	PROLIA.xml:S1:292:8	O
and	PROLIA.xml:S1:301:3	O
Precautions	PROLIA.xml:S1:305:11	O
(	PROLIA.xml:S1:317:1	O
5.7	PROLIA.xml:S1:320:3	O
)]	PROLIA.xml:S1:325:2	O

Osteonecrosis	PROLIA.xml:S1:334:13	B-AdverseReaction
of	PROLIA.xml:S1:348:2	I-AdverseReaction
the	PROLIA.xml:S1:351:3	I-AdverseReaction
Jaw	PROLIA.xml:S1:355:3	I-AdverseReaction
[	PROLIA.xml:S1:359:1	O
see	PROLIA.xml:S1:360:3	O
Warnings	PROLIA.xml:S1:364:8	O
and	PROLIA.xml:S1:373:3	O
Precautions	PROLIA.xml:S1:377:11	O
(	PROLIA.xml:S1:389:1	O
5.4	PROLIA.xml:S1:392:3	O
)]	PROLIA.xml:S1:397:2	O

Atypical	PROLIA.xml:S1:406:8	B-AdverseReaction
Subtrochanteric	PROLIA.xml:S1:415:15	I-AdverseReaction
and	PROLIA.xml:S1:431:3	O
Diaphyseal	PROLIA.xml:S1:435:10	I-AdverseReaction
Femoral	PROLIA.xml:S1:446:7	I-AdverseReaction
Fractures	PROLIA.xml:S1:454:9	I-AdverseReaction
[	PROLIA.xml:S1:464:1	O
see	PROLIA.xml:S1:465:3	O
Warnings	PROLIA.xml:S1:469:8	O
and	PROLIA.xml:S1:478:3	O
Precautions	PROLIA.xml:S1:482:11	O
(	PROLIA.xml:S1:494:1	O
5.5	PROLIA.xml:S1:497:3	O
)]	PROLIA.xml:S1:502:2	O

The	PROLIA.xml:S1:511:3	O
most	PROLIA.xml:S1:515:4	O
common	PROLIA.xml:S1:520:6	O
adverse	PROLIA.xml:S1:527:7	O
