6	PROMACTA.xml:S1:4:1	O
ADVERSE	PROMACTA.xml:S1:6:7	O
REACTIONS	PROMACTA.xml:S1:14:9	O

The	PROMACTA.xml:S1:27:3	O
following	PROMACTA.xml:S1:31:9	O
serious	PROMACTA.xml:S1:41:7	O
adverse	PROMACTA.xml:S1:49:7	O
reactions	PROMACTA.xml:S1:57:9	O
associated	PROMACTA.xml:S1:67:10	O
with	PROMACTA.xml:S1:78:4	O
PROMACTA	PROMACTA.xml:S1:83:8	O
are	PROMACTA.xml:S1:92:3	O
described	PROMACTA.xml:S1:96:9	O
in	PROMACTA.xml:S1:106:2	O
other	PROMACTA.xml:S1:109:5	O
sections	PROMACTA.xml:S1:115:8	O
.	PROMACTA.xml:S1:123:1	O

Hepatic	PROMACTA.xml:S1:134:7	B-AdverseReaction
Decompensation	PROMACTA.xml:S1:142:14	I-AdverseReaction
in	PROMACTA.xml:S1:157:2	O
Patients	PROMACTA.xml:S1:160:8	O
with	PROMACTA.xml:S1:169:4	O
Chronic	PROMACTA.xml:S1:174:7	O
Hepatitis	PROMACTA.xml:S1:182:9	O
C	PROMACTA.xml:S1:192:1	O
[	PROMACTA.xml:S1:194:1	O
see	PROMACTA.xml:S1:195:3	O
Warnings	PROMACTA.xml:S1:199:8	O
and	PROMACTA.xml:S1:208:3	O
Precautions	PROMACTA.xml:S1:212:11	O
(	PROMACTA.xml:S1:224:1	O
5.1	PROMACTA.xml:S1:225:3	O
)]	PROMACTA.xml:S1:228:2	O

Hepatotoxicity	PROMACTA.xml:S1:239:14	B-AdverseReaction
[	PROMACTA.xml:S1:254:1	O
see	PROMACTA.xml:S1:255:3	O
Warnings	PROMACTA.xml:S1:259:8	O
and	PROMACTA.xml:S1:268:3	O
Precautions	PROMACTA.xml:S1:272:11	O
(	PROMACTA.xml:S1:284:1	O
5.2	PROMACTA.xml:S1:285:3	O
)]	PROMACTA.xml:S1:288:2	O

Thrombotic	PROMACTA.xml:S1:299:10	B-AdverseReaction
Thromboembolic	PROMACTA.xml:S1:310:14	B-AdverseReaction
Complications	PROMACTA.xml:S1:325:13	I-AdverseReaction
[	PROMACTA.xml:S1:339:1	O
see	PROMACTA.xml:S1:340:3	O
Warnings	PROMACTA.xml:S1:344:8	O
and	PROMACTA.xml:S1:353:3	O
Precautions	PROMACTA.xml:S1:357:11	O
(	PROMACTA.xml:S1:369:1	O
5.3	PROMACTA.xml:S1:370:3	O
)]	PROMACTA.xml:S1:373:2	O

Cataracts	PROMACTA.xml:S1:384:9	B-AdverseReaction
[	PROMACTA.xml:S1:394:1	O
see	PROMACTA.xml:S1:395:3	O
Warnings	PROMACTA.xml:S1:399:8	O
and	PROMACTA.xml:S1:408:3	O
Precautions	PROMACTA.xml:S1:412:11	O
(	PROMACTA.xml:S1:424:1	O
5.4	PROMACTA.xml:S1:425:3	O
)]	PROMACTA.xml:S1:428:2	O

In	PROMACTA.xml:S1:441:2	O
adult	PROMACTA.xml:S1:444:5	O
patients	PROMACTA.xml:S1:450:8	O
with	PROMACTA.xml:S1:459:4	O
ITP	PROMACTA.xml:S1:464:3	O
,	PROMACTA.xml:S1:467:1	O
the	PROMACTA.xml:S1:469:3	O
most	PROMACTA.xml:S1:473:4	O
common	PROMACTA.xml:S1:478:6	O
adverse	PROMACTA.xml:S1:485:7	O
reactions	PROMACTA.xml:S1:493:9	O
(	PROMACTA.xml:S1:503:1	O
greater	PROMACTA.xml:S1:504:7	O
than	PROMACTA.xml:S1:512:4	O
or	PROMACTA.xml:S1:517:2	O
equal	PROMACTA.xml:S1:520:5	O
to	PROMACTA.xml:S1:526:2	O
5%	PROMACTA.xml:S1:529:2	O
and	PROMACTA.xml:S1:532:3	O
greater	PROMACTA.xml:S1:536:7	O
than	PROMACTA.xml:S1:544:4	O
placebo	PROMACTA.xml:S1:549:7	O
