6	QUTENZA.xml:S1:4:1	O
ADVERSE	QUTENZA.xml:S1:6:7	O
REACTIONS	QUTENZA.xml:S1:14:9	O

The	QUTENZA.xml:S1:27:3	O
following	QUTENZA.xml:S1:31:9	O
serious	QUTENZA.xml:S1:41:7	O
adverse	QUTENZA.xml:S1:49:7	O
reactions	QUTENZA.xml:S1:57:9	O
are	QUTENZA.xml:S1:67:3	O
discussed	QUTENZA.xml:S1:71:9	O
elsewhere	QUTENZA.xml:S1:81:9	O
in	QUTENZA.xml:S1:91:2	O
the	QUTENZA.xml:S1:94:3	O
labeling	QUTENZA.xml:S1:98:8	O
:	QUTENZA.xml:S1:106:1	O

Application	QUTENZA.xml:S1:112:11	B-AdverseReaction
-	QUTENZA.xml:S1:123:1	I-AdverseReaction
Associated	QUTENZA.xml:S1:124:10	I-AdverseReaction
Pain	QUTENZA.xml:S1:135:4	I-AdverseReaction
[	QUTENZA.xml:S1:140:1	O
see	QUTENZA.xml:S1:143:3	O
Warnings	QUTENZA.xml:S1:148:8	O
and	QUTENZA.xml:S1:157:3	O
Precautions	QUTENZA.xml:S1:161:11	O
(	QUTENZA.xml:S1:173:1	O
5.4	QUTENZA.xml:S1:174:3	O
)]	QUTENZA.xml:S1:179:2	O

Increase	QUTENZA.xml:S1:188:8	B-AdverseReaction
in	QUTENZA.xml:S1:197:2	I-AdverseReaction
Blood	QUTENZA.xml:S1:200:5	I-AdverseReaction
Pressure	QUTENZA.xml:S1:206:8	I-AdverseReaction
[	QUTENZA.xml:S1:215:1	O
see	QUTENZA.xml:S1:218:3	O
Warnings	QUTENZA.xml:S1:223:8	O
and	QUTENZA.xml:S1:232:3	O
Precautions	QUTENZA.xml:S1:236:11	O
(	QUTENZA.xml:S1:248:1	O
5.5	QUTENZA.xml:S1:249:3	O
)]	QUTENZA.xml:S1:254:2	O

EXCERPT	QUTENZA.xml:S1:265:7	O
:	QUTENZA.xml:S1:272:1	O
The	QUTENZA.xml:S1:276:3	O
most	QUTENZA.xml:S1:280:4	O
common	QUTENZA.xml:S1:285:6	O
adverse	QUTENZA.xml:S1:292:7	O
reactions	QUTENZA.xml:S1:300:9	O
(	QUTENZA.xml:S1:310:1	O
5%	QUTENZA.xml:S1:314:2	O
and	QUTENZA.xml:S1:317:3	O
greater	QUTENZA.xml:S1:321:7	O
than	QUTENZA.xml:S1:329:4	O
control	QUTENZA.xml:S1:334:7	O
)	QUTENZA.xml:S1:341:1	O
are	QUTENZA.xml:S1:343:3	O
application	QUTENZA.xml:S1:347:11	B-AdverseReaction
site	QUTENZA.xml:S1:359:4	I-AdverseReaction
erythema	QUTENZA.xml:S1:364:8	I-AdverseReaction
,	QUTENZA.xml:S1:372:1	O
application	QUTENZA.xml:S1:374:11	B-AdverseReaction
site	QUTENZA.xml:S1:386:4	I-AdverseReaction
pain	QUTENZA.xml:S1:391:4	I-AdverseReaction
,	QUTENZA.xml:S1:395:1	O
application	QUTENZA.xml:S1:397:11	B-AdverseReaction
site	QUTENZA.xml:S1:409:4	I-AdverseReaction
pruritus	QUTENZA.xml:S1:414:8	I-AdverseReaction
and	QUTENZA.xml:S1:423:3	O
application	QUTENZA.xml:S1:427:11	B-AdverseReaction
site	QUTENZA.xml:S1:439:4	I-AdverseReaction
papules	QUTENZA.xml:S1:444:7	I-AdverseReaction
.	QUTENZA.xml:S1:451:1	O

(	QUTENZA.xml:S1:453:1	O
6.1	QUTENZA.xml:S1:456:3	O
)	QUTENZA.xml:S1:461:1	O

To	QUTENZA.xml:S1:469:2	O
report	QUTENZA.xml:S1:472:6	O
SUSPECTED	QUTENZA.xml:S1:479:9	O
ADVERSE	QUTENZA.xml:S1:489:7	O
REACTIONS	QUTENZA.xml:S1:497:9	O
,	QUTENZA.xml:S1:506:1	O
contact	QUTENZA.xml:S1:508:7	O
Acorda	QUTENZA.xml:S1:516:6	O
Therapeutics	QUTENZA.xml:S1:523:12	O
at	QUTENZA.xml:S1:536:2	O
1	QUTENZA.xml:S1:539:1	O
-	QUTENZA.xml:S1:540:1	O
877	QUTENZA.xml:S1:541:3	O
-	QUTENZA.xml:S1:544:1	O
900	QUTENZA.xml:S1:545:3	O
-	QUTENZA.xml:S1:548:1	O
6479	QUTENZA.xml:S1:549:4	O
or	QUTENZA.xml:S1:554:2	O
FDA	QUTENZA.xml:S1:557:3	O
at	QUTENZA.xml:S1:561:2	O
1	QUTENZA.xml:S1:564:1	O
-	QUTENZA.xml:S1:565:1	O
800	QUTENZA.xml:S1:566:3	O
-	QUTENZA.xml:S1:569:1	O
FDA	QUTENZA.xml:S1:570:3	O
-	QUTENZA.xml:S1:573:1	O
1088	QUTENZA.xml:S1:574:4	O
or	QUTENZA.xml:S1:579:2	O
www	QUTENZA.xml:S1:582:3	O
.	QUTENZA.xml:S1:585:1	O
fda	QUTENZA.xml:S1:586:3	O
.	QUTENZA.xml:S1:589:1	O
gov	QUTENZA.xml:S1:590:3	O
medwatch	QUTENZA.xml:S1:594:8	O
.	QUTENZA.xml:S1:602:1	O

6.1	QUTENZA.xml:S1:614:3	O

Clinical	QUTENZA.xml:S1:618:8	O
Trials	QUTENZA.xml:S1:627:6	O
Experience	QUTENZA.xml:S1:634:10	O

Because	QUTENZA.xml:S1:648:7	O
clinical	QUTENZA.xml:S1:656:8	O
trials	QUTENZA.xml:S1:665:6	O
are	QUTENZA.xml:S1:672:3	O
conducted	QUTENZA.xml:S1:676:9	O
under	QUTENZA.xml:S1:686:5	O
widely	QUTENZA.xml:S1:692:6	O
varying	QUTENZA.xml:S1:699:7	O
conditions	QUTENZA.xml:S1:707:10	O
,	QUTENZA.xml:S1:717:1	O
adverse	QUTENZA.xml:S1:719:7	O
reaction	QUTENZA.xml:S1:727:8	O
rates	QUTENZA.xml:S1:736:5	O
observed	QUTENZA.xml:S1:742:8	O
in	QUTENZA.xml:S1:751:2	O
the	QUTENZA.xml:S1:754:3	O
clinical	QUTENZA.xml:S1:758:8	O
trials	QUTENZA.xml:S1:767:6	O
of	QUTENZA.xml:S1:774:2	O
a	QUTENZA.xml:S1:777:1	O
drug	QUTENZA.xml:S1:779:4	O
cannot	QUTENZA.xml:S1:784:6	O
be	QUTENZA.xml:S1:791:2	O
directly	QUTENZA.xml:S1:794:8	O
compared	QUTENZA.xml:S1:803:8	O
to	QUTENZA.xml:S1:812:2	O
