6	SAPHRIS.xml:S1:4:1	O
ADVERSE	SAPHRIS.xml:S1:6:7	O
REACTIONS	SAPHRIS.xml:S1:14:9	O

The	SAPHRIS.xml:S1:27:3	O
following	SAPHRIS.xml:S1:31:9	O
adverse	SAPHRIS.xml:S1:41:7	O
reactions	SAPHRIS.xml:S1:49:9	O
are	SAPHRIS.xml:S1:59:3	O
discussed	SAPHRIS.xml:S1:63:9	O
in	SAPHRIS.xml:S1:73:2	O
more	SAPHRIS.xml:S1:76:4	O
detail	SAPHRIS.xml:S1:81:6	O
in	SAPHRIS.xml:S1:88:2	O
other	SAPHRIS.xml:S1:91:5	O
sections	SAPHRIS.xml:S1:97:8	O
of	SAPHRIS.xml:S1:106:2	O
the	SAPHRIS.xml:S1:109:3	O
labeling	SAPHRIS.xml:S1:113:8	O
:	SAPHRIS.xml:S1:121:1	O

Use	SAPHRIS.xml:S1:130:3	O
in	SAPHRIS.xml:S1:134:2	O
Elderly	SAPHRIS.xml:S1:137:7	O
Patients	SAPHRIS.xml:S1:145:8	O
with	SAPHRIS.xml:S1:154:4	O
Dementia	SAPHRIS.xml:S1:159:8	O
-	SAPHRIS.xml:S1:167:1	O
Related	SAPHRIS.xml:S1:168:7	O
Psychosis	SAPHRIS.xml:S1:176:9	O
[	SAPHRIS.xml:S1:186:1	O
seeBoxed	SAPHRIS.xml:S1:187:8	O
Warningand	SAPHRIS.xml:S1:196:10	O
Warnings	SAPHRIS.xml:S1:207:8	O
and	SAPHRIS.xml:S1:216:3	O
Precautions	SAPHRIS.xml:S1:220:11	O
(	SAPHRIS.xml:S1:232:1	O
5.1	SAPHRIS.xml:S1:233:3	O
and5	SAPHRIS.xml:S1:236:4	O
.	SAPHRIS.xml:S1:240:1	O
2	SAPHRIS.xml:S1:241:1	O
)]	SAPHRIS.xml:S1:242:2	O

Neuroleptic	SAPHRIS.xml:S1:251:11	B-AdverseReaction
Malignant	SAPHRIS.xml:S1:263:9	I-AdverseReaction
Syndrome	SAPHRIS.xml:S1:273:8	I-AdverseReaction
[	SAPHRIS.xml:S1:282:1	O
see	SAPHRIS.xml:S1:283:3	O
Warnings	SAPHRIS.xml:S1:287:8	O
and	SAPHRIS.xml:S1:296:3	O
Precautions	SAPHRIS.xml:S1:300:11	O
(	SAPHRIS.xml:S1:312:1	O
5.3	SAPHRIS.xml:S1:313:3	O
)]	SAPHRIS.xml:S1:316:2	O

Tardive	SAPHRIS.xml:S1:325:7	B-AdverseReaction
Dyskinesia	SAPHRIS.xml:S1:333:10	I-AdverseReaction
[	SAPHRIS.xml:S1:344:1	O
see	SAPHRIS.xml:S1:345:3	O
Warnings	SAPHRIS.xml:S1:349:8	O
and	SAPHRIS.xml:S1:358:3	O
Precautions	SAPHRIS.xml:S1:362:11	O
(	SAPHRIS.xml:S1:374:1	O
5.4	SAPHRIS.xml:S1:375:3	O
)]	SAPHRIS.xml:S1:378:2	O

Metabolic	SAPHRIS.xml:S1:387:9	B-AdverseReaction
Changes	SAPHRIS.xml:S1:397:7	I-AdverseReaction
[	SAPHRIS.xml:S1:405:1	O
see	SAPHRIS.xml:S1:406:3	O
Warnings	SAPHRIS.xml:S1:410:8	O
and	SAPHRIS.xml:S1:419:3	O
Precautions	SAPHRIS.xml:S1:423:11	O
(	SAPHRIS.xml:S1:435:1	O
5.5	SAPHRIS.xml:S1:436:3	O
)]	SAPHRIS.xml:S1:439:2	O

Hypersensitivity	SAPHRIS.xml:S1:448:16	B-AdverseReaction
Reactions	SAPHRIS.xml:S1:465:9	I-AdverseReaction
[	SAPHRIS.xml:S1:475:1	O
see	SAPHRIS.xml:S1:476:3	O
Contraindications	SAPHRIS.xml:S1:480:17	O
,	SAPHRIS.xml:S1:497:1	O
Warnings	SAPHRIS.xml:S1:499:8	O
and	SAPHRIS.xml:S1:508:3	O
Precautions	SAPHRIS.xml:S1:512:11	O
(	SAPHRIS.xml:S1:524:1	O
5.6	SAPHRIS.xml:S1:525:3	O
)	SAPHRIS.xml:S1:528:1	O
and	SAPHRIS.xml:S1:530:3	O
Patient	SAPHRIS.xml:S1:534:7	O
Counseling	SAPHRIS.xml:S1:542:10	O
Information	SAPHRIS.xml:S1:553:11	O
(	SAPHRIS.xml:S1:565:1	O
17	SAPHRIS.xml:S1:566:2	O
)]	SAPHRIS.xml:S1:568:2	O

Application	SAPHRIS.xml:S1:577:11	B-AdverseReaction
site	SAPHRIS.xml:S1:589:4	I-AdverseReaction
reactions	SAPHRIS.xml:S1:594:9	I-AdverseReaction
including	SAPHRIS.xml:S1:604:9	O
oral	SAPHRIS.xml:S1:614:4	I-AdverseReaction
ulcers	SAPHRIS.xml:S1:619:6	I-AdverseReaction
,	SAPHRIS.xml:S1:625:1	O
blisters	SAPHRIS.xml:S1:627:8	I-AdverseReaction
,	SAPHRIS.xml:S1:635:1	O
peeling	SAPHRIS.xml:S1:637:7	I-AdverseReaction
sloughing	SAPHRIS.xml:S1:645:9	I-AdverseReaction
and	SAPHRIS.xml:S1:655:3	O
inflammation	SAPHRIS.xml:S1:659:12	I-AdverseReaction
[	SAPHRIS.xml:S1:672:1	O
see	SAPHRIS.xml:S1:673:3	O
Adverse	SAPHRIS.xml:S1:677:7	O
Reactions	SAPHRIS.xml:S1:685:9	O
(	SAPHRIS.xml:S1:695:1	O
6.2	SAPHRIS.xml:S1:696:3	O
)]	SAPHRIS.xml:S1:699:2	O

Orthostatic	SAPHRIS.xml:S1:708:11	B-AdverseReaction
Hypotension	SAPHRIS.xml:S1:720:11	I-AdverseReaction
,	SAPHRIS.xml:S1:731:1	O
Syncope	SAPHRIS.xml:S1:733:7	B-AdverseReaction
,	SAPHRIS.xml:S1:740:1	O
and	SAPHRIS.xml:S1:742:3	O
other	SAPHRIS.xml:S1:746:5	O
Hemodynamic	SAPHRIS.xml:S1:752:11	B-AdverseReaction
