6	SIMPONI.xml:S1:4:1	O
ADVERSE	SIMPONI.xml:S1:6:7	O
REACTIONS	SIMPONI.xml:S1:14:9	O

The	SIMPONI.xml:S1:27:3	O
most	SIMPONI.xml:S1:31:4	O
serious	SIMPONI.xml:S1:36:7	O
adverse	SIMPONI.xml:S1:44:7	O
reactions	SIMPONI.xml:S1:52:9	O
were	SIMPONI.xml:S1:62:4	O
:	SIMPONI.xml:S1:66:1	O

Serious	SIMPONI.xml:S1:75:7	B-Severity
Infections	SIMPONI.xml:S1:83:10	B-AdverseReaction
[	SIMPONI.xml:S1:94:1	O
see	SIMPONI.xml:S1:95:3	O
Warnings	SIMPONI.xml:S1:100:8	O
and	SIMPONI.xml:S1:109:3	O
Precautions	SIMPONI.xml:S1:113:11	O
(	SIMPONI.xml:S1:125:1	O
5.1	SIMPONI.xml:S1:126:3	O
)	SIMPONI.xml:S1:129:1	O
]	SIMPONI.xml:S1:132:1	O

Malignancies	SIMPONI.xml:S1:140:12	B-AdverseReaction
[	SIMPONI.xml:S1:153:1	O
see	SIMPONI.xml:S1:154:3	O
Warnings	SIMPONI.xml:S1:159:8	O
and	SIMPONI.xml:S1:168:3	O
Precautions	SIMPONI.xml:S1:172:11	O
(	SIMPONI.xml:S1:184:1	O
5.2	SIMPONI.xml:S1:185:3	O
)	SIMPONI.xml:S1:188:1	O
]	SIMPONI.xml:S1:191:1	O

EXCERPT	SIMPONI.xml:S1:201:7	O
:	SIMPONI.xml:S1:208:1	O
Most	SIMPONI.xml:S1:212:4	O
common	SIMPONI.xml:S1:217:6	O
adverse	SIMPONI.xml:S1:224:7	O
reactions	SIMPONI.xml:S1:232:9	O
(	SIMPONI.xml:S1:242:1	O
incidence	SIMPONI.xml:S1:243:9	O
3%	SIMPONI.xml:S1:255:2	O
)	SIMPONI.xml:S1:257:1	O
are	SIMPONI.xml:S1:259:3	O
:	SIMPONI.xml:S1:262:1	O
upper	SIMPONI.xml:S1:264:5	B-AdverseReaction
respiratory	SIMPONI.xml:S1:270:11	I-AdverseReaction
tract	SIMPONI.xml:S1:282:5	I-AdverseReaction
infection	SIMPONI.xml:S1:288:9	I-AdverseReaction
,	SIMPONI.xml:S1:297:1	O
viral	SIMPONI.xml:S1:299:5	B-AdverseReaction
infection	SIMPONI.xml:S1:305:9	I-AdverseReaction
,	SIMPONI.xml:S1:314:1	O
bronchitis	SIMPONI.xml:S1:316:10	B-AdverseReaction
,	SIMPONI.xml:S1:326:1	O
hypertension	SIMPONI.xml:S1:328:12	B-AdverseReaction
,	SIMPONI.xml:S1:340:1	O
and	SIMPONI.xml:S1:342:3	O
rash	SIMPONI.xml:S1:346:4	B-AdverseReaction
(	SIMPONI.xml:S1:351:1	O
6.1	SIMPONI.xml:S1:354:3	O
)	SIMPONI.xml:S1:359:1	O
.	SIMPONI.xml:S1:360:1	O

To	SIMPONI.xml:S1:368:2	O

report	SIMPONI.xml:S1:371:6	O
SUSPECTED	SIMPONI.xml:S1:378:9	O
ADVERSE	SIMPONI.xml:S1:388:7	O
REACTIONS	SIMPONI.xml:S1:396:9	O
,	SIMPONI.xml:S1:405:1	O
contactJanssen	SIMPONI.xml:S1:407:14	O
Biotech	SIMPONI.xml:S1:422:7	O
,	SIMPONI.xml:S1:429:1	O
Inc	SIMPONI.xml:S1:431:3	O
.	SIMPONI.xml:S1:434:1	O

at	SIMPONI.xml:S1:436:2	O
1	SIMPONI.xml:S1:439:1	O
-	SIMPONI.xml:S1:440:1	O
800	SIMPONI.xml:S1:441:3	O
-	SIMPONI.xml:S1:444:1	O
JANSSEN	SIMPONI.xml:S1:445:7	O
(	SIMPONI.xml:S1:453:1	O
1	SIMPONI.xml:S1:454:1	O
-	SIMPONI.xml:S1:455:1	O
800	SIMPONI.xml:S1:456:3	O
-	SIMPONI.xml:S1:459:1	O
526	SIMPONI.xml:S1:460:3	O
-	SIMPONI.xml:S1:463:1	O
7736	SIMPONI.xml:S1:464:4	O
)	SIMPONI.xml:S1:468:1	O
or	SIMPONI.xml:S1:470:2	O
FDA	SIMPONI.xml:S1:473:3	O
at	SIMPONI.xml:S1:477:2	O
1	SIMPONI.xml:S1:480:1	O
-	SIMPONI.xml:S1:481:1	O
800	SIMPONI.xml:S1:482:3	O
-	SIMPONI.xml:S1:485:1	O
FDA	SIMPONI.xml:S1:486:3	O
-	SIMPONI.xml:S1:489:1	O
1088	SIMPONI.xml:S1:490:4	O
or	SIMPONI.xml:S1:495:2	O
www	SIMPONI.xml:S1:499:3	O
.	SIMPONI.xml:S1:502:1	O
fda	SIMPONI.xml:S1:503:3	O
.	SIMPONI.xml:S1:506:1	O
gov	SIMPONI.xml:S1:507:3	O
medwatch	SIMPONI.xml:S1:511:8	O
.	SIMPONI.xml:S1:519:1	O

6.1	SIMPONI.xml:S1:533:3	O

Clinical	SIMPONI.xml:S1:537:8	O
Trials	SIMPONI.xml:S1:546:6	O
Experience	SIMPONI.xml:S1:553:10	O

Because	SIMPONI.xml:S1:567:7	O
clinical	SIMPONI.xml:S1:575:8	O
trials	SIMPONI.xml:S1:584:6	O
are	SIMPONI.xml:S1:591:3	O
conducted	SIMPONI.xml:S1:595:9	O
under	SIMPONI.xml:S1:605:5	O
widely	SIMPONI.xml:S1:611:6	O
varying	SIMPONI.xml:S1:618:7	O
conditions	SIMPONI.xml:S1:626:10	O
,	SIMPONI.xml:S1:636:1	O
adverse	SIMPONI.xml:S1:638:7	O
reaction	SIMPONI.xml:S1:646:8	O
rates	SIMPONI.xml:S1:655:5	O
observed	SIMPONI.xml:S1:661:8	O
in	SIMPONI.xml:S1:670:2	O
the	SIMPONI.xml:S1:673:3	O
clinical	SIMPONI.xml:S1:677:8	O
trials	SIMPONI.xml:S1:686:6	O
of	SIMPONI.xml:S1:693:2	O
a	SIMPONI.xml:S1:696:1	O
drug	SIMPONI.xml:S1:698:4	O
cannot	SIMPONI.xml:S1:703:6	O
be	SIMPONI.xml:S1:710:2	O
directly	SIMPONI.xml:S1:713:8	O
compared	SIMPONI.xml:S1:722:8	O
to	SIMPONI.xml:S1:731:2	O
rates	SIMPONI.xml:S1:734:5	O
in	SIMPONI.xml:S1:740:2	O
the	SIMPONI.xml:S1:743:3	O
clinical	SIMPONI.xml:S1:747:8	O
trials	SIMPONI.xml:S1:756:6	O
of	SIMPONI.xml:S1:763:2	O
another	SIMPONI.xml:S1:766:7	O
drug	SIMPONI.xml:S1:774:4	O
and	SIMPONI.xml:S1:779:3	O
may	SIMPONI.xml:S1:783:3	O
not	SIMPONI.xml:S1:787:3	O
reflect	SIMPONI.xml:S1:791:7	O
the	SIMPONI.xml:S1:799:3	O
rates	SIMPONI.xml:S1:803:5	O
