6	STENDRA.xml:S1:4:1	O
ADVERSE	STENDRA.xml:S1:6:7	O
REACTIONS	STENDRA.xml:S1:14:9	O

EXCERPT	STENDRA.xml:S1:27:7	O
:	STENDRA.xml:S1:34:1	O
Most	STENDRA.xml:S1:38:4	O
common	STENDRA.xml:S1:43:6	O
adverse	STENDRA.xml:S1:50:7	O
reactions	STENDRA.xml:S1:58:9	O
(	STENDRA.xml:S1:68:1	O
greater	STENDRA.xml:S1:69:7	O
than	STENDRA.xml:S1:77:4	O
or	STENDRA.xml:S1:82:2	O
equal	STENDRA.xml:S1:85:5	O
to	STENDRA.xml:S1:91:2	O
2%	STENDRA.xml:S1:94:2	O
)	STENDRA.xml:S1:96:1	O
include	STENDRA.xml:S1:98:7	O
headache	STENDRA.xml:S1:106:8	B-AdverseReaction
,	STENDRA.xml:S1:114:1	O
flushing	STENDRA.xml:S1:116:8	B-AdverseReaction
,	STENDRA.xml:S1:124:1	O
nasal	STENDRA.xml:S1:126:5	B-AdverseReaction
congestion	STENDRA.xml:S1:132:10	I-AdverseReaction
,	STENDRA.xml:S1:142:1	O
nasopharyngitis	STENDRA.xml:S1:144:15	B-AdverseReaction
,	STENDRA.xml:S1:159:1	O
and	STENDRA.xml:S1:161:3	O
back	STENDRA.xml:S1:165:4	B-AdverseReaction
pain	STENDRA.xml:S1:170:4	I-AdverseReaction
(	STENDRA.xml:S1:175:1	O
6.1	STENDRA.xml:S1:176:3	O
)	STENDRA.xml:S1:179:1	O

To	STENDRA.xml:S1:187:2	O
report	STENDRA.xml:S1:190:6	O
SUSPECTED	STENDRA.xml:S1:197:9	O
ADVERSE	STENDRA.xml:S1:207:7	O
REACTIONS	STENDRA.xml:S1:215:9	O
,	STENDRA.xml:S1:224:1	O
contact	STENDRA.xml:S1:226:7	O
1	STENDRA.xml:S1:234:1	O
-	STENDRA.xml:S1:235:1	O
877	STENDRA.xml:S1:236:3	O
-	STENDRA.xml:S1:239:1	O
663	STENDRA.xml:S1:240:3	O
-	STENDRA.xml:S1:243:1	O
0412	STENDRA.xml:S1:244:4	O
or	STENDRA.xml:S1:249:2	O
FDA	STENDRA.xml:S1:252:3	O
at	STENDRA.xml:S1:256:2	O
1	STENDRA.xml:S1:259:1	O
-	STENDRA.xml:S1:260:1	O
800	STENDRA.xml:S1:261:3	O
-	STENDRA.xml:S1:264:1	O
FDA	STENDRA.xml:S1:265:3	O
-	STENDRA.xml:S1:268:1	O
1088	STENDRA.xml:S1:269:4	O
or	STENDRA.xml:S1:274:2	O
www	STENDRA.xml:S1:278:3	O
.	STENDRA.xml:S1:281:1	O
fda	STENDRA.xml:S1:282:3	O
.	STENDRA.xml:S1:285:1	O
gov	STENDRA.xml:S1:286:3	O
medwatch	STENDRA.xml:S1:290:8	O
.	STENDRA.xml:S1:298:1	O

