6	STRIBILD.xml:S1:4:1	O
ADVERSE	STRIBILD.xml:S1:6:7	O
REACTIONS	STRIBILD.xml:S1:14:9	O

The	STRIBILD.xml:S1:27:3	O
following	STRIBILD.xml:S1:31:9	O
adverse	STRIBILD.xml:S1:41:7	O
drug	STRIBILD.xml:S1:49:4	O
reactions	STRIBILD.xml:S1:54:9	O
are	STRIBILD.xml:S1:64:3	O
discussed	STRIBILD.xml:S1:68:9	O
in	STRIBILD.xml:S1:78:2	O
other	STRIBILD.xml:S1:81:5	O
sections	STRIBILD.xml:S1:87:8	O
of	STRIBILD.xml:S1:96:2	O
the	STRIBILD.xml:S1:99:3	O
labeling	STRIBILD.xml:S1:103:8	O
:	STRIBILD.xml:S1:111:1	O

Lactic	STRIBILD.xml:S1:120:6	B-AdverseReaction
Acidosis	STRIBILD.xml:S1:127:8	I-AdverseReaction
Severe	STRIBILD.xml:S1:136:6	B-Severity
Hepatomegaly	STRIBILD.xml:S1:143:12	B-AdverseReaction
with	STRIBILD.xml:S1:156:4	O
Steatosis	STRIBILD.xml:S1:161:9	B-AdverseReaction
[	STRIBILD.xml:S1:171:1	O
see	STRIBILD.xml:S1:172:3	O
Boxed	STRIBILD.xml:S1:177:5	O
Warning	STRIBILD.xml:S1:183:7	O
,	STRIBILD.xml:S1:192:1	O
Warnings	STRIBILD.xml:S1:195:8	O
and	STRIBILD.xml:S1:204:3	O
Precautions	STRIBILD.xml:S1:208:11	O
(	STRIBILD.xml:S1:220:1	O
5.1	STRIBILD.xml:S1:221:3	O
)	STRIBILD.xml:S1:224:1	O
]	STRIBILD.xml:S1:227:1	O
.	STRIBILD.xml:S1:229:1	O

Severe	STRIBILD.xml:S1:236:6	B-Severity
Acute	STRIBILD.xml:S1:243:5	B-AdverseReaction
Exacerbations	STRIBILD.xml:S1:249:13	I-AdverseReaction
of	STRIBILD.xml:S1:263:2	I-AdverseReaction
Hepatitis	STRIBILD.xml:S1:266:9	I-AdverseReaction
B	STRIBILD.xml:S1:276:1	I-AdverseReaction
[	STRIBILD.xml:S1:278:1	O
see	STRIBILD.xml:S1:279:3	O
Boxed	STRIBILD.xml:S1:284:5	O
Warning	STRIBILD.xml:S1:290:7	O
,	STRIBILD.xml:S1:299:1	O
Warnings	STRIBILD.xml:S1:302:8	O
and	STRIBILD.xml:S1:311:3	O
Precautions	STRIBILD.xml:S1:315:11	O
(	STRIBILD.xml:S1:327:1	O
5.2	STRIBILD.xml:S1:328:3	O
)	STRIBILD.xml:S1:331:1	O
]	STRIBILD.xml:S1:334:1	O
.	STRIBILD.xml:S1:336:1	O

New	STRIBILD.xml:S1:343:3	B-AdverseReaction
Onset	STRIBILD.xml:S1:347:5	I-AdverseReaction
or	STRIBILD.xml:S1:353:2	O
Worsening	STRIBILD.xml:S1:356:9	B-AdverseReaction
Renal	STRIBILD.xml:S1:366:5	I-AdverseReaction
Impairment	STRIBILD.xml:S1:372:10	I-AdverseReaction
[	STRIBILD.xml:S1:383:1	O
see	STRIBILD.xml:S1:384:3	O
Warnings	STRIBILD.xml:S1:389:8	O
and	STRIBILD.xml:S1:398:3	O
Precautions	STRIBILD.xml:S1:402:11	O
(	STRIBILD.xml:S1:414:1	O
5.3	STRIBILD.xml:S1:415:3	O
)	STRIBILD.xml:S1:418:1	O
]	STRIBILD.xml:S1:421:1	O
.	STRIBILD.xml:S1:423:1	O

Bone	STRIBILD.xml:S1:430:4	B-AdverseReaction
Effects	STRIBILD.xml:S1:435:7	I-AdverseReaction
of	STRIBILD.xml:S1:443:2	O
Tenofovir	STRIBILD.xml:S1:446:9	O
DF	STRIBILD.xml:S1:456:2	O
[	STRIBILD.xml:S1:459:1	O
see	STRIBILD.xml:S1:460:3	O
Warnings	STRIBILD.xml:S1:465:8	O
and	STRIBILD.xml:S1:474:3	O
Precautions	STRIBILD.xml:S1:478:11	O
(	STRIBILD.xml:S1:490:1	O
5.6	STRIBILD.xml:S1:491:3	O
)	STRIBILD.xml:S1:494:1	O
]	STRIBILD.xml:S1:497:1	O
.	STRIBILD.xml:S1:499:1	O

Immune	STRIBILD.xml:S1:506:6	B-AdverseReaction
Reconstitution	STRIBILD.xml:S1:513:14	I-AdverseReaction
Syndrome	STRIBILD.xml:S1:528:8	I-AdverseReaction
[	STRIBILD.xml:S1:537:1	O
see	STRIBILD.xml:S1:538:3	O
Warnings	STRIBILD.xml:S1:543:8	O
and	STRIBILD.xml:S1:552:3	O
Precautions	STRIBILD.xml:S1:556:11	O
(	STRIBILD.xml:S1:568:1	O
5.8	STRIBILD.xml:S1:569:3	O
)	STRIBILD.xml:S1:572:1	O
]	STRIBILD.xml:S1:575:1	O
.	STRIBILD.xml:S1:577:1	O

EXCERPT	STRIBILD.xml:S1:586:7	O
:	STRIBILD.xml:S1:593:1	O
Most	STRIBILD.xml:S1:597:4	O
common	STRIBILD.xml:S1:602:6	O
